date_obj,Iron%20full%20helm price
2016-03-21,192
2016-03-22,194
2016-03-23,198
2016-03-24,199
2016-03-25,199
2016-03-26,198
2016-03-27,199
2016-03-28,200
2016-03-29,199
2016-03-30,202
2016-03-31,202
2016-04-01,207
2016-04-02,209
2016-04-03,210
2016-04-04,211
2016-04-05,212
2016-04-06,217
2016-04-07,213
2016-04-08,212
2016-04-09,211
2016-04-10,210
2016-04-11,210
2016-04-12,205
2016-04-13,204
2016-04-14,209
2016-04-15,213
2016-04-16,210
2016-04-17,207
2016-04-18,201
2016-04-19,202
2016-04-20,205
2016-04-21,208
2016-04-22,212
2016-04-23,217
2016-04-24,221
2016-04-25,227
2016-04-26,231
2016-04-27,236
2016-04-28,238
2016-04-29,233
2016-04-30,232
2016-05-01,222
2016-05-02,221
2016-05-03,220
2016-05-04,220
2016-05-05,223
2016-05-06,229
2016-05-07,236
2016-05-08,236
2016-05-09,235
2016-05-10,236
2016-05-11,243
2016-05-12,240
2016-05-13,234
2016-05-14,230
2016-05-15,225
2016-05-16,218
2016-05-17,212
2016-05-18,207
2016-05-19,213
2016-05-22,201
2016-05-23,202
2016-05-24,202
2016-05-25,205
2016-05-26,205
2016-05-27,200
2016-05-28,197
2016-05-29,191
2016-05-30,188
2016-05-31,186
2016-06-01,184
2016-06-02,185
2016-06-03,184
2016-06-04,184
2016-06-05,183
2016-06-06,182
2016-06-07,184
2016-06-08,183
2016-06-09,185
2016-06-10,187
2016-06-11,188
2016-06-12,192
2016-06-13,190
2016-06-14,192
2016-06-15,191
2016-06-16,193
2016-06-17,198
2016-06-18,204
2016-06-19,204
2016-06-20,211
2016-06-21,215
2016-06-22,218
2016-06-23,219
2016-06-24,216
2016-06-25,214
2016-06-26,214
2016-06-27,215
2016-06-28,213
2016-06-29,208
2016-06-30,204
2016-07-01,206
2016-07-02,201
2016-07-03,197
2016-07-04,202
2016-07-05,206
2016-07-06,213
2016-07-07,215
2016-07-08,223
2016-07-09,229
2016-07-10,232
2016-07-11,229
2016-07-12,224
2016-07-13,227
2016-07-14,232
2016-07-15,243
2016-07-16,252
2016-07-17,255
2016-07-18,261
2016-07-23,289
2016-07-24,284
2016-07-25,276
2016-07-26,281
2016-07-27,282
2016-07-28,280
2016-07-29,279
2016-07-30,278
2016-07-31,278
2016-08-01,274
2016-08-02,267
2016-08-03,259
2016-08-04,247
2016-08-05,243
2016-08-06,243
2016-08-07,231
2016-08-08,222
2016-08-09,211
2016-08-10,205
2016-08-11,199
2016-08-12,196
2016-08-13,188
2016-08-14,185
2016-08-15,186
2016-08-16,187
2016-08-17,190
2016-08-18,189
2016-08-19,186
2016-08-20,180
2016-08-21,182
2016-08-22,182
2016-08-23,181
2016-08-24,183
2016-08-25,183
2016-08-26,183
2016-08-28,195
2016-08-31,206
2016-09-01,206
2016-09-02,206
2016-09-03,205
2016-09-04,210
2016-09-05,209
2016-09-06,211
2016-09-07,206
2016-09-08,206
2016-09-09,205
2016-09-10,208
2016-09-11,209
2016-09-12,210
2016-09-13,202
2016-09-14,197
2016-09-15,194
2016-09-16,194
2016-09-17,192
2016-09-18,195
2016-09-19,196
2016-09-20,195
2016-09-21,195
2016-09-22,193
2016-09-23,193
2016-09-24,193
2016-09-25,194
2016-09-26,194
2016-09-27,186
2016-09-28,187
2016-09-29,193
2016-09-30,194
2016-10-01,192
2016-10-02,197
2016-10-03,195
2016-10-04,196
2016-10-05,200
2016-10-06,202
2016-10-07,201
2016-10-08,203
2016-10-09,206
2016-10-10,210
2016-10-11,209
2016-10-12,205
2016-10-13,205
2016-10-14,203
2016-10-15,200
2016-10-16,198
2016-10-17,195
2016-10-18,194
2016-10-19,192
2016-10-20,187
2016-10-21,191
2016-10-22,197
2016-10-23,198
2016-10-24,190
2016-10-25,182
2016-10-26,188
2016-10-27,183
2016-10-28,178
2016-10-29,177
2016-10-30,179
2016-10-31,171
2016-11-01,165
2016-11-02,162
2016-11-03,154
2016-11-04,153
2016-11-05,152
2016-11-06,151
2016-11-07,147
2016-11-08,143
2016-11-09,140
2016-11-10,134
2016-11-11,132
2016-11-12,131
2016-11-13,130
2016-11-14,128
2016-12-07,124
2016-12-08,123
2016-12-09,123
2016-12-10,126
2016-12-11,128
2016-12-12,125
2016-12-13,125
2016-12-14,125
2016-12-15,127
2016-12-16,128
2016-12-17,130
2016-12-18,127
2016-12-19,129
2016-12-20,128
2016-12-21,133
2016-12-22,133
2016-12-23,134
2016-12-24,135
2016-12-25,136
2016-12-26,137
2016-12-27,139
2016-12-28,142
2016-12-29,146
2016-12-30,145
2016-12-31,144
2017-01-01,145
2017-01-02,143
2017-01-03,145
2017-01-04,143
2017-01-05,138
2017-01-06,138
2017-01-07,136
2017-01-08,136
2017-01-09,138
2017-01-10,141
2017-01-11,144
2017-01-12,145
2017-01-13,145
2017-01-14,144
2017-01-15,144
2017-01-16,145
2017-01-17,139
2017-01-18,141
2017-01-19,143
2017-01-20,146
2017-01-21,149
2017-01-22,146
2017-01-23,150
2017-01-27,160
2017-01-28,159
2017-01-29,156
2017-01-30,156
2017-01-31,155
2017-02-01,158
2017-02-02,158
2017-02-03,160
2017-02-04,162
2017-02-05,160
2017-02-06,156
2017-02-07,158
2017-02-08,159
2017-02-09,159
2017-02-10,162
2017-02-11,161
2017-02-12,164
2017-02-13,167
2017-02-14,164
2017-02-15,163
2017-02-16,166
2017-02-18,163
2017-02-19,166
2017-02-20,165
2017-02-21,163
2017-02-22,166
2017-02-23,164
2017-02-24,163
2017-02-25,163
2017-02-26,164
2017-02-27,157
2017-02-28,157
2017-03-01,157
2017-03-02,154
2017-03-03,155
2017-03-04,156
2017-03-05,158
2017-03-06,160
2017-03-07,161
2017-03-08,160
2017-03-09,158
2017-03-10,159
2017-03-11,161
2017-03-12,163
2017-03-13,163
2017-03-14,160
2017-03-15,159
2017-03-16,161
2017-03-17,162
2017-03-18,159
2017-03-19,157
2017-03-20,159
2017-03-21,157
2017-03-22,153
2017-03-23,154
2017-03-24,155
2017-03-25,155
2017-03-26,157
2017-03-27,155
2017-03-28,153
2017-03-29,154
2017-03-30,154
2017-03-31,151
2017-04-01,148
2017-04-02,148
2017-04-03,151
2017-04-04,152
2017-04-12,138
2017-04-13,137
2017-04-14,135
2017-04-15,132
2017-04-16,132
2017-04-17,134
2017-04-18,135
2017-04-19,138
2017-04-20,139
2017-04-21,140
2017-04-22,141
2017-04-23,145
2017-04-24,147
2017-04-25,150
2017-04-26,155
2017-04-27,161
2017-04-28,161
2017-04-29,158
2017-04-30,159
2017-05-01,161
2017-05-02,165
2017-05-03,167
2017-05-04,171
2017-05-05,166
2017-05-06,162
2017-05-07,163
2017-05-08,162
2017-05-09,165
2017-05-10,167
2017-05-11,165
2017-05-12,169
2017-05-13,166
2017-05-14,159
2017-05-15,160
2017-05-16,163
2017-05-17,165
2017-05-18,172
2017-05-19,172
2017-05-20,177
2017-05-21,173
2017-05-22,176
2017-05-23,178
2017-05-24,174
2017-05-25,174
2017-05-26,173
2017-05-27,168
2017-05-28,166
2017-05-29,167
2017-05-30,171
2017-05-31,172
2017-06-01,175
2017-06-02,176
2017-06-03,174
2017-06-04,174
2017-06-06,171
2017-06-07,170
2017-06-08,163
2017-06-09,158
2017-06-10,158
2017-06-11,160
2017-06-12,161
2017-06-13,163
2017-06-14,163
2017-06-15,163
2017-06-16,160
2017-06-17,159
2017-06-18,152
2017-06-19,149
2017-06-20,150
2017-06-21,145
2017-06-22,138
2017-06-23,133
2017-06-24,129
2017-06-25,131
2017-06-26,128
2017-06-27,124
2017-06-28,122
2017-06-29,118
2017-06-30,115
2017-07-01,110
2017-07-02,106
2017-07-03,105
2017-07-04,99
2017-07-05,96
2017-07-06,95
2017-07-07,91
2017-07-08,90
2017-07-13,88
2017-07-14,90
2017-07-15,92
2017-07-16,90
2017-07-17,91
2017-07-18,90
2017-07-19,86
2017-07-20,85
2017-07-21,83
2017-07-22,83
2017-07-23,84
2017-07-24,87
2017-07-25,86
2017-07-26,89
2017-07-27,92
2017-07-28,92
2017-07-29,92
2017-07-30,92
2017-07-31,94
2017-08-01,94
2017-08-02,95
2017-08-03,96
2017-08-04,97
2017-08-05,97
2017-08-06,99
2017-08-09,100
2017-08-10,100
2017-08-11,100
2017-08-12,98
2017-08-13,98
2017-08-14,95
2017-08-15,94
2017-08-16,94
2017-08-17,95
2017-08-18,90
2017-08-19,85
2017-08-20,86
2017-08-21,84
2017-08-22,86
2017-08-23,90
2017-08-24,93
2017-08-25,97
2017-08-26,100
2017-08-27,102
2017-08-28,103
2017-08-29,105
2017-08-30,106
2017-08-31,102
2017-09-01,101
2017-09-02,100
2017-09-03,97
2017-09-04,94
2017-09-05,91
2017-09-06,87
2017-09-07,84
2017-09-08,83
2017-09-09,82
2017-09-10,78
2017-09-11,75
2017-09-12,73
2017-09-13,73
2017-09-14,74
2017-09-15,75
2017-09-16,77
2017-09-17,79
2017-09-19,81
2017-09-20,84
2017-09-21,86
2017-09-22,87
2017-09-23,88
2017-09-24,89
2017-09-25,89
2017-09-26,89
2017-09-27,89
2017-09-28,88
2017-09-29,87
2017-09-30,88
2017-10-01,87
2017-10-02,86
2017-10-03,83
2017-10-04,82
2017-10-05,82
2017-10-06,83
2017-10-07,82
2017-10-08,85
2017-10-09,86
2017-10-10,87
2017-10-11,89
2017-10-12,90
2017-10-13,87
2017-10-14,84
2017-10-15,80
2017-10-16,80
2017-10-17,79
2017-10-18,79
2017-10-19,82
2017-10-20,84
2017-10-21,81
2017-10-22,80
2017-10-23,80
2017-10-24,80
2017-10-25,79
2017-10-26,79
2017-10-27,80
2017-10-28,79
2017-10-29,81
2017-10-30,81
2017-10-31,81
2017-11-01,83
2017-11-02,81
2017-11-03,79
2017-11-04,79
2017-11-05,80
