date_obj,Dragon%20sword price
2017-01-04,156260
2017-01-05,163582
2017-01-06,171762
2017-01-07,180351
2017-01-08,189369
2017-01-09,198838
2017-01-10,208780
2017-01-11,219219
2017-01-12,230180
2017-01-13,241689
2017-01-14,253774
2017-01-15,266463
2017-01-16,279787
2017-01-17,293777
2017-01-18,308466
2017-01-19,323890
2017-01-20,340085
2017-01-21,357090
2017-01-22,374945
2017-01-23,393693
2017-01-27,478538
2017-01-28,502465
2017-01-29,527589
2017-01-30,553969
2017-01-31,581668
2017-02-01,610752
2017-02-02,641290
2017-02-03,673355
2017-02-04,707023
2017-02-05,742375
2017-02-06,779494
2017-02-07,818469
2017-02-08,859393
2017-02-09,902363
2017-02-10,947482
2017-02-11,994857
2017-02-12,1044600
2017-02-13,1096830
2017-02-14,1151672
2017-02-15,1209256
2017-02-16,1269719
2017-02-18,1396871
2017-02-19,1466715
2017-02-20,1540051
2017-02-21,1617054
2017-02-22,1697907
2017-02-23,1782803
2017-02-24,1871944
2017-02-25,1965542
2017-02-26,2063820
2017-02-27,2167011
2017-02-28,2275362
2017-03-01,2389131
2017-03-02,2508588
2017-03-03,2634018
2017-03-04,2765719
2017-03-05,2904005
2017-03-06,2803538
2017-03-07,2691507
2017-03-08,2568416
2017-03-09,2489139
2017-03-10,2372480
2017-03-11,2253856
2017-03-12,2141163
2017-03-13,2034104
2017-03-14,1932398
2017-03-15,1840974
2017-03-16,1752098
2017-03-17,1687774
2017-03-18,1631260
2017-03-19,1575976
2017-03-20,1513608
2017-03-21,1460300
2017-03-22,1457006
2017-03-23,1492788
2017-03-24,1517581
2017-03-25,1593461
2017-03-26,1664207
2017-03-27,1667194
2017-03-28,1657074
2017-03-29,1656383
2017-03-30,1633440
2017-03-31,1690388
2017-04-01,1748306
2017-04-02,1830026
2017-04-03,1901491
2017-04-04,1996566
2017-04-12,1832040
2017-04-13,1900269
2017-04-14,1922098
2017-04-15,1946875
2017-04-16,1977198
2017-04-17,1980549
2017-04-18,1956086
2017-04-19,1929126
2017-04-20,1937645
2017-04-21,1871735
2017-04-22,1796757
2017-04-23,1732682
2017-04-24,1787316
2017-04-25,1725981
2017-04-26,1662245
2017-04-27,1606693
2017-04-28,1599949
2017-04-29,1596559
2017-04-30,1587889
2017-05-01,1659905
2017-05-02,1697629
2017-05-03,1707878
2017-05-04,1717846
2017-05-05,1690606
2017-05-06,1666030
2017-05-07,1639155
2017-05-08,1599562
2017-05-09,1531519
2017-05-10,1493761
2017-05-11,1496091
2017-05-12,1500882
2017-05-13,1510499
2017-05-14,1493706
2017-05-16,1450423
2017-05-17,1411283
2017-05-18,1381035
2017-05-19,1340303
2017-05-20,1306792
2017-05-21,1270097
2017-05-22,1215995
2017-05-23,1239854
2017-05-24,1281944
2017-05-25,1303242
2017-05-26,1295605
2017-05-27,1290222
2017-05-28,1229447
2017-05-29,1183554
2017-05-30,1160741
2017-05-31,1137790
2017-06-01,1103443
2017-06-02,1052638
2017-06-03,1003283
2017-06-04,996674
2017-06-05,1004409
2017-06-06,990858
2017-06-07,953490
2017-06-08,913680
2017-06-09,871172
2017-06-10,852734
2017-06-11,878918
2017-06-12,877084
2017-06-13,864764
2017-06-14,853135
2017-06-15,848530
2017-06-16,848374
2017-06-17,864253
2017-06-18,869422
2017-06-19,907224
2017-06-20,948852
2017-06-21,996295
2017-06-22,1038003
2017-06-23,1030277
2017-06-24,996408
2017-06-25,996520
2017-06-26,999500
2017-06-27,978499
