date_obj,Steel%20platelegs%20(t) price
2016-07-06,750000
2016-07-07,750000
2016-07-08,715937
2016-07-09,715937
2016-07-10,715937
2016-07-11,680995
2016-07-12,680995
2016-07-13,680995
2016-07-14,648159
2016-07-15,648159
2016-07-16,648159
2016-07-17,648159
2016-07-18,616424
2016-07-24,586375
2016-07-25,557715
2016-07-26,557715
2016-07-27,557715
2016-07-28,557715
2016-07-29,530376
2016-07-30,530376
2016-07-31,530376
2016-08-01,504818
2016-08-02,504818
2016-08-03,504818
2016-08-04,480112
2016-08-05,480112
2016-08-06,480112
2016-08-07,480112
2016-08-08,480112
2016-08-09,456710
2016-08-10,456710
2016-08-11,456710
2016-08-12,456710
2016-08-13,456710
2016-08-14,434770
2016-08-15,434770
2016-08-16,434770
2016-08-17,434770
2016-08-18,434770
2016-08-19,434770
2016-08-20,413453
2016-08-21,413453
2016-08-22,413453
2016-08-23,413453
2016-08-24,413453
2016-08-25,413453
2016-08-26,413453
2016-08-28,394124
2016-08-31,394124
2016-09-01,394124
2016-09-02,394124
2016-09-03,394124
2016-09-04,375123
2016-09-05,375123
2016-09-06,375123
2016-09-07,375123
2016-09-08,375123
2016-09-09,375123
2016-09-10,375123
2016-09-11,375123
2016-09-12,375123
2016-09-13,375123
2016-09-14,356831
2016-09-15,356831
2016-09-16,356831
2016-09-17,356831
2016-09-18,356831
2016-09-19,356831
2016-09-20,356831
2016-09-21,356831
2016-09-22,356831
2016-09-23,356831
2016-09-24,356831
2016-09-25,339839
2016-09-26,339839
2016-09-27,339839
2016-09-28,339839
2016-09-29,339839
2016-09-30,339839
2016-10-01,339839
2016-10-02,339839
2016-10-03,339839
2016-10-04,339839
2016-10-05,323553
2016-10-06,323553
2016-10-07,323553
2016-10-08,323553
2016-10-09,323553
2016-10-10,323553
2016-10-11,323553
2016-10-12,323553
2016-10-13,323553
2016-10-14,307751
2016-10-15,307751
2016-10-16,307751
2016-10-17,307751
2016-10-18,307751
2016-10-19,307751
2016-10-20,307751
2016-10-21,307751
2016-10-22,307751
2016-10-23,293031
2016-10-24,293031
2016-10-25,293031
2016-10-26,293031
2016-10-27,293031
2016-10-28,293031
2016-10-29,293031
2016-10-30,293031
2016-10-31,34000
2016-11-01,34000
2016-11-02,34000
2016-11-03,34000
2016-11-04,34000
2016-11-05,34000
2016-11-06,34000
2016-11-07,34000
2016-11-08,34000
2016-11-09,34000
2016-11-10,34000
2016-11-11,34000
2016-11-12,34000
2016-11-13,32404
2016-11-14,32404
2016-12-08,29477
2016-12-09,29477
2016-12-10,29477
2016-12-11,29477
2016-12-12,29477
2016-12-13,29477
2016-12-14,29477
2016-12-15,29477
2016-12-16,29477
2016-12-17,28119
2016-12-18,28119
2016-12-19,28119
2016-12-20,28119
2016-12-21,28119
2016-12-22,28119
2016-12-23,28119
2016-12-24,28119
2016-12-25,28119
2016-12-26,28119
2016-12-27,28119
2016-12-28,26935
2016-12-29,26935
2016-12-30,26935
2016-12-31,26935
2017-01-01,26935
2017-01-02,26935
2017-01-03,26935
2017-01-04,26935
2017-01-05,26935
2017-01-06,26935
2017-01-07,26935
2017-01-08,25670
2017-01-09,25670
2017-01-10,25670
2017-01-11,25670
2017-01-12,25670
2017-01-13,25670
2017-01-14,25670
2017-01-15,25670
2017-01-16,25670
2017-01-17,24494
2017-01-18,24494
2017-01-19,24494
2017-01-20,24494
2017-01-21,24494
2017-01-22,24494
2017-01-27,23362
2017-01-28,23362
2017-01-29,23362
2017-01-30,23362
2017-01-31,23362
2017-02-01,23362
2017-02-02,22298
2017-02-03,22298
2017-02-04,22298
2017-02-05,22298
2017-02-06,22298
2017-02-07,22298
2017-02-08,22298
2017-02-09,22298
2017-02-10,21249
2017-02-11,21249
2017-02-12,21249
2017-02-13,21249
2017-02-14,21249
2017-02-15,21249
2017-02-16,21249
2017-02-18,20273
2017-02-19,20273
2017-02-20,20273
2017-02-21,20273
2017-02-22,20273
2017-02-23,20273
2017-02-24,20273
2017-02-25,20273
2017-02-26,19329
2017-02-27,19329
2017-02-28,19329
2017-03-01,19329
2017-03-02,19329
2017-03-03,19329
2017-03-04,19329
2017-03-05,19329
2017-03-06,18444
2017-03-07,18444
2017-03-08,18444
2017-03-09,18444
2017-03-10,18444
2017-03-11,18444
2017-03-12,18444
2017-03-13,18444
2017-03-14,17561
2017-03-15,17561
2017-03-16,17561
2017-03-17,17561
2017-03-18,17561
2017-03-19,17561
2017-03-20,17561
2017-03-21,16710
2017-03-22,16710
2017-03-23,16710
2017-03-24,16710
2017-03-25,16710
2017-03-26,16710
2017-03-27,16710
2017-03-28,16710
2017-03-29,15931
2017-03-30,15931
2017-03-31,15931
2017-04-01,15931
2017-04-02,15931
2017-04-03,15931
2017-04-04,15931
2017-04-12,15167
2017-04-13,15167
2017-04-14,15167
2017-04-15,15167
2017-04-16,14446
