date_obj,Papaya%20sapling price
2015-03-26,11243
2015-03-27,11243
2015-03-28,11243
2015-03-29,11243
2015-03-30,10949
2015-03-31,10949
2015-04-01,10949
2015-04-02,10949
2015-04-03,10408
2015-04-04,10408
2015-04-05,10408
2015-04-06,10408
2015-04-07,9887
2015-04-08,9887
2015-04-09,9887
2015-04-10,9887
2015-04-11,9399
2015-04-12,9399
2015-04-13,9399
2015-04-14,9399
2015-04-15,8944
2015-04-16,8944
2015-04-17,8944
2015-04-18,8944
2015-04-19,8512
2015-04-20,8512
2015-04-21,8512
2015-04-22,8512
2015-04-23,8086
2015-04-24,8086
2015-04-25,8086
2015-04-26,8086
2015-04-27,7681
2015-04-28,7681
2015-04-29,7681
2015-04-30,7681
2015-05-01,7297
2015-05-02,7297
2015-05-03,7297
2015-05-04,7204
2015-05-05,7204
2015-05-06,7204
2015-05-07,7325
2015-05-08,7325
2015-05-09,7325
2015-05-10,7494
2015-05-11,7494
2015-05-12,7494
2015-05-13,7494
2015-05-14,7797
2015-05-15,7797
2015-05-16,7797
2015-05-17,8079
2015-05-18,8079
2015-05-19,8079
2015-05-20,8079
2015-05-21,8182
2015-05-22,8182
2015-05-23,8182
2015-05-24,8495
2015-05-25,8495
2015-05-26,8495
2015-05-27,8624
2015-05-28,8624
2015-05-29,8624
2015-05-30,8432
2015-05-31,8432
2015-06-01,8076
2015-06-02,8076
2015-06-03,8076
2015-06-04,8307
2015-06-05,8307
2015-06-06,8371
2015-06-07,8371
2015-06-08,8371
2015-06-09,8518
2015-06-10,8518
2015-06-11,8906
2015-06-12,8906
2015-06-13,9207
2015-06-14,9207
2015-06-15,9207
2015-06-16,9291
2015-06-17,9291
2015-06-18,9291
2015-06-19,8925
2015-06-20,8925
2015-06-21,8925
2015-06-22,8482
2015-06-23,8482
2015-06-24,8057
2015-06-25,8057
2015-06-26,8057
2015-06-27,7742
2015-06-28,7742
2015-06-29,7700
2015-06-30,7700
2015-07-01,7723
2015-07-02,7723
2015-07-03,7723
2015-07-04,7490
2015-07-05,7490
2015-07-06,7490
2015-07-07,7360
2015-07-08,7360
2015-07-09,7360
2015-07-10,7390
2015-07-11,7390
2015-07-12,7390
2015-07-13,7114
2015-07-14,7114
2015-07-15,6977
2015-07-16,6977
2015-07-17,7159
2015-07-18,7159
2015-07-19,7159
2015-07-20,6920
2015-07-21,6920
2015-07-22,6911
2015-07-23,6911
2015-07-24,6743
2015-07-25,6743
2015-07-26,6743
2015-07-27,6834
2015-07-28,6834
2015-07-29,7084
2015-07-30,7084
2015-07-31,7084
2015-08-01,7405
2015-08-02,7405
2015-08-03,7654
2015-08-04,7654
2015-08-05,7918
2015-08-06,7918
2015-08-07,8103
2015-08-08,8103
2015-08-09,8307
2015-08-10,8307
2015-08-11,8526
2015-08-12,8526
2015-08-13,8526
2015-08-14,8703
2015-08-15,8703
2015-08-16,8703
2015-08-17,9008
2015-08-18,9008
2015-08-19,8856
2015-08-20,8856
2015-08-21,8933
2015-08-22,8933
2015-08-23,8804
2015-08-24,8804
2015-08-25,8826
2015-08-26,8826
2015-08-27,9014
2015-08-28,9014
2015-08-29,9173
2015-08-30,9173
2015-08-31,9091
2015-09-01,9091
2015-09-02,9340
2015-09-03,9340
2015-09-04,9490
2015-09-05,9490
2015-09-06,9490
2015-09-07,9704
2015-09-08,9704
2015-09-09,10071
2015-09-10,10071
2015-09-11,10467
2015-09-12,10467
2015-09-13,10738
2015-09-14,10738
2015-09-15,10869
2015-09-16,10869
2015-09-17,11126
2015-09-18,11126
2015-09-19,11180
2015-09-20,11180
2015-09-21,11250
2015-09-22,11250
2015-09-23,11651
2015-09-24,11651
2015-09-25,11651
2015-09-27,12008
2015-09-28,12317
2015-09-29,12317
2015-09-30,12628
2015-10-05,12609
2015-10-06,12609
2015-10-07,12510
2015-10-08,12510
2015-10-09,11968
2015-10-10,11968
2015-10-11,11369
2015-10-12,11369
2015-10-13,11369
2015-10-14,10925
2015-10-15,10925
2015-10-16,10487
2015-10-17,10487
2015-10-18,10487
2015-10-19,10349
2015-10-20,10349
2015-10-22,10730
2015-10-23,10706
2015-10-24,10706
2015-10-25,10702
2015-10-26,10702
2015-10-27,10702
2015-10-29,10590
2015-10-30,10593
2015-10-31,10593
2015-11-01,10593
2015-11-02,10651
2015-11-03,10651
2015-11-04,10651
2015-11-05,10595
2015-11-06,10595
2015-11-07,10656
2015-11-08,10656
2015-11-09,10656
2015-11-10,11018
2015-11-11,11018
2015-11-12,11099
2015-11-13,11099
2015-11-14,11099
2015-11-15,11544
2015-11-16,11544
2015-11-17,11544
2015-11-18,11332
2015-11-19,11332
2015-11-20,11338
2015-11-21,11338
2015-11-22,11539
2015-11-23,11539
2015-11-24,11539
2015-11-25,11935
2015-11-26,11935
2015-11-27,11935
2015-11-28,12415
2015-11-29,12415
2015-11-30,12824
2015-12-01,12824
2015-12-02,12791
2015-12-03,12791
2015-12-04,13230
2015-12-05,13230
2015-12-06,13690
2015-12-07,13690
2015-12-08,13547
2015-12-09,13588
2015-12-10,13588
2015-12-11,13018
2015-12-12,13018
2015-12-13,12413
2015-12-14,12413
2015-12-15,11800
2015-12-16,11800
2015-12-17,11219
2015-12-18,11219
2015-12-19,10754
2015-12-20,10754
2015-12-21,11087
2015-12-22,11087
2015-12-23,10860
2015-12-24,10860
2015-12-25,10383
2015-12-26,10383
2015-12-27,9971
2015-12-28,9971
2015-12-29,9715
2015-12-30,9715
2015-12-31,10029
2016-01-01,10029
2016-01-02,9958
