date_obj,Desert%20robes price
2015-03-26,312
2015-03-27,312
2015-03-28,312
2015-03-29,312
2015-03-30,312
2015-03-31,312
2015-04-01,312
2015-04-02,312
2015-04-03,312
2015-04-04,312
2015-04-05,312
2015-04-06,312
2015-04-07,312
2015-04-08,312
2015-04-09,312
2015-04-10,312
2015-04-11,312
2015-04-12,321
2015-04-13,321
2015-04-14,321
2015-04-15,321
2015-04-16,321
2015-04-17,321
2015-04-18,321
2015-04-19,321
2015-04-20,321
2015-04-21,321
2015-04-22,321
2015-04-23,321
2015-04-24,321
2015-04-25,321
2015-04-26,321
2015-04-27,321
2015-04-28,321
2015-04-29,321
2015-04-30,321
2015-05-01,321
2015-05-02,321
2015-05-03,334
2015-05-04,334
2015-05-05,334
2015-05-06,334
2015-05-07,334
2015-05-08,334
2015-05-09,334
2015-05-10,334
2015-05-11,334
2015-05-12,334
2015-05-13,334
2015-05-14,334
2015-05-15,334
2015-05-16,334
2015-05-17,334
2015-05-18,334
2015-05-19,334
2015-05-20,334
2015-05-21,334
2015-05-22,334
2015-05-23,334
2015-05-24,334
2015-05-25,342
2015-05-26,342
2015-05-27,342
2015-05-28,342
2015-05-29,342
2015-05-30,342
2015-05-31,342
2015-06-01,342
2015-06-02,342
2015-06-03,342
2015-06-04,342
2015-06-05,342
2015-06-06,342
2015-06-07,342
2015-06-08,352
2015-06-09,352
2015-06-10,352
2015-06-11,352
2015-06-12,352
2015-06-13,352
2015-06-14,352
2015-06-15,352
2015-06-16,352
2015-06-17,352
2015-06-18,352
2015-06-19,352
2015-06-20,352
2015-06-21,352
2015-06-22,352
2015-06-23,367
2015-06-24,367
2015-06-25,367
2015-06-26,367
2015-06-27,367
2015-06-28,367
2015-06-29,367
2015-06-30,367
2015-07-01,367
2015-07-02,367
2015-07-03,367
2015-07-04,367
2015-07-05,367
2015-07-06,367
2015-07-07,381
2015-07-08,381
2015-07-09,381
2015-07-10,381
2015-07-11,381
2015-07-12,381
2015-07-13,381
2015-07-14,381
2015-07-15,381
2015-07-16,381
2015-07-17,381
2015-07-18,381
2015-07-19,381
2015-07-20,381
2015-07-21,398
2015-07-22,398
2015-07-23,398
2015-07-24,398
2015-07-25,398
2015-07-26,398
2015-07-27,398
2015-07-28,398
2015-07-29,398
2015-07-30,398
2015-07-31,398
2015-08-01,398
2015-08-02,412
2015-08-03,412
2015-08-04,412
2015-08-05,412
2015-08-06,412
2015-08-07,412
2015-08-08,412
2015-08-09,412
2015-08-10,412
2015-08-11,412
2015-08-12,428
2015-08-13,428
2015-08-14,428
2015-08-15,428
2015-08-16,428
2015-08-17,428
2015-08-18,428
2015-08-19,428
2015-08-20,428
2015-08-21,428
2015-08-22,448
2015-08-23,448
2015-08-24,448
2015-08-25,448
2015-08-26,448
2015-08-27,448
2015-08-28,448
2015-08-29,448
2015-08-30,448
2015-08-31,448
2015-09-01,448
2015-09-02,448
2015-09-03,468
2015-09-04,468
2015-09-05,468
2015-09-06,468
2015-09-07,468
2015-09-08,468
2015-09-09,468
2015-09-10,468
2015-09-11,468
2015-09-12,468
2015-09-13,477
2015-09-14,477
2015-09-15,477
2015-09-16,477
2015-09-17,477
2015-09-18,477
2015-09-19,477
2015-09-20,477
2015-09-21,477
2015-09-22,477
2015-09-23,477
2015-09-24,477
2015-09-25,477
2015-09-27,492
2015-09-28,492
2015-09-29,492
2015-09-30,492
2015-10-05,492
2015-10-06,492
2015-10-07,492
2015-10-08,492
2015-10-09,492
2015-10-10,492
2015-10-11,492
2015-10-12,492
2015-10-13,492
2015-10-14,492
2015-10-15,492
2015-10-16,492
2015-10-17,492
2015-10-18,492
2015-10-19,488
2015-10-20,488
2015-10-22,488
2015-10-23,488
2015-10-24,488
2015-10-25,488
2015-10-26,488
2015-10-27,488
2015-10-29,488
2015-10-30,486
2015-10-31,486
2015-11-01,486
2015-11-02,486
2015-11-03,486
2015-11-04,486
2015-11-05,486
2015-11-06,486
2015-11-07,486
2015-11-08,486
2015-11-09,486
2015-11-10,486
2015-11-11,486
2015-11-12,486
2015-11-13,486
2015-11-14,486
2015-11-15,486
2015-11-16,486
2015-11-17,486
2015-11-18,486
2015-11-19,486
2015-11-20,486
2015-11-21,486
2015-11-22,496
2015-11-23,496
2015-11-24,496
2015-11-25,496
2015-11-26,496
2015-11-27,496
2015-11-28,496
2015-11-29,496
2015-11-30,496
2015-12-01,496
