date_obj,Unicorn%20horn%20dust price
2015-03-26,869
2015-03-27,869
2015-03-28,899
2015-03-29,899
2015-03-30,896
2015-03-31,896
2015-04-01,877
2015-04-02,877
2015-04-03,917
2015-04-04,917
2015-04-05,958
2015-04-06,958
2015-04-07,992
2015-04-08,992
2015-04-09,992
2015-04-10,1028
2015-04-11,1028
2015-04-12,988
2015-04-13,988
2015-04-14,988
2015-04-15,944
2015-04-16,944
2015-04-17,920
2015-04-18,920
2015-04-19,887
2015-04-20,887
2015-04-21,887
2015-04-22,874
2015-04-23,874
2015-04-24,854
2015-04-25,854
2015-04-26,854
2015-04-27,833
2015-04-28,833
2015-04-29,833
2015-04-30,818
2015-05-01,818
2015-05-02,796
2015-05-03,796
2015-05-04,796
2015-05-05,765
2015-05-06,765
2015-05-07,740
2015-05-08,740
2015-05-09,740
2015-05-10,711
2015-05-11,711
2015-05-12,711
2015-05-13,687
2015-05-14,687
2015-05-15,687
2015-05-16,660
2015-05-17,660
2015-05-18,641
2015-05-19,641
2015-05-20,641
2015-05-21,641
2015-05-22,624
2015-05-23,624
2015-05-24,624
2015-05-25,601
2015-05-26,601
2015-05-27,601
2015-05-28,579
2015-05-29,579
2015-05-30,565
2015-05-31,565
2015-06-01,538
2015-06-02,538
2015-06-03,538
2015-06-04,513
2015-06-05,513
2015-06-06,490
2015-06-07,490
2015-06-08,490
2015-06-09,465
2015-06-10,465
2015-06-11,465
2015-06-12,467
2015-06-13,467
2015-06-14,488
2015-06-15,488
2015-06-16,511
2015-06-17,511
2015-06-18,534
2015-06-19,534
2015-06-20,556
2015-06-21,556
2015-06-22,556
2015-06-23,578
2015-06-24,578
2015-06-25,578
2015-06-26,592
2015-06-27,592
2015-06-28,592
2015-06-29,570
2015-06-30,570
2015-07-01,570
2015-07-02,591
2015-07-03,591
2015-07-04,617
2015-07-05,617
2015-07-06,617
2015-07-07,646
2015-07-08,646
2015-07-09,646
2015-07-10,677
2015-07-11,677
2015-07-12,677
2015-07-13,710
2015-07-14,710
2015-07-15,743
2015-07-16,743
2015-07-17,779
2015-07-18,779
2015-07-19,779
2015-07-20,815
2015-07-21,815
2015-07-22,824
2015-07-23,824
2015-07-24,824
2015-07-25,824
2015-07-26,824
2015-07-27,824
2015-07-28,850
2015-07-29,850
2015-07-30,882
2015-07-31,882
2015-08-01,882
2015-08-02,915
2015-08-03,915
2015-08-04,915
2015-08-05,931
2015-08-06,931
2015-08-07,931
2015-08-08,908
2015-08-09,908
2015-08-10,930
2015-08-11,930
2015-08-12,930
2015-08-13,930
2015-08-14,961
2015-08-15,961
2015-08-16,961
2015-08-17,961
2015-08-18,963
2015-08-19,963
2015-08-20,963
2015-08-21,945
2015-08-22,945
2015-08-23,945
2015-08-24,908
2015-08-25,908
2015-08-26,908
2015-08-27,908
2015-08-28,890
2015-08-29,890
2015-08-30,890
2015-08-31,873
2015-09-01,873
2015-09-02,873
2015-09-03,873
2015-09-04,874
2015-09-05,874
2015-09-06,874
2015-09-07,874
2015-09-08,898
2015-09-09,898
2015-09-10,898
2015-09-11,884
2015-09-12,884
2015-09-13,884
2015-09-14,884
2015-09-15,882
2015-09-16,882
2015-09-17,882
2015-09-18,882
2015-09-19,875
2015-09-20,875
2015-09-21,875
2015-09-22,875
2015-09-23,872
2015-09-24,872
2015-09-25,872
2015-09-27,901
2015-09-28,901
2015-09-29,901
2015-09-30,915
2015-10-05,911
2015-10-06,911
2015-10-07,911
2015-10-08,941
2015-10-09,941
2015-10-10,941
2015-10-11,981
2015-10-12,981
2015-10-13,981
2015-10-14,981
2015-10-15,1027
2015-10-16,1027
2015-10-17,1027
2015-10-18,1027
2015-10-19,1054
2015-10-20,1054
2015-10-22,1054
2015-10-23,1009
2015-10-24,1009
2015-10-25,1009
2015-10-26,1000
2015-10-27,1000
2015-10-29,1000
2015-10-30,1005
2015-10-31,1005
2015-11-01,1005
2015-11-02,1005
2015-11-03,996
2015-11-04,996
2015-11-05,996
2015-11-06,996
2015-11-07,1026
2015-11-08,1026
2015-11-09,1026
2015-11-10,1026
2015-11-11,1066
2015-11-12,1066
2015-11-13,1066
2015-11-14,1066
2015-11-15,1106
2015-11-16,1106
2015-11-17,1106
2015-11-18,1106
2015-11-19,1142
2015-11-20,1142
2015-11-21,1142
2015-11-22,1189
2015-11-23,1189
2015-11-24,1189
2015-11-25,1224
2015-11-26,1224
2015-11-27,1224
2015-11-28,1224
2015-11-29,1260
2015-11-30,1260
2015-12-01,1260
2015-12-02,1287
2015-12-03,1287
2015-12-04,1287
2015-12-05,1287
2015-12-06,1336
2015-12-07,1336
2015-12-08,1336
2015-12-09,1343
2015-12-10,1343
2015-12-11,1343
2015-12-13,1337
2015-12-14,1337
2015-12-15,1273
2015-12-16,1273
2015-12-17,1273
2015-12-18,1237
2015-12-19,1237
2015-12-20,1237
2015-12-21,1185
2015-12-22,1185
2015-12-23,1185
2015-12-24,1161
2015-12-25,1161
2015-12-26,1161
2015-12-27,1148
2015-12-28,1148
2015-12-29,1148
2015-12-30,1105
2015-12-31,1105
2016-01-01,1105
2016-01-02,1106
2016-01-03,1106
2016-01-04,1106
2016-01-05,1106
2016-01-06,1106
2016-01-07,1157
2016-01-08,1157
2016-01-09,1157
2016-01-10,1127
2016-01-11,1127
2016-01-12,1123
2016-01-13,1123
2016-01-14,1123
2016-01-15,1111
2016-01-16,1111
2016-01-17,1111
2016-01-18,1074
2016-01-19,1074
2016-01-20,1074
2016-01-21,1048
2016-01-22,1048
2016-01-23,1048
2016-01-24,1020
2016-01-25,1020
2016-01-26,1020
2016-01-27,998
2016-01-28,998
2016-01-29,998
2016-01-30,992
2016-01-31,992
2016-02-01,985
2016-02-02,985
2016-02-03,985
2016-02-04,990
2016-02-05,990
2016-02-06,1023
2016-02-07,1023
2016-02-08,1023
2016-02-09,1023
2016-02-10,1023
2016-02-11,1023
2016-02-12,985
2016-02-13,985
2016-02-14,985
2016-02-15,992
2016-02-16,992
2016-02-17,992
2016-02-18,1000
2016-02-19,1000
2016-02-20,1000
2016-02-21,1027
2016-02-22,1027
2016-02-23,1027
2016-02-24,1006
2016-02-25,1006
2016-02-26,1006
2016-02-27,1037
2016-02-28,1037
2016-02-29,1037
2016-03-01,1072
2016-03-02,1072
2016-03-03,1072
2016-03-04,1038
2016-03-05,1038
2016-03-06,993
2016-03-07,993
2016-03-08,993
2016-03-09,979
2016-03-10,979
2016-03-11,979
2016-03-12,989
2016-03-13,989
2016-03-14,989
2016-03-15,1003
2016-03-16,1003
2016-03-17,1003
2016-03-18,1007
2016-03-19,1007
2016-03-20,1007
2016-03-21,1016
2016-03-22,1016
2016-03-23,1016
2016-03-24,1010
2016-03-25,1010
2016-03-26,1010
2016-03-27,1045
2016-03-28,1045
2016-03-29,1097
2016-03-30,1097
2016-03-31,1097
2016-04-01,1142
2016-04-02,1142
2016-04-03,1116
2016-04-04,1116
2016-04-05,1116
2016-04-06,1100
2016-04-07,1100
2016-04-08,1100
2016-04-09,1143
2016-04-10,1143
2016-04-11,1143
2016-04-12,1164
2016-04-13,1164
2016-04-14,1164
2016-04-15,1142
2016-04-16,1142
2016-04-17,1142
2016-04-18,1124
2016-04-19,1124
2016-04-20,1124
2016-04-21,1080
2016-04-22,1080
2016-04-23,1080
2016-04-24,1029
2016-04-25,1029
2016-04-26,997
2016-04-27,997
2016-04-28,997
2016-04-29,976
2016-04-30,976
2016-05-01,976
2016-05-02,947
2016-05-03,947
2016-05-04,947
2016-05-05,945
2016-05-06,945
2016-05-07,945
2016-05-08,938
2016-05-09,938
2016-05-10,958
2016-05-11,958
2016-05-12,958
2016-05-13,938
2016-05-14,938
2016-05-15,943
2016-05-16,943
2016-05-17,943
2016-05-18,969
2016-05-19,969
2016-05-22,1013
2016-05-23,1057
2016-05-24,1057
2016-05-25,1057
2016-05-26,1052
2016-05-27,1052
2016-05-28,1052
2016-05-29,1035
2016-05-30,1035
2016-05-31,1035
2016-06-01,1067
2016-06-02,1067
2016-06-03,1067
2016-06-04,1069
2016-06-05,1069
2016-06-06,1090
2016-06-07,1090
2016-06-08,1090
2016-06-09,1087
2016-06-10,1087
2016-06-11,1067
2016-06-12,1067
2016-06-13,1032
2016-06-14,1032
2016-06-15,1027
2016-06-16,1027
2016-06-17,1005
2016-06-18,1005
2016-06-19,975
2016-06-20,975
2016-06-21,953
2016-06-22,953
2016-06-23,951
2016-06-24,951
2016-06-25,980
2016-06-26,980
2016-06-27,980
2016-06-28,1000
2016-06-29,1000
2016-06-30,1026
2016-07-01,1026
2016-07-02,1027
2016-07-03,1027
2016-07-04,1012
2016-07-05,1012
2016-07-06,1012
2016-07-07,975
2016-07-08,975
