date_obj,Rune%20gold-trimmed%20set%20(sk) price
2015-03-26,395000
2015-03-27,395000
2015-03-28,395000
2015-03-29,395000
2015-03-30,395000
2015-03-31,395000
2015-04-01,395000
2015-04-02,395000
2015-04-03,395000
2015-04-04,395000
2015-04-05,395000
2015-04-06,391826
2015-04-07,391826
2015-04-08,391826
2015-04-09,391826
2015-04-10,391826
2015-04-11,391826
2015-04-12,391826
2015-04-13,391826
2015-04-14,391826
2015-04-15,391826
2015-04-16,391826
2015-04-17,391826
2015-04-18,391826
2015-04-19,391826
2015-04-20,391826
2015-04-21,391826
2015-04-22,391826
2015-04-23,391826
2015-04-24,391826
2015-04-25,391826
2015-04-26,391826
2015-04-27,391826
2015-04-28,391826
2015-04-29,391826
2015-04-30,391826
2015-05-01,391826
2015-05-02,391826
2015-05-03,391826
2015-05-04,391826
2015-05-05,391826
2015-05-06,391826
2015-05-07,391826
2015-05-08,391826
2015-05-09,391826
2015-05-10,391826
2015-05-11,391826
2015-05-12,391826
2015-05-13,391826
2015-05-14,391826
2015-05-15,391826
2015-05-16,391826
2015-05-17,391826
2015-05-18,391826
2015-05-19,391826
2015-05-20,391826
2015-05-21,391826
2015-05-22,391826
2015-05-23,391826
2015-05-24,391826
2015-05-25,391826
2015-05-26,391826
2015-05-27,391826
2015-05-28,374904
2015-05-29,374904
2015-05-30,374904
2015-05-31,374904
2015-06-01,374904
2015-06-02,374904
2015-06-03,374904
2015-06-04,374904
2015-06-05,374904
2015-06-06,374904
2015-06-07,374904
2015-06-08,374904
2015-06-09,374904
2015-06-10,374904
2015-06-11,374904
2015-06-12,374904
2015-06-13,374904
2015-06-14,374904
2015-06-15,374904
2015-06-16,374904
2015-06-17,374904
2015-06-18,374904
2015-06-19,374904
2015-06-20,374904
2015-06-21,374904
2015-06-22,374904
2015-06-23,374904
2015-06-24,360555
2015-06-25,360555
2015-06-26,360555
2015-06-27,360555
2015-06-28,360555
2015-06-29,360555
2015-06-30,360555
2015-07-01,360555
2015-07-02,360555
2015-07-03,360555
2015-07-04,360555
2015-07-05,360555
2015-07-06,360555
2015-07-07,360555
2015-07-08,360555
2015-07-09,360555
2015-07-10,360555
2015-07-11,360555
2015-07-12,360555
2015-07-13,360555
2015-07-14,360555
2015-07-15,360555
2015-07-16,360555
2015-07-17,360555
2015-07-18,360555
2015-07-19,360555
2015-07-20,360555
2015-07-21,360555
2015-07-22,360555
2015-07-23,345130
2015-07-24,345130
2015-07-25,345130
2015-07-26,345130
2015-07-27,345130
2015-07-28,345130
2015-07-29,345130
2015-07-30,345130
2015-07-31,345130
2015-08-01,345130
2015-08-02,345130
2015-08-03,345130
2015-08-04,345130
2015-08-05,345130
2015-08-06,345130
2015-08-07,345130
2015-08-08,345130
2015-08-09,345130
2015-08-10,345130
2015-08-11,345130
2015-08-12,345130
2015-08-13,345130
2015-08-14,345130
2015-08-15,328744
2015-08-16,328744
2015-08-17,328744
2015-08-18,328744
2015-08-19,328744
2015-08-20,328744
2015-08-21,328744
2015-08-22,328744
2015-08-23,328744
2015-08-24,328744
2015-08-25,328744
2015-08-26,328744
2015-08-27,328744
2015-08-28,328744
2015-08-29,328744
2015-08-30,328744
2015-08-31,328744
2015-09-01,328744
2015-09-02,328744
2015-09-03,328744
2015-09-04,328744
2015-09-05,328744
2015-09-06,328744
2015-09-07,328744
2015-09-08,316900
2015-09-09,316900
2015-09-10,316900
2015-09-11,316900
2015-09-12,316900
2015-09-13,316900
2015-09-14,316900
2015-09-15,316900
2015-09-16,316900
2015-09-17,316900
2015-09-18,316900
2015-09-19,316900
2015-09-20,316900
2015-09-21,316900
2015-09-22,316900
2015-09-23,316900
2015-09-24,316900
2015-09-25,316900
2015-09-27,316900
2015-09-28,316900
2015-09-29,316900
2015-09-30,316900
2015-10-05,304584
2015-10-06,304584
2015-10-07,304584
2015-10-08,304584
2015-10-09,304584
2015-10-10,304584
2015-10-11,304584
2015-10-12,304584
2015-10-13,304584
2015-10-14,304584
2015-10-15,304584
2015-10-16,304584
2015-10-17,304584
2015-10-18,304584
2015-10-19,304584
2015-10-20,304584
2015-10-22,304584
2015-10-23,304584
2015-10-24,304584
2015-10-25,304584
2015-10-26,301870
2015-10-27,301870
2015-10-29,301870
2015-10-30,301870
2015-10-31,301870
2015-11-01,301870
2015-11-02,301870
2015-11-03,301870
2015-11-04,301870
2015-11-05,301870
2015-11-06,301870
2015-11-07,301870
2015-11-08,301870
2015-11-09,301870
2015-11-10,301870
2015-11-11,301870
2015-11-12,301870
2015-11-13,301870
2015-11-14,301870
2015-11-15,301870
2015-11-16,301870
2015-11-17,301870
2015-11-18,301870
2015-11-19,290637
2015-11-20,290637
2015-11-21,290637
2015-11-22,290637
2015-11-23,290637
2015-11-24,290637
2015-11-25,290637
2015-11-26,290637
2015-11-27,290637
2015-11-28,290637
2015-11-29,290637
2015-11-30,290637
2015-12-01,290637
2015-12-02,290637
2015-12-03,290637
2015-12-04,290637
2015-12-05,290637
2015-12-06,290637
2015-12-07,290637
2015-12-08,290637
2015-12-09,283523
2015-12-10,283523
2015-12-11,283523
2015-12-12,283523
2015-12-13,283523
2015-12-14,283523
2015-12-15,283523
2015-12-16,283523
2015-12-17,283523
2015-12-18,283523
2015-12-19,283523
2015-12-20,283523
2015-12-21,283523
2015-12-22,283523
2015-12-23,283523
2015-12-24,283523
2015-12-25,283523
2015-12-26,283523
2015-12-27,283236
2015-12-28,283236
2015-12-29,283236
2015-12-30,283236
2015-12-31,283236
2016-01-01,283236
2016-01-02,283236
2016-01-03,283236
2016-01-04,283236
2016-01-05,283236
2016-01-06,283236
2016-01-07,283236
2016-01-08,283236
2016-01-09,283236
2016-01-10,283236
2016-01-11,283236
2016-01-12,283236
2016-01-13,283236
2016-01-14,283236
2016-01-15,283236
2016-01-16,283236
2016-01-17,279937
2016-01-18,279937
2016-01-19,279937
2016-01-20,279937
