date_obj,Rune%20sword price
2015-03-26,12962
2015-03-27,12962
2015-03-28,12807
2015-03-29,12807
2015-03-30,12945
2015-03-31,12945
2015-04-01,12945
2015-04-02,13044
2015-04-03,13044
2015-04-04,12982
2015-04-05,12982
2015-04-06,12982
2015-04-07,12934
2015-04-08,12934
2015-04-09,12934
2015-04-10,13255
2015-04-11,13255
2015-04-12,13373
2015-04-13,13373
2015-04-14,13373
2015-04-15,13313
2015-04-16,13313
2015-04-17,13313
2015-04-18,13176
2015-04-19,13176
2015-04-20,13176
2015-04-21,13067
2015-04-22,13067
2015-04-23,13067
2015-04-24,13155
2015-04-25,13155
2015-04-26,13155
2015-04-27,13313
2015-04-28,13313
2015-04-29,13313
2015-04-30,12978
2015-05-01,12978
2015-05-02,12986
2015-05-03,12986
2015-05-04,12986
2015-05-05,12840
2015-05-06,12840
2015-05-07,12826
2015-05-08,12826
2015-05-09,12826
2015-05-10,12808
2015-05-11,12808
2015-05-12,12808
2015-05-13,13010
2015-05-14,13010
2015-05-15,13010
2015-05-16,13002
2015-05-17,13002
2015-05-18,12936
2015-05-19,12936
2015-05-20,12936
2015-05-21,12936
2015-05-22,13210
2015-05-23,13210
2015-05-24,13210
2015-05-25,13160
2015-05-26,13160
2015-05-27,13160
2015-05-28,13108
2015-05-29,13108
2015-05-30,12935
2015-05-31,12935
2015-06-01,12933
2015-06-02,12933
2015-06-03,13232
2015-06-04,13232
2015-06-05,12990
2015-06-06,12990
2015-06-07,12828
2015-06-08,12828
2015-06-09,13043
2015-06-10,13043
2015-06-11,12991
2015-06-12,12991
2015-06-13,12447
2015-06-14,12447
2015-06-15,12151
2015-06-16,12151
2015-06-17,12411
2015-06-18,12411
2015-06-19,12747
2015-06-20,12747
2015-06-21,12536
2015-06-22,12536
2015-06-23,12572
2015-06-24,12572
2015-06-25,12839
2015-06-26,12839
2015-06-27,13091
2015-06-28,13091
2015-06-29,13014
2015-06-30,13014
2015-07-01,13130
2015-07-02,13130
2015-07-03,13193
2015-07-04,13193
2015-07-05,13193
2015-07-06,13184
2015-07-07,13184
2015-07-08,13179
2015-07-09,13179
2015-07-10,13386
2015-07-11,13386
2015-07-12,13234
2015-07-13,13234
2015-07-14,13239
2015-07-15,13239
2015-07-16,13169
2015-07-17,13169
2015-07-18,13255
2015-07-19,13255
2015-07-20,13317
2015-07-21,13317
2015-07-22,13420
2015-07-23,13420
2015-07-24,13178
2015-07-25,13178
2015-07-26,13374
2015-07-27,13374
2015-07-28,12944
2015-07-29,12896
2015-07-30,12896
2015-07-31,12896
2015-08-01,12788
2015-08-02,12788
2015-08-03,12907
2015-08-04,12907
2015-08-05,13242
2015-08-06,13242
2015-08-07,13526
2015-08-08,13526
2015-08-09,13342
2015-08-10,13342
2015-08-11,13087
2015-08-12,13087
2015-08-13,13087
2015-08-14,12897
2015-08-15,12897
2015-08-16,12986
2015-08-17,12986
2015-08-18,12848
2015-08-19,12848
2015-08-20,12457
2015-08-21,12457
2015-08-22,12880
2015-08-23,12880
2015-08-24,12905
2015-08-25,12905
2015-08-26,12905
2015-08-27,13110
2015-08-28,13110
2015-08-29,12970
2015-08-30,12970
2015-08-31,12845
2015-09-01,12845
2015-09-02,13008
2015-09-03,13008
2015-09-04,13124
2015-09-05,13124
2015-09-06,13124
2015-09-07,13346
2015-09-08,13346
2015-09-09,13426
2015-09-10,13426
2015-09-11,13721
2015-09-12,13721
2015-09-13,13639
2015-09-14,13639
2015-09-15,13478
2015-09-16,13478
2015-09-17,13419
2015-09-18,13419
2015-09-19,13415
2015-09-20,13415
2015-09-21,13223
2015-09-22,13223
2015-09-23,12803
2015-09-24,12803
2015-09-25,12803
2015-09-27,12804
2015-09-28,12749
2015-09-29,12749
2015-09-30,12773
2015-10-05,12309
2015-10-06,12326
2015-10-07,12326
2015-10-08,12418
2015-10-09,12484
2015-10-10,12484
2015-10-11,12407
2015-10-12,12407
2015-10-13,12455
2015-10-14,12455
2015-10-15,12576
2015-10-16,12668
2015-10-17,12668
2015-10-18,12823
2015-10-19,12929
2015-10-20,12854
2015-10-22,13032
2015-10-23,13131
2015-10-24,13131
2015-10-25,13212
2015-10-26,13212
2015-10-27,13261
2015-10-29,13312
2015-10-30,13312
2015-10-31,13136
2015-11-01,13136
2015-11-02,13074
2015-11-03,13074
2015-11-04,13106
2015-11-05,13106
2015-11-06,13062
2015-11-07,13062
2015-11-08,13314
2015-11-09,13314
2015-11-10,13356
2015-11-11,13356
2015-11-12,13279
2015-11-13,13279
2015-11-14,13027
2015-11-15,13027
2015-11-16,13063
2015-11-17,13063
2015-11-18,13063
2015-11-19,13179
2015-11-20,13179
2015-11-21,13296
2015-11-22,13244
2015-11-23,13244
2015-11-24,13244
2015-11-25,13036
2015-11-26,13036
2015-11-27,12970
2015-11-28,12970
2015-11-29,13195
2015-11-30,13195
2015-12-01,13153
2015-12-02,13153
2015-12-03,13252
2015-12-04,13252
2015-12-05,13370
2015-12-06,13370
2015-12-07,13086
2015-12-08,13086
2015-12-09,13132
2015-12-10,13132
2015-12-11,12911
2015-12-12,12911
2015-12-13,12946
2015-12-14,12946
2015-12-15,13214
2015-12-16,13214
2015-12-17,13250
2015-12-18,13250
2015-12-19,13266
2015-12-20,13266
2015-12-21,13319
2015-12-22,13319
2015-12-23,13499
2015-12-24,13499
2015-12-25,13567
2015-12-26,13567
2015-12-27,13302
2015-12-28,13302
2015-12-29,13244
2015-12-30,13244
2015-12-31,13339
2016-01-01,13339
2016-01-02,13261
2016-01-03,13261
2016-01-04,13327
2016-01-05,13327
2016-01-06,13292
2016-01-07,13292
2016-01-08,13026
2016-01-09,13026
2016-01-10,13125
2016-01-11,13125
2016-01-12,13190
2016-01-13,13190
2016-01-14,13161
2016-01-15,13161
2016-01-16,12893
2016-01-17,12893
2016-01-18,12903
2016-01-19,12903
2016-01-20,12759
2016-01-21,12759
2016-01-22,12857
2016-01-23,12857
2016-01-24,12761
2016-01-25,12653
2016-01-26,12653
2016-01-27,12824
2016-01-28,12824
2016-01-29,12930
2016-01-30,12930
2016-01-31,12613
2016-02-01,12613
2016-02-02,12726
2016-02-03,12726
2016-02-04,12822
2016-02-05,12822
2016-02-06,12731
2016-02-07,12731
2016-02-08,12842
2016-02-09,12842
2016-02-10,12769
2016-02-11,12769
2016-02-12,12800
2016-02-13,12710
2016-02-14,12710
2016-02-15,12532
2016-02-16,12532
2016-02-17,12470
2016-02-18,12470
2016-02-19,12510
2016-02-20,12510
2016-02-21,12554
2016-02-22,12554
2016-02-23,12766
2016-02-24,12766
2016-02-25,12585
2016-02-26,12585
2016-02-27,12685
2016-02-28,12685
2016-02-29,12746
2016-03-01,12746
2016-03-02,12778
2016-03-03,12778
2016-03-04,12898
2016-03-05,12898
2016-03-06,12866
2016-03-07,12866
2016-03-08,12998
2016-03-09,12998
2016-03-10,12950
2016-03-11,12950
2016-03-12,12595
2016-03-13,12595
2016-03-14,12508
2016-03-15,12508
2016-03-16,12670
2016-03-17,12670
2016-03-18,12798
2016-03-19,12798
2016-03-20,12970
