date_obj,Ring%20of%20life price
2019-04-04,1915
2019-04-05,1968
2019-04-06,1949
2019-04-07,2015
2019-04-08,1947
2019-04-09,1951
2019-04-10,1932
2019-04-11,1905
2019-04-12,1909
2019-04-13,1910
2019-04-14,1946
2019-04-15,1922
2019-04-16,1914
2019-04-17,1912
2019-04-18,1913
2019-04-19,1914
2019-04-20,1922
2019-04-21,1920
2019-04-22,1938
2019-04-23,1961
2019-04-24,1937
2019-04-25,1929
2019-04-26,1927
2019-04-27,1912
2019-04-28,1905
2019-04-29,1947
2019-04-30,1923
2019-05-01,1917
2019-05-02,1911
2019-05-03,1922
2019-05-04,1929
2019-05-05,1925
2019-05-06,1916
2019-05-07,1956
2019-05-08,1976
2019-05-09,1926
2019-05-10,1947
2019-05-11,1930
2019-05-12,1934
2019-05-13,1933
2019-05-14,1944
2019-05-15,1940
2019-05-16,1925
2019-05-17,1929
2019-05-18,1927
2019-05-19,1923
2019-05-20,1919
2019-05-21,1928
2019-05-22,1925
2019-05-23,1941
2019-05-24,1919
2019-05-25,1940
2019-05-26,1911
2019-05-27,1945
2019-05-28,1975
2019-05-29,1969
2019-05-30,1939
2019-05-31,1981
2019-06-01,1955
2019-06-02,1951
2019-06-03,1952
2019-06-04,1932
2019-06-05,1932
2019-06-06,1929
2019-06-07,1948
2019-06-08,1930
2019-06-09,1932
2019-06-10,1931
2019-06-11,1920
2019-06-12,1925
2019-06-13,1914
2019-06-14,1926
2019-06-15,1895
2019-06-16,1903
2019-06-17,1941
2019-06-18,1947
2019-06-19,1985
2019-06-20,1979
2019-06-21,1919
2019-06-22,1897
2019-06-23,1924
2019-06-24,1915
2019-06-25,1938
2019-06-26,1934
2019-06-27,1917
2019-06-28,1949
2019-06-29,1925
2019-06-30,1927
2019-07-01,1943
2019-07-02,1960
2019-07-03,1944
2019-07-04,1931
2019-07-05,1943
2019-07-06,1978
2019-07-07,2017
2019-07-08,1946
2019-07-09,1950
2019-07-10,2018
2019-07-11,1938
2019-07-12,1969
2019-07-13,1955
2019-07-14,1958
2019-07-15,1986
2019-07-16,1927
2019-07-17,1914
2019-07-18,1929
2019-07-19,1899
2019-07-20,1898
2019-07-21,1902
2019-07-22,1911
2019-07-23,1959
2019-07-24,1919
2019-07-25,1899
2019-07-26,1900
2019-07-27,1904
2019-07-28,1903
2019-07-29,1910
2019-07-30,1898
2019-07-31,1913
2019-08-01,1911
2019-08-02,1897
2019-08-03,1893
2019-08-04,1929
2019-08-05,1899
2019-08-06,1903
2019-08-07,1895
2019-08-08,1898
2019-08-09,1898
2019-08-10,1899
2019-08-11,1907
2019-08-12,1935
2019-08-13,1977
2019-08-14,1913
2019-08-15,1905
2019-08-16,1951
2019-08-17,1925
2019-08-18,1945
2019-08-19,2029
2019-08-20,2027
2019-08-21,2042
2019-08-22,2015
2019-08-23,1932
2019-08-24,1907
2019-08-24,1907
2019-08-25,1892
2019-08-25,1892
2019-08-26,1907
2019-08-26,1907
2019-08-27,1894
2019-08-27,1894
2019-08-28,1894
2019-08-29,1910
2019-08-30,1917
2019-08-31,1936
2019-09-01,1885
2019-09-02,1906
2019-09-03,1911
2019-09-04,1918
2019-09-05,1920
2019-09-06,1917
2019-09-07,1907
2019-09-08,1945
2019-09-09,1981
2019-09-10,1918
2019-09-11,1945
2019-09-12,2008
2019-09-13,1935
2019-09-14,1959
2019-09-15,1984
2019-09-16,1998
2019-09-17,1996
2019-09-18,1918
2019-09-19,1864
2019-09-20,1884
2019-09-21,1923
2019-09-22,1911
2019-09-23,1906
2019-09-24,1899
2019-09-25,1905
2019-09-26,1897
2019-09-27,1901
2019-09-28,1923
2019-09-29,1927
2019-09-30,1938
2019-10-01,1932
2019-10-02,1925
2019-10-03,1891
2019-10-04,1876
2019-10-05,1850
2019-10-06,1864
2019-10-07,1887
2019-10-08,1917
2019-10-09,1889
2019-10-10,1879
2019-10-11,1862
2019-10-12,1823
2019-10-13,1888
2019-10-14,1919
2019-10-15,1910
2019-10-16,1917
2019-10-17,1864
2019-10-18,1929
2019-10-19,1913
2019-10-20,1890
2019-10-21,1900
2019-10-22,1917
2019-10-23,1909
2019-10-24,1902
2019-10-25,1895
2019-10-26,1885
2019-10-27,1872
2019-10-28,1884
2019-10-29,1880
2019-10-30,1888
2019-10-31,1888
2019-11-01,1884
2019-11-02,1875
2019-11-03,1879
2019-11-04,1887
2019-11-05,1886
2019-11-06,1877
2019-11-07,1867
2019-11-08,1874
2019-11-09,1855
2019-11-10,1852
2019-11-11,1885
2019-11-12,1903
2019-11-13,1884
2019-11-14,1903
2019-11-15,1873
2019-11-16,1885
2019-11-17,1888
2019-11-18,1892
2019-11-19,1862
2019-11-20,1837
2019-11-21,1820
2019-11-22,1843
2019-11-23,1858
2019-11-24,1873
2019-11-25,1856
2019-11-26,1862
2019-11-27,1945
2019-11-28,1949
2019-11-29,1926
2019-11-30,1897
2019-12-01,1872
2019-12-02,1894
2019-12-03,1901
2019-12-04,1898
2019-12-05,1870
2019-12-06,1936
2019-12-07,1889
2019-12-08,1833
2019-12-09,1869
2019-12-10,1936
2019-12-11,2022
2019-12-12,1940
2019-12-13,1933
2019-12-14,1920
2019-12-15,1919
2019-12-16,1903
2019-12-17,1890
2019-12-18,1911
2019-12-19,1868
2019-12-20,1899
2019-12-21,1890
2019-12-22,1928
2019-12-23,1909
2019-12-24,1909
2019-12-25,1905
2019-12-26,1975
2019-12-27,1974
2019-12-28,1901
2019-12-29,1874
2019-12-30,1938
2019-12-31,1954
2020-01-01,1897
2020-01-02,1888
2020-01-03,1874
2020-01-04,1936
2020-01-05,1932
2020-01-06,1882
2020-01-07,1882
2020-01-08,1927
2020-01-09,1950
2020-01-10,2026
2020-01-11,1945
2020-01-12,1892
2020-01-13,1857
2020-01-14,1901
2020-01-15,1895
2020-01-16,1904
2020-01-17,1894
2020-01-18,1884
2020-01-19,1895
2020-01-20,1877
2020-01-21,1865
2020-01-22,1868
2020-01-23,1863
2020-01-24,1862
2020-01-25,1913
2020-01-26,1904
2020-01-27,1881
2020-01-28,1869
2020-01-29,1876
2020-01-30,1877
2020-01-31,1945
2020-02-01,1892
2020-02-02,1892
2020-02-03,1904
2020-02-04,1894
2020-02-05,1877
2020-02-06,1866
2020-02-07,1832
2020-02-08,1883
2020-02-09,1876
2020-02-10,1841
2020-02-11,1897
2020-02-12,1930
2020-02-13,1901
2020-02-14,1885
2020-02-15,1852
2020-02-16,1865
2020-02-17,1939
2020-02-18,1927
2020-02-19,1883
2020-02-20,1936
2020-02-21,2031
2020-02-22,2120
2020-02-23,2113
2020-02-24,2008
2020-02-25,1988
2020-02-26,1954
2020-02-27,1983
2020-02-28,1888
2020-02-29,1912
2020-03-01,1868
2020-03-02,1883
2020-03-03,1870
2020-03-04,1857
2020-03-05,1894
2020-03-06,1948
2020-03-07,1987
2020-03-08,1918
2020-03-09,1868
2020-03-10,1889
2020-03-11,1873
2020-03-12,1888
2020-03-13,1951
2020-03-14,1982
2020-03-15,1992
2020-03-16,1947
2020-03-17,1886
2020-03-18,1865
2020-03-19,1900
2020-03-20,1923
2020-03-21,1966
2020-03-22,1974
2020-03-23,1915
2020-03-24,1893
2020-03-25,1860
2020-03-26,1870
2020-03-27,1881
2020-03-28,1901
2020-03-29,1914
2020-03-30,1892
2020-03-31,1931
2020-04-01,1936
2020-04-02,1925
2020-04-03,1857
2020-04-04,1911
2020-04-05,1923
2020-04-06,1892
2020-04-07,1945
2020-04-08,1914
2020-04-09,1910
2020-04-10,1891
2020-04-11,1882
2020-04-12,1860
2020-04-13,1893
2020-04-14,1908
2020-04-15,1877
2020-04-16,1870
2020-04-17,1902
2020-04-18,1908
2020-04-19,1902
2020-04-20,1910
2020-04-21,1879
2020-04-22,1881
2020-04-23,1868
2020-04-24,1887
2020-04-25,1887
2020-04-26,1883
2020-04-27,1915
2020-04-28,1913
2020-04-29,1929
2020-04-30,1920
2020-05-01,1911
2020-05-02,1902
2020-05-03,1896
2020-05-04,1895
2020-05-05,1897
2020-05-06,1898
2020-05-07,1902
2020-05-08,1902
2020-05-09,1931
2020-05-10,1944
2020-05-11,1908
2020-05-12,1901
2020-05-13,1894
