date_obj,Ring%20of%20life price
2016-02-14,1931
2016-02-15,1907
2016-02-16,1976
2016-02-17,1971
2016-02-18,2008
2016-02-19,2106
2016-02-20,2110
2016-02-21,2068
2016-02-22,2038
2016-02-23,2069
2016-02-24,2000
2016-02-25,1963
2016-02-26,1998
2016-02-27,1961
2016-02-28,2033
2016-02-29,2067
2016-03-01,2062
2016-03-02,2067
2016-03-03,2058
2016-03-04,2013
2016-03-05,1915
2016-03-06,1984
2016-03-07,1962
2016-03-08,2040
2016-03-09,2142
2016-03-10,2151
2016-03-11,2110
2016-03-12,2136
2016-03-13,2134
2016-03-14,2129
2016-03-15,2076
2016-03-16,2030
2016-03-17,2027
2016-03-18,2048
2016-03-19,2049
2016-03-20,2062
2016-03-21,2071
2016-03-22,2071
2016-03-23,2007
2016-03-24,2045
2016-03-25,2097
2016-03-26,2103
2016-03-27,2065
2016-03-28,2058
2016-03-29,2056
2016-03-30,2064
2016-03-31,2109
2016-04-01,2058
2016-04-02,2011
2016-04-03,2027
2016-04-04,2067
2016-04-05,2087
2016-04-06,2098
2016-04-07,2069
2016-04-08,2033
2016-04-09,2063
2016-04-10,2081
2016-04-11,2062
2016-04-12,2077
2016-04-13,2069
2016-04-14,2065
2016-04-15,2073
2016-04-16,2080
2016-04-17,2087
2016-04-18,2133
2016-04-19,2184
2016-04-20,2177
2016-04-21,2154
2016-04-22,2170
2016-04-23,2202
2016-04-24,2176
2016-04-25,2241
2016-04-26,2147
2016-04-27,2039
2016-04-28,1971
2016-04-29,1955
2016-04-30,1970
2016-05-01,2007
2016-05-02,2055
2016-05-03,2105
2016-05-04,2035
2016-05-05,2010
2016-05-06,2037
2016-05-07,2070
2016-05-08,2103
2016-05-09,2103
2016-05-10,2098
2016-05-11,2103
2016-05-12,2108
2016-05-13,2107
2016-05-14,2113
2016-05-15,2148
2016-05-16,2128
2016-05-17,2148
2016-05-18,2219
2016-05-19,2165
2016-05-22,2045
2016-05-23,2014
2016-05-24,2049
2016-05-25,2075
2016-05-26,2048
2016-05-27,2074
2016-05-28,2109
2016-05-29,2078
2016-05-30,2047
2016-05-31,2054
2016-06-01,2008
2016-06-02,1966
2016-06-03,2000
2016-06-04,2055
2016-06-05,2058
2016-06-06,2036
2016-06-07,2062
2016-06-08,2018
2016-06-09,2079
2016-06-10,2072
2016-06-11,2008
2016-06-12,1963
2016-06-13,2013
2016-06-14,1991
2016-06-15,2038
2016-06-16,2080
2016-06-17,2111
2016-06-18,2082
2016-06-19,2071
2016-06-20,2027
2016-06-21,2005
2016-06-22,2032
2016-06-23,2060
2016-06-24,2029
2016-06-25,2045
2016-06-26,2005
2016-06-27,2030
2016-06-28,2039
2016-06-29,1997
2016-06-30,1966
2016-07-01,2001
2016-07-02,2042
2016-07-03,2007
2016-07-04,2051
2016-07-05,2056
2016-07-06,2025
2016-07-07,2007
2016-07-08,2019
2016-07-09,2001
2016-07-10,1985
2016-07-11,1968
2016-07-12,1994
2016-07-13,1982
2016-07-14,1993
2016-07-15,1990
2016-07-16,2019
2016-07-17,2029
2016-07-18,2030
2016-07-23,2028
2016-07-24,2059
2016-07-25,2046
2016-07-26,2043
2016-07-27,2039
2016-07-28,1993
2016-07-29,2006
2016-07-30,2074
2016-07-31,2153
2016-08-01,2070
2016-08-02,2019
2016-08-03,1969
2016-08-04,2041
2016-08-05,2091
2016-08-06,2129
2016-08-07,2043
2016-08-08,2086
2016-08-09,2053
2016-08-10,2033
2016-08-11,1992
2016-08-12,2015
2016-08-13,1976
2016-08-14,2006
2016-08-15,2029
2016-08-16,2067
2016-08-17,2069
2016-08-18,2097
2016-08-19,2053
2016-08-20,2039
2016-08-21,2020
2016-08-22,2029
2016-08-23,2015
2016-08-24,2048
2016-08-25,2050
2016-08-26,2054
2016-08-28,2085
2016-08-31,2209
2016-09-01,2133
2016-09-02,2133
2016-09-03,2214
2016-09-04,2198
2016-09-05,2091
2016-09-06,2019
2016-09-07,1996
2016-09-08,2040
2016-09-09,2001
2016-09-10,2007
2016-09-11,1997
2016-09-12,1925
2016-09-13,1982
2016-09-14,1983
2016-09-15,1995
2016-09-16,1981
2016-09-17,1996
2016-09-18,2028
2016-09-19,2009
2016-09-20,1997
2016-09-21,2017
2016-09-22,2021
2016-09-23,2033
2016-09-24,2033
2016-09-25,2047
2016-09-26,2002
2016-09-27,1970
2016-09-28,1906
2016-09-29,1902
2016-09-30,1914
2016-10-01,1975
2016-10-02,2005
2016-10-03,1982
2016-10-04,1966
2016-10-05,1920
2016-10-06,1927
2016-10-07,1945
2016-10-08,1938
2016-10-09,1911
2016-10-10,1955
2016-10-11,1953
2016-10-12,2031
2016-10-13,2109
2016-10-14,2099
2016-10-15,2146
2016-10-16,2144
2016-10-17,2145
2016-10-18,2079
2016-10-19,2099
2016-10-20,2072
2016-10-21,2041
2016-10-22,2041
2016-10-23,2053
2016-10-24,2098
2016-10-25,2134
2016-10-26,2143
2016-10-27,2145
2016-10-28,2128
2016-10-29,2151
2016-10-30,2141
2016-10-31,2140
2016-11-01,2150
2016-11-02,2190
2016-11-03,2154
2016-11-04,2219
2016-11-05,2321
2016-11-06,2438
2016-11-07,2543
2016-11-08,2565
2016-11-09,2517
2016-11-10,2410
2016-11-11,2308
2016-11-12,2214
2016-11-13,2139
2016-11-14,2129
2016-12-08,2093
2016-12-09,2011
2016-12-10,1982
2016-12-11,1978
2016-12-12,2007
2016-12-13,2001
2016-12-14,2031
2016-12-15,2111
2016-12-16,2102
2016-12-17,2062
2016-12-18,2106
2016-12-19,2128
2016-12-20,2116
2016-12-21,2185
2016-12-22,2225
2016-12-23,2169
2016-12-24,2149
2016-12-25,2114
2016-12-26,2073
2016-12-27,2061
2016-12-28,2152
2016-12-29,2116
2016-12-30,2089
2016-12-31,2050
2017-01-01,2068
2017-01-02,2076
2017-01-03,2074
2017-01-04,2024
2017-01-05,1983
2017-01-06,2045
2017-01-07,2057
2017-01-08,2072
2017-01-09,2105
2017-01-10,2048
2017-01-11,2055
2017-01-12,2077
2017-01-13,2061
2017-01-14,2055
2017-01-15,2073
2017-01-16,2095
2017-01-17,2083
2017-01-18,2060
2017-01-19,2109
2017-01-20,2153
2017-01-21,2132
2017-01-22,2079
2017-01-27,2141
2017-01-28,2096
2017-01-29,2043
2017-01-30,2000
2017-01-31,2032
2017-02-01,2014
2017-02-02,1981
2017-02-03,2029
2017-02-04,2024
2017-02-05,1975
2017-02-06,2029
2017-02-07,2065
2017-02-08,2091
2017-02-09,2054
2017-02-10,2093
2017-02-11,2112
2017-02-12,2075
2017-02-13,2029
2017-02-14,2030
2017-02-15,2028
2017-02-16,2046
2017-02-18,2138
2017-02-19,2138
2017-02-20,2178
2017-02-21,2258
2017-02-22,2167
2017-02-23,2110
2017-02-24,2025
2017-02-25,1969
2017-02-26,1993
2017-02-27,1994
2017-02-28,1978
2017-03-01,1965
2017-03-02,1996
2017-03-03,1991
2017-03-04,1984
2017-03-05,2021
2017-03-06,2052
2017-03-07,2109
2017-03-08,2098
2017-03-09,2056
2017-03-10,2010
2017-03-11,2041
2017-03-12,2006
2017-03-13,2049
2017-03-14,2042
2017-03-15,2028
2017-03-16,1993
2017-03-17,2001
2017-03-18,1969
2017-03-19,1978
2017-03-20,1969
2017-03-21,1966
2017-03-22,1990
2017-03-23,2044
2017-03-24,2039
2017-03-25,1989
2017-03-26,2007
2017-03-27,2021
2017-03-28,2052
2017-03-29,2046
2017-03-30,2063
2017-03-31,2122
2017-04-01,2129
2017-04-02,2081
2017-04-03,2058
2017-04-04,2061
2017-04-12,2055
2017-04-13,2015
2017-04-14,1991
2017-04-15,1995
2017-04-16,2034
2017-04-17,2053
2017-04-18,2081
2017-04-19,2050
2017-04-20,2051
2017-04-21,2071
2017-04-22,2088
2017-04-23,2049
2017-04-24,2011
2017-04-25,2044
2017-04-26,1994
2017-04-27,1996
2017-04-28,2064
2017-04-29,2001
2017-04-30,2003
2017-05-01,2046
2017-05-02,2061
2017-05-03,2055
2017-05-04,2080
2017-05-05,2069
2017-05-06,2044
2017-05-07,2030
2017-05-08,1989
2017-05-09,1984
2017-05-10,2013
2017-05-11,1969
2017-05-12,2001
2017-05-13,2066
2017-05-14,2070
2017-05-15,2061
2017-05-16,2065
2017-05-17,2065
2017-05-18,2029
2017-05-19,2010
2017-05-20,2014
2017-05-21,2058
2017-05-22,2057
2017-05-23,2015
2017-05-24,2037
2017-05-25,2011
2017-05-26,2068
2017-05-27,2090
2017-05-28,2045
2017-05-29,2000
2017-05-30,1958
