date_obj,Broodoo%20shield%20(orange) price
2015-02-25,14000
2015-02-26,14000
2015-02-27,14000
2015-02-28,14000
2015-03-01,14000
2015-03-02,14000
2015-03-03,14000
2015-03-04,14000
2015-03-05,14000
2015-03-06,14000
2015-03-07,14000
2015-03-08,14000
2015-03-09,14000
2015-03-10,14000
2015-03-11,14000
2015-03-12,14000
2015-03-13,14000
2015-03-14,14000
2015-03-15,14000
2015-03-16,14000
2015-03-17,14000
2015-03-18,14000
2015-03-19,14000
2015-03-20,14000
2015-03-21,14000
2015-03-22,14000
2015-03-23,14000
2015-03-24,14000
2015-03-25,14000
2015-03-26,14000
2015-03-27,14000
2015-03-28,14000
2015-03-29,14000
2015-03-30,14000
2015-03-31,14000
2015-04-01,14000
2015-04-02,14000
2015-04-03,14556
2015-04-04,14556
2015-04-05,14556
2015-04-06,14556
2015-04-07,14556
2015-04-08,14556
2015-04-09,14556
2015-04-10,14556
2015-04-11,14556
2015-04-12,14556
2015-04-13,14556
2015-04-14,14556
2015-04-15,14556
2015-04-16,14556
2015-04-17,14556
2015-04-18,14556
2015-04-19,14556
2015-04-20,14556
2015-04-21,14556
2015-04-22,14556
2015-04-23,14556
2015-04-24,14556
2015-04-25,14556
2015-04-26,14556
2015-04-27,14556
2015-04-28,14556
2015-04-29,14556
2015-04-30,14556
2015-05-01,14556
2015-05-02,14556
2015-05-03,14556
2015-05-04,14556
2015-05-05,14556
2015-05-06,14556
2015-05-07,14556
2015-05-08,14556
2015-05-09,14556
2015-05-10,14556
2015-05-11,14556
2015-05-12,14556
2015-05-13,14556
2015-05-14,14556
2015-05-15,15094
2015-05-16,15094
2015-05-17,15094
2015-05-18,15094
2015-05-19,15094
2015-05-20,15094
2015-05-21,15094
2015-05-22,15094
2015-05-23,15094
2015-05-24,15094
2015-05-25,15094
2015-05-26,15094
2015-05-27,15094
2015-05-28,15094
2015-05-29,15094
2015-05-30,15094
2015-05-31,15094
2015-06-01,15094
2015-06-02,15094
2015-06-03,15094
2015-06-04,15094
2015-06-05,15094
2015-06-06,15094
2015-06-07,15094
2015-06-08,15094
2015-06-09,15094
2015-06-10,15094
2015-06-11,15094
2015-06-12,15094
2015-06-13,15094
2015-06-14,15094
2015-06-15,15094
2015-06-16,15094
2015-06-17,15094
2015-06-18,15094
2015-06-19,15771
2015-06-20,15771
2015-06-21,15771
2015-06-22,15771
2015-06-23,15771
2015-06-24,15771
2015-06-25,15771
2015-06-26,15771
2015-06-27,15771
2015-06-28,15771
2015-06-29,15771
2015-06-30,15771
2015-07-01,15771
2015-07-02,15771
2015-07-03,15771
2015-07-04,15771
2015-07-05,15771
2015-07-06,15771
2015-07-07,15771
2015-07-08,15771
2015-07-09,15771
2015-07-10,15771
2015-07-11,15771
2015-07-12,15771
2015-07-13,15771
2015-07-14,15771
2015-07-15,15771
2015-07-16,15771
2015-07-17,15771
2015-07-18,15771
2015-07-19,15771
2015-07-20,15771
2015-07-21,15771
2015-07-22,15771
2015-07-23,16468
2015-07-24,16468
2015-07-25,16468
2015-07-26,16468
2015-07-27,16468
2015-07-28,16468
2015-07-29,16468
2015-07-30,16468
2015-07-31,16468
2015-08-01,16468
2015-08-02,16468
2015-08-03,16468
2015-08-04,16468
2015-08-05,16468
2015-08-06,16468
2015-08-07,16468
2015-08-08,16468
2015-08-09,16468
2015-08-10,16468
2015-08-11,16468
2015-08-12,16468
2015-08-13,16468
2015-08-14,16468
2015-08-15,16468
2015-08-16,16468
2015-08-17,16468
2015-08-18,16468
2015-08-19,16468
2015-08-20,16468
2015-08-21,16468
2015-08-22,16468
2015-08-23,16468
2015-08-24,16468
2015-08-25,16468
2015-08-26,16468
2015-08-27,16468
2015-08-28,16468
2015-08-29,16468
2015-08-30,17135
2015-08-31,17135
2015-09-01,17135
2015-09-02,17135
2015-09-03,17135
2015-09-04,17135
2015-09-05,17135
2015-09-06,17135
2015-09-07,17135
2015-09-08,17135
2015-09-09,17135
2015-09-10,17135
2015-09-11,17135
2015-09-12,17135
2015-09-13,17135
2015-09-14,17135
2015-09-15,17135
2015-09-16,17135
2015-09-17,17135
2015-09-18,17135
2015-09-19,17135
2015-09-20,17135
2015-09-21,17135
2015-09-22,17135
2015-09-23,17135
2015-09-24,17135
2015-09-25,17135
2015-09-26,17135
2015-09-27,17135
2015-09-28,17135
2015-09-29,17135
2015-09-30,17135
2015-10-01,17135
2015-10-02,17135
2015-10-03,17135
2015-10-04,17135
2015-10-05,17135
2015-10-06,17135
2015-10-07,17135
2015-10-08,17135
2015-10-09,17135
2015-10-10,17135
2015-10-11,17135
2015-10-12,17939
2015-10-13,17939
2015-10-14,17939
2015-10-15,17939
2015-10-16,17939
2015-10-17,17939
2015-10-18,17939
2015-10-19,17939
2015-10-20,17939
2015-10-21,17939
2015-10-22,17939
2015-10-23,17939
2015-10-24,17939
2015-10-25,17939
2015-10-26,17939
2015-10-27,17939
2015-10-28,17939
2015-10-29,17939
2015-10-30,17939
2015-10-31,17939
2015-11-01,17939
2015-11-02,17939
2015-11-03,17939
2015-11-04,17939
2015-11-05,17939
2015-11-06,17939
2015-11-07,17939
2015-11-08,17939
2015-11-09,17939
2015-11-10,17939
2015-11-11,17939
2015-11-12,17939
2015-11-13,17939
2015-11-14,17939
2015-11-15,17939
2015-11-16,17939
2015-11-17,17939
2015-11-18,17939
2015-11-19,17939
2015-11-20,17939
2015-11-21,17939
2015-11-22,17939
2015-11-23,17939
2015-11-24,17939
2015-11-25,17939
2015-11-26,17939
2015-11-27,17939
2015-11-28,17939
2015-11-29,17939
2015-11-30,17939
2015-12-01,18670
2015-12-02,18670
2015-12-03,18670
2015-12-04,18670
2015-12-05,18670
2015-12-06,18670
2015-12-07,18670
2015-12-08,18670
2015-12-09,18670
2015-12-10,18670
2015-12-11,18670
2015-12-12,18670
2015-12-13,18670
2015-12-14,18670
2015-12-15,18670
2015-12-16,18670
2015-12-17,18670
2015-12-18,18670
2015-12-19,18670
2015-12-20,18670
2015-12-21,18670
2015-12-22,18670
2015-12-23,18670
2015-12-24,18670
2015-12-25,18670
2015-12-26,18670
2015-12-27,18670
2015-12-28,18670
2015-12-29,18670
2015-12-30,18670
2015-12-31,18670
2016-01-01,18670
2016-01-02,19514
2016-01-03,19514
2016-01-04,19514
2016-01-05,19514
2016-01-06,19514
2016-01-07,19514
2016-01-08,19514
2016-01-09,19514
2016-01-10,19514
2016-01-11,19514
2016-01-12,19514
2016-01-13,19514
2016-01-14,19514
2016-01-15,19514
2016-01-16,19514
2016-01-17,19514
2016-01-18,19514
2016-01-19,19514
2016-01-20,19514
2016-01-21,19514
2016-01-22,19514
2016-01-23,19514
2016-01-24,19514
2016-01-25,19514
2016-01-26,19514
2016-01-27,19514
2016-01-28,19514
2016-01-29,19514
2016-01-30,19514
2016-01-31,19514
2016-02-01,19514
2016-02-02,19514
2016-02-03,19514
2016-02-04,19514
2016-02-05,19514
2016-02-06,19514
2016-02-07,19514
2016-02-08,20230
2016-02-09,20230
2016-02-10,20230
2016-02-11,20230
2016-02-12,20230
2016-02-13,20230
2016-02-14,20230
2016-02-15,20230
2016-02-16,20230
2016-02-17,20230
2016-02-18,20230
2016-02-19,20230
2016-02-20,20230
2016-02-21,20230
2016-02-22,20230
2016-02-23,20230
2016-02-24,20230
2016-02-25,20230
2016-02-26,20230
2016-02-27,20230
2016-02-28,20230
2016-02-29,20230
2016-03-01,20230
2016-03-02,20230
2016-03-03,20230
2016-03-04,20230
2016-03-05,20230
2016-03-06,20230
2016-03-07,20230
2016-03-08,20230
2016-03-09,20230
2016-03-10,20230
2016-03-11,20230
2016-03-12,20230
2016-03-13,20230
2016-03-14,20230
2016-03-15,20230
2016-03-16,20230
2016-03-17,21140
2016-03-18,21140
2016-03-19,21140
2016-03-20,21140
2016-03-21,21140
2016-03-22,21140
2016-03-23,21140
2016-03-24,21140
2016-03-25,21140
2016-03-26,21140
2016-03-27,21140
2016-03-28,21140
2016-03-29,21140
2016-03-30,21140
2016-03-31,21140
2016-04-01,21140
2016-04-02,21140
2016-04-03,21140
2016-04-04,21140
2016-04-05,21140
2016-04-06,21140
2016-04-07,21140
2016-04-08,21140
2016-04-09,21140
2016-04-10,21140
2016-04-11,21140
2016-04-12,21140
2016-04-13,21140
2016-04-14,21140
2016-04-15,21140
2016-04-16,21140
2016-04-17,21140
2016-04-18,21140
2016-04-19,21140
2016-04-20,21140
2016-04-21,21140
2016-04-22,21140
2016-04-23,21140
2016-04-24,21140
2016-04-25,21140
2016-04-26,21537
2016-04-27,21537
2016-04-28,21537
2016-04-29,21537
2016-04-30,21537
2016-05-01,21537
2016-05-02,21537
2016-05-03,21537
2016-05-04,21537
2016-05-05,21537
