date_obj,Mystic%20boots%20(dark) price
2015-03-04,20572
2015-03-05,19723
2015-03-06,18984
2015-03-07,18984
2015-03-08,18413
2015-03-09,18413
2015-03-10,17892
2015-03-11,17892
2015-03-12,17524
2015-03-13,17524
2015-03-14,16939
2015-03-15,16939
2015-03-16,16605
2015-03-17,16605
2015-03-18,16305
2015-03-19,16305
2015-03-20,16172
2015-03-21,16172
2015-03-22,16050
2015-03-23,16050
2015-03-24,15986
2015-03-25,15986
2015-03-26,16079
2015-03-27,16079
2015-03-28,16047
2015-03-29,15889
2015-03-30,16083
2015-03-31,16350
2015-04-01,16350
2015-04-02,16692
2015-04-03,16692
2015-04-04,17127
2015-04-05,17127
2015-04-06,17414
2015-04-07,17414
2015-04-08,17096
2015-04-09,17096
2015-04-10,16699
2015-04-11,17220
2015-04-12,17220
2015-04-13,16967
2015-04-14,16967
2015-04-15,16553
2015-04-16,16553
2015-04-17,16211
2015-04-18,16211
2015-04-19,16001
2015-04-20,16001
2015-04-21,15844
2015-04-22,15844
2015-04-23,15700
2015-04-24,15700
2015-04-25,15600
2015-04-26,15600
2015-04-27,15364
2015-04-28,15269
2015-04-29,15269
2015-04-30,15082
2015-05-01,15082
2015-05-02,14933
2015-05-03,14933
2015-05-04,14826
2015-05-05,14826
2015-05-06,14791
2015-05-07,14791
2015-05-08,14743
2015-05-09,14743
2015-05-10,14767
2015-05-11,14767
2015-05-12,14751
2015-05-13,14751
2015-05-14,14989
2015-05-15,14989
2015-05-16,15027
2015-05-17,14783
2015-05-18,14783
2015-05-19,14736
2015-05-20,14736
2015-05-21,14736
2015-05-22,14606
2015-05-23,14606
2015-05-24,14353
2015-05-25,13638
2015-05-26,13638
2015-05-27,13238
2015-05-28,12975
2015-05-29,12810
2015-05-30,12651
2015-05-31,12651
2015-06-01,13089
2015-06-02,13089
2015-06-03,13021
2015-06-04,13052
2015-06-05,12931
2015-06-06,12759
2015-06-07,12768
2015-06-08,12917
2015-06-09,13069
2015-06-10,13354
2015-06-11,13354
2015-06-12,13527
2015-06-13,14115
2015-06-14,14001
2015-06-15,14001
2015-06-16,13932
2015-06-17,13932
2015-06-18,14019
2015-06-19,14476
2015-06-20,14728
2015-06-21,14728
2015-06-22,14905
2015-06-23,14905
2015-06-24,15020
2015-06-25,15020
2015-06-26,15033
2015-06-27,15033
2015-06-28,15006
2015-06-29,15006
2015-06-30,15564
2015-07-01,16007
2015-07-02,16007
2015-07-03,15557
2015-07-04,15279
2015-07-05,15279
2015-07-06,14810
2015-07-07,14658
2015-07-08,14519
2015-07-09,14519
2015-07-10,15004
2015-07-11,15004
2015-07-12,15383
2015-07-13,15966
2015-07-14,15642
2015-07-15,15498
2015-07-16,15498
2015-07-17,14910
2015-07-18,14910
2015-07-19,14164
2015-07-20,13550
2015-07-21,13704
2015-07-22,13837
2015-07-23,13837
2015-07-24,14529
2015-07-25,14529
2015-07-26,15256
2015-07-27,16007
2015-07-28,16775
2015-07-29,17244
2015-07-30,17244
2015-07-31,17439
2015-08-01,17439
2015-08-02,17135
2015-08-03,17135
2015-08-04,17181
2015-08-05,17821
2015-08-06,17821
2015-08-07,18394
2015-08-08,18592
2015-08-09,18356
2015-08-10,17886
2015-08-11,17047
2015-08-12,17047
2015-08-13,16194
2015-08-14,15384
2015-08-15,15384
2015-08-16,14767
2015-08-17,14256
2015-08-18,14158
2015-08-19,14211
2015-08-20,14211
2015-08-21,14335
2015-08-22,14607
2015-08-23,14607
2015-08-24,14101
2015-08-25,14101
2015-08-26,13796
2015-08-27,13546
2015-08-28,13546
2015-08-29,13408
2015-08-30,13408
2015-08-31,13231
2015-09-02,13062
2015-09-07,11591
2015-09-08,11069
2015-09-10,10151
2015-09-14,9636
2015-09-16,9878
2015-09-22,11879
2015-09-23,12170
2015-09-24,12170
2015-09-25,11839
2015-09-27,11494
2015-09-28,11680
2015-09-29,11680
2015-09-30,12079
2015-10-05,13676
2015-10-06,14007
2015-10-07,14007
2015-10-08,14022
2015-10-09,14184
2015-10-10,14184
2015-10-11,14547
2015-10-12,15272
2015-10-13,15272
2015-10-14,15500
2015-10-15,15386
2015-10-16,15482
2015-10-17,15482
2015-10-18,15391
2015-10-19,15428
2015-10-20,15827
2015-10-22,16107
2015-10-23,15956
2015-10-24,15956
2015-10-25,15969
2015-10-26,16413
2015-10-27,16413
2015-10-29,17515
2015-10-30,17515
2015-10-31,18391
2015-11-01,18391
2015-11-02,19311
2015-11-03,19311
2015-11-04,20277
2015-11-05,20936
2015-11-06,20936
2015-11-07,21524
2015-11-08,21524
2015-11-09,22110
2015-11-10,22110
2015-11-11,22600
2015-11-12,22600
2015-11-13,23231
2015-11-14,23231
2015-11-15,23626
2015-11-16,23626
2015-11-17,23818
2015-11-18,23818
2015-11-19,23786
2015-11-20,24344
2015-11-21,24344
2015-11-22,25269
2015-11-23,25269
2015-11-24,26365
2015-11-25,27610
2015-11-26,27610
2015-11-27,28384
2015-11-28,28594
2015-11-29,27266
2015-11-30,26698
