date_obj,Bandos%20stole price
2015-03-26,25432
2015-03-27,25432
2015-03-28,24160
2015-03-29,23050
2015-03-30,21937
2015-03-31,20953
2015-04-01,20953
2015-04-02,19905
2015-04-03,18960
2015-04-04,18098
2015-04-05,18098
2015-04-06,17193
2015-04-07,16391
2015-04-08,16391
2015-04-09,15674
2015-04-10,15431
2015-04-11,14868
2015-04-12,14868
2015-04-13,14326
2015-04-14,14326
2015-04-15,13785
2015-04-16,13785
2015-04-17,13548
2015-04-18,13148
2015-04-19,13214
2015-04-20,13214
2015-04-21,13417
2015-04-22,13417
2015-04-23,13193
2015-04-24,13193
2015-04-25,13323
2015-04-26,13670
2015-04-27,14022
2015-04-28,14436
2015-04-29,14436
2015-04-30,14490
2015-05-01,14811
2015-05-02,14807
2015-05-03,14807
2015-05-04,14299
2015-05-05,13726
2015-05-06,13412
2015-05-07,13094
2015-05-08,13094
2015-05-09,12745
2015-05-10,12543
2015-05-11,12543
2015-05-12,12278
2015-05-13,12278
2015-05-14,11827
2015-05-15,11827
2015-05-16,11663
2015-05-17,11391
2015-05-18,11444
2015-05-19,11379
2015-05-20,11379
2015-05-21,11037
2015-05-22,10584
2015-05-23,10217
2015-05-24,10104
2015-05-25,10355
2015-05-26,10836
2015-05-27,10836
2015-05-28,11331
2015-05-29,11410
2015-05-30,11740
2015-05-31,11740
2015-06-01,12123
2015-06-02,12123
2015-06-03,12212
2015-06-04,12434
2015-06-05,12816
2015-06-06,12816
2015-06-07,12887
2015-06-08,12887
2015-06-09,12670
2015-06-10,12845
2015-06-11,12845
2015-06-12,12805
2015-06-13,12805
2015-06-14,12865
2015-06-15,12865
2015-06-16,12940
2015-06-17,12940
2015-06-18,13126
2015-06-19,13126
2015-06-20,13353
2015-06-21,13353
2015-06-22,13731
2015-06-23,13731
2015-06-24,14243
2015-06-25,14243
2015-06-26,14706
2015-06-27,14706
2015-06-28,14914
2015-06-29,14914
2015-06-30,14644
2015-07-01,14685
2015-07-02,14685
2015-07-03,15099
2015-07-04,15601
2015-07-05,15601
2015-07-06,16011
2015-07-07,16515
2015-07-08,16977
2015-07-09,16977
2015-07-10,17268
2015-07-11,17268
2015-07-12,17499
2015-07-13,17499
2015-07-14,17410
2015-07-15,17410
