date_obj,Purple%20boater price
2015-03-26,18905
2015-03-27,18905
2015-03-28,18154
2015-03-29,18154
2015-03-30,17310
2015-03-31,17310
2015-04-01,16717
2015-04-02,16717
2015-04-03,16063
2015-04-04,16063
2015-04-05,15435
2015-04-06,15435
2015-04-07,14883
2015-04-08,14883
2015-04-09,14883
2015-04-10,14319
2015-04-11,14319
2015-04-12,13743
2015-04-13,13743
2015-04-14,13180
2015-04-15,13180
2015-04-16,12754
2015-04-17,12754
2015-04-18,13110
2015-04-19,13110
2015-04-20,13110
2015-04-21,12693
2015-04-22,12693
2015-04-23,12693
2015-04-24,12215
2015-04-25,12215
2015-04-26,12215
2015-04-27,11604
2015-04-28,11604
2015-04-29,11604
2015-04-30,11151
2015-05-01,11151
2015-05-02,10669
2015-05-03,10669
2015-05-04,10259
2015-05-05,10259
2015-05-06,9813
2015-05-07,9813
2015-05-08,9358
2015-05-09,9358
2015-05-10,8890
2015-05-11,8890
2015-05-12,8474
2015-05-13,8474
2015-05-14,8080
2015-05-15,8080
2015-05-16,7739
2015-05-17,7382
2015-05-18,7382
2015-05-19,7033
2015-05-20,7033
2015-05-21,7033
2015-05-22,6751
2015-05-23,6751
2015-05-24,6459
2015-05-25,6459
2015-05-26,6244
2015-05-27,6244
2015-05-28,6000
2015-05-29,6000
2015-05-30,5970
2015-05-31,5970
2015-06-01,5707
2015-06-02,5707
2015-06-03,5707
2015-06-04,5483
2015-06-05,5483
2015-06-06,5336
2015-06-07,5336
2015-06-08,5336
2015-06-09,5157
2015-06-10,5157
2015-06-11,5157
2015-06-12,4951
2015-06-13,4951
2015-06-14,4951
2015-06-15,4885
2015-06-16,4885
2015-06-17,4885
2015-06-18,5130
2015-06-19,5130
2015-06-20,5130
2015-06-21,5185
2015-06-22,5185
2015-06-23,5185
2015-06-24,5369
2015-06-25,5369
2015-06-26,5369
2015-06-27,5344
2015-06-28,5344
2015-06-29,5238
2015-06-30,5238
2015-07-01,5261
2015-07-02,5261
2015-07-03,5261
2015-07-04,5205
2015-07-05,5205
2015-07-06,5205
2015-07-07,5363
2015-07-08,5363
2015-07-09,5363
2015-07-10,5181
2015-07-11,5181
2015-07-12,5181
2015-07-13,5118
2015-07-14,5118
2015-07-15,5118
2015-07-16,5170
2015-07-17,5170
2015-07-18,5170
2015-07-19,5231
2015-07-20,5231
2015-07-21,5231
2015-07-22,5276
2015-07-23,5276
2015-07-24,5276
2015-07-25,5264
2015-07-26,5264
2015-07-27,5264
2015-07-28,5202
2015-07-29,5202
2015-07-30,5133
2015-07-31,5133
2015-08-01,5133
2015-08-02,5164
2015-08-03,5164
2015-08-04,5164
2015-08-05,4912
2015-08-06,4912
2015-08-07,4759
2015-08-08,4759
2015-08-09,4773
2015-08-10,4773
2015-08-11,4879
2015-08-12,4879
2015-08-13,4879
2015-08-14,4786
2015-08-15,4786
2015-08-16,4786
2015-08-17,4846
2015-08-18,4846
2015-08-19,4846
2015-08-20,4934
2015-08-21,4934
2015-08-22,5103
2015-08-23,5103
2015-08-24,4916
2015-08-25,4916
2015-08-26,4916
2015-08-27,4874
2015-08-28,4874
2015-08-29,4874
2015-08-30,4925
2015-08-31,4925
2015-09-01,4805
2015-09-02,4805
2015-09-03,4805
2015-09-04,4674
2015-09-05,4674
2015-09-06,4674
2015-09-07,4651
2015-09-08,4651
2015-09-09,4565
2015-09-10,4565
2015-09-11,4549
2015-09-12,4549
2015-09-13,4342
2015-09-14,4342
2015-09-15,4223
2015-09-16,4223
2015-09-17,4223
2015-09-18,4114
2015-09-19,4114
2015-09-20,4114
2015-09-21,3995
2015-09-22,3995
2015-09-23,3995
2015-09-24,4015
2015-09-25,4015
2015-09-27,4085
2015-09-28,4085
2015-09-29,4085
2015-09-30,4162
2015-10-05,4314
2015-10-06,4314
2015-10-07,4314
2015-10-08,4487
2015-10-09,4487
2015-10-10,4487
2015-10-11,4487
2015-10-12,4435
2015-10-13,4435
2015-10-14,4435
2015-10-15,4435
2015-10-16,4462
2015-10-17,4462
2015-10-18,4462
2015-10-19,4462
2015-10-20,4550
2015-10-22,4550
2015-10-23,4550
2015-10-24,4521
2015-10-25,4521
2015-10-26,4521
2015-10-27,4580
2015-10-29,4580
2015-10-30,4580
2015-10-31,4600
2015-11-01,4600
2015-11-02,4600
2015-11-03,4600
2015-11-04,4600
2015-11-05,4558
2015-11-06,4558
2015-11-07,4558
2015-11-08,4716
2015-11-09,4716
2015-11-10,4716
2015-11-11,4716
2015-11-12,4941
2015-11-13,4941
2015-11-14,4941
2015-11-15,5165
2015-11-16,5165
2015-11-17,5165
2015-11-18,5165
2015-11-19,5347
2015-11-20,5347
2015-11-21,5347
2015-11-22,5159
2015-11-23,5159
2015-11-24,5159
2015-11-25,5159
2015-11-26,5094
2015-11-27,5094
2015-11-28,5094
2015-11-29,5018
2015-11-30,5018
2015-12-01,5018
2015-12-02,5018
2015-12-03,4832
2015-12-04,4832
2015-12-05,4832
2015-12-06,4617
2015-12-07,4617
2015-12-08,4617
2015-12-09,4730
2015-12-10,4730
2015-12-11,4730
2015-12-12,4730
2015-12-13,4585
2015-12-14,4585
2015-12-15,4585
2015-12-16,4585
2015-12-17,4552
2015-12-18,4552
2015-12-19,4552
2015-12-20,4418
2015-12-21,4418
2015-12-22,4418
2015-12-23,4364
2015-12-24,4364
2015-12-25,4364
2015-12-26,4213
2015-12-27,4213
2015-12-28,4213
2015-12-29,4162
2015-12-30,4162
2015-12-31,4162
2016-01-01,4162
2016-01-02,4055
2016-01-03,4055
2016-01-04,4140
2016-01-05,4140
2016-01-06,4140
2016-01-07,4105
2016-01-08,4105
2016-01-09,4105
2016-01-10,3950
2016-01-11,3950
2016-01-12,3788
2016-01-13,3788
2016-01-14,3788
2016-01-15,3640
2016-01-16,3640
2016-01-17,3640
2016-01-18,3499
2016-01-19,3499
2016-01-20,3499
2016-01-21,3357
2016-01-22,3357
2016-01-23,3318
