date_obj,Limpwurt%20root price
2015-03-26,1226
2015-03-27,1220
2015-03-28,1200
2015-03-29,1141
2015-03-30,1096
2015-03-31,1046
2015-04-01,995
2015-04-02,961
2015-04-03,916
2015-04-04,894
2015-04-05,906
2015-04-06,902
2015-04-07,940
2015-04-08,966
2015-04-09,1015
2015-04-10,1066
2015-04-11,1078
2015-04-12,1083
2015-04-13,1118
2015-04-14,1087
2015-04-15,1070
2015-04-16,1070
2015-04-17,1078
2015-04-18,1108
2015-04-19,1125
2015-04-20,1135
2015-04-21,1116
2015-04-22,1141
2015-04-23,1181
2015-04-24,1178
2015-04-25,1145
2015-04-26,1090
2015-04-27,1093
2015-04-28,1111
2015-04-29,1106
2015-04-30,1134
2015-05-01,1164
2015-05-02,1160
2015-05-03,1155
2015-05-04,1150
2015-05-05,1156
2015-05-06,1136
2015-05-07,1121
2015-05-08,1106
2015-05-09,1127
2015-05-10,1136
2015-05-11,1123
2015-05-12,1108
2015-05-13,1125
2015-05-14,1152
2015-05-15,1185
2015-05-16,1220
2015-05-17,1254
2015-05-18,1314
2015-05-19,1380
2015-05-20,1443
2015-05-21,1515
2015-05-22,1591
2015-05-23,1671
2015-05-24,1743
2015-05-25,1773
2015-05-26,1798
2015-05-27,1876
2015-05-28,1854
2015-05-29,1925
2015-05-30,1961
2015-05-31,1868
2015-06-01,1828
2015-06-02,1907
2015-06-03,1871
2015-06-04,1845
2015-06-05,1812
2015-06-06,1800
2015-06-07,1798
2015-06-08,1821
2015-06-09,1811
2015-06-10,1813
2015-06-11,1808
2015-06-12,1780
2015-06-13,1757
2015-06-14,1737
2015-06-15,1800
2015-06-16,1854
2015-06-17,1848
2015-06-18,1812
2015-06-19,1806
2015-06-20,1813
2015-06-21,1791
2015-06-22,1760
2015-06-23,1728
2015-06-24,1671
2015-06-25,1680
2015-06-26,1660
2015-06-27,1638
2015-06-28,1572
2015-06-29,1550
2015-06-30,1545
2015-07-01,1607
2015-07-02,1604
2015-07-03,1598
2015-07-04,1563
2015-07-05,1569
2015-07-06,1553
2015-07-07,1592
2015-07-08,1647
2015-07-09,1708
2015-07-10,1759
2015-07-11,1836
2015-07-12,1913
2015-07-13,1875
2015-07-14,1796
2015-07-15,1839
2015-07-16,1895
2015-07-17,1940
2015-07-18,1999
2015-07-19,2011
2015-07-20,1994
2015-07-21,1952
2015-07-22,1904
2015-07-23,1873
2015-07-24,1869
2015-07-25,1849
2015-07-26,1931
2015-07-27,2011
2015-07-28,2055
2015-07-29,2025
2015-07-30,1939
2015-07-31,1883
2015-08-01,1853
2015-08-02,1847
2015-08-03,1830
2015-08-04,1820
2015-08-05,1844
2015-08-06,1925
2015-08-07,1927
2015-08-08,1979
2015-08-09,1943
2015-08-10,1963
2015-08-11,2035
2015-08-12,1998
2015-08-13,1993
2015-08-14,1957
2015-08-15,1926
2015-08-16,1941
2015-08-17,1937
2015-08-18,1911
2015-08-19,1885
2015-08-20,1895
2015-08-21,1892
2015-08-22,1947
2015-08-23,2037
2015-08-24,1999
2015-08-25,2013
2015-08-26,2060
2015-08-27,2082
2015-08-28,2019
2015-08-29,2028
2015-08-30,2061
2015-08-31,2066
2015-09-01,2001
2015-09-02,1973
2015-09-03,1965
2015-09-04,1929
2015-09-05,1911
2015-09-06,1941
2015-09-07,1975
2015-09-08,1948
2015-09-09,1994
2015-09-10,2012
2015-09-11,2058
2015-09-12,2109
2015-09-13,2119
2015-09-14,2145
2015-09-15,2104
2015-09-16,2076
2015-09-17,2078
2015-09-18,2154
2015-09-19,2150
2015-09-20,2222
2015-09-21,2330
2015-09-22,2393
2015-09-23,2360
2015-09-24,2350
2015-09-25,2342
2015-09-27,2186
2015-09-28,2150
2015-09-29,2172
2015-09-30,2141
2015-10-05,1951
2015-10-06,1941
2015-10-07,1941
2015-10-08,1953
2015-10-09,1980
2015-10-10,1953
2015-10-11,1938
2015-10-12,1926
2015-10-13,1932
2015-10-14,1926
2015-10-15,1912
2015-10-16,1915
2015-10-17,1906
2015-10-18,1911
2015-10-19,1968
2015-10-20,1925
2015-10-22,1944
2015-10-23,1970
2015-10-24,1977
2015-10-25,1990
2015-10-26,2055
2015-10-27,2156
2015-10-29,2290
2015-10-30,2217
2015-10-31,2193
2015-11-01,2173
2015-11-02,2126
2015-11-03,2118
2015-11-04,2096
2015-11-05,2097
2015-11-06,2053
2015-11-07,2002
2015-11-08,1945
2015-11-09,1937
2015-11-10,1908
2015-11-11,1927
2015-11-12,1893
2015-11-13,1981
2015-11-14,2023
2015-11-15,2009
2015-11-16,2043
2015-11-17,2027
2015-11-18,2051
2015-11-19,2088
2015-11-20,2040
2015-11-21,2031
2015-11-22,2030
2015-11-23,2061
2015-11-24,2047
2015-11-25,2027
2015-11-26,2021
2015-11-27,2003
2015-11-28,2058
2015-11-29,2048
2015-11-30,2062
2015-12-01,2013
2015-12-02,2016
2015-12-03,2002
2015-12-04,1983
2015-12-05,2013
2015-12-06,2029
2015-12-07,2030
2015-12-08,2019
2015-12-09,1977
2015-12-10,1957
2015-12-11,1930
2015-12-12,1896
2015-12-13,1882
2015-12-14,1911
2015-12-15,1921
2015-12-16,1918
2015-12-17,1929
2015-12-18,1916
2015-12-19,1907
2015-12-20,1919
2015-12-21,1923
2015-12-22,1921
2015-12-23,1966
2015-12-24,1994
2015-12-25,1969
2015-12-26,1987
2015-12-27,2007
2015-12-28,2095
2015-12-29,2161
2015-12-30,2229
2015-12-31,2286
2016-01-01,2337
2016-01-02,2438
2016-01-03,2489
2016-01-04,2450
2016-01-05,2426
2016-01-06,2367
2016-01-07,2279
