date_obj,Magic%20sapling price
2015-03-26,93265
2015-03-27,93265
2015-03-28,93265
2015-03-29,93265
2015-03-30,93265
2015-03-31,93265
2015-04-01,93265
2015-04-02,93265
2015-04-03,93265
2015-04-04,91472
2015-04-05,91472
2015-04-06,91472
2015-04-07,91472
2015-04-08,91472
2015-04-09,91472
2015-04-10,91472
2015-04-11,91472
2015-04-12,87030
2015-04-13,87030
2015-04-14,87030
2015-04-15,87030
2015-04-16,87030
2015-04-17,87030
2015-04-18,85865
2015-04-19,85865
2015-04-20,85865
2015-04-21,85865
2015-04-22,85865
2015-04-23,85865
2015-04-24,85865
2015-04-25,88550
2015-04-26,88550
2015-04-27,88550
2015-04-28,88550
2015-04-29,88550
2015-04-30,88550
2015-05-01,88550
2015-05-02,90713
2015-05-03,90713
2015-05-04,90713
2015-05-05,90713
2015-05-06,90713
2015-05-07,90713
2015-05-08,90713
2015-05-09,89825
2015-05-10,89825
2015-05-11,89825
2015-05-12,89825
2015-05-13,89825
2015-05-14,89825
2015-05-15,89825
2015-05-16,89825
2015-05-17,86102
2015-05-18,86102
2015-05-19,86102
2015-05-20,86102
2015-05-21,86102
2015-05-22,86102
2015-05-23,86102
2015-05-24,86102
2015-05-25,86102
2015-05-26,85493
2015-05-27,85493
2015-05-28,85493
2015-05-29,85493
2015-05-30,85396
2015-05-31,85396
2015-06-01,85396
2015-06-02,85396
2015-06-03,85396
2015-06-04,83095
2015-06-05,83095
2015-06-06,83095
2015-06-07,83095
2015-06-08,83095
2015-06-09,83792
2015-06-10,83792
2015-06-11,83792
2015-06-12,83792
2015-06-13,83792
2015-06-14,86111
2015-06-15,86111
2015-06-16,86111
2015-06-17,86111
2015-06-18,86111
2015-06-19,83279
2015-06-20,83279
2015-06-21,83279
2015-06-22,83279
2015-06-23,83279
2015-06-24,82281
2015-06-25,82281
2015-06-26,82281
2015-06-27,82281
2015-06-28,82281
2015-06-29,78853
2015-06-30,78853
2015-07-01,78853
2015-07-02,78853
2015-07-03,78157
2015-07-04,78157
2015-07-05,78157
2015-07-06,78157
2015-07-07,78157
2015-07-08,77055
2015-07-09,77055
2015-07-10,77055
2015-07-11,77055
2015-07-12,77055
2015-07-13,74705
2015-07-14,74705
2015-07-15,74705
2015-07-16,74705
2015-07-17,72040
2015-07-18,72040
2015-07-19,72040
2015-07-20,72040
2015-07-21,69447
2015-07-22,69447
2015-07-23,69447
2015-07-24,71220
2015-07-25,71220
2015-07-26,71220
2015-07-27,71220
2015-07-28,73987
2015-07-29,73987
2015-07-30,73987
2015-07-31,76892
2015-08-01,76892
2015-08-02,76892
2015-08-03,77705
2015-08-04,77705
2015-08-05,77705
2015-08-06,79603
2015-08-07,79603
2015-08-08,79603
2015-08-09,82168
2015-08-10,82168
2015-08-11,82168
2015-08-12,85381
2015-08-13,85381
2015-08-14,85381
2015-08-15,85166
2015-08-16,85166
2015-08-17,85166
2015-08-18,85564
2015-08-19,85564
2015-08-20,85564
2015-08-21,88000
2015-08-22,88000
2015-08-23,88000
2015-08-24,91110
2015-08-25,91110
2015-08-26,91110
2015-08-27,93260
2015-08-28,93260
2015-08-29,93260
2015-08-30,93260
2015-08-31,91325
2015-09-01,91325
2015-09-02,91325
2015-09-03,91325
2015-09-04,89887
2015-09-05,89887
2015-09-06,89887
2015-09-07,91919
2015-09-08,91919
2015-09-09,91919
2015-09-10,91533
2015-09-11,91533
2015-09-12,91533
2015-09-13,93812
2015-09-14,93812
2015-09-15,97684
2015-09-16,97684
2015-09-17,102171
2015-09-18,102171
2015-09-19,102171
2015-09-20,106974
2015-09-21,106974
2015-09-22,106974
2015-09-23,108900
2015-09-24,108900
2015-09-25,108900
2015-09-27,110542
2015-09-28,110542
2015-09-29,110542
2015-09-30,108705
2015-10-05,103322
2015-10-06,103322
2015-10-07,103322
2015-10-08,102077
2015-10-09,102077
2015-10-10,102077
2015-10-11,100284
2015-10-12,100284
2015-10-13,100284
2015-10-14,100284
2015-10-15,101525
2015-10-16,101525
2015-10-17,101525
2015-10-18,104369
2015-10-19,104369
2015-10-20,108124
2015-10-22,108124
2015-10-23,109587
2015-10-24,109587
2015-10-25,109587
2015-10-26,107307
2015-10-27,107307
2015-10-29,107307
2015-10-30,102360
2015-10-31,102360
2015-11-01,102360
2015-11-02,101486
2015-11-03,101486
2015-11-04,101486
2015-11-05,101486
2015-11-06,103716
2015-11-07,103716
2015-11-08,103716
2015-11-09,103716
2015-11-10,103716
2015-11-11,104942
2015-11-12,104942
2015-11-13,104942
2015-11-14,104942
2015-11-15,104942
2015-11-16,105239
2015-11-17,105239
2015-11-18,105239
2015-11-19,105239
2015-11-20,105865
2015-11-21,105865
2015-11-22,105865
2015-11-23,105865
2015-11-24,106416
2015-11-25,106416
2015-11-26,106416
2015-11-27,106416
2015-11-28,107984
2015-11-29,107984
2015-11-30,107984
2015-12-01,112296
2015-12-02,112296
2015-12-03,112296
2015-12-04,117383
2015-12-05,117383
2015-12-06,117383
2015-12-07,117383
2015-12-08,123128
2015-12-09,123128
2015-12-10,123128
2015-12-11,125417
2015-12-12,125417
2015-12-13,125417
2015-12-14,125417
2015-12-15,120331
2015-12-16,120331
2015-12-17,120331
2015-12-18,118259
2015-12-19,118259
2015-12-20,118259
2015-12-21,116350
2015-12-22,116350
2015-12-23,116350
2015-12-24,115058
2015-12-25,115058
2015-12-26,115058
2015-12-27,114342
2015-12-28,114342
2015-12-29,114342
2015-12-30,114328
2015-12-31,114328
2016-01-01,114328
2016-01-02,113718
2016-01-03,113718
2016-01-04,112853
2016-01-05,112853
2016-01-06,110701
2016-01-07,110701
2016-01-08,110701
2016-01-09,110867
2016-01-10,110867
2016-01-11,110867
2016-01-12,110654
2016-01-13,110654
2016-01-14,114737
2016-01-15,114737
2016-01-16,114737
2016-01-17,117372
2016-01-18,117372
2016-01-19,116783
2016-01-20,116783
2016-01-21,116783
2016-01-22,115702
2016-01-23,115702
2016-01-24,115702
2016-01-25,111860
2016-01-26,111860
2016-01-27,107975
2016-01-28,107975
2016-01-29,107975
2016-01-30,111090
2016-01-31,111090
2016-02-01,114995
2016-02-02,114995
2016-02-03,119012
2016-02-04,119012
2016-02-05,119012
2016-02-06,120795
2016-02-07,120795
2016-02-08,120795
2016-02-09,125813
2016-02-10,125813
2016-02-11,130074
2016-02-12,130074
2016-02-13,133074
2016-02-14,133074
2016-02-15,133074
2016-02-16,132719
2016-02-17,132719
2016-02-18,132719
2016-02-19,127648
2016-02-20,127648
2016-02-21,121670
2016-02-22,121670
2016-02-23,121670
2016-02-24,123210
2016-02-25,123210
2016-02-26,123210
