date_obj,Kebbit%20claws price
2015-03-26,16191
2015-03-27,16191
2015-03-28,16191
2015-03-29,16191
2015-03-30,16191
2015-03-31,16191
2015-04-01,16191
2015-04-02,15402
2015-04-03,15402
2015-04-04,15402
2015-04-05,15402
2015-04-06,15402
2015-04-07,15402
2015-04-08,15402
2015-04-09,15402
2015-04-10,15402
2015-04-11,15402
2015-04-12,15402
2015-04-13,15402
2015-04-14,15402
2015-04-15,15402
2015-04-16,15402
2015-04-17,15402
2015-04-18,15402
2015-04-19,15402
2015-04-20,15402
2015-04-21,15402
2015-04-22,14650
2015-04-23,14650
2015-04-24,14650
2015-04-25,14650
2015-04-26,14650
2015-04-27,14650
2015-04-28,14650
2015-04-29,14650
2015-04-30,14650
2015-05-01,14650
2015-05-02,14650
2015-05-03,14650
2015-05-04,14650
2015-05-05,14650
2015-05-06,14650
2015-05-07,14650
2015-05-08,14650
2015-05-09,14650
2015-05-10,14650
2015-05-11,14650
2015-05-12,14650
2015-05-13,13943
2015-05-14,13943
2015-05-15,13943
2015-05-16,13943
2015-05-17,13943
2015-05-18,13943
2015-05-19,13943
2015-05-20,13943
2015-05-21,13943
2015-05-22,13943
2015-05-23,13943
2015-05-24,13943
2015-05-25,13943
2015-05-26,13943
2015-05-27,13943
2015-05-28,13290
2015-05-29,13290
2015-05-30,13290
2015-05-31,13290
2015-06-01,13290
2015-06-02,13290
2015-06-03,13290
2015-06-04,13290
2015-06-05,13290
2015-06-06,13290
2015-06-07,13290
2015-06-08,13290
2015-06-09,13290
2015-06-10,13290
2015-06-11,12639
2015-06-12,12639
2015-06-13,12639
2015-06-14,12639
2015-06-15,12639
2015-06-16,12639
2015-06-17,12639
2015-06-18,12639
2015-06-19,12639
2015-06-20,12639
2015-06-21,12639
2015-06-22,12639
2015-06-23,12639
2015-06-24,12639
2015-06-25,12639
2015-06-26,12036
2015-06-27,12036
2015-06-28,12036
2015-06-29,12036
2015-06-30,12036
2015-07-01,12036
2015-07-02,12036
2015-07-03,12036
2015-07-04,12036
2015-07-05,12036
2015-07-06,12036
2015-07-07,12036
2015-07-08,12036
2015-07-09,12036
2015-07-10,12036
2015-07-11,12036
2015-07-12,12036
2015-07-13,11481
2015-07-14,11481
2015-07-15,11481
2015-07-16,11481
2015-07-17,11481
2015-07-18,11481
2015-07-19,11481
2015-07-20,11481
2015-07-21,11481
2015-07-22,11481
2015-07-23,11481
2015-07-24,11481
2015-07-25,11481
2015-07-26,11481
2015-07-27,11481
2015-07-28,10933
2015-07-29,10933
2015-07-30,10933
2015-07-31,10933
2015-08-01,10933
2015-08-02,10933
2015-08-03,10933
2015-08-04,10933
2015-08-05,10933
2015-08-06,10933
2015-08-07,10933
2015-08-08,10412
2015-08-09,10412
2015-08-10,10412
2015-08-11,10412
2015-08-12,10412
2015-08-13,10412
2015-08-14,10412
2015-08-15,10412
2015-08-16,10412
2015-08-17,10412
2015-08-18,10412
2015-08-19,10412
2015-08-20,10412
2015-08-21,10412
2015-08-22,9921
2015-08-23,9921
2015-08-24,9921
2015-08-25,9921
