date_obj,Zamorak%20platelegs price
2015-03-26,130176
2015-03-27,130176
2015-03-28,129001
2015-03-29,129001
2015-03-30,125980
2015-03-31,125980
2015-04-01,125980
2015-04-02,122933
2015-04-03,122933
2015-04-04,119096
2015-04-05,119096
2015-04-06,114794
2015-04-07,114794
2015-04-08,114794
2015-04-09,112161
2015-04-10,112161
2015-04-11,109656
2015-04-12,109656
2015-04-13,106368
2015-04-14,106368
2015-04-15,103930
2015-04-16,103930
2015-04-17,101697
2015-04-18,101697
2015-04-19,101148
2015-04-20,101148
2015-04-21,101148
2015-04-22,100097
2015-04-23,100097
2015-04-24,96803
2015-04-25,96803
2015-04-26,94949
2015-04-27,94949
2015-04-28,93500
2015-04-29,93500
2015-04-30,92106
2015-05-01,92106
2015-05-02,90505
2015-05-03,90505
2015-05-04,87602
2015-05-05,87602
2015-05-06,84952
2015-05-07,84952
2015-05-08,83126
2015-05-09,83126
2015-05-10,80993
2015-05-11,80993
2015-05-12,80603
2015-05-13,80603
2015-05-14,80167
2015-05-15,80167
2015-05-16,80167
2015-05-17,78124
2015-05-18,78124
2015-05-19,77217
2015-05-20,77217
2015-05-21,77217
2015-05-22,76061
2015-05-23,76061
2015-05-24,75777
2015-05-25,75777
2015-05-26,76544
2015-05-27,76544
2015-05-28,77345
2015-05-29,77345
2015-05-30,78302
2015-05-31,78302
2015-06-01,78476
2015-06-02,78476
2015-06-03,78652
2015-06-04,78652
2015-06-05,78174
2015-06-06,78122
2015-06-07,79860
2015-06-08,79860
2015-06-09,80127
2015-06-10,81045
2015-06-11,81045
2015-06-12,81289
2015-06-13,79459
2015-06-14,79459
2015-06-15,78692
2015-06-16,78497
2015-06-17,78497
2015-06-18,77711
2015-06-19,77711
2015-06-20,77279
2015-06-21,77279
2015-06-22,76584
2015-06-23,76584
2015-06-24,76634
2015-06-25,76634
2015-06-26,76478
2015-06-27,76478
2015-06-28,76762
2015-06-29,76762
2015-06-30,76878
2015-07-01,77891
