date_obj,Steel%20warhammer price
2015-03-26,9547
2015-03-27,9547
2015-03-28,9069
2015-03-29,9069
2015-03-30,8650
2015-03-31,8650
2015-04-01,8650
2015-04-02,8217
2015-04-03,8217
2015-04-04,7806
2015-04-05,7806
2015-04-06,7806
2015-04-07,7415
2015-04-08,7415
2015-04-09,7415
2015-04-10,7044
2015-04-11,7044
2015-04-12,6702
2015-04-13,6702
2015-04-14,6702
2015-04-15,6366
2015-04-16,6366
2015-04-17,6366
2015-04-18,6047
2015-04-19,6047
2015-04-20,6047
2015-04-21,5753
2015-04-22,5753
2015-04-23,5753
2015-04-24,5465
2015-04-25,5465
2015-04-26,5465
2015-04-27,5191
2015-04-28,5191
2015-04-29,5191
2015-04-30,4931
2015-05-01,4931
2015-05-02,4684
2015-05-03,4684
2015-05-04,4684
2015-05-05,4449
2015-05-06,4449
2015-05-07,4237
2015-05-08,4237
2015-05-09,4237
2015-05-10,4025
2015-05-11,4025
2015-05-12,4025
2015-05-13,3823
2015-05-14,3823
2015-05-15,3823
2015-05-16,3637
2015-05-17,3637
2015-05-18,3455
2015-05-19,3455
2015-05-20,3455
2015-05-21,3455
2015-05-22,3282
2015-05-23,3282
2015-05-24,3282
2015-05-25,3117
2015-05-26,3117
2015-05-27,3117
2015-05-28,2961
2015-05-29,2961
2015-05-30,2812
2015-05-31,2812
2015-06-01,2674
2015-06-02,2674
2015-06-03,2674
2015-06-04,2545
2015-06-05,2545
2015-06-06,2417
2015-06-07,2417
2015-06-08,2302
2015-06-09,2302
2015-06-10,2186
2015-06-11,2186
2015-06-12,2186
2015-06-13,2076
2015-06-14,2076
2015-06-15,1979
2015-06-16,1979
2015-06-17,1886
2015-06-18,1886
2015-06-19,1794
2015-06-20,1794
2015-06-21,1707
2015-06-22,1707
2015-06-23,1627
2015-06-24,1627
2015-06-25,1548
2015-06-26,1473
2015-06-27,1473
2015-06-28,1404
2015-06-29,1404
2015-06-30,1337
2015-07-01,1337
2015-07-02,1274
2015-07-03,1274
2015-07-04,1210
2015-07-05,1210
2015-07-06,1153
2015-07-07,1153
2015-07-08,1095
2015-07-09,1095
2015-07-10,1046
2015-07-11,1046
2015-07-12,1001
2015-07-13,1001
2015-07-14,950
2015-07-15,950
2015-07-16,903
2015-07-17,903
2015-07-18,860
2015-07-19,860
2015-07-20,822
2015-07-21,822
2015-07-22,780
2015-07-23,780
2015-07-24,747
2015-07-25,747
2015-07-26,710
2015-07-27,710
2015-07-28,676
2015-07-29,676
2015-07-30,645
2015-07-31,645
2015-08-01,616
2015-08-02,616
2015-08-03,585
2015-08-04,585
2015-08-05,555
2015-08-06,555
2015-08-07,555
2015-08-08,527
2015-08-09,527
2015-08-10,500
2015-08-11,500
2015-08-12,477
2015-08-13,477
2015-08-14,453
2015-08-15,453
2015-08-16,432
2015-08-17,432
2015-08-18,412
2015-08-19,412
2015-08-20,393
2015-08-21,393
2015-08-22,373
2015-08-23,373
2015-08-24,360
2015-08-25,360
2015-08-26,360
2015-08-27,344
2015-08-28,344
2015-08-29,344
2015-08-30,326
2015-08-31,326
2015-09-01,310
2015-09-02,310
2015-09-03,310
2015-09-04,294
2015-09-05,294
2015-09-06,294
2015-09-07,279
2015-09-08,279
2015-09-09,279
2015-09-10,268
2015-09-11,268
2015-09-12,268
2015-09-13,259
2015-09-14,259
2015-09-15,259
2015-09-16,254
2015-09-17,254
2015-09-18,254
2015-09-19,247
2015-09-20,247
2015-09-21,247
2015-09-22,237
2015-09-23,237
2015-09-24,237
2015-09-25,239
2015-09-27,239
2015-09-28,239
2015-09-29,239
2015-09-30,239
2015-10-05,241
2015-10-06,241
2015-10-07,232
2015-10-08,232
2015-10-09,232
2015-10-10,232
2015-10-11,232
2015-10-12,233
2015-10-13,233
2015-10-14,233
2015-10-15,229
2015-10-16,229
2015-10-17,229
2015-10-18,231
2015-10-19,231
2015-10-20,231
2015-10-22,230
2015-10-23,230
2015-10-24,230
2015-10-25,239
2015-10-26,239
2015-10-27,239
2015-10-29,231
2015-10-30,231
2015-10-31,225
2015-11-01,225
2015-11-02,225
2015-11-03,229
2015-11-04,229
2015-11-05,229
2015-11-06,233
2015-11-07,233
2015-11-08,233
2015-11-09,238
2015-11-10,238
2015-11-11,238
2015-11-12,243
2015-11-13,243
2015-11-14,243
2015-11-15,250
2015-11-16,250
2015-11-17,250
2015-11-18,250
2015-11-19,254
2015-11-20,254
2015-11-21,254
2015-11-22,257
2015-11-23,257
2015-11-24,257
2015-11-25,251
2015-11-26,251
2015-11-27,251
2015-11-28,251
2015-11-29,249
2015-11-30,249
2015-12-01,249
2015-12-02,244
2015-12-03,244
2015-12-04,244
2015-12-05,232
2015-12-06,232
2015-12-07,232
2015-12-08,221
2015-12-09,221
2015-12-10,222
2015-12-11,222
2015-12-13,220
2015-12-14,220
2015-12-15,220
2015-12-16,218
2015-12-17,218
2015-12-18,218
2015-12-19,225
2015-12-20,225
2015-12-21,228
2015-12-22,228
2015-12-23,221
2015-12-24,221
2015-12-25,221
2015-12-26,223
2015-12-27,223
2015-12-28,228
2015-12-29,228
2015-12-30,225
2015-12-31,225
2016-01-01,225
2016-01-02,221
2016-01-03,221
2016-01-04,213
2016-01-05,213
2016-01-06,218
2016-01-07,218
2016-01-08,218
