date_obj,Blue%20dragonhide%20set price
2015-03-26,24535
2015-03-27,24535
2015-03-28,23323
2015-03-29,23323
2015-03-30,22156
2015-03-31,22156
2015-04-01,21132
2015-04-02,21132
2015-04-03,20075
2015-04-04,20075
2015-04-05,19071
2015-04-06,19071
2015-04-07,18117
2015-04-08,18117
2015-04-09,18117
2015-04-10,17211
2015-04-11,17211
2015-04-12,16350
2015-04-13,16350
2015-04-14,15574
2015-04-15,15574
2015-04-16,14869
2015-04-17,14869
2015-04-18,14175
2015-04-19,14175
2015-04-20,14175
2015-04-21,13466
2015-04-22,13466
2015-04-23,12881
2015-04-24,12881
2015-04-25,12881
2015-04-26,12469
2015-04-27,12469
2015-04-28,11980
2015-04-29,11980
2015-04-30,11980
2015-05-01,11630
2015-05-02,11630
2015-05-03,11630
2015-05-04,11636
2015-05-05,11636
2015-05-06,11487
2015-05-07,11487
2015-05-08,11487
2015-05-09,10971
2015-05-10,10971
2015-05-11,10971
2015-05-12,11308
2015-05-13,11308
2015-05-14,11308
2015-05-15,11257
2015-05-16,11257
2015-05-17,11084
2015-05-18,11084
2015-05-19,11084
2015-05-20,10677
2015-05-21,10677
2015-05-22,10677
2015-05-23,10143
2015-05-24,10143
2015-05-25,10056
2015-05-26,10056
2015-05-27,10056
2015-05-28,10239
2015-05-29,10239
2015-05-30,10536
2015-05-31,10536
2015-06-01,10771
2015-06-02,10771
2015-06-03,10771
2015-06-04,10618
2015-06-05,10618
2015-06-06,10591
2015-06-07,10591
2015-06-08,10637
2015-06-09,10637
2015-06-10,10700
2015-06-11,10700
2015-06-12,10700
2015-06-13,10821
2015-06-14,10821
2015-06-15,11118
2015-06-16,11118
2015-06-17,11240
2015-06-18,11240
2015-06-19,11298
2015-06-20,11298
2015-06-21,11523
2015-06-22,11523
2015-06-23,10965
2015-06-24,10965
2015-06-25,10416
2015-06-26,10416
2015-06-27,9901
2015-06-28,9901
2015-06-29,9835
2015-06-30,9835
2015-07-01,10107
2015-07-02,10107
2015-07-03,10410
2015-07-04,10410
2015-07-05,10410
2015-07-06,10545
2015-07-07,10545
2015-07-08,10680
2015-07-09,10680
2015-07-10,10950
2015-07-11,10950
2015-07-12,10950
2015-07-13,11059
2015-07-14,11059
2015-07-15,11086
2015-07-16,11086
2015-07-17,10975
2015-07-18,10975
2015-07-19,11125
2015-07-20,11125
2015-07-21,10980
2015-07-22,10980
2015-07-23,10932
2015-07-24,10932
2015-07-25,10880
2015-07-26,10880
2015-07-27,10733
2015-07-28,10733
2015-07-29,10216
2015-07-30,10216
2015-07-31,9832
2015-08-01,9832
2015-08-02,9943
2015-08-03,9943
2015-08-04,9943
2015-08-05,10198
2015-08-06,10198
2015-08-07,10198
2015-08-08,10374
2015-08-09,10374
2015-08-10,10711
2015-08-11,10711
2015-08-12,10711
2015-08-13,10781
2015-08-14,10781
2015-08-15,10379
2015-08-16,10379
2015-08-17,9954
2015-08-18,9954
2015-08-19,9884
2015-08-20,9884
2015-08-21,10227
2015-08-22,10227
2015-08-23,10456
2015-08-24,10456
2015-08-25,10456
2015-08-26,10685
2015-08-27,10685
2015-08-28,11076
2015-08-29,11076
2015-08-30,11076
2015-08-31,10972
2015-09-01,10972
2015-09-02,10972
2015-09-03,11255
2015-09-04,11255
2015-09-05,11255
2015-09-06,11571
2015-09-07,11571
2015-09-08,11631
2015-09-09,11631
2015-09-10,11720
2015-09-11,11720
2015-09-12,11720
2015-09-13,11302
2015-09-14,11302
2015-09-15,11205
2015-09-16,11205
2015-09-17,11205
2015-09-18,10788
2015-09-19,10788
2015-09-20,10488
2015-09-21,10488
2015-09-22,10259
2015-09-23,10259
2015-09-24,10259
2015-09-25,10559
2015-09-27,10559
2015-09-28,10851
2015-09-29,10851
2015-09-30,10851
2015-10-05,10750
2015-10-06,10750
2015-10-07,10921
2015-10-08,10921
2015-10-09,10800
2015-10-10,10800
2015-10-11,10614
2015-10-12,10614
2015-10-13,10614
2015-10-14,10697
2015-10-15,10697
2015-10-16,10747
2015-10-17,10747
2015-10-18,10747
2015-10-19,10837
2015-10-20,10837
2015-10-22,10881
2015-10-23,10881
2015-10-24,11040
2015-10-25,11040
2015-10-26,11188
2015-10-27,11188
2015-10-29,10708
2015-10-30,10708
2015-10-31,10505
2015-11-01,10505
2015-11-02,10546
2015-11-03,10546
2015-11-04,10546
2015-11-05,10802
2015-11-06,10802
2015-11-07,10504
2015-11-08,10504
2015-11-09,10504
2015-11-10,10678
2015-11-11,10678
2015-11-12,11023
2015-11-13,11023
2015-11-14,11023
2015-11-15,11273
2015-11-16,11273
2015-11-17,11273
2015-11-18,11586
2015-11-19,11586
2015-11-20,11434
2015-11-21,11434
2015-11-22,11346
2015-11-23,11346
2015-11-24,11346
2015-11-25,11312
2015-11-26,11312
2015-11-27,11312
2015-11-28,11099
2015-11-29,11099
2015-11-30,11164
2015-12-01,11164
