date_obj,Yew%20pyre%20logs price
2015-03-26,31500
2015-03-27,31500
2015-03-28,31500
2015-03-29,31500
2015-03-30,31500
2015-03-31,31500
2015-04-01,31500
2015-04-02,31500
2015-04-03,31500
2015-04-04,31500
2015-04-05,31500
2015-04-06,31500
2015-04-07,31500
2015-04-08,31500
2015-04-09,31500
2015-04-10,31500
2015-04-11,31500
2015-04-12,31500
2015-04-13,31500
2015-04-14,31500
2015-04-15,31500
2015-04-16,31500
2015-04-17,31500
2015-04-18,31500
2015-04-19,31500
2015-04-20,31500
2015-04-21,31500
2015-04-22,31500
2015-04-23,31500
2015-04-24,31500
2015-04-25,31500
2015-04-26,31500
2015-04-27,31500
2015-04-28,31500
2015-04-29,31500
2015-04-30,31500
2015-05-01,31500
2015-05-02,31500
2015-05-03,31500
2015-05-04,31500
2015-05-05,31500
2015-05-06,31500
2015-05-07,31500
2015-05-08,31500
2015-05-09,31500
2015-05-10,31500
2015-05-11,31500
2015-05-12,31500
2015-05-13,31500
2015-05-14,31500
2015-05-15,31500
2015-05-16,31500
2015-05-17,31500
2015-05-18,31500
2015-05-19,31500
2015-05-20,31500
2015-05-21,31500
2015-05-22,31500
2015-05-23,31500
2015-05-24,31500
2015-05-25,31500
2015-05-26,31500
2015-05-27,31500
2015-05-28,30042
2015-05-29,30042
2015-05-30,30042
2015-05-31,30042
2015-06-01,30042
2015-06-02,30042
2015-06-03,30042
2015-06-04,30042
2015-06-05,30042
2015-06-06,30042
2015-06-07,30042
2015-06-08,30042
2015-06-09,30042
2015-06-10,30042
2015-06-11,30042
2015-06-12,30042
2015-06-13,30042
2015-06-14,30042
2015-06-15,30042
2015-06-16,30042
2015-06-17,30042
2015-06-18,30042
2015-06-19,30042
2015-06-20,30042
2015-06-21,30042
2015-06-22,30042
2015-06-23,30042
2015-06-24,30042
2015-06-25,30042
2015-06-26,30042
2015-06-27,30042
2015-06-28,30042
2015-06-29,30042
2015-06-30,30042
2015-07-01,30042
2015-07-02,30042
2015-07-03,30042
2015-07-04,30042
2015-07-05,30042
2015-07-06,30042
2015-07-07,30042
2015-07-08,30042
2015-07-09,30042
2015-07-10,30042
2015-07-11,30042
2015-07-12,30042
2015-07-13,30042
2015-07-14,30042
2015-07-15,30042
2015-07-16,30042
2015-07-17,30042
2015-07-18,30042
2015-07-19,30042
2015-07-20,30042
2015-07-21,30042
2015-07-22,30042
2015-07-23,30042
2015-07-24,30042
2015-07-25,30042
2015-07-26,30042
2015-07-27,30042
2015-07-28,30042
2015-07-29,30042
2015-07-30,30042
2015-07-31,30042
2015-08-01,30042
2015-08-02,28561
2015-08-03,28561
2015-08-04,28561
2015-08-05,28561
2015-08-06,28561
2015-08-07,28561
2015-08-08,28561
2015-08-09,28561
2015-08-10,28561
2015-08-11,28561
2015-08-12,28561
2015-08-13,28561
2015-08-14,28561
2015-08-15,28561
2015-08-16,28561
2015-08-17,28561
2015-08-18,28561
2015-08-19,28561
2015-08-20,28561
2015-08-21,28561
2015-08-22,28561
2015-08-23,28561
2015-08-24,28561
2015-08-25,28561
2015-08-26,28561
2015-08-27,28561
2015-08-28,28561
2015-08-29,28561
2015-08-30,28561
2015-08-31,28561
2015-09-01,28561
2015-09-02,28561
2015-09-03,28561
2015-09-04,28561
2015-09-05,28561
2015-09-06,28561
2015-09-07,28561
2015-09-08,28561
2015-09-09,28561
2015-09-10,28561
2015-09-11,28561
2015-09-12,28561
2015-09-13,28561
2015-09-14,28561
2015-09-15,28561
2015-09-16,28561
2015-09-17,27194
2015-09-18,27194
2015-09-19,27194
2015-09-20,27194
2015-09-21,27194
2015-09-22,27194
2015-09-23,27194
2015-09-24,27194
2015-09-25,27194
2015-09-27,27194
2015-09-28,27194
2015-09-29,27194
2015-09-30,27194
2015-10-05,27194
2015-10-06,27194
2015-10-07,27194
2015-10-08,27194
2015-10-09,27194
2015-10-10,27194
2015-10-11,27194
2015-10-12,27194
2015-10-13,27194
2015-10-14,27194
2015-10-15,27194
2015-10-16,27194
2015-10-17,27194
2015-10-18,27194
2015-10-19,27194
2015-10-20,27194
2015-10-22,27194
2015-10-23,27194
2015-10-24,27194
2015-10-25,27194
2015-10-26,27194
2015-10-27,27194
2015-10-29,27194
2015-10-30,27194
2015-10-31,27194
2015-11-01,27194
2015-11-02,27194
2015-11-03,27194
2015-11-05,27194
2015-11-06,27194
2015-11-07,27194
2015-11-08,27194
2015-11-09,27194
2015-11-10,27194
2015-11-11,27194
2015-11-12,27194
2015-11-13,27194
2015-11-14,27194
2015-11-15,27194
2015-11-16,27194
2015-11-17,27194
2015-11-18,27194
2015-11-19,27194
2015-11-20,27194
2015-11-21,27194
2015-11-22,25945
2015-11-23,25945
2015-11-24,25945
2015-11-25,25945
2015-11-26,25945
2015-11-27,25945
2015-11-28,25945
2015-11-29,25945
2015-11-30,25945
2015-12-01,25945
2015-12-02,25945
2015-12-03,25945
2015-12-04,25945
2015-12-05,25945
2015-12-06,25945
2015-12-07,25945
2015-12-08,25945
2015-12-09,25945
2015-12-10,25945
2015-12-11,25945
2015-12-13,25945
2015-12-14,25945
2015-12-15,25945
2015-12-16,25945
2015-12-17,25945
2015-12-18,25945
2015-12-19,25945
2015-12-20,25945
2015-12-21,25945
2015-12-22,25945
2015-12-23,25945
2015-12-24,25945
2015-12-25,25945
2015-12-26,25945
2015-12-27,25945
2015-12-28,25945
2015-12-29,25945
2015-12-30,25945
2015-12-31,25945
2016-01-01,25945
2016-01-02,25945
2016-01-03,25945
2016-01-04,25945
2016-01-05,25945
2016-01-06,25945
2016-01-07,25945
2016-01-08,25945
2016-01-09,25945
2016-01-10,25945
2016-01-11,25945
2016-01-12,25945
2016-01-13,24651
2016-01-14,24651
2016-01-15,24651
2016-01-16,24651
2016-01-18,24651
2016-01-19,24651
2016-01-20,24651
2016-01-21,24651
2016-01-22,24651
2016-01-23,24651
2016-01-24,24651
2016-01-25,24651
2016-01-26,24651
2016-01-27,24651
2016-01-28,24651
2016-01-29,24651
2016-01-30,24651
2016-01-31,24651
2016-02-01,24651
2016-02-02,24651
2016-02-03,24651
2016-02-04,24651
2016-02-05,24651
2016-02-06,24651
2016-02-07,24651
2016-02-08,24651
2016-02-09,24651
2016-02-10,24651
2016-02-11,24651
2016-02-12,24651
2016-02-13,24651
2016-02-14,24651
2016-02-15,24651
2016-02-16,24651
2016-02-17,23450
2016-02-18,23450
2016-02-19,23450
2016-02-20,23450
2016-02-21,23450
2016-02-22,23450
2016-02-23,23450
2016-02-24,23450
2016-02-25,23450
2016-02-26,23450
2016-02-27,23450
2016-02-28,23450
2016-02-29,23450
2016-03-01,23450
2016-03-02,23450
2016-03-03,23450
2016-03-04,23450
2016-03-05,23450
2016-03-06,23450
2016-03-07,23450
2016-03-08,23450
2016-03-09,23450
2016-03-10,23450
2016-03-11,23450
2016-03-12,23450
2016-03-13,23450
2016-03-14,23450
2016-03-15,22347
2016-03-16,22347
2016-03-17,22347
2016-03-18,22347
2016-03-19,22347
2016-03-20,22347
2016-03-21,22347
2016-03-22,22347
2016-03-23,22347
2016-03-24,22347
2016-03-25,22347
2016-03-26,22347
2016-03-27,22347
2016-03-28,22347
2016-03-29,22347
2016-03-30,22347
2016-03-31,22347
2016-04-01,22347
2016-04-02,22347
2016-04-03,22347
2016-04-04,22347
2016-04-05,22347
2016-04-06,22347
2016-04-07,22347
2016-04-08,22347
2016-04-09,21254
2016-04-10,21254
2016-04-11,21254
2016-04-12,21254
2016-04-13,21254
2016-04-14,21254
2016-04-15,21254
2016-04-16,21254
2016-04-17,21254
2016-04-18,21254
2016-04-19,21254
2016-04-20,21254
2016-04-21,21254
2016-04-22,21254
2016-04-23,21254
2016-04-24,21254
2016-04-25,21254
2016-04-26,21254
2016-04-27,21254
2016-04-28,21254
2016-04-29,21254
2016-04-30,21254
2016-05-01,21254
2016-05-02,21254
2016-05-03,21254
2016-05-04,21254
2016-05-05,20252
2016-05-06,20252
2016-05-07,20252
2016-05-08,20252
2016-05-09,20252
2016-05-10,20252
2016-05-11,20252
2016-05-12,20252
2016-05-13,20252
2016-05-14,20252
2016-05-15,20252
2016-05-16,20252
2016-05-17,20252
2016-05-18,20252
2016-05-19,20252
2016-05-22,20252
2016-05-23,20252
2016-05-24,20252
2016-05-25,20252
2016-05-26,20252
2016-05-27,19273
2016-05-28,19273
2016-05-29,19273
2016-05-30,19273
2016-05-31,19273
2016-06-01,19273
2016-06-02,19273
2016-06-03,19273
2016-06-04,19273
2016-06-05,19273
2016-06-06,19273
2016-06-07,19273
2016-06-08,19273
2016-06-09,19273
2016-06-10,19273
2016-06-11,19273
2016-06-12,19273
2016-06-13,19273
2016-06-14,19273
2016-06-15,19273
2016-06-16,19273
2016-06-17,19273
2016-06-18,19273
