date_obj,Dragon%20metal%20lump price
2018-01-03,1500000
2018-01-04,1500000
2018-01-05,1561960
2018-01-06,1561960
2018-01-07,1561960
2018-01-08,1630366
2018-01-09,1630366
2018-01-10,1630366
2018-01-11,1630366
2018-01-12,1630366
2018-01-13,1630366
2018-01-14,1702209
2018-01-15,1702209
2018-01-16,1702209
2018-01-17,1702209
2018-01-18,1702209
2018-01-19,1702209
2018-01-20,1702209
2018-01-21,1702209
2018-01-22,1702209
2018-01-23,1702209
2018-01-25,1781434
2018-01-26,1781434
2018-01-27,1781434
2018-01-28,1781434
2018-01-29,1781434
2018-01-30,1781434
2018-01-31,1781434
2018-02-01,1781434
2018-02-02,1781434
2018-02-03,1781434
2018-02-04,1864062
2018-02-05,1864062
2018-02-06,1864062
2018-02-07,1864062
2018-02-08,1864062
2018-02-09,1864062
2018-02-10,1864062
2018-02-11,1864062
2018-02-12,1864062
2018-02-13,1864062
2018-02-14,1949754
2018-02-15,1949754
2018-02-16,1949754
2018-02-17,1949754
2018-02-18,1949754
2018-02-19,1949754
2018-02-20,1949754
2018-02-21,1949754
2018-02-22,1949754
2018-02-23,1949754
2018-02-24,1949754
2018-02-25,1949754
2018-02-26,2039873
2018-02-27,2039873
2018-02-28,2039873
2018-03-01,2039873
2018-03-02,2039873
2018-03-03,2039873
2018-03-04,2039873
2018-03-05,2039873
2018-03-06,2039873
2018-03-07,2039873
2018-03-08,2039873
2018-03-09,2039873
2018-03-10,2039873
2018-03-11,2039873
2018-03-12,2039873
2018-03-13,2129317
2018-03-14,2129317
2018-03-15,2129317
2018-03-16,2129317
2018-03-17,2129317
2018-03-18,2129317
2018-03-20,2129317
2018-03-21,2129317
2018-03-23,2129317
2018-03-24,2129317
2018-03-25,2129317
2018-03-26,2230580
2018-03-27,2230580
2018-03-28,2230580
2018-03-29,2230580
2018-03-30,2230580
2018-03-31,2230580
2018-04-01,2230580
2018-04-02,2230580
2018-04-03,2230580
2018-04-04,2230580
2018-04-05,2230580
2018-04-06,2230580
2018-04-07,2230580
2018-04-08,2230580
2018-04-09,2336878
2018-04-10,2336878
2018-04-11,2336878
2018-04-12,2336878
2018-04-13,2336878
2018-04-14,2336878
2018-04-15,2336878
2018-04-16,2336878
2018-04-17,2336878
2018-04-18,2336878
2018-04-19,2336878
2018-04-20,2336878
2018-04-21,2336878
2018-04-22,2336878
2018-04-23,2336878
2018-04-24,2336878
2018-04-25,2336878
2018-04-26,2336878
2018-04-27,2451698
2018-04-28,2451698
2018-04-29,2451698
2018-04-30,2451698
2018-05-01,2451698
2018-05-03,2451698
2018-05-04,2451698
2018-05-05,2451698
2018-05-07,2451698
2018-05-08,2451698
2018-05-09,2451698
2018-05-10,2451698
2018-05-11,2451698
2018-05-12,2451698
2018-05-13,2451698
2018-05-14,2570486
2018-05-15,2570486
2018-05-16,2570486
2018-05-17,2570486
2018-05-18,2570486
2018-05-19,2570486
2018-05-20,2570486
2018-05-21,2570486
2018-05-22,2570486
2018-05-23,2570486
2018-05-24,2570486
2018-05-25,2570486
2018-05-26,2570486
2018-05-27,2570486
2018-05-28,2570486
2018-05-29,2570486
2018-05-30,2694787
2018-05-31,2694787
2018-06-01,2694787
2018-06-02,2694787
2018-06-03,2694787
2018-06-04,2694787
2018-06-05,2694787
2018-06-06,2694787
2018-06-07,2694787
2018-06-08,2694787
2018-06-09,2694787
2018-06-10,2694787
2018-06-11,2694787
2018-06-12,2694787
2018-06-13,2694787
2018-06-14,2694787
2018-06-15,2694787
2018-06-16,2820889
2018-06-17,2820889
2018-06-18,2820889
2018-06-19,2820889
2018-06-20,2820889
2018-06-21,2820889
2018-06-22,2820889
2018-06-23,2820889
2018-06-24,2820889
2018-06-25,2820889
2018-06-26,2820889
2018-06-27,2820889
2018-06-28,2820889
2018-06-29,2820889
2018-06-30,2960551
2018-07-01,2960551
2018-07-02,2960551
2018-07-03,2960551
2018-07-04,2960551
2018-07-05,2960551
2018-07-06,2960551
2018-07-07,2960551
2018-07-08,2960551
2018-07-09,2960551
2018-07-10,2960551
2018-07-11,2960551
2018-07-12,2960551
2018-07-13,2960551
2018-07-14,2960551
2018-07-15,2960551
2018-07-16,2960551
2018-07-17,2960551
2018-07-18,2960551
2018-07-19,2960551
2018-07-20,2960551
2018-07-21,2960551
2018-07-22,2960551
2018-07-23,2960551
2018-07-24,2960551
2018-07-25,3101595
2018-07-26,3101595
2018-07-27,3101595
2018-07-28,3101595
2018-07-29,3101595
2018-07-30,3101595
2018-07-31,3101595
2018-08-01,3101595
2018-08-02,3101595
2018-08-03,3101595
2018-08-04,3101595
2018-08-05,3101595
2018-08-06,3101595
2018-08-07,3101595
2018-08-08,3101595
2018-08-09,3101595
2018-08-10,3101595
2018-08-11,3247590
2018-08-12,3247590
2018-08-14,3247590
2018-08-16,3247590
2018-08-17,3247590
2018-08-18,3247590
2018-08-19,3247590
2018-08-20,3247590
2018-08-21,3247590
2018-08-22,3247590
2018-08-23,3247590
2018-08-24,3247590
2018-08-25,3395508
2018-08-26,3395508
2018-08-27,3395508
2018-08-28,3395508
2018-08-29,3395508
2018-08-30,3395508
2018-08-31,3395508
2018-09-01,3395508
2018-09-02,3395508
2018-09-03,3395508
2018-09-04,3395508
2018-09-05,3395508
2018-09-06,3395508
2018-09-07,3395508
2018-09-08,3395508
2018-09-09,3559871
2018-09-10,3559871
2018-09-11,3559871
2018-09-12,3559871
2018-09-13,3559871
2018-09-14,3559871
2018-09-15,3559871
2018-09-16,3559871
2018-09-17,3559871
2018-09-18,3559871
2018-09-19,3559871
2018-09-20,3559871
2018-09-21,3559871
2018-09-22,3559871
2018-09-23,3559871
2018-09-24,3719122
2018-09-25,3719122
2018-09-26,3719122
2018-09-27,3719122
2018-09-28,3719122
2018-09-29,3719122
2018-09-30,3719122
2018-10-02,3719122
2018-10-03,3719122
2018-10-04,3719122
2018-10-05,3719122
2018-10-06,3719122
2018-10-07,3719122
2018-10-08,3719122
2018-10-09,3719122
2018-10-10,3902694
2018-10-11,3902694
2018-10-12,3902694
2018-10-13,3902694
2018-10-14,3902694
2018-10-15,3902694
2018-10-16,3902694
