date_obj,Mirror%20shield price
2015-03-26,5485
2015-03-27,5485
2015-03-28,5442
2015-03-29,5442
2015-03-30,5352
2015-03-31,5352
2015-04-01,5352
2015-04-02,5191
2015-04-03,5191
2015-04-04,5116
2015-04-05,5116
2015-04-06,5116
2015-04-07,5093
2015-04-08,5093
2015-04-09,5093
2015-04-10,5019
2015-04-11,5019
2015-04-12,5019
2015-04-13,5102
2015-04-14,5102
2015-04-15,5102
2015-04-16,5056
2015-04-17,5056
2015-04-18,5056
2015-04-19,5033
2015-04-20,5033
2015-04-21,5033
2015-04-22,5052
2015-04-23,5052
2015-04-24,5052
2015-04-25,5099
2015-04-26,5099
2015-04-27,5132
2015-04-28,5132
2015-04-29,5132
2015-04-30,5174
2015-05-01,5174
2015-05-02,5174
2015-05-03,5154
2015-05-04,5154
2015-05-05,5154
2015-05-06,5112
2015-05-07,5112
2015-05-08,5112
2015-05-09,5151
2015-05-10,5151
2015-05-11,5151
2015-05-12,5177
2015-05-13,5177
2015-05-14,5177
2015-05-15,5262
2015-05-16,5262
2015-05-17,5262
2015-05-18,5087
2015-05-19,5087
2015-05-20,5087
2015-05-21,5087
2015-05-22,4941
2015-05-23,4941
2015-05-24,4941
2015-05-25,4900
2015-05-26,4900
2015-05-27,4900
2015-05-28,4937
2015-05-29,4937
2015-05-30,5073
2015-05-31,5073
2015-06-01,5174
2015-06-02,5174
2015-06-03,5174
2015-06-04,5227
2015-06-05,5227
2015-06-06,5136
2015-06-07,5136
2015-06-08,5136
2015-06-09,4996
2015-06-10,4996
2015-06-11,5013
2015-06-12,5013
2015-06-13,5013
2015-06-14,5033
2015-06-15,5033
2015-06-16,5077
2015-06-17,5077
2015-06-18,5187
2015-06-19,5187
2015-06-20,5230
2015-06-21,5230
2015-06-22,5200
2015-06-23,5200
2015-06-24,5161
2015-06-25,5161
2015-06-26,5275
2015-06-27,5275
2015-06-28,5285
2015-06-29,5285
2015-06-30,5285
2015-07-01,5263
2015-07-02,5263
2015-07-03,5244
2015-07-04,5244
2015-07-05,5244
2015-07-06,5146
2015-07-07,5146
2015-07-08,5147
2015-07-09,5147
2015-07-10,5147
2015-07-11,5060
2015-07-12,5060
2015-07-13,5060
2015-07-14,5087
2015-07-15,5087
2015-07-16,5128
2015-07-17,5128
2015-07-18,5128
2015-07-19,5137
2015-07-20,5137
2015-07-21,5137
2015-07-22,5150
2015-07-23,5150
2015-07-24,5150
2015-07-25,5173
2015-07-26,5173
2015-07-27,5262
2015-07-28,5262
2015-07-29,5244
2015-07-30,5244
2015-07-31,5244
2015-08-01,5303
