date_obj,Evil%20chicken%20legs price
2016-07-23,470204
2016-07-24,470204
2016-07-25,470204
2016-07-26,470204
2016-07-27,492220
2016-07-28,492220
2016-07-29,492220
2016-07-30,492220
2016-07-31,492220
2016-08-01,492220
2016-08-02,492220
2016-08-03,492220
2016-08-04,492220
2016-08-05,492220
2016-08-06,492220
2016-08-07,492220
2016-08-08,492220
2016-08-09,492220
2016-08-10,492220
2016-08-11,492220
2016-08-12,492220
2016-08-13,492220
2016-08-14,492220
2016-08-15,514224
2016-08-16,514224
2016-08-17,514224
2016-08-18,514224
2016-08-19,514224
2016-08-20,514224
2016-08-21,514224
2016-08-22,514224
2016-08-23,514224
2016-08-24,514224
2016-08-25,514224
2016-08-26,514224
2016-08-28,514224
2016-08-31,514224
2016-09-01,514224
2016-09-02,514224
2016-09-03,514224
2016-09-04,514224
2016-09-05,514224
2016-09-06,514224
2016-09-07,514224
2016-09-08,514224
2016-09-09,514224
2016-09-10,514224
2016-09-11,514224
2016-09-12,514224
2016-09-13,514224
2016-09-14,514224
2016-09-15,514224
2016-09-16,514224
2016-09-17,514224
2016-09-18,537151
2016-09-19,537151
2016-09-20,537151
2016-09-21,537151
2016-09-22,537151
2016-09-23,537151
2016-09-24,537151
2016-09-25,537151
2016-09-26,537151
2016-09-27,537151
2016-09-28,537151
2016-09-29,537151
2016-09-30,537151
2016-10-01,537151
2016-10-02,537151
2016-10-03,537151
2016-10-04,537151
2016-10-05,537151
2016-10-06,537151
2016-10-07,537151
2016-10-08,537151
2016-10-09,537151
2016-10-10,537151
2016-10-11,537151
2016-10-12,537151
2016-10-13,537151
2016-10-14,537151
2016-10-15,537151
2016-10-16,537151
2016-10-17,537151
2016-10-18,537151
2016-10-19,537151
2016-10-20,537151
2016-10-21,537151
2016-10-22,537151
2016-10-23,537151
2016-10-24,537151
2016-10-25,537151
2016-10-26,537151
2016-10-27,537151
2016-10-28,537151
2016-10-29,552372
2016-10-30,552372
2016-10-31,552372
2016-11-01,552372
2016-11-02,552372
2016-11-03,552372
2016-11-04,552372
2016-11-05,552372
2016-11-06,552372
2016-11-07,552372
2016-11-08,552372
2016-11-09,552372
2016-11-10,552372
2016-11-11,552372
2016-11-12,552372
2016-11-13,552372
2016-11-14,552372
2016-11-15,552372
2016-12-07,552372
2016-12-08,552372
2016-12-09,552372
2016-12-10,552372
2016-12-11,552372
2016-12-12,576672
2016-12-13,576672
2016-12-14,576672
2016-12-15,576672
2016-12-16,576672
2016-12-17,576672
2016-12-18,576672
2016-12-19,576672
2016-12-20,576672
2016-12-21,576672
2016-12-22,576672
2016-12-23,576672
2016-12-24,576672
2016-12-25,576672
2016-12-26,576672
2016-12-27,576672
2016-12-28,576672
2016-12-29,576672
2016-12-30,576672
2016-12-31,576672
2017-01-01,576672
2017-01-02,576672
2017-01-03,576672
2017-01-04,576672
2017-01-05,576672
2017-01-06,576672
2017-01-07,576672
2017-01-08,576672
2017-01-09,576672
2017-01-10,576672
2017-01-11,576672
2017-01-12,576672
2017-01-13,576672
2017-01-14,576672
2017-01-15,576672
2017-01-16,576672
2017-01-17,576672
2017-01-18,576672
2017-01-19,576672
2017-01-20,576672
2017-01-21,601901
2017-01-22,601901
2017-01-23,601901
2017-01-27,601901
2017-01-28,601901
2017-01-29,601901
2017-01-30,601901
2017-01-31,601901
2017-02-01,601901
2017-02-02,601901
2017-02-03,601901
2017-02-04,601901
2017-02-05,601901
2017-02-06,601901
2017-02-07,601901
2017-02-08,601901
2017-02-09,601901
2017-02-10,601901
2017-02-11,601901
2017-02-12,601901
2017-02-13,601901
2017-02-14,601901
2017-02-15,601901
2017-02-16,601901
2017-02-18,601901
2017-02-19,601901
2017-02-20,601901
2017-02-21,601901
2017-02-22,601901
2017-02-23,616419
2017-02-24,616419
2017-02-25,616419
2017-02-26,616419
2017-02-27,616419
2017-02-28,616419
2017-03-01,616419
2017-03-02,616419
2017-03-03,616419
2017-03-04,616419
2017-03-05,616419
2017-03-06,616419
2017-03-07,616419
2017-03-08,616419
2017-03-09,616419
2017-03-10,616419
2017-03-11,616419
2017-03-12,616419
2017-03-13,616419
2017-03-14,616419
2017-03-15,616419
2017-03-16,616419
2017-03-17,616419
2017-03-18,616419
2017-03-19,616419
2017-03-20,616419
2017-03-21,616419
2017-03-22,616419
2017-03-23,616419
2017-03-24,616419
2017-03-25,616419
2017-03-26,616419
2017-03-27,615816
2017-03-28,615816
2017-03-29,615816
2017-03-30,615816
2017-03-31,615816
2017-04-01,615816
2017-04-02,615816
2017-04-03,615816
2017-04-04,615816
2017-04-12,615816
2017-04-13,615816
2017-04-14,615816
2017-04-15,615816
2017-04-16,615816
2017-04-17,615816
2017-04-18,615816
2017-04-19,615816
2017-04-20,615816
2017-04-21,615816
2017-04-22,615816
2017-04-23,615816
2017-04-24,615816
2017-04-25,615816
2017-04-26,615816
2017-04-27,615816
2017-04-28,620966
2017-04-29,620966
2017-04-30,620966
2017-05-01,620966
2017-05-02,620966
2017-05-03,620966
2017-05-04,620966
2017-05-05,620966
2017-05-06,620966
2017-05-07,620966
2017-05-08,620966
2017-05-09,620966
2017-05-10,620966
2017-05-11,620966
2017-05-12,620966
2017-05-13,620966
2017-05-14,620966
2017-05-15,620966
2017-05-16,620966
2017-05-17,620966
2017-05-18,620966
2017-05-19,620966
2017-05-20,620966
2017-05-21,620966
2017-05-22,620966
2017-05-23,620966
2017-05-24,620966
2017-05-25,620966
2017-05-26,620966
2017-05-27,623343
2017-05-28,623343
2017-05-29,623343
2017-05-30,623343
2017-05-31,623343
2017-06-01,623343
2017-06-02,623343
2017-06-03,623343
2017-06-04,623343
2017-06-05,623343
2017-06-06,623343
2017-06-07,623343
2017-06-08,623343
2017-06-09,623343
2017-06-10,623343
2017-06-11,623343
2017-06-12,623343
2017-06-13,623343
2017-06-14,623343
2017-06-15,623343
2017-06-16,623343
2017-06-17,623343
2017-06-18,623343
2017-06-19,623343
2017-06-20,623343
