date_obj,Mind%20altar%20teleport%20(tablet) price
2016-05-12,1000
2016-05-13,1000
2016-05-14,1000
2016-05-15,1000
2016-05-16,1000
2016-05-17,1000
2016-05-18,1000
2016-05-19,1000
2016-05-22,1000
2016-05-23,1000
2016-05-24,1000
2016-05-25,1000
2016-05-26,1000
2016-05-27,1047
2016-05-28,1047
2016-05-29,1047
2016-05-30,1047
2016-05-31,1047
2016-06-01,1047
2016-06-02,1047
2016-06-03,1047
2016-06-04,1047
2016-06-05,1047
2016-06-06,1047
2016-06-07,1047
2016-06-08,1047
2016-06-09,1047
2016-06-10,1047
2016-06-11,1047
2016-06-12,1047
2016-06-13,1047
2016-06-14,1047
2016-06-15,1047
2016-06-16,1047
2016-06-17,1047
2016-06-18,1047
2016-06-19,1047
2016-06-20,1047
2016-06-21,1047
2016-06-22,1047
2016-06-23,1047
2016-06-24,1047
2016-06-25,1047
2016-06-26,1047
2016-06-27,1047
2016-06-28,1047
2016-06-29,1098
2016-06-30,1098
2016-07-01,1098
2016-07-02,1098
2016-07-03,1098
2016-07-04,1098
2016-07-05,1098
2016-07-06,1098
2016-07-07,1098
2016-07-08,1098
2016-07-09,1098
2016-07-10,1098
2016-07-11,1098
2016-07-12,1098
2016-07-13,1098
2016-07-14,1098
2016-07-15,1098
2016-07-16,1098
2016-07-17,1098
2016-07-18,1098
2016-07-23,1098
2016-07-24,1098
2016-07-25,1098
2016-07-26,1098
2016-07-27,1098
2016-07-28,1098
2016-07-29,1098
2016-07-30,1098
2016-07-31,1098
2016-08-01,1153
2016-08-02,1153
2016-08-03,1153
2016-08-04,1153
2016-08-05,1153
2016-08-06,1153
2016-08-07,1153
2016-08-08,1153
2016-08-09,1153
2016-08-10,1153
2016-08-11,1153
2016-08-12,1153
2016-08-13,1153
2016-08-14,1153
2016-08-15,1153
2016-08-16,1153
2016-08-17,1153
2016-08-18,1153
2016-08-19,1153
2016-08-20,1153
2016-08-21,1153
2016-08-22,1153
2016-08-23,1153
2016-08-24,1153
2016-08-25,1153
2016-08-26,1153
2016-08-28,1153
2016-08-31,1207
2016-09-01,1207
2016-09-02,1207
2016-09-03,1207
2016-09-04,1207
2016-09-05,1207
2016-09-06,1207
2016-09-07,1207
2016-09-08,1207
2016-09-09,1207
2016-09-10,1207
2016-09-11,1207
2016-09-12,1207
2016-09-13,1207
2016-09-14,1207
2016-09-15,1207
2016-09-16,1207
2016-09-17,1207
2016-09-18,1262
2016-09-19,1262
2016-09-20,1262
2016-09-21,1262
2016-09-22,1262
2016-09-23,1262
2016-09-24,1262
2016-09-25,1262
2016-09-26,1262
2016-09-27,1262
2016-09-28,1262
2016-09-29,1262
2016-09-30,1262
2016-10-01,1262
2016-10-02,1262
2016-10-03,1262
2016-10-04,1262
2016-10-05,1262
2016-10-06,1262
2016-10-07,1262
2016-10-08,1325
2016-10-09,1325
2016-10-10,1325
2016-10-11,1325
2016-10-12,1325
2016-10-13,1325
2016-10-14,1325
2016-10-15,1325
2016-10-16,1325
2016-10-17,1325
2016-10-18,1325
2016-10-19,1325
2016-10-20,1325
2016-10-21,1325
2016-10-22,1325
2016-10-23,1325
2016-10-24,1392
2016-10-25,1392
2016-10-26,1392
2016-10-27,1392
2016-10-28,1392
2016-10-29,1392
2016-10-30,1392
2016-10-31,1392
2016-11-01,1392
2016-11-02,1392
2016-11-03,1392
2016-11-04,1392
2016-11-05,1392
2016-11-06,1392
2016-11-07,1392
2016-11-08,1392
2016-11-09,1392
2016-11-10,1462
2016-11-11,1462
2016-11-12,1462
2016-11-13,1462
2016-11-14,1462
2016-12-07,1583
2016-12-08,1583
2016-12-09,1583
2016-12-10,1583
2016-12-11,1583
2016-12-12,1583
2016-12-13,1583
2016-12-14,1583
2016-12-15,1583
2016-12-16,1583
2016-12-17,1663
2016-12-18,1663
2016-12-19,1663
2016-12-20,1663
2016-12-21,1663
2016-12-22,1663
2016-12-23,1663
2016-12-24,1663
2016-12-25,1663
2016-12-26,1663
2016-12-27,1663
2016-12-28,1747
2016-12-29,1747
2016-12-30,1747
2016-12-31,1747
2017-01-01,1747
2017-01-02,1747
2017-01-03,1747
2017-01-04,1747
2017-01-05,1747
2017-01-06,1747
2017-01-07,1831
2017-01-08,1831
2017-01-09,1831
2017-01-10,1831
2017-01-11,1831
2017-01-12,1831
2017-01-13,1831
2017-01-14,1831
2017-01-15,1831
2017-01-16,1831
2017-01-17,1921
2017-01-18,1921
2017-01-19,1921
2017-01-20,1921
2017-01-21,1921
2017-01-22,1921
2017-01-27,2013
2017-01-28,2013
2017-01-29,2013
2017-01-30,2013
2017-01-31,2013
2017-02-01,2013
2017-02-02,2013
2017-02-03,2013
2017-02-04,2013
2017-02-05,2114
2017-02-06,2114
2017-02-07,2114
2017-02-08,2114
2017-02-09,2114
2017-02-10,2114
2017-02-11,2114
2017-02-12,2114
2017-02-13,2220
2017-02-14,2220
2017-02-15,2220
2017-02-16,2220
2017-02-18,2220
