date_obj,Villager%20sandals%20(pink) price
2015-02-25,50000
2015-02-26,50000
2015-02-27,50000
2015-02-28,50000
2015-03-01,50000
2015-03-02,50000
2015-03-03,50000
2015-03-04,50000
2015-03-05,50000
2015-03-06,50000
2015-03-07,50000
2015-03-08,50000
2015-03-09,50000
2015-03-10,50000
2015-03-11,50000
2015-03-12,50000
2015-03-13,50000
2015-03-14,50000
2015-03-15,50000
2015-03-16,50000
2015-03-17,50000
2015-03-18,50000
2015-03-19,50000
2015-03-20,50000
2015-03-21,50000
2015-03-22,47604
2015-03-23,47604
2015-03-24,47604
2015-03-25,47604
2015-03-26,47604
2015-03-27,47604
2015-03-28,47604
2015-03-29,47604
2015-03-30,47604
2015-03-31,47604
2015-04-01,47604
2015-04-02,47604
2015-04-03,47604
2015-04-04,47604
2015-04-05,47604
2015-04-06,47604
2015-04-07,47604
2015-04-08,47604
2015-04-09,47604
2015-04-10,47604
2015-04-11,47604
2015-04-12,47604
2015-04-13,47604
2015-04-14,47604
2015-04-15,47604
2015-04-16,47604
2015-04-17,45309
2015-04-18,45309
2015-04-19,45309
2015-04-20,45309
2015-04-21,45309
2015-04-22,45309
2015-04-23,45309
2015-04-24,45309
2015-04-25,45309
2015-04-26,45309
2015-04-27,45309
2015-04-28,45309
2015-04-29,45309
2015-04-30,45309
2015-05-01,45309
2015-05-02,45309
2015-05-03,45309
2015-05-04,45309
2015-05-05,45309
2015-05-06,45309
2015-05-07,45309
2015-05-08,45309
2015-05-09,45309
2015-05-10,45309
2015-05-11,45309
2015-05-12,45309
2015-05-13,45309
2015-05-14,45309
2015-05-15,45309
2015-05-16,43221
2015-05-17,43221
2015-05-18,43221
2015-05-19,43221
2015-05-20,43221
2015-05-21,43221
2015-05-22,43221
2015-05-23,43221
2015-05-24,43221
2015-05-25,43221
2015-05-26,43221
2015-05-27,43221
2015-05-28,43221
2015-05-29,43221
2015-05-30,43221
2015-05-31,41101
2015-06-01,41101
2015-06-02,41101
2015-06-03,41101
2015-06-04,41101
2015-06-05,41101
2015-06-06,41101
2015-06-07,41101
2015-06-08,41101
2015-06-09,41101
2015-06-10,41101
2015-06-11,41101
2015-06-12,41101
2015-06-13,41101
2015-06-14,39092
2015-06-15,39092
2015-06-16,39092
2015-06-17,39092
2015-06-18,39092
2015-06-19,39092
2015-06-20,39092
2015-06-21,39092
2015-06-22,39092
2015-06-23,39092
2015-06-24,39092
2015-06-25,39092
2015-06-26,37168
2015-06-27,37168
2015-06-28,37168
2015-06-29,37168
2015-06-30,37168
2015-07-01,37168
2015-07-02,37168
2015-07-03,37168
2015-07-04,37168
2015-07-05,37168
2015-07-06,37168
2015-07-07,37168
2015-07-08,35359
2015-07-09,35359
2015-07-10,35359
2015-07-11,35359
2015-07-12,35359
2015-07-13,35359
2015-07-14,35359
2015-07-15,35359
2015-07-16,35359
2015-07-17,35359
2015-07-18,35359
2015-07-19,35359
2015-07-20,33752
2015-07-21,33752
2015-07-22,33752
2015-07-23,33752
2015-07-24,33752
2015-07-25,33752
2015-07-26,33752
2015-07-27,33752
2015-07-28,33752
2015-07-29,33752
2015-07-30,33752
2015-07-31,33752
2015-08-01,33752
2015-08-02,32090
2015-08-03,32090
2015-08-04,32090
2015-08-05,32090
2015-08-06,32090
2015-08-07,32090
2015-08-08,32090
2015-08-09,32090
2015-08-10,32090
2015-08-11,30505
2015-08-12,30505
2015-08-13,30505
2015-08-14,30505
2015-08-15,30505
2015-08-16,30505
2015-08-17,30505
2015-08-18,30505
2015-08-19,30505
2015-08-20,30505
2015-08-21,30505
2015-08-22,30505
2015-08-23,29048
2015-08-24,29048
2015-08-25,29048
2015-08-26,29048
2015-08-27,29048
2015-08-28,29048
2015-08-29,29048
2015-08-30,29048
2015-08-31,29048
2015-09-01,29048
2015-09-02,29048
2015-09-03,29048
2015-09-04,29048
2015-09-05,27626
2015-09-06,27626
2015-09-07,27626
2015-09-08,27626
2015-09-09,27626
2015-09-10,27626
2015-09-11,27626
2015-09-12,27626
2015-09-13,27626
2015-09-14,27626
2015-09-15,27626
2015-09-16,27626
2015-09-17,27626
2015-09-18,27626
2015-09-19,26256
2015-09-20,26256
2015-09-21,26256
2015-09-22,26256
2015-09-23,26256
2015-09-24,26256
2015-09-25,26256
2015-09-26,26256
2015-09-27,26256
2015-09-28,26256
2015-09-29,26256
2015-09-30,26256
2015-10-01,24963
2015-10-02,24963
2015-10-03,24963
2015-10-04,24963
2015-10-05,24963
2015-10-06,24963
2015-10-07,24963
2015-10-08,24963
2015-10-09,24963
2015-10-10,24963
2015-10-11,24963
2015-10-12,24963
2015-10-13,24963
2015-10-14,24963
2015-10-15,23733
2015-10-16,23733
2015-10-17,23733
2015-10-18,23733
2015-10-19,23733
2015-10-20,23733
2015-10-21,23733
2015-10-22,23733
2015-10-23,23733
2015-10-24,23733
2015-10-25,23733
2015-10-26,23733
2015-10-27,22563
2015-10-28,22563
2015-10-29,22563
2015-10-30,22563
2015-10-31,22563
2015-11-01,22563
2015-11-02,22563
2015-11-03,22563
2015-11-04,22563
2015-11-05,22563
2015-11-06,22563
2015-11-07,21449
2015-11-08,21449
2015-11-09,21449
2015-11-10,21449
2015-11-11,21449
2015-11-12,21449
2015-11-13,21449
2015-11-14,21449
2015-11-15,21449
2015-11-16,21449
2015-11-17,21449
2015-11-18,21449
2015-11-19,21449
2015-11-20,21449
2015-11-21,21449
2015-11-22,20380
2015-11-23,20380
2015-11-24,20380
2015-11-25,20380
2015-11-26,20380
2015-11-27,20380
2015-11-28,20380
2015-11-29,20380
2015-11-30,20380
2015-12-01,20380
2015-12-02,20380
2015-12-03,20380
2015-12-04,20380
2015-12-05,19391
2015-12-06,19391
2015-12-07,19391
2015-12-08,19391
2015-12-09,19391
2015-12-10,19391
2015-12-11,19391
2015-12-12,19391
2015-12-13,19391
2015-12-14,19391
2015-12-15,19391
2015-12-16,19391
2015-12-17,19391
2015-12-18,18442
2015-12-19,18442
2015-12-20,18442
2015-12-21,18442
2015-12-22,18442
2015-12-23,18442
2015-12-24,18442
2015-12-25,18442
2015-12-26,18442
2015-12-27,18442
2015-12-28,18442
2015-12-29,18442
2015-12-30,18442
2015-12-31,18442
2016-01-01,18442
2016-01-02,17585
2016-01-03,17585
2016-01-04,17585
2016-01-05,17585
2016-01-06,17585
2016-01-07,17585
2016-01-08,17585
2016-01-09,17585
2016-01-10,17585
2016-01-11,17585
2016-01-12,17585
2016-01-13,17585
2016-01-14,17585
2016-01-15,16736
2016-01-16,16736
2016-01-17,16736
2016-01-18,16736
2016-01-19,16736
2016-01-20,16736
2016-01-21,16736
2016-01-22,16736
2016-01-23,16736
2016-01-24,16736
2016-01-25,16736
2016-01-26,16736
2016-01-27,15914
2016-01-28,15914
2016-01-29,15914
2016-01-30,15914
2016-01-31,15914
2016-02-01,15914
2016-02-02,15914
2016-02-03,15914
2016-02-04,15914
2016-02-05,15914
2016-02-06,15914
2016-02-07,15914
2016-02-08,15914
2016-02-09,15147
2016-02-10,15147
2016-02-11,15147
2016-02-12,15147
2016-02-13,15147
2016-02-14,15147
2016-02-15,15147
2016-02-16,15147
2016-02-17,15147
2016-02-18,15147
2016-02-19,15147
2016-02-20,15147
2016-02-21,15147
2016-02-22,15147
2016-02-23,14408
2016-02-24,14408
2016-02-25,14408
2016-02-26,14408
2016-02-27,14408
2016-02-28,14408
2016-02-29,14408
2016-03-01,14408
2016-03-02,14408
2016-03-03,14408
2016-03-04,14408
2016-03-05,14408
2016-03-06,13696
2016-03-07,13696
2016-03-08,13696
2016-03-09,13696
2016-03-10,13696
2016-03-11,13696
2016-03-12,13696
2016-03-13,13696
2016-03-14,13696
2016-03-15,13696
2016-03-16,13696
2016-03-17,13696
2016-03-18,13032
2016-03-19,13032
2016-03-20,13032
2016-03-21,13032
2016-03-22,13032
2016-03-23,13032
2016-03-24,13032
2016-03-25,13032
2016-03-26,13032
2016-03-27,13032
2016-03-28,13032
2016-03-29,13032
2016-03-30,13032
2016-03-31,12440
2016-04-01,12440
2016-04-02,12440
2016-04-03,12440
2016-04-04,12440
2016-04-05,12440
2016-04-06,12440
2016-04-07,12440
2016-04-08,12440
2016-04-09,12440
2016-04-10,12440
2016-04-11,12440
2016-04-12,11830
2016-04-13,11830
2016-04-14,11830
2016-04-15,11830
2016-04-16,11830
2016-04-17,11830
2016-04-18,11830
2016-04-19,11830
2016-04-20,11830
