date_obj,Kebbit%20teeth price
2015-03-26,22000
2015-03-27,22000
2015-03-28,22000
2015-03-29,22000
2015-03-30,22000
2015-03-31,22000
2015-04-01,22000
2015-04-02,22000
2015-04-03,22000
2015-04-04,22000
2015-04-05,22000
2015-04-06,22000
2015-04-07,22000
2015-04-08,22000
2015-04-09,22000
2015-04-10,22000
2015-04-11,22000
2015-04-12,22000
2015-04-13,22000
2015-04-14,22000
2015-04-15,20927
2015-04-16,20927
2015-04-17,20927
2015-04-18,20927
2015-04-19,20927
2015-04-20,20927
2015-04-21,20927
2015-04-22,20927
2015-04-23,20927
2015-04-24,20927
2015-04-25,20927
2015-04-26,20927
2015-04-27,20927
2015-04-28,20927
2015-04-29,20927
2015-04-30,20927
2015-05-01,20927
2015-05-02,20927
2015-05-03,20927
2015-05-04,20927
2015-05-05,20927
2015-05-06,20927
2015-05-07,20927
2015-05-08,20927
2015-05-09,20927
2015-05-10,20927
2015-05-11,20927
2015-05-12,20927
2015-05-13,20927
2015-05-14,20927
2015-05-15,20927
2015-05-16,20927
2015-05-17,20927
2015-05-18,20927
2015-05-19,20927
2015-05-20,20927
2015-05-21,20927
2015-05-22,20927
2015-05-23,20927
2015-05-24,20927
2015-05-25,20927
2015-05-26,20927
2015-05-27,19907
2015-05-28,19907
2015-05-29,19907
2015-05-30,19907
2015-05-31,19907
2015-06-01,19907
2015-06-02,19907
2015-06-03,19907
2015-06-04,19907
2015-06-05,19907
2015-06-06,19907
2015-06-07,19907
2015-06-08,19907
2015-06-09,19907
2015-06-10,19907
2015-06-11,19907
2015-06-12,19907
2015-06-13,19907
2015-06-14,19907
2015-06-15,19907
2015-06-16,19907
2015-06-17,19907
2015-06-18,19907
2015-06-19,19907
2015-06-20,19907
2015-06-21,19907
2015-06-22,19907
2015-06-23,19907
2015-06-24,19907
2015-06-25,19907
2015-06-26,18944
2015-06-27,18944
2015-06-28,18944
2015-06-29,18944
2015-06-30,18944
2015-07-01,18944
2015-07-02,18944
2015-07-03,18944
2015-07-04,18944
2015-07-05,18944
2015-07-06,18944
2015-07-07,18944
2015-07-08,18944
2015-07-09,18944
2015-07-10,18944
2015-07-11,18944
2015-07-12,18944
2015-07-13,18944
2015-07-14,18944
2015-07-15,18944
2015-07-16,18944
2015-07-17,18944
2015-07-18,18944
2015-07-19,18944
2015-07-20,18944
2015-07-21,18944
2015-07-22,18944
2015-07-23,18944
2015-07-24,18944
2015-07-25,18944
2015-07-26,18944
2015-07-27,18944
2015-07-28,18944
2015-07-29,18944
2015-07-30,18944
