date_obj,Blue%20elegant%20legs price
2015-03-26,60057
2015-03-27,60057
2015-03-28,57547
2015-03-29,57547
2015-03-30,55222
2015-03-31,55222
2015-04-01,53112
2015-04-02,53112
2015-04-03,51046
2015-04-04,51046
2015-04-05,48855
2015-04-06,48855
2015-04-07,47896
2015-04-08,47896
2015-04-09,47896
2015-04-10,45656
2015-04-11,45656
2015-04-12,43734
2015-04-13,43734
2015-04-14,43734
2015-04-15,42374
2015-04-16,42374
2015-04-17,40718
2015-04-18,40718
2015-04-19,38895
2015-04-20,38895
2015-04-21,38895
2015-04-22,37867
2015-04-23,37867
2015-04-24,35993
2015-04-25,35993
2015-04-26,34641
2015-04-27,34641
2015-04-28,33129
2015-04-29,33129
2015-04-30,33129
2015-05-01,31604
2015-05-02,31604
2015-05-03,31604
2015-05-04,30023
2015-05-05,30023
2015-05-06,28521
2015-05-07,28521
2015-05-08,27235
2015-05-09,27235
2015-05-10,26187
2015-05-11,26187
2015-05-12,26189
2015-05-13,26189
2015-05-14,26828
2015-05-15,26828
2015-05-16,26828
2015-05-17,26518
2015-05-18,26518
2015-05-19,26518
2015-05-20,26343
2015-05-21,26343
2015-05-22,26162
2015-05-23,26162
2015-05-24,27112
2015-05-25,27112
2015-05-26,28169
2015-05-27,28169
2015-05-28,28169
2015-05-29,29311
2015-05-30,29866
2015-05-31,29866
2015-06-01,30806
2015-06-02,30806
2015-06-03,30806
2015-06-04,31742
2015-06-05,31742
2015-06-06,31452
2015-06-07,31452
2015-06-08,31452
2015-06-09,30597
2015-06-10,30597
2015-06-11,30597
2015-06-12,29559
2015-06-13,29559
2015-06-14,29559
2015-06-15,29077
2015-06-16,29077
2015-06-17,29077
2015-06-18,27675
2015-06-19,27675
2015-06-20,27675
2015-06-21,26595
2015-06-22,26595
2015-06-23,26595
2015-06-24,25613
2015-06-25,25613
2015-06-26,25613
2015-06-27,25613
2015-06-28,25842
2015-06-29,25842
2015-06-30,25842
2015-07-01,26734
2015-07-02,26734
2015-07-03,26734
2015-07-04,27610
2015-07-05,27610
2015-07-06,27610
2015-07-07,28426
2015-07-08,28426
2015-07-09,28426
2015-07-10,28941
2015-07-11,28941
2015-07-12,28941
2015-07-13,28890
2015-07-14,28890
2015-07-15,28890
2015-07-16,30137
2015-07-17,30137
2015-07-18,31541
2015-07-19,31541
2015-07-20,32896
2015-07-21,32896
2015-07-22,34381
2015-07-23,34381
2015-07-24,34381
2015-07-25,35180
2015-07-26,35180
2015-07-27,35180
2015-07-28,35788
2015-07-29,35788
2015-07-30,35788
2015-07-31,36780
2015-08-01,36780
2015-08-02,38143
2015-08-03,38143
2015-08-04,38143
2015-08-05,39745
2015-08-06,39745
2015-08-07,39745
2015-08-08,41230
2015-08-09,41230
2015-08-10,43134
2015-08-11,43134
2015-08-12,43134
2015-08-13,45054
2015-08-14,45054
2015-08-15,46310
2015-08-16,46310
2015-08-17,46266
2015-08-18,46266
2015-08-19,46266
2015-08-20,47829
2015-08-21,47829
2015-08-22,47829
2015-08-23,49727
2015-08-24,49727
2015-08-25,49727
2015-08-26,49727
2015-08-27,50434
2015-08-28,50434
2015-08-29,50933
2015-08-30,50933
2015-08-31,50933
2015-09-01,52432
2015-09-02,52432
2015-09-03,52432
2015-09-04,54801
2015-09-05,54801
2015-09-06,54801
2015-09-07,57364
2015-09-08,57364
2015-09-09,57364
2015-09-10,59574
2015-09-11,59574
2015-09-12,59574
2015-09-13,62006
2015-09-14,62006
2015-09-15,62006
2015-09-16,64820
2015-09-17,64820
2015-09-18,64820
2015-09-19,67444
2015-09-20,67444
2015-09-21,67444
2015-09-22,70646
2015-09-23,70646
2015-09-24,70646
2015-09-25,70646
2015-09-27,72885
2015-09-28,72885
2015-09-29,74706
2015-09-30,74706
2015-10-05,80893
2015-10-06,80893
2015-10-07,80893
2015-10-08,84511
2015-10-09,84511
2015-10-10,84511
2015-10-11,86640
2015-10-12,86640
2015-10-13,86640
2015-10-14,86640
2015-10-15,84919
2015-10-16,84919
2015-10-17,84919
2015-10-18,84919
2015-10-19,82275
2015-10-20,82275
2015-10-22,79789
2015-10-23,79789
2015-10-24,79789
2015-10-25,77199
2015-10-26,77199
2015-10-27,77199
2015-10-29,75904
2015-10-30,75904
2015-10-31,72817
2015-11-01,72817
2015-11-02,72817
2015-11-03,69508
2015-11-04,69508
2015-11-05,69508
2015-11-06,66572
