date_obj,Monkey%20bones price
2015-03-26,1405
2015-03-27,1405
2015-03-28,1334
2015-03-29,1267
2015-03-30,1208
2015-03-31,1149
2015-04-01,1149
2015-04-02,1091
2015-04-03,1036
2015-04-04,984
2015-04-05,984
2015-04-06,934
2015-04-07,887
2015-04-08,887
2015-04-09,842
2015-04-10,799
2015-04-11,761
2015-04-12,761
2015-04-13,722
2015-04-14,722
2015-04-15,685
2015-04-16,685
2015-04-17,650
2015-04-18,617
2015-04-19,586
2015-04-20,586
2015-04-21,556
2015-04-22,556
2015-04-23,532
2015-04-24,532
2015-04-25,505
2015-04-26,505
2015-04-27,479
2015-04-28,459
2015-04-29,459
2015-04-30,449
2015-05-01,444
2015-05-02,439
2015-05-03,439
2015-05-04,429
2015-05-05,429
2015-05-06,417
2015-05-07,417
2015-05-08,424
2015-05-09,407
2015-05-10,407
2015-05-11,388
2015-05-12,368
2015-05-13,368
2015-05-14,363
2015-05-15,363
2015-05-16,374
2015-05-17,377
2015-05-18,377
2015-05-19,393
2015-05-20,393
2015-05-21,393
2015-05-22,384
2015-05-23,384
2015-05-24,376
2015-05-25,366
2015-05-26,366
2015-05-27,353
2015-05-28,344
2015-05-29,344
2015-05-30,349
2015-05-31,349
2015-06-01,354
2015-06-02,354
2015-06-03,369
2015-06-04,380
2015-06-05,380
2015-06-06,388
2015-06-07,393
2015-06-08,393
2015-06-09,376
2015-06-10,382
2015-06-11,382
2015-06-12,369
2015-06-13,358
2015-06-14,343
2015-06-15,329
2015-06-16,313
2015-06-17,313
2015-06-18,317
2015-06-19,317
2015-06-20,320
2015-06-21,320
2015-06-22,313
2015-06-23,313
2015-06-24,315
2015-06-25,315
2015-06-26,321
2015-06-27,321
2015-06-28,329
2015-06-29,329
2015-06-30,332
2015-07-01,327
2015-07-02,327
2015-07-03,329
2015-07-04,326
2015-07-05,326
2015-07-06,329
2015-07-07,330
2015-07-08,326
2015-07-09,326
2015-07-10,319
2015-07-11,319
2015-07-12,321
2015-07-13,326
2015-07-14,321
2015-07-15,317
2015-07-16,317
2015-07-17,306
2015-07-18,306
2015-07-19,298
2015-07-20,291
2015-07-21,291
2015-07-22,288
2015-07-23,288
2015-07-24,303
2015-07-25,303
2015-07-26,311
2015-07-27,314
2015-07-28,308
2015-07-29,318
2015-07-30,318
2015-07-31,329
2015-08-01,329
2015-08-02,328
2015-08-03,328
2015-08-04,333
2015-08-05,343
2015-08-06,349
2015-08-07,349
2015-08-08,342
2015-08-09,336
2015-08-10,337
2015-08-11,330
2015-08-12,330
2015-08-13,325
2015-08-14,320
2015-08-15,320
2015-08-16,317
2015-08-17,320
2015-08-18,320
2015-08-19,320
2015-08-20,320
2015-08-21,320
2015-08-22,324
2015-08-23,324
2015-08-24,322
2015-08-25,322
2015-08-26,315
2015-08-27,308
2015-08-28,308
