date_obj,Odium%20ward price
2015-03-26,6531234
2015-03-27,6531234
2015-03-28,6531234
2015-03-29,6263661
2015-03-30,6263661
2015-03-31,6263661
2015-04-01,5975102
2015-04-02,5975102
2015-04-03,5975102
2015-04-04,5989250
2015-04-05,5989250
2015-04-06,5989250
2015-04-07,6142857
2015-04-08,6142857
2015-04-09,6142857
2015-04-10,6174552
2015-04-11,6174552
2015-04-12,6174552
2015-04-13,6182859
2015-04-14,6182859
2015-04-15,6182859
2015-04-16,6225034
2015-04-17,6225034
2015-04-18,6225034
2015-04-19,6280065
2015-04-20,6280065
2015-04-21,6280065
2015-04-22,6280065
2015-04-23,6385581
2015-04-24,6385581
2015-04-25,6385581
2015-04-26,6555523
2015-04-27,6555523
2015-04-28,6628421
2015-04-29,6628421
2015-04-30,6628421
2015-05-01,6806798
2015-05-02,6806798
2015-05-03,6806798
2015-05-04,6755597
2015-05-05,6755597
2015-05-06,6755597
2015-05-07,6624408
2015-05-08,6624408
2015-05-09,6624408
2015-05-10,6566779
2015-05-11,6566779
2015-05-12,6566779
2015-05-13,6480666
2015-05-14,6480666
2015-05-15,6480666
2015-05-16,6181725
2015-05-17,6181725
2015-05-18,5904217
2015-05-19,5904217
2015-05-20,5904217
2015-05-21,5904217
2015-05-22,5670846
2015-05-23,5670846
2015-05-24,5670846
2015-05-25,5508388
2015-05-26,5508388
2015-05-27,5508388
2015-05-28,5664913
2015-05-29,5664913
2015-05-30,5538633
2015-05-31,5538633
2015-06-01,5285683
2015-06-02,5285683
2015-06-03,5095851
2015-06-04,5095851
2015-06-05,4970422
2015-06-06,4970422
2015-06-07,4885715
2015-06-08,4885715
2015-06-09,4999635
2015-06-10,4999635
2015-06-11,5159095
2015-06-12,5159095
2015-06-13,5216369
2015-06-14,5216369
2015-06-15,5192642
2015-06-16,5192642
2015-06-17,5042675
2015-06-18,5042675
2015-06-19,4946829
2015-06-20,4946829
2015-06-21,5068913
2015-06-22,5011105
2015-06-23,5011105
2015-06-24,4970504
2015-06-25,4970504
2015-06-26,4949053
2015-06-27,4949053
2015-06-28,5171503
2015-06-29,5171503
2015-06-30,5316376
2015-07-01,5316376
2015-07-02,5384430
2015-07-03,5614591
2015-07-04,5614591
2015-07-05,5605070
2015-07-06,5605070
2015-07-07,5652997
2015-07-08,5652997
2015-07-09,5560589
2015-07-10,5560589
2015-07-11,5567483
2015-07-12,5567483
2015-07-13,5346871
2015-07-14,5346871
2015-07-15,5209916
2015-07-16,5209916
2015-07-17,5083643
2015-07-18,5083643
2015-07-19,5208231
2015-07-20,5203418
2015-07-21,5203418
2015-07-22,5053737
2015-07-23,5053737
2015-07-24,4893612
