date_obj,Crier%20hat price
2015-03-26,37625
2015-03-27,37625
2015-03-28,36679
2015-03-29,36691
2015-03-30,35613
2015-03-31,34652
2015-04-01,34652
2015-04-02,34435
2015-04-03,34271
2015-04-04,33869
2015-04-05,33869
2015-04-06,32966
2015-04-07,32191
2015-04-08,32191
2015-04-09,31376
2015-04-10,30743
2015-04-11,30648
2015-04-12,30356
2015-04-13,30010
2015-04-14,30010
2015-04-15,29316
2015-04-16,29316
2015-04-17,28592
2015-04-18,27568
2015-04-19,27422
2015-04-20,27422
2015-04-21,27045
2015-04-22,27045
2015-04-23,26949
2015-04-24,26949
2015-04-25,26369
2015-04-26,26369
2015-04-27,25709
2015-04-28,25553
2015-04-29,25553
2015-04-30,25784
2015-05-01,24953
2015-05-02,24997
2015-05-03,24997
2015-05-04,24374
2015-05-05,24044
2015-05-06,23794
2015-05-07,23199
2015-05-08,22519
2015-05-09,22058
2015-05-10,21790
2015-05-11,21790
2015-05-12,21307
2015-05-13,21307
2015-05-14,20833
2015-05-15,20833
2015-05-16,20172
2015-05-17,19417
2015-05-18,18919
2015-05-19,18919
2015-05-20,18308
2015-05-21,18308
2015-05-22,18130
2015-05-23,17911
2015-05-24,17687
2015-05-25,17250
2015-05-26,17648
2015-05-27,18102
2015-05-28,18102
2015-05-29,18181
2015-05-30,18017
2015-05-31,18017
2015-06-01,18316
2015-06-02,18316
2015-06-03,18315
2015-06-04,18315
2015-06-05,18582
2015-06-06,18862
2015-06-07,18862
2015-06-08,19020
2015-06-09,18968
2015-06-10,18968
2015-06-11,19115
2015-06-12,19115
2015-06-13,18973
2015-06-14,18973
2015-06-15,18766
2015-06-16,18680
2015-06-17,18680
2015-06-18,18588
2015-06-19,18588
2015-06-20,18216
2015-06-21,18216
2015-06-22,18102
2015-06-23,18102
2015-06-24,18134
2015-06-25,18134
2015-06-26,18057
2015-06-27,18057
2015-06-28,17885
2015-06-29,17885
2015-06-30,17700
2015-07-01,17700
2015-07-02,18112
2015-07-03,18507
2015-07-04,18507
2015-07-05,18202
2015-07-06,18202
2015-07-07,18380
2015-07-08,17855
2015-07-09,17855
2015-07-10,17754
2015-07-11,17754
2015-07-12,18238
2015-07-13,18238
2015-07-14,18554
2015-07-15,18554
2015-07-16,18220
2015-07-17,19066
2015-07-18,19066
2015-07-19,19953
2015-07-20,20893
2015-07-21,20893
2015-07-22,21369
2015-07-23,21369
2015-07-24,21301
2015-07-25,21301
2015-07-26,21764
2015-07-27,21371
2015-07-28,20750
2015-07-29,20879
2015-07-30,20879
2015-07-31,20774
2015-08-01,20774
2015-08-02,20837
2015-08-03,20837
2015-08-04,21006
2015-08-05,21503
2015-08-06,21503
2015-08-07,21796
2015-08-08,22774
2015-08-09,23709
2015-08-10,24170
2015-08-11,23058
2015-08-12,23058
2015-08-13,22846
2015-08-14,22562
2015-08-15,22562
2015-08-16,22178
2015-08-17,21671
2015-08-18,21671
2015-08-19,21678
2015-08-20,21678
2015-08-21,21712
2015-08-22,21734
2015-08-23,21734
2015-08-24,21242
2015-08-25,21242
2015-08-26,21485
2015-08-27,21447
2015-08-28,21447
2015-08-29,21572
2015-08-30,21572
2015-08-31,21211
2015-09-01,21402
2015-09-02,21402
2015-09-03,21599
2015-09-04,21587
2015-09-05,21587
