date_obj,A%20powdered%20wig price
2015-03-26,36808
2015-03-27,36808
2015-03-28,35206
2015-03-29,35206
2015-03-30,33566
2015-03-31,33566
2015-04-01,31994
2015-04-02,31994
2015-04-03,30551
2015-04-04,29214
2015-04-05,29214
2015-04-06,27953
2015-04-07,27953
2015-04-08,26723
2015-04-09,26723
2015-04-10,26038
2015-04-11,26038
2015-04-12,24860
2015-04-13,24860
2015-04-14,23710
2015-04-15,23710
2015-04-16,22612
2015-04-17,22612
2015-04-18,21694
2015-04-19,21694
2015-04-20,21694
2015-04-21,20873
2015-04-22,20873
2015-04-23,19883
2015-04-24,19883
2015-04-25,19883
2015-04-26,19078
2015-04-27,19078
2015-04-28,18334
2015-04-29,18334
2015-04-30,18334
2015-05-01,18236
2015-05-02,18236
2015-05-03,18236
2015-05-04,17903
2015-05-05,17903
2015-05-06,17801
2015-05-07,17801
2015-05-08,17801
2015-05-09,16910
2015-05-10,16910
2015-05-11,16910
2015-05-12,16092
2015-05-13,16092
2015-05-14,16092
2015-05-15,16101
2015-05-16,16101
2015-05-17,15841
2015-05-18,15841
2015-05-19,15841
2015-05-20,15841
2015-05-21,15561
2015-05-22,15561
2015-05-23,15492
2015-05-24,15492
2015-05-25,15390
2015-05-26,15390
2015-05-27,15390
2015-05-28,14954
2015-05-29,14954
2015-05-30,14354
2015-05-31,14354
2015-06-01,14354
2015-06-02,14354
2015-06-03,14276
2015-06-04,14276
2015-06-05,14276
2015-06-06,14476
2015-06-07,14476
2015-06-08,14476
2015-06-09,13969
2015-06-10,13969
2015-06-11,13969
2015-06-12,13969
2015-06-13,14114
2015-06-14,14114
2015-06-15,14114
2015-06-16,14114
2015-06-17,14477
2015-06-18,14477
2015-06-19,14477
2015-06-20,14917
2015-06-21,14917
2015-06-22,14917
2015-06-23,14917
2015-06-24,15019
2015-06-25,15019
2015-06-26,15019
2015-06-27,15019
2015-06-28,14757
2015-06-29,14757
2015-06-30,14757
2015-07-01,14757
2015-07-02,14757
2015-07-03,15090
2015-07-04,15090
2015-07-05,15090
2015-07-06,15090
2015-07-07,15144
2015-07-08,15144
2015-07-09,15144
2015-07-10,15144
2015-07-11,15144
2015-07-12,14769
2015-07-13,14769
2015-07-14,14769
2015-07-15,14435
2015-07-16,14435
2015-07-17,14435
2015-07-18,14329
2015-07-19,14329
2015-07-20,14329
2015-07-21,14232
2015-07-22,14232
2015-07-23,14232
2015-07-24,13729
2015-07-25,13729
2015-07-26,13729
2015-07-27,13172
2015-07-28,13172
2015-07-29,13172
2015-07-30,12643
2015-07-31,12643
2015-08-01,12643
2015-08-02,12010
2015-08-03,12010
2015-08-04,12010
2015-08-05,11468
2015-08-06,11468
2015-08-07,11468
2015-08-08,11256
2015-08-09,11256
2015-08-10,11256
2015-08-11,11137
2015-08-12,11137
2015-08-13,11137
2015-08-14,11137
2015-08-15,10650
2015-08-16,10650
2015-08-17,10650
2015-08-18,10274
2015-08-19,10274
2015-08-20,10274
2015-08-21,10353
2015-08-22,10353
2015-08-23,10353
2015-08-24,10350
2015-08-25,10350
2015-08-26,10350
2015-08-27,10771
2015-08-28,10771
2015-08-29,10771
2015-08-30,11122
2015-08-31,11122
2015-09-01,11122
2015-09-02,11122
2015-09-03,11532
2015-09-04,11532
2015-09-05,11532
2015-09-06,11532
2015-09-07,12053
2015-09-08,12053
2015-09-09,12053
2015-09-10,12053
2015-09-11,12459
2015-09-12,12459
2015-09-13,12459
2015-09-14,12415
2015-09-15,12415
2015-09-16,12415
2015-09-17,12545
2015-09-18,12545
2015-09-19,12545
2015-09-20,12545
2015-09-21,12518
2015-09-22,12518
2015-09-23,12518
2015-09-24,12518
2015-09-25,12518
2015-09-27,12409
2015-09-28,12409
2015-09-29,12409
2015-09-30,12485
2015-10-05,12366
2015-10-06,12366
2015-10-07,12366
2015-10-08,12295
2015-10-09,12295
2015-10-10,12295
2015-10-11,12275
2015-10-12,12275
2015-10-13,12275
2015-10-14,12275
2015-10-15,12557
2015-10-16,12557
2015-10-17,12557
2015-10-18,12557
2015-10-19,12467
2015-10-20,12467
2015-10-22,12467
2015-10-23,12741
2015-10-24,12741
2015-10-25,12741
2015-10-26,12935
2015-10-27,12935
2015-10-28,12935
2015-10-29,12935
2015-10-30,12935
2015-10-31,13273
2015-11-01,13273
2015-11-02,13273
2015-11-03,13273
2015-11-04,13273
2015-11-05,13868
2015-11-06,13868
2015-11-07,13868
2015-11-08,13868
2015-11-09,13868
2015-11-10,14513
2015-11-11,14513
2015-11-12,14513
2015-11-13,14513
2015-11-14,14943
2015-11-15,14943
2015-11-16,14943
2015-11-17,14943
2015-11-18,14592
2015-11-19,14592
2015-11-20,14592
2015-11-21,14592
2015-11-22,14602
2015-11-23,14602
2015-11-24,14602
2015-11-25,14965
2015-11-26,14965
2015-11-27,14965
2015-11-28,14965
2015-11-29,14451
2015-11-30,14451
2015-12-01,14451
2015-12-02,14451
2015-12-03,14575
2015-12-04,14575
2015-12-05,14575
2015-12-06,14575
2015-12-07,14319
2015-12-08,14319
2015-12-09,14319
2015-12-10,13929
2015-12-11,13929
2015-12-12,13929
2015-12-13,13929
2015-12-14,13929
2015-12-15,13696
2015-12-16,13696
2015-12-17,13696
2015-12-18,13696
2015-12-19,13696
2015-12-20,13484
2015-12-21,13484
2015-12-22,13484
2015-12-23,13565
2015-12-24,13565
2015-12-25,13565
2015-12-26,13565
2015-12-27,13605
2015-12-28,13605
2015-12-29,13605
2015-12-30,13226
2015-12-31,13226
2016-01-01,13226
2016-01-02,13226
2016-01-03,12791
2016-01-04,12791
2016-01-05,12791
2016-01-06,12791
2016-01-07,13172
2016-01-08,13172
2016-01-09,13172
2016-01-10,13392
2016-01-11,13392
2016-01-12,13392
2016-01-13,13479
2016-01-14,13479
2016-01-15,13578
2016-01-16,13578
2016-01-17,13578
2016-01-18,13882
2016-01-19,13882
2016-01-20,13882
2016-01-21,13882
2016-01-22,14497
2016-01-23,14497
2016-01-24,14497
2016-01-25,15142
2016-01-26,15142
2016-01-27,15142
2016-01-28,15881
2016-01-29,15881
2016-01-30,15881
2016-01-31,16611
2016-02-01,16611
2016-02-02,16611
2016-02-03,17391
2016-02-04,17391
2016-02-05,17391
2016-02-06,17391
2016-02-07,18084
2016-02-08,18084
2016-02-09,18084
2016-02-10,18084
2016-02-11,18883
2016-02-12,18883
2016-02-13,18883
2016-02-14,18883
2016-02-15,19516
2016-02-16,19516
2016-02-17,19516
2016-02-18,19516
2016-02-19,20289
2016-02-20,20289
2016-02-21,20289
2016-02-22,20289
2016-02-23,20524
2016-02-24,20524
2016-02-25,20524
2016-02-26,20524
2016-02-27,20147
2016-02-28,20147
2016-02-29,20147
2016-03-01,20147
2016-03-02,19758
2016-03-03,19758
2016-03-04,19758
2016-03-05,19758
2016-03-06,19282
2016-03-07,19282
2016-03-08,19282
2016-03-09,19306
2016-03-10,19306
2016-03-11,19306
2016-03-12,18813
2016-03-13,18813
2016-03-14,18813
2016-03-15,18116
2016-03-16,18116
2016-03-17,18116
2016-03-18,17980
2016-03-19,17980
2016-03-20,17980
2016-03-21,17980
2016-03-22,18266
2016-03-23,18266
2016-03-24,18266
2016-03-25,18266
2016-03-26,18721
2016-03-27,18721
2016-03-28,18721
2016-03-29,18657
2016-03-30,18657
2016-03-31,18657
2016-04-01,18657
2016-04-02,18657
2016-04-03,17827
2016-04-04,17827
2016-04-05,17827
2016-04-06,16992
2016-04-07,16992
2016-04-08,16992
2016-04-09,16270
2016-04-10,16270
2016-04-11,16270
2016-04-12,15493
2016-04-13,15493
2016-04-14,15493
2016-04-15,14976
2016-04-16,14976
2016-04-17,14976
2016-04-18,14326
2016-04-19,14326
2016-04-20,14326
2016-04-21,13659
2016-04-22,13659
2016-04-23,13659
2016-04-24,13659
2016-04-25,12976
2016-04-26,12976
2016-04-27,12976
2016-04-28,12363
2016-04-29,12363
2016-04-30,12363
2016-05-01,11792
2016-05-02,11792
2016-05-03,11545
2016-05-04,11545
2016-05-05,11545
2016-05-06,11545
2016-05-07,11253
2016-05-08,11253
2016-05-09,11253
2016-05-10,10742
2016-05-11,10742
2016-05-12,10742
2016-05-13,10742
2016-05-14,10257
2016-05-15,10257
2016-05-16,10257
2016-05-17,9783
2016-05-18,9783
2016-05-19,9783
2016-05-21,10245
2016-05-22,10245
2016-05-23,10245
2016-05-24,10712
2016-05-25,10712
2016-05-26,10712
2016-05-27,11226
2016-05-28,11226
2016-05-29,11226
2016-05-30,11226
2016-05-31,11763
2016-06-01,11763
2016-06-02,11763
2016-06-03,12337
2016-06-04,12337
2016-06-05,12337
2016-06-06,12922
2016-06-07,12922
2016-06-08,12922
2016-06-09,12922
2016-06-10,13550
2016-06-11,13550
2016-06-12,13550
2016-06-13,14186
2016-06-14,14186
2016-06-15,14186
2016-06-16,14186
2016-06-17,14853
2016-06-18,14853
2016-06-19,14853
2016-06-20,15553
2016-06-21,15553
2016-06-22,15553
2016-06-23,16300
2016-06-24,16300
2016-06-25,16300
2016-06-26,16300
2016-06-27,17037
2016-06-28,17037
2016-06-29,17037
2016-06-30,17037
2016-07-01,17882
2016-07-02,17882
2016-07-03,17882
2016-07-04,18716
2016-07-05,18716
2016-07-06,18716
2016-07-07,19310
2016-07-08,19310
2016-07-09,19534
2016-07-10,19534
2016-07-11,18861
2016-07-12,18861
2016-07-13,18414
2016-07-14,18414
2016-07-15,18414
2016-07-16,18307
2016-07-17,18307
2016-07-18,18307
2016-07-23,17126
2016-07-24,17126
2016-07-25,16358
2016-07-26,16358
2016-07-27,16358
2016-07-28,15594
2016-07-29,15594
2016-07-30,15594
2016-07-31,14883
2016-08-01,14883
2016-08-02,14883
2016-08-03,14138
2016-08-04,14138
2016-08-05,14138
2016-08-06,13461
2016-08-07,13461
2016-08-08,13461
2016-08-09,12853
2016-08-10,12853
2016-08-11,12853
2016-08-12,12853
2016-08-13,12351
2016-08-14,12351
2016-08-15,12351
2016-08-16,11826
2016-08-17,11826
2016-08-18,11826
2016-08-19,11826
2016-08-20,12013
2016-08-21,12013
2016-08-22,12013
2016-08-23,11852
2016-08-24,11852
2016-08-25,11852
2016-08-26,11852
2016-08-28,11467
2016-08-31,10990
2016-09-01,10990
2016-09-02,10990
2016-09-03,10990
2016-09-04,10478
2016-09-05,10478
2016-09-06,10478
2016-09-07,10478
2016-09-08,10478
2016-09-09,10069
2016-09-10,10069
2016-09-11,10069
2016-09-12,9778
2016-09-13,9778
2016-09-14,9778
2016-09-15,9778
2016-09-16,9778
2016-09-17,9778
2016-09-18,9778
2016-09-19,9778
2016-09-20,9778
2016-09-21,9778
2016-09-22,9629
2016-09-23,9629
2016-09-24,9629
2016-09-25,9629
2016-09-26,9629
2016-09-27,9502
2016-09-28,9502
2016-09-29,9502
2016-09-30,9223
2016-10-01,9223
2016-10-02,9223
2016-10-03,9223
2016-10-04,9223
2016-10-05,9211
2016-10-06,9211
2016-10-07,9211
2016-10-08,9211
2016-10-09,9569
2016-10-10,9569
2016-10-11,9569
2016-10-12,9569
2016-10-13,10031
2016-10-14,10031
2016-10-15,10031
2016-10-16,10031
2016-10-17,10300
2016-10-18,10300
2016-10-19,10300
2016-10-20,10300
2016-10-21,10685
2016-10-22,10685
2016-10-23,10685
2016-10-24,10685
2016-10-25,11199
2016-10-26,11199
2016-10-27,11199
2016-10-28,11199
2016-10-29,11023
2016-10-30,11023
2016-10-31,11023
2016-11-01,11023
2016-11-02,11023
2016-11-03,11082
2016-11-04,11082
2016-11-05,11082
2016-11-06,11082
2016-11-07,10988
2016-11-08,10988
2016-11-09,10988
2016-11-10,10988
2016-11-11,11255
2016-11-12,11255
2016-11-13,11255
2016-11-14,11255
2016-11-15,11255
2016-12-07,11964
2016-12-08,11964
2016-12-09,11964
2016-12-10,11865
2016-12-11,11865
2016-12-12,11865
2016-12-13,11865
2016-12-14,11865
2016-12-15,11711
2016-12-16,11711
2016-12-17,11711
2016-12-18,11711
2016-12-19,11653
2016-12-20,11653
2016-12-21,11653
2016-12-22,11653
2016-12-23,12108
2016-12-24,12108
2016-12-25,12108
2016-12-26,12108
2016-12-27,12672
2016-12-28,12672
2016-12-29,12672
2016-12-30,12672
2016-12-31,13234
2017-01-01,13234
2017-01-02,13234
2017-01-03,13234
2017-01-04,13536
2017-01-05,13536
2017-01-06,13536
2017-01-07,13536
2017-01-08,13691
2017-01-09,13691
2017-01-10,13691
2017-01-11,13691
2017-01-12,13932
2017-01-13,13932
2017-01-14,13932
2017-01-15,13932
2017-01-16,13903
2017-01-17,13903
2017-01-18,13903
2017-01-19,13903
2017-01-20,13878
2017-01-21,13878
2017-01-22,13878
2017-01-23,13716
2017-01-27,13355
2017-01-28,13355
2017-01-29,13355
2017-01-30,13355
2017-01-31,13163
2017-02-01,13163
2017-02-02,13163
2017-02-03,13163
2017-02-04,12794
2017-02-05,12794
2017-02-06,12794
2017-02-07,12794
2017-02-08,12406
2017-02-09,12406
2017-02-10,12406
2017-02-11,12280
2017-02-12,12280
2017-02-13,12280
2017-02-14,12030
2017-02-15,12030
2017-02-16,12030
2017-02-17,12030
2017-02-18,12078
2017-02-19,12078
2017-02-20,12078
2017-02-21,12292
2017-02-22,12292
2017-02-23,12292
2017-02-24,12292
2017-02-25,12157
2017-02-26,12157
2017-02-27,12157
2017-02-28,12157
2017-03-01,11909
2017-03-02,11909
2017-03-03,11909
2017-03-04,11670
2017-03-05,11670
2017-03-06,11670
2017-03-07,11945
2017-03-08,11945
2017-03-09,11945
2017-03-10,11598
2017-03-11,11598
2017-03-12,11598
2017-03-13,11671
2017-03-14,11671
2017-03-15,11671
2017-03-16,11671
2017-03-17,11378
2017-03-18,11378
2017-03-19,11378
2017-03-20,11433
2017-03-21,11433
2017-03-22,11433
2017-03-23,11433
2017-03-24,11363
2017-03-25,11363
2017-03-26,11363
2017-03-27,11363
2017-03-28,10962
2017-03-29,10962
2017-03-30,10962
2017-03-31,10479
2017-04-01,10479
2017-04-02,10479
2017-04-03,10004
2017-04-04,10004
2017-04-05,10004
2017-04-12,9304
2017-04-13,9414
2017-04-14,9414
2017-04-15,9414
2017-04-16,9042
2017-04-17,9042
2017-04-18,9042
2017-04-19,8754
2017-04-20,8754
2017-04-21,8754
2017-04-22,8754
2017-04-23,8324
2017-04-24,8324
2017-04-25,8324
2017-04-26,8117
2017-04-27,8117
2017-04-28,8117
2017-04-29,8148
2017-04-30,8148
2017-05-01,8148
2017-05-02,8148
2017-05-03,7876
2017-05-04,7876
2017-05-05,7876
2017-05-06,7876
2017-05-07,7944
2017-05-08,7944
2017-05-09,7944
2017-05-10,8027
2017-05-11,8027
2017-05-12,8027
2017-05-13,7881
2017-05-14,7881
2017-05-15,7881
2017-05-16,7881
2017-05-17,7928
2017-05-18,7928
2017-05-19,7928
2017-05-20,7744
2017-05-21,7744
2017-05-22,7744
2017-05-23,7744
2017-05-24,7539
2017-05-25,7539
2017-05-26,7539
2017-05-27,7539
2017-05-28,7539
2017-05-29,7463
2017-05-30,7463
2017-05-31,7463
2017-06-01,7414
2017-06-02,7414
2017-06-03,7414
2017-06-04,7414
2017-06-05,7370
2017-06-06,7370
2017-06-07,7514
2017-06-08,7514
2017-06-09,7514
2017-06-10,7346
2017-06-11,7346
2017-06-12,7346
2017-06-13,7346
2017-06-14,7250
2017-06-15,7250
2017-06-16,7250
2017-06-17,7190
2017-06-18,7190
2017-06-19,7190
2017-06-20,7190
2017-06-21,7208
2017-06-22,7208
2017-06-23,7208
2017-06-24,7208
2017-06-25,7208
2017-06-26,7146
2017-06-27,7146
2017-06-28,7146
2017-06-29,7146
2017-06-30,7242
2017-07-01,7242
2017-07-02,7242
2017-07-03,7242
2017-07-04,7242
2017-07-05,7533
2017-07-06,7533
2017-07-07,7533
2017-07-08,7533
2017-07-09,7459
2017-07-13,7459
2017-07-14,7538
2017-07-15,7538
2017-07-16,7538
2017-07-17,7538
2017-07-18,7505
2017-07-19,7505
2017-07-20,7505
2017-07-21,7505
2017-07-22,7623
2017-07-23,7623
2017-07-24,7623
2017-07-25,7623
2017-07-26,7814
2017-07-27,7814
2017-07-28,7814
2017-07-29,7499
2017-07-30,7499
2017-07-31,7499
2017-08-01,7233
2017-08-02,7233
2017-08-03,7233
2017-08-04,7233
2017-08-05,7514
2017-08-06,7514
2017-08-07,7514
2017-08-08,7514
2017-08-09,7493
2017-08-10,7493
2017-08-11,7493
2017-08-12,7493
2017-08-13,7314
2017-08-14,7314
2017-08-15,7314
