date_obj,Adamant%20arrowtips price
2015-03-26,108
2015-03-27,108
2015-03-28,108
2015-03-29,108
2015-03-30,107
2015-03-31,107
2015-04-01,107
2015-04-02,107
2015-04-03,107
2015-04-04,107
2015-04-05,102
2015-04-06,102
2015-04-07,102
2015-04-08,102
2015-04-09,102
2015-04-10,102
2015-04-11,96
2015-04-12,96
2015-04-13,96
2015-04-14,96
2015-04-15,96
2015-04-16,96
2015-04-17,92
2015-04-18,92
2015-04-19,92
2015-04-20,92
2015-04-21,92
2015-04-22,92
2015-04-23,92
2015-04-24,87
2015-04-25,87
2015-04-26,87
2015-04-27,87
2015-04-28,87
2015-04-29,87
2015-04-30,85
2015-05-01,85
2015-05-02,85
2015-05-03,85
2015-05-04,85
2015-05-05,85
2015-05-06,86
2015-05-07,86
2015-05-08,86
2015-05-09,86
2015-05-10,86
2015-05-11,86
2015-05-12,86
2015-05-13,87
2015-05-14,87
2015-05-15,87
2015-05-16,87
2015-05-17,87
2015-05-18,87
2015-05-19,89
2015-05-20,89
2015-05-21,89
2015-05-22,89
2015-05-23,89
2015-05-24,89
2015-05-25,89
2015-05-26,91
2015-05-27,91
2015-05-28,91
2015-05-29,91
2015-05-30,93
2015-05-31,93
2015-06-01,93
2015-06-02,93
2015-06-03,93
2015-06-04,93
2015-06-05,91
2015-06-06,91
2015-06-07,91
2015-06-08,91
2015-06-09,91
2015-06-10,88
2015-06-11,88
2015-06-12,88
2015-06-13,88
2015-06-14,88
2015-06-15,88
2015-06-16,85
2015-06-17,85
2015-06-18,85
2015-06-19,85
2015-06-20,85
2015-06-21,85
2015-06-22,84
2015-06-23,84
2015-06-24,84
2015-06-25,84
2015-06-26,84
2015-06-27,84
2015-06-28,82
2015-06-29,82
2015-06-30,82
2015-07-01,82
2015-07-02,82
2015-07-03,82
2015-07-04,80
2015-07-05,80
2015-07-06,80
2015-07-07,80
2015-07-08,80
2015-07-09,80
2015-07-10,80
2015-07-11,80
2015-07-12,80
2015-07-13,80
2015-07-14,80
2015-07-15,80
2015-07-16,82
2015-07-17,82
2015-07-18,82
2015-07-19,82
2015-07-20,82
2015-07-21,82
2015-07-22,84
2015-07-23,84
2015-07-24,84
2015-07-25,84
2015-07-26,84
2015-07-27,86
2015-07-28,86
2015-07-29,86
2015-07-30,86
2015-07-31,86
2015-08-01,88
2015-08-02,88
2015-08-03,88
2015-08-04,88
2015-08-05,88
2015-08-06,89
2015-08-07,89
2015-08-08,89
2015-08-09,89
2015-08-10,89
2015-08-11,90
2015-08-12,90
2015-08-13,90
2015-08-14,90
2015-08-15,90
2015-08-16,92
2015-08-17,92
2015-08-18,92
2015-08-19,92
2015-08-20,92
2015-08-21,93
2015-08-22,93
2015-08-23,93
2015-08-24,93
2015-08-25,93
2015-08-26,93
2015-08-27,94
2015-08-28,94
2015-08-29,94
2015-08-30,94
2015-08-31,94
2015-09-01,95
2015-09-02,95
2015-09-03,95
2015-09-04,95
2015-09-05,95
2015-09-06,95
2015-09-07,94
2015-09-08,94
2015-09-09,94
2015-09-10,94
2015-09-11,94
2015-09-12,95
2015-09-13,95
2015-09-14,95
2015-09-15,95
2015-09-16,95
2015-09-17,95
2015-09-18,97
2015-09-19,97
2015-09-20,97
2015-09-21,97
2015-09-22,97
2015-09-23,97
2015-09-24,97
2015-09-25,97
2015-09-27,97
2015-09-28,97
2015-09-29,96
2015-09-30,96
2015-10-05,95
2015-10-06,95
2015-10-07,95
2015-10-08,95
2015-10-09,91
2015-10-10,91
2015-10-11,91
2015-10-12,91
2015-10-13,91
2015-10-14,87
2015-10-15,87
2015-10-16,87
2015-10-17,87
2015-10-18,87
2015-10-19,86
2015-10-20,86
2015-10-22,86
2015-10-23,87
2015-10-24,87
2015-10-25,87
2015-10-26,87
2015-10-27,90
2015-10-28,90
2015-10-29,90
2015-10-30,90
2015-10-31,90
2015-11-01,92
2015-11-02,92
2015-11-03,92
2015-11-04,92
2015-11-05,92
2015-11-06,97
2015-11-07,97
2015-11-08,97
2015-11-09,97
2015-11-10,97
2015-11-11,101
2015-11-12,101
2015-11-13,101
2015-11-14,101
2015-11-15,101
2015-11-16,106
2015-11-17,106
2015-11-18,106
2015-11-19,106
2015-11-20,106
2015-11-21,106
2015-11-22,111
2015-11-23,111
2015-11-24,111
2015-11-25,111
2015-11-26,111
2015-11-27,111
2015-11-28,116
2015-11-29,116
2015-11-30,116
2015-12-01,116
2015-12-02,116
2015-12-03,120
2015-12-04,120
2015-12-05,120
2015-12-06,120
2015-12-07,120
2015-12-08,125
2015-12-09,125
2015-12-10,125
2015-12-11,125
2015-12-12,125
2015-12-13,128
2015-12-14,128
2015-12-15,128
2015-12-16,128
2015-12-17,128
2015-12-18,124
2015-12-19,124
2015-12-20,124
2015-12-21,124
2015-12-22,124
2015-12-23,119
2015-12-24,119
2015-12-25,119
2015-12-26,119
2015-12-27,119
2015-12-28,118
2015-12-29,118
2015-12-30,118
2015-12-31,118
2016-01-01,118
2016-01-02,118
2016-01-03,118
2016-01-04,118
2016-01-05,118
2016-01-06,112
2016-01-07,112
2016-01-08,112
2016-01-09,112
2016-01-10,112
2016-01-11,109
2016-01-12,109
2016-01-13,109
2016-01-14,109
2016-01-15,113
2016-01-16,113
2016-01-17,113
2016-01-18,113
2016-01-19,113
2016-01-20,117
2016-01-21,117
2016-01-22,117
2016-01-23,117
2016-01-24,117
2016-01-25,121
2016-01-26,121
2016-01-27,121
2016-01-28,121
2016-01-29,122
2016-01-30,122
2016-01-31,122
2016-02-01,122
2016-02-02,122
2016-02-03,122
2016-02-04,122
2016-02-05,122
2016-02-06,122
2016-02-07,122
2016-02-08,123
2016-02-09,123
2016-02-10,123
2016-02-11,123
2016-02-12,123
2016-02-13,124
2016-02-14,124
2016-02-15,124
2016-02-16,124
2016-02-17,124
2016-02-18,124
2016-02-19,124
2016-02-20,124
2016-02-21,124
2016-02-22,124
2016-02-23,126
2016-02-24,126
2016-02-25,126
2016-02-26,126
2016-02-27,126
2016-02-28,126
2016-02-29,126
2016-03-01,126
2016-03-02,126
2016-03-03,121
2016-03-04,121
2016-03-05,121
2016-03-06,121
2016-03-07,121
2016-03-08,119
2016-03-09,119
2016-03-10,119
2016-03-11,119
2016-03-12,122
2016-03-13,122
2016-03-14,122
2016-03-15,122
2016-03-16,124
2016-03-17,124
2016-03-18,124
2016-03-19,124
2016-03-20,126
2016-03-21,126
2016-03-22,126
2016-03-23,126
2016-03-24,126
2016-03-25,128
2016-03-26,128
2016-03-27,128
2016-03-28,128
2016-03-29,129
2016-03-30,129
2016-03-31,129
2016-04-01,129
2016-04-02,129
2016-04-03,129
2016-04-04,129
2016-04-05,129
2016-04-06,129
2016-04-07,129
2016-04-08,129
2016-04-09,135
2016-04-10,135
2016-04-11,135
2016-04-12,135
2016-04-13,135
2016-04-14,134
2016-04-15,134
2016-04-16,134
2016-04-17,134
2016-04-18,131
2016-04-19,131
2016-04-20,131
2016-04-21,131
2016-04-22,131
2016-04-23,128
2016-04-24,128
2016-04-25,128
2016-04-26,128
2016-04-27,127
2016-04-28,127
2016-04-29,127
2016-04-30,127
2016-05-01,129
2016-05-02,129
2016-05-03,129
2016-05-04,129
2016-05-05,129
2016-05-06,129
2016-05-07,129
2016-05-08,129
2016-05-09,129
2016-05-10,127
2016-05-11,127
2016-05-12,127
2016-05-13,127
2016-05-14,124
2016-05-15,124
2016-05-16,124
2016-05-17,124
2016-05-18,122
2016-05-19,122
2016-05-21,122
2016-05-22,122
2016-05-23,123
2016-05-24,123
2016-05-25,123
2016-05-26,123
2016-05-27,125
2016-05-28,125
2016-05-29,125
2016-05-30,125
2016-05-31,125
2016-06-01,125
2016-06-02,125
2016-06-03,125
