date_obj,Guthix%20page%202 price
2015-03-26,17889
2015-03-27,17889
2015-03-28,17678
2015-03-29,17378
2015-03-30,17378
2015-03-31,17152
2015-04-01,17152
2015-04-02,17012
2015-04-03,17012
2015-04-04,17640
2015-04-05,17640
2015-04-06,18423
2015-04-07,18423
2015-04-08,19341
2015-04-09,19341
2015-04-10,20304
2015-04-11,20304
2015-04-12,21275
2015-04-13,21275
2015-04-14,22290
2015-04-15,22290
2015-04-16,23128
2015-04-17,23128
2015-04-18,23973
2015-04-19,23973
2015-04-20,24929
2015-04-21,24929
2015-04-22,25673
2015-04-23,25673
2015-04-24,24945
2015-04-25,24945
2015-04-26,24225
2015-04-27,24225
2015-04-28,24722
2015-04-29,24722
2015-04-30,24740
2015-05-01,24740
2015-05-02,24650
2015-05-03,24650
2015-05-04,24672
2015-05-05,24672
2015-05-06,24170
2015-05-07,24170
2015-05-08,23901
2015-05-09,23901
2015-05-10,23202
2015-05-11,23202
2015-05-12,22722
2015-05-13,22722
2015-05-14,22040
2015-05-15,22040
2015-05-16,21309
2015-05-17,20847
2015-05-18,20847
2015-05-19,20574
2015-05-20,20574
2015-05-21,20574
2015-05-22,19926
2015-05-23,19926
2015-05-24,20006
2015-05-25,20006
2015-05-26,20051
2015-05-27,20051
2015-05-28,19683
2015-05-29,19494
2015-05-30,19272
2015-05-31,19272
2015-06-01,19004
2015-06-02,19004
2015-06-03,19266
2015-06-04,19266
2015-06-05,19657
2015-06-06,20160
2015-06-07,20160
2015-06-08,20115
2015-06-09,20684
2015-06-10,21074
2015-06-11,21074
2015-06-12,21701
2015-06-13,22311
2015-06-14,22311
2015-06-15,22783
2015-06-16,23718
2015-06-17,23718
2015-06-18,24475
2015-06-19,24475
2015-06-20,25254
2015-06-21,25254
2015-06-22,25813
2015-06-23,25813
2015-06-24,26666
2015-06-25,26666
2015-06-26,26911
2015-06-27,26911
2015-06-28,27729
2015-06-29,27729
2015-06-30,28382
2015-07-01,28812
2015-07-02,28812
2015-07-03,30034
2015-07-04,30034
2015-07-05,31171
2015-07-06,31171
2015-07-07,32676
2015-07-08,34234
2015-07-09,34234
2015-07-10,35920
2015-07-11,35920
2015-07-12,37129
2015-07-13,38299
2015-07-14,38299
2015-07-15,39619
2015-07-16,39619
2015-07-17,40579
2015-07-18,40579
2015-07-19,40796
2015-07-20,40834
2015-07-21,40834
2015-07-22,41617
2015-07-23,41617
2015-07-24,42845
2015-07-25,42845
2015-07-26,44042
2015-07-27,44042
2015-07-28,45035
2015-07-29,46358
2015-07-30,46358
2015-07-31,47634
2015-08-01,47634
2015-08-02,48931
2015-08-03,48931
2015-08-04,50458
2015-08-05,50999
2015-08-06,50999
2015-08-07,50511
2015-08-08,50511
2015-08-09,48346
2015-08-10,48346
2015-08-11,46965
2015-08-12,46965
2015-08-13,46688
2015-08-14,47969
2015-08-15,47969
2015-08-16,48302
2015-08-17,48390
2015-08-18,48390
2015-08-19,48417
2015-08-20,48417
2015-08-21,49160
2015-08-22,49160
2015-08-23,49563
2015-08-24,49563
2015-08-25,49855
2015-08-26,49855
2015-08-27,49389
2015-08-28,49389
2015-08-29,48458
2015-08-30,48458
2015-08-31,47932
2015-09-01,47932
2015-09-02,47641
2015-09-03,47641
2015-09-04,47125
2015-09-05,47125
2015-09-06,45504
2015-09-07,45504
2015-09-08,43690
2015-09-09,43690
2015-09-10,42142
2015-09-11,42142
2015-09-12,40060
2015-09-13,40060
2015-09-14,38268
2015-09-15,36610
2015-09-16,36610
2015-09-17,34809
2015-09-18,34809
2015-09-19,33068
2015-09-20,33068
2015-09-21,31414
2015-09-22,31414
2015-09-23,29853
2015-09-24,29853
2015-09-25,28515
2015-09-27,27089
2015-09-28,25816
2015-09-29,24725
2015-09-30,23581
2015-10-05,21446
2015-10-06,20752
2015-10-07,20752
2015-10-08,20556
2015-10-09,20556
2015-10-10,20410
2015-10-11,20580
2015-10-12,20580
2015-10-13,20787
2015-10-14,20787
2015-10-15,21821
2015-10-16,21821
2015-10-17,22913
2015-10-18,22913
2015-10-19,24042
2015-10-20,24042
2015-10-22,25030
2015-10-23,25157
2015-10-24,25157
2015-10-25,26287
2015-10-26,26287
2015-10-27,27459
2015-10-29,28718
2015-10-30,28718
2015-10-31,29900
2015-11-01,29900
2015-11-02,31084
2015-11-03,31084
2015-11-04,32203
2015-11-05,32203
2015-11-06,33161
2015-11-07,34009
2015-11-08,34009
2015-11-09,35261
2015-11-10,35261
2015-11-11,35885
2015-11-12,35885
2015-11-13,36731
2015-11-14,36731
2015-11-15,37572
2015-11-16,37572
2015-11-17,37330
2015-11-18,37330
2015-11-19,36732
2015-11-20,36732
2015-11-21,37357
2015-11-22,38871
