date_obj,Teal%20gloves price
2015-03-04,4028
2015-03-05,4028
2015-03-06,3826
2015-03-07,3826
2015-03-08,3634
2015-03-09,3634
2015-03-10,3634
2015-03-11,3452
2015-03-12,3452
2015-03-13,3452
2015-03-14,3279
2015-03-15,3279
2015-03-16,3119
2015-03-17,3119
2015-03-18,3119
2015-03-19,2963
2015-03-20,2963
2015-03-21,2963
2015-03-22,2814
2015-03-23,2814
2015-03-24,2814
2015-03-25,2673
2015-03-26,2673
2015-03-27,2673
2015-03-28,2539
2015-03-29,2539
2015-03-30,2417
2015-03-31,2417
2015-04-01,2300
2015-04-02,2300
2015-04-03,2190
2015-04-04,2190
2015-04-05,2085
2015-04-06,2085
2015-04-07,1984
2015-04-08,1984
2015-04-09,1984
2015-04-10,1884
2015-04-11,1884
2015-04-12,1792
2015-04-13,1792
2015-04-14,1792
2015-04-15,1702
2015-04-16,1702
2015-04-17,1618
2015-04-18,1618
2015-04-19,1541
2015-04-20,1541
2015-04-21,1541
2015-04-22,1466
2015-04-23,1466
2015-04-24,1396
2015-04-25,1396
2015-04-26,1396
2015-04-27,1326
2015-04-28,1326
2015-04-29,1326
2015-04-30,1259
2015-05-01,1259
2015-05-02,1198
2015-05-03,1198
2015-05-04,1198
2015-05-05,1141
2015-05-06,1141
2015-05-07,1086
2015-05-08,1086
2015-05-09,1038
2015-05-10,1038
2015-05-11,1038
2015-05-12,990
2015-05-13,990
2015-05-14,969
2015-05-15,969
2015-05-16,969
2015-05-17,948
2015-05-18,948
2015-05-19,948
2015-05-20,938
2015-05-21,938
2015-05-22,938
2015-05-23,924
2015-05-24,924
2015-05-25,917
2015-05-26,917
2015-05-27,917
2015-05-28,911
2015-05-29,911
2015-05-30,896
2015-05-31,896
2015-06-01,872
2015-06-02,872
2015-06-03,872
2015-06-04,845
2015-06-05,845
2015-06-06,833
2015-06-07,833
2015-06-08,815
2015-06-09,815
2015-06-10,774
2015-06-11,774
2015-06-12,774
2015-06-13,744
2015-06-14,744
2015-06-15,716
2015-06-16,716
2015-06-17,688
2015-06-18,688
2015-06-19,673
2015-06-20,673
2015-06-21,651
2015-06-22,651
2015-06-23,630
2015-06-24,630
2015-06-25,622
2015-06-26,622
2015-06-27,622
2015-06-28,622
2015-06-29,614
2015-06-30,614
2015-07-01,617
2015-07-02,617
2015-07-03,605
2015-07-04,605
2015-07-05,597
2015-07-06,597
2015-07-07,588
2015-07-08,588
2015-07-09,574
2015-07-10,574
2015-07-11,585
2015-07-12,585
2015-07-13,607
2015-07-14,607
2015-07-15,616
2015-07-16,616
2015-07-17,610
2015-07-18,610
2015-07-19,614
2015-07-20,614
2015-07-21,607
2015-07-22,607
2015-07-23,607
2015-07-24,607
2015-07-25,619
2015-07-26,619
2015-07-27,620
2015-07-28,620
2015-07-29,611
2015-07-30,611
2015-07-31,611
2015-08-01,608
2015-08-02,608
2015-08-03,605
2015-08-04,605
2015-08-05,612
2015-08-06,612
2015-08-07,612
2015-08-08,612
2015-08-09,607
2015-08-10,607
2015-08-11,597
2015-08-12,597
2015-08-13,597
2015-08-14,602
2015-08-15,602
2015-08-16,602
2015-08-17,601
2015-08-18,601
2015-08-19,593
2015-08-20,593
2015-08-21,586
2015-08-22,586
2015-08-23,578
2015-08-24,578
2015-08-25,578
2015-08-26,583
2015-08-27,583
2015-08-28,568
2015-08-29,568
2015-08-30,577
2015-08-31,577
2015-09-02,569
2015-09-07,557
2015-09-08,557
