date_obj,Fire%20talisman price
2015-03-26,3610
2015-03-27,3610
2015-03-28,3437
2015-03-29,3472
2015-03-30,3447
2015-03-31,3447
2015-04-01,3345
2015-04-02,3345
2015-04-03,3296
2015-04-04,3339
2015-04-05,3339
2015-04-06,3278
2015-04-07,3278
2015-04-08,3239
2015-04-09,3239
2015-04-10,3168
2015-04-11,3168
2015-04-12,3041
2015-04-13,3041
2015-04-14,3001
2015-04-15,3001
2015-04-16,2908
2015-04-17,2908
2015-04-18,2908
2015-04-19,2908
2015-04-20,2799
2015-04-21,2799
2015-04-22,2866
2015-04-23,2866
2015-04-24,2937
2015-04-25,2937
2015-04-26,2880
2015-04-27,2880
2015-04-28,2761
2015-04-29,2761
2015-04-30,2675
2015-05-01,2628
2015-05-02,2628
2015-05-03,2602
2015-05-04,2602
2015-05-05,2549
2015-05-06,2549
2015-05-07,2567
2015-05-08,2567
2015-05-09,2587
2015-05-10,2587
2015-05-11,2681
2015-05-12,2681
2015-05-13,2656
2015-05-14,2656
2015-05-15,2608
2015-05-16,2608
2015-05-17,2590
2015-05-18,2590
2015-05-19,2506
2015-05-20,2506
2015-05-21,2506
2015-05-22,2452
2015-05-23,2452
2015-05-24,2387
2015-05-25,2387
2015-05-26,2325
2015-05-27,2325
2015-05-28,2343
2015-05-29,2343
2015-05-30,2314
2015-05-31,2314
2015-06-01,2267
2015-06-02,2267
2015-06-03,2281
2015-06-04,2281
2015-06-05,2301
2015-06-06,2306
2015-06-07,2306
2015-06-08,2419
2015-06-09,2513
2015-06-10,2637
2015-06-11,2637
2015-06-12,2769
2015-06-13,2826
2015-06-14,2826
2015-06-15,2894
2015-06-16,2894
2015-06-17,2837
2015-06-18,2879
2015-06-19,2879
2015-06-20,2865
2015-06-21,2865
2015-06-22,2816
2015-06-23,2816
2015-06-24,2811
2015-06-25,2811
2015-06-26,2904
2015-06-27,2904
2015-06-28,2832
2015-06-29,2832
2015-06-30,2863
2015-07-01,2863
2015-07-02,3006
2015-07-03,3075
2015-07-04,3075
2015-07-05,2993
2015-07-06,2993
2015-07-07,3022
2015-07-08,2943
2015-07-09,2943
2015-07-10,2867
2015-07-11,2867
2015-07-12,2964
2015-07-13,2989
2015-07-14,2989
2015-07-15,2890
2015-07-16,2890
2015-07-17,2845
2015-07-18,2845
2015-07-19,2854
2015-07-20,2830
2015-07-21,2830
2015-07-22,2870
2015-07-23,2870
2015-07-24,2875
2015-07-25,2875
2015-07-26,2916
2015-07-27,2916
2015-07-28,2857
2015-07-29,2883
2015-07-30,2883
2015-07-31,2925
2015-08-01,2925
2015-08-02,2852
2015-08-03,2852
2015-08-04,2722
2015-08-05,2708
2015-08-06,2708
2015-08-07,2688
2015-08-08,2634
2015-08-09,2662
2015-08-10,2662
2015-08-11,2697
2015-08-12,2697
2015-08-13,2641
2015-08-14,2565
2015-08-15,2565
2015-08-16,2618
2015-08-17,2679
2015-08-18,2679
2015-08-19,2715
2015-08-20,2715
2015-08-21,2718
2015-08-22,2718
2015-08-23,2694
2015-08-24,2703
2015-08-25,2703
2015-08-26,2710
2015-08-27,2708
2015-08-28,2708
2015-08-29,2722
2015-08-30,2722
2015-08-31,2758
2015-09-01,2758
2015-09-02,2868
2015-09-03,2868
2015-09-04,3005
2015-09-05,3005
2015-09-06,3057
2015-09-07,3057
