date_obj,Unblessed%20symbol price
2015-03-26,7229
2015-03-27,7229
2015-03-28,7229
2015-03-29,7229
2015-03-30,7229
2015-03-31,7229
2015-04-01,7229
2015-04-02,7229
2015-04-03,7229
2015-04-04,7229
2015-04-05,7229
2015-04-06,6874
2015-04-07,6874
2015-04-08,6874
2015-04-09,6874
2015-04-10,6874
2015-04-11,6874
2015-04-12,6874
2015-04-13,6874
2015-04-14,6874
2015-04-15,6874
2015-04-16,6874
2015-04-17,6874
2015-04-18,6874
2015-04-19,6533
2015-04-20,6533
2015-04-21,6533
2015-04-22,6533
2015-04-23,6533
2015-04-24,6533
2015-04-25,6533
2015-04-26,6533
2015-04-27,6223
2015-04-28,6223
2015-04-29,6223
2015-04-30,6223
2015-05-01,6223
2015-05-02,6223
2015-05-03,6223
2015-05-04,6223
2015-05-05,5912
2015-05-06,5912
2015-05-07,5912
2015-05-08,5912
2015-05-09,5912
2015-05-10,5912
2015-05-11,5912
2015-05-12,5618
2015-05-13,5618
2015-05-14,5618
2015-05-15,5618
2015-05-16,5618
2015-05-17,5618
2015-05-18,5346
2015-05-19,5346
2015-05-20,5346
2015-05-21,5346
2015-05-22,5346
2015-05-23,5346
2015-05-24,5346
2015-05-25,5084
2015-05-26,5084
2015-05-27,5084
2015-05-28,5084
2015-05-29,5084
2015-05-30,4840
2015-05-31,4840
2015-06-01,4840
2015-06-02,4840
2015-06-03,4604
2015-06-04,4604
2015-06-05,4604
2015-06-06,4375
2015-06-07,4375
2015-06-08,25
2015-06-09,25
2015-06-10,25
2015-06-11,25
2015-06-12,25
2015-06-13,25
2015-06-14,25
2015-06-15,25
2015-06-16,25
2015-06-17,25
2015-06-18,25
2015-06-19,25
2015-06-20,23
2015-06-21,23
2015-06-22,23
2015-06-23,23
2015-06-24,23
2015-06-25,23
2015-06-26,23
2015-06-27,23
2015-06-28,23
2015-06-29,23
2015-06-30,23
2015-07-01,23
2015-07-02,23
2015-07-03,23
2015-07-04,23
2015-07-05,23
2015-07-06,23
2015-07-07,21
2015-07-08,21
2015-07-09,21
2015-07-10,21
2015-07-11,21
2015-07-12,21
2015-07-13,21
2015-07-14,21
2015-07-15,21
2015-07-16,21
2015-07-17,21
2015-07-18,21
2015-07-19,21
2015-07-20,21
2015-07-21,21
2015-07-22,21
2015-07-23,21
2015-07-24,21
2015-07-25,21
2015-07-26,21
2015-07-27,21
2015-07-28,21
2015-07-29,19
2015-07-30,19
2015-07-31,19
2015-08-01,19
2015-08-02,19
2015-08-03,19
2015-08-04,19
2015-08-05,19
2015-08-06,19
2015-08-07,19
2015-08-08,19
2015-08-09,19
2015-08-10,19
2015-08-11,19
2015-08-12,19
2015-08-13,19
2015-08-14,19
2015-08-15,19
2015-08-16,19
2015-08-17,19
2015-08-18,19
2015-08-19,19
2015-08-20,19
2015-08-21,19
2015-08-22,19
2015-08-23,19
2015-08-24,19
