date_obj,Guthan's%20helm price
2015-03-26,3548554
2015-03-27,3548554
2015-03-28,3508681
2015-03-29,3508681
2015-03-30,3570013
2015-03-31,3570013
2015-04-01,3655754
2015-04-02,3655754
2015-04-03,3633553
2015-04-04,3633553
2015-04-05,3673767
2015-04-06,3673767
2015-04-07,3573520
2015-04-08,3573520
2015-04-09,3405723
2015-04-10,3405723
2015-04-11,3268382
2015-04-12,3268382
2015-04-13,3167348
2015-04-14,3167348
2015-04-15,3157639
2015-04-16,3157639
2015-04-17,3082303
2015-04-18,3082303
2015-04-19,3014644
2015-04-20,3014644
2015-04-21,3013003
2015-04-22,3013003
2015-04-23,2983506
2015-04-24,2983506
2015-04-25,2964822
2015-04-26,2964822
2015-04-27,3080045
2015-04-28,3080045
2015-04-29,3080045
2015-04-30,3189290
2015-05-01,3189290
2015-05-02,3326006
2015-05-03,3326006
2015-05-04,3476756
2015-05-05,3476756
2015-05-06,3643515
2015-05-07,3643515
2015-05-08,3759507
2015-05-09,3759507
2015-05-10,3944019
2015-05-11,3944019
2015-05-12,3996287
2015-05-13,3996287
2015-05-14,3986270
2015-05-15,3986270
2015-05-16,3986270
2015-05-17,3945438
2015-05-18,3945438
2015-05-19,3980592
2015-05-20,3980592
2015-05-21,3980592
2015-05-22,3814370
2015-05-23,3814370
2015-05-24,3684657
2015-05-25,3684657
2015-05-26,3656875
2015-05-27,3656875
2015-05-28,3801770
2015-05-29,3801770
2015-05-30,3871850
2015-05-31,3871850
2015-06-01,3804220
2015-06-02,3804220
2015-06-03,3697973
2015-06-04,3697973
2015-06-05,3642180
2015-06-06,3699004
2015-06-07,3750214
2015-06-08,3750214
2015-06-09,3922955
2015-06-10,4115573
2015-06-11,4115573
2015-06-12,4158693
2015-06-13,4120410
2015-06-14,4108058
2015-06-15,4108058
2015-06-16,4172348
2015-06-17,4172348
2015-06-18,4309050
2015-06-19,4309050
2015-06-20,4391267
2015-06-21,4391267
2015-06-22,4334775
2015-06-23,4334775
2015-06-24,4441641
2015-06-25,4441641
2015-06-26,4579112
2015-06-27,4579112
2015-06-28,4690720
2015-06-29,4690720
2015-06-30,4843741
2015-07-01,5068273
2015-07-02,5068273
2015-07-03,5248870
2015-07-04,5248870
2015-07-05,5153413
2015-07-06,5153413
2015-07-07,5096262
2015-07-08,5062835
2015-07-09,5062835
2015-07-10,4993148
2015-07-11,4993148
2015-07-12,4960945
2015-07-13,4797243
2015-07-14,4829922
2015-07-15,4964730
2015-07-16,4964730
2015-07-17,5012421
2015-07-18,5012421
2015-07-19,5028884
2015-07-20,4925406
2015-07-21,4925406
2015-07-22,4941400
2015-07-23,4941400
2015-07-24,4962342
2015-07-25,4962342
2015-07-26,5131439
2015-07-27,5355387
2015-07-28,5466919
2015-07-29,5487890
2015-07-30,5487890
2015-07-31,5421461
2015-08-01,5421461
2015-08-02,5425810
2015-08-03,5425810
2015-08-04,5657167
2015-08-05,5845184
2015-08-06,5683718
2015-08-07,5683718
2015-08-08,5572820
2015-08-09,5609903
2015-08-10,5558301
2015-08-11,5670182
2015-08-12,5670182
2015-08-13,5776495
2015-08-14,5738204
2015-08-15,5738204
2015-08-16,5605246
2015-08-17,5485411
2015-08-18,5485411
2015-08-19,5405382
2015-08-20,5405382
2015-08-21,5497356
2015-08-22,5535914
2015-08-23,5535914
2015-08-24,5775445
2015-08-25,5775445
2015-08-26,5847759
2015-08-27,5741004
2015-08-28,5741004
2015-08-29,5715339
2015-08-30,5715339
2015-08-31,5731958
2015-09-01,5746616
2015-09-02,5746616
2015-09-03,5634321
2015-09-04,5578983
2015-09-05,5578983
2015-09-06,5552617
2015-09-07,5528422
2015-09-08,5492809
2015-09-09,5430219
2015-09-10,5173732
2015-09-11,4915045
2015-09-12,4687511
2015-09-13,4453135
2015-09-14,4244143
2015-09-15,4040662
2015-09-16,4040662
2015-09-17,3838628
2015-09-18,3838628
2015-09-19,3646696
2015-09-20,3646696
2015-09-21,3464361
2015-09-22,3300290
2015-09-23,3149661
2015-09-24,3149661
2015-09-25,2999206
2015-09-27,2849245
2015-09-28,2715936
2015-09-29,2715936
2015-09-30,2620754
2015-10-05,2399382
2015-10-06,2279708
2015-10-07,2279708
2015-10-08,2175546
2015-10-09,2071175
2015-10-10,2071175
2015-10-11,1995878
2015-10-12,1995878
2015-10-13,1970990
2015-10-14,1970990
2015-10-15,1990821
2015-10-16,1990821
2015-10-17,1997134
2015-10-18,1997134
2015-10-19,2026703
2015-10-20,2026703
2015-10-22,2115298
2015-10-23,2161531
2015-10-24,2161531
2015-10-25,2268337
2015-10-26,2268337
2015-10-27,2381713
2015-10-29,2486970
2015-10-30,2486970
2015-10-31,2421211
2015-11-01,2421211
2015-11-02,2378446
2015-11-03,2378446
2015-11-04,2378446
2015-11-05,2261230
2015-11-06,2261230
2015-11-07,2150622
2015-11-08,2150622
2015-11-09,2150622
2015-11-10,2113342
2015-11-11,2113342
2015-11-12,2151990
2015-11-13,2151990
2015-11-14,2149118
2015-11-15,2149118
2015-11-16,2216666
2015-11-17,2216666
2015-11-18,2285825
2015-11-19,2285825
2015-11-20,2336387
2015-11-21,2336387
2015-11-22,2433872
2015-11-23,2433872
2015-11-24,2516688
2015-11-25,2604634
2015-11-26,2604634
2015-11-27,2688919
2015-11-28,2688919
2015-11-29,2807456
2015-11-30,2807456
2015-12-01,2918265
2015-12-02,2918265
2015-12-03,2907215
2015-12-04,2907215
2015-12-05,2997291
2015-12-06,3077867
2015-12-07,3077867
2015-12-08,3221191
2015-12-09,3352624
2015-12-10,3352624
2015-12-11,3405201
2015-12-12,3405201
2015-12-13,3402652
2015-12-14,3402652
2015-12-15,3502888
2015-12-16,3502888
2015-12-17,3498497
2015-12-18,3498497
2015-12-19,3528455
2015-12-20,3625761
2015-12-21,3625761
2015-12-22,3601914
2015-12-23,3601914
2015-12-24,3594486
2015-12-25,3594486
2015-12-26,3484972
2015-12-27,3436605
2015-12-28,3436605
2015-12-29,3383411
2015-12-31,3313407
2016-01-01,3305302
2016-01-02,3305302
2016-01-03,3449132
2016-01-04,3610862
2016-01-05,3610862
2016-01-06,3744875
2016-01-07,3744875
2016-01-08,3885973
2016-01-09,3885973
2016-01-10,3960293
2016-01-11,3960293
2016-01-12,3966890
2016-01-13,3966890
2016-01-14,3977502
2016-01-15,3977502
2016-01-16,3908599
2016-01-17,3908599
2016-01-18,3964272
2016-01-19,3964272
2016-01-20,3939264
2016-01-21,3939264
2016-01-22,3852960
2016-01-23,3852960
2016-01-24,3997950
2016-01-25,4162161
2016-01-26,4162161
2016-01-27,4214633
2016-01-28,4214633
2016-01-29,4348964
2016-01-30,4348964
2016-01-31,4453184
2016-02-01,4504770
2016-02-02,4504770
2016-02-03,4457916
2016-02-04,4457916
2016-02-05,4397278
2016-02-06,4342066
2016-02-07,4342066
2016-02-08,4451146
2016-02-09,4451146
2016-02-10,4506356
2016-02-11,4506356
2016-02-12,4477511
2016-02-13,4606641
2016-02-14,4606641
2016-02-15,4631136
2016-02-16,4631136
2016-02-17,4606425
2016-02-18,4606425
2016-02-19,4552061
2016-02-20,4552061
2016-02-21,4487875
2016-02-22,4487875
2016-02-23,4493205
2016-02-24,4493205
2016-02-25,4393362
2016-02-26,4393362
2016-02-27,4324551
2016-02-28,4324551
2016-02-29,4273385
2016-03-01,4273385
2016-03-02,4249947
2016-03-03,4249947
2016-03-04,4275175
2016-03-05,4275175
2016-03-06,4362179
2016-03-07,4362179
2016-03-08,4374049
2016-03-09,4374049
2016-03-10,4280495
2016-03-11,4280495
2016-03-12,4225875
2016-03-13,4225875
2016-03-14,4215570
2016-03-15,4215570
2016-03-16,4039435
2016-03-17,4039435
2016-03-18,3914223
2016-03-19,3914223
2016-03-20,3794460
2016-03-21,3794460
2016-03-22,3749471
2016-03-23,3673364
2016-03-24,3673364
2016-03-25,3627252
2016-03-26,3627252
