date_obj,Amulet%20of%20eternal%20glory price
2016-06-30,2592029
2016-07-01,2677235
2016-07-02,2748374
2016-07-03,2853978
2016-07-04,2971543
2016-07-05,3028300
2016-07-06,3141356
2016-07-07,3258153
2016-07-08,3395047
2016-07-09,3530300
2016-07-10,3688307
2016-07-11,3845631
2016-07-12,4004018
2016-07-13,4189574
2016-07-14,4384551
2016-07-15,4591225
2016-07-16,4806141
2016-07-17,5007443
2016-07-18,5235118
2016-07-23,6562039
2016-07-24,6865413
2016-07-25,7168553
2016-07-26,7481868
2016-07-27,7820610
2016-07-28,8169493
2016-07-29,8525640
2016-07-30,8901997
2016-07-31,9292011
2016-08-01,9701536
2016-08-02,10089461
2016-08-03,10522288
2016-08-04,10983560
2016-08-05,11420125
2016-08-06,11884588
2016-08-07,12341358
2016-08-08,12341358
2016-08-09,12844752
2016-08-10,13287416
2016-08-11,13287416
2016-08-12,13834737
2016-08-13,14374544
2016-08-14,14955488
2016-08-15,15534245
2016-08-16,15534245
2016-08-17,16192234
2016-08-18,16192234
2016-08-19,16863164
2016-08-20,17522164
2016-08-21,17522164
2016-08-22,18279796
2016-08-23,18279796
2016-08-24,19012803
2016-08-25,19012803
2016-08-26,19012803
2016-08-28,19785685
2016-08-31,20573582
2016-09-01,21493734
2016-09-02,21493734
2016-09-03,21493734
2016-09-04,22464229
2016-09-05,22464229
2016-09-06,23417629
2016-09-07,23417629
2016-09-08,23417629
2016-09-09,24434275
2016-09-10,24434275
2016-09-11,24434275
2016-09-12,25441488
2016-09-13,25441488
2016-09-14,25441488
2016-09-15,26584163
2016-09-16,26584163
2016-09-17,26584163
2016-09-18,26584163
2016-09-19,27729650
2016-09-20,27729650
2016-09-21,27729650
2016-09-22,28910651
2016-09-23,28910651
2016-09-24,28910651
2016-09-25,29730426
2016-09-26,29730426
2016-09-27,29730426
2016-09-28,30328326
2016-09-29,30328326
2016-09-30,30328326
2016-10-01,31102163
2016-10-02,31102163
2016-10-03,31102163
2016-10-04,31102163
2016-10-05,31901549
2016-10-06,31901549
2016-10-07,31901549
2016-10-08,32865834
2016-10-09,32865834
2016-10-10,32865834
2016-10-11,32865834
2016-10-12,33197327
2016-10-13,33197327
2016-10-14,33197327
2016-10-15,33424920
2016-10-16,33424920
2016-10-17,33424920
2016-10-18,33459940
2016-10-19,33459940
2016-10-20,33459940
2016-10-21,33283316
2016-10-22,33283316
2016-10-23,33283316
2016-10-24,32354993
2016-10-25,32354993
2016-10-26,32354993
2016-10-27,32354993
2016-10-28,32544094
2016-10-29,32544094
2016-10-30,32544094
2016-10-31,32544094
2016-11-01,32165233
2016-11-02,32165233
2016-11-03,32165233
2016-11-04,32165233
2016-11-05,32286603
2016-11-06,32286603
2016-11-07,32286603
2016-11-08,32107391
2016-11-09,32107391
2016-11-10,32107391
2016-11-11,32107391
2016-11-12,31979116
2016-11-13,31979116
2016-11-14,31979116
2016-11-15,31979116
2016-12-07,35286964
2016-12-08,36129553
2016-12-09,36129553
2016-12-10,36129553
2016-12-11,37503971
2016-12-12,37503971
2016-12-13,37503971
2016-12-14,39111227
2016-12-15,39111227
2016-12-16,39111227
2016-12-17,39718126
2016-12-18,39718126
2016-12-19,39718126
2016-12-20,39718126
2016-12-21,38587046
2016-12-22,38587046
2016-12-23,38587046
2016-12-24,36984059
2016-12-25,36984059
2016-12-26,36984059
2016-12-27,35173318
2016-12-28,35173318
2016-12-29,35173318
2016-12-30,33606608
2016-12-31,33606608
2017-01-01,33606608
2017-01-02,33159441
2017-01-03,33159441
2017-01-04,33159441
2017-01-05,32805924
2017-01-06,32805924
2017-01-07,31247613
2017-01-08,31247613
2017-01-09,29942482
2017-01-10,29942482
2017-01-11,28556135
2017-01-12,28556135
2017-01-13,27424497
2017-01-14,27424497
2017-01-15,27089324
2017-01-16,27089324
2017-01-17,26149181
2017-01-18,26149181
2017-01-19,26149181
2017-01-20,25315772
2017-01-21,25315772
2017-01-22,24967088
2017-01-23,24967088
2017-01-27,23808828
2017-01-28,24252427
2017-01-29,24252427
2017-01-30,25264544
2017-01-31,25264544
2017-02-01,26123070
2017-02-02,26123070
2017-02-03,25282628
2017-02-04,25282628
2017-02-05,25466939
2017-02-06,25466939
2017-02-07,25524135
2017-02-08,25524135
2017-02-09,25273630
2017-02-10,25354905
2017-02-11,25354905
2017-02-12,25935497
2017-02-13,25935497
2017-02-14,26854893
2017-02-15,26854893
2017-02-16,26854893
2017-02-17,27022317
2017-02-18,27022317
2017-02-19,27751891
2017-02-20,27751891
2017-02-21,28647986
2017-02-22,28647986
2017-02-23,28647986
2017-02-24,28895925
2017-02-25,28895925
2017-02-26,29095565
2017-02-27,29095565
2017-02-28,28873119
2017-03-01,28873119
2017-03-02,28321319
2017-03-03,28321319
2017-03-04,27869319
2017-03-05,27869319
2017-03-06,26517166
2017-03-07,26517166
2017-03-08,26517166
2017-03-09,25895178
2017-03-10,25895178
2017-03-11,25219703
2017-03-12,25219703
2017-03-13,25381394
2017-03-14,25381394
2017-03-15,25928674
2017-03-16,25928674
2017-03-17,26844222
2017-03-18,26844222
2017-03-19,27490089
2017-03-20,27490089
2017-03-21,26918379
2017-03-22,26918379
2017-03-23,26770119
2017-03-24,26770119
2017-03-25,27237975
2017-03-26,27237975
2017-03-27,27619184
2017-03-28,27619184
2017-03-29,27281944
2017-03-30,27281944
2017-03-31,27413470
2017-04-01,27413470
2017-04-02,27413470
2017-04-03,27541298
2017-04-04,27541298
2017-04-05,27541298
2017-04-12,28473410
2017-04-13,29323702
2017-04-14,29323702
2017-04-15,29163229
2017-04-16,28221525
2017-04-17,28221525
2017-04-18,28101507
2017-04-19,28101507
2017-04-20,28348739
2017-04-21,28348739
2017-04-22,28495517
2017-04-23,28495517
2017-04-24,29152860
2017-04-25,29300257
2017-04-26,29300257
2017-04-27,29300257
2017-04-28,29326562
2017-04-29,29326562
2017-04-30,29451106
2017-05-01,29451106
2017-05-02,29111424
2017-05-03,29111424
2017-05-04,28746867
2017-05-05,28746867
2017-05-06,28693715
2017-05-07,29102781
2017-05-08,29102781
2017-05-09,28827937
2017-05-10,28827937
2017-05-11,28396206
2017-05-12,28396206
2017-05-13,28173121
2017-05-14,28173121
2017-05-15,28173121
2017-05-16,27973558
2017-05-17,27973558
2017-05-18,27884017
2017-05-19,27884017
2017-05-20,27738242
2017-05-21,27738242
2017-05-22,27738265
2017-05-23,27738265
2017-05-24,27701641
2017-05-25,27701641
2017-05-26,27044039
2017-05-27,27044039
2017-05-28,26609048
2017-05-29,26609048
2017-05-30,26676357
2017-05-31,26676357
2017-06-01,26322779
2017-06-02,26322779
2017-06-03,25055141
2017-06-04,23999580
2017-06-05,23999580
2017-06-06,24695576
2017-06-07,24695576
2017-06-08,24039744
2017-06-09,24039744
2017-06-10,23301266
2017-06-11,23301266
2017-06-12,22198727
2017-06-13,22198727
2017-06-14,21288907
2017-06-15,21288907
2017-06-16,21508335
2017-06-17,21508335
2017-06-18,21434720
2017-06-19,21434720
2017-06-20,21568473
2017-06-21,21568473
2017-06-22,22365133
2017-06-23,22365133
2017-06-24,22818566
2017-06-25,22818566
2017-06-26,23479337
2017-06-27,24159591
2017-06-28,24159591
2017-06-29,24977465
2017-06-30,24977465
2017-07-01,24977465
2017-07-02,24769729
2017-07-03,24769729
2017-07-04,24197321
2017-07-05,24197321
2017-07-06,23653865
2017-07-07,23653865
2017-07-08,23653865
2017-07-09,23357117
2017-07-13,23384543
2017-07-14,23440234
2017-07-15,23440234
2017-07-16,23440234
2017-07-17,23398263
2017-07-18,23398263
2017-07-19,22922791
2017-07-20,22922791
2017-07-21,22548400
2017-07-22,22548400
2017-07-23,22638314
2017-07-24,22638314
2017-07-25,22353052
2017-07-26,22353052
2017-07-27,22349133
2017-07-28,22349133
2017-07-29,22273606
2017-07-30,22178996
2017-07-31,22178996
2017-08-01,22041885
2017-08-02,22041885
2017-08-03,22056677
2017-08-04,22056677
2017-08-05,21700126
