date_obj,Disk%20of%20returning price
2015-03-26,21437
2015-03-27,21437
2015-03-28,21437
2015-03-29,21437
2015-03-30,21437
2015-03-31,22333
2015-04-01,22333
2015-04-02,22333
2015-04-03,22333
2015-04-04,22333
2015-04-05,22333
2015-04-06,22186
2015-04-07,22186
2015-04-08,22186
2015-04-09,22186
2015-04-10,22186
2015-04-11,22186
2015-04-12,21295
2015-04-13,21295
2015-04-14,21295
2015-04-15,21295
2015-04-16,21295
2015-04-17,21295
2015-04-18,20453
2015-04-19,20453
2015-04-20,20453
2015-04-21,20453
2015-04-22,20453
2015-04-23,20453
2015-04-24,20453
2015-04-25,20086
2015-04-26,20086
2015-04-27,20086
2015-04-28,20086
2015-04-29,20086
2015-04-30,20086
2015-05-01,20086
2015-05-02,20023
2015-05-03,20023
2015-05-04,20023
2015-05-05,20023
2015-05-06,20023
2015-05-07,20023
2015-05-08,20023
2015-05-09,20023
2015-05-10,19520
2015-05-11,19520
2015-05-12,19520
2015-05-13,19520
2015-05-14,19520
2015-05-15,19520
2015-05-16,19520
2015-05-17,19520
2015-05-18,19826
2015-05-19,19826
2015-05-20,19826
2015-05-21,19826
2015-05-22,19826
2015-05-23,19826
2015-05-24,19826
2015-05-25,19826
2015-05-26,19826
2015-05-27,19823
2015-05-28,19823
2015-05-29,19823
2015-05-30,19823
2015-05-31,19823
2015-06-01,19823
2015-06-02,19823
2015-06-03,19515
2015-06-04,19515
2015-06-05,19515
2015-06-06,19515
2015-06-07,19515
2015-06-08,19515
2015-06-09,19363
2015-06-10,19363
2015-06-11,19363
2015-06-12,19363
2015-06-13,19363
2015-06-14,19363
2015-06-15,19363
2015-06-16,19807
2015-06-17,19807
2015-06-18,19807
2015-06-19,19996
2015-06-20,19098
2015-06-21,19098
2015-06-22,18165
2015-06-23,18165
2015-06-24,17277
2015-06-25,17277
2015-06-26,16468
2015-06-27,16468
2015-06-28,16468
2015-06-29,15722
2015-06-30,15722
2015-07-01,15722
2015-07-02,15722
2015-07-03,14935
2015-07-04,14935
2015-07-05,14935
2015-07-06,14935
2015-07-07,14266
2015-07-08,14266
2015-07-09,14266
2015-07-10,14266
2015-07-11,14266
2015-07-12,13964
2015-07-13,13964
2015-07-14,13964
2015-07-15,13964
2015-07-16,13964
2015-07-17,13768
2015-07-18,13768
2015-07-19,13768
2015-07-20,13768
2015-07-21,13768
2015-07-22,13833
2015-07-23,13833
2015-07-24,13833
2015-07-25,13833
2015-07-26,13833
2015-07-27,13833
2015-07-28,14374
2015-07-29,14374
2015-07-30,14374
2015-07-31,14374
2015-08-01,14374
2015-08-02,14374
2015-08-03,15077
2015-08-04,15077
2015-08-05,15077
2015-08-06,15077
2015-08-07,15077
2015-08-08,15077
2015-08-09,15365
2015-08-10,15365
2015-08-11,15365
2015-08-12,15365
2015-08-13,15365
2015-08-14,15365
2015-08-15,15365
2015-08-16,15365
2015-08-17,16096
2015-08-18,16096
2015-08-19,16096
2015-08-20,16096
2015-08-21,16096
2015-08-22,16096
2015-08-23,16096
2015-08-24,16096
2015-08-25,16096
2015-08-26,16784
2015-08-27,16784
2015-08-28,16784
2015-08-29,16784
2015-08-30,16784
2015-08-31,16784
2015-09-01,16784
2015-09-02,16784
2015-09-03,17593
2015-09-04,17593
2015-09-05,17593
2015-09-06,17593
2015-09-07,17593
2015-09-08,17593
2015-09-09,17593
2015-09-10,17593
2015-09-11,18437
2015-09-12,18437
2015-09-13,18437
2015-09-14,18437
2015-09-15,18437
2015-09-16,18437
2015-09-17,19336
2015-09-18,19336
2015-09-19,19336
2015-09-20,19336
2015-09-21,19336
2015-09-22,19336
2015-09-23,19336
2015-09-24,19336
2015-09-25,19336
2015-09-27,19336
2015-09-28,20242
2015-09-29,20242
2015-09-30,20242
2015-10-05,20242
2015-10-06,20242
2015-10-07,20242
2015-10-08,20242
2015-10-09,21217
2015-10-10,21217
2015-10-11,21217
2015-10-12,21217
2015-10-13,21217
2015-10-14,21217
2015-10-15,21217
2015-10-16,21217
2015-10-17,21217
2015-10-18,21217
2015-10-19,21217
2015-10-20,21217
2015-10-22,22242
2015-10-23,22242
2015-10-24,22242
2015-10-25,22242
2015-10-26,22242
2015-10-27,22242
2015-10-29,23283
2015-10-30,23283
2015-10-31,23283
2015-11-01,23283
2015-11-02,23283
2015-11-03,23283
2015-11-04,23283
2015-11-05,23283
2015-11-06,23283
2015-11-07,23283
2015-11-08,23283
2015-11-09,23283
2015-11-10,24315
2015-11-11,24315
2015-11-12,24315
2015-11-13,24315
2015-11-14,24315
2015-11-15,24315
2015-11-16,24315
2015-11-17,24315
2015-11-18,24315
2015-11-19,24315
2015-11-20,24315
2015-11-21,24315
2015-11-22,24315
2015-11-23,24315
2015-11-24,25405
2015-11-25,25405
2015-11-26,25405
2015-11-27,25405
2015-11-28,25405
2015-11-29,25405
2015-11-30,25405
2015-12-01,25405
2015-12-02,25405
2015-12-03,25989
2015-12-04,25989
2015-12-05,25989
2015-12-06,25989
2015-12-07,25989
2015-12-08,25989
2015-12-09,25989
2015-12-10,25989
2015-12-11,25989
2015-12-12,25989
2015-12-13,25989
2015-12-14,25989
2015-12-15,25172
2015-12-16,25172
2015-12-17,25172
2015-12-18,25172
2015-12-19,25172
2015-12-20,25172
2015-12-21,25172
2015-12-22,25172
2015-12-23,25172
2015-12-24,25172
2015-12-25,24723
2015-12-26,24723
2015-12-27,24723
2015-12-28,24723
2015-12-29,24723
2015-12-30,24723
2015-12-31,24723
2016-01-01,24723
2016-01-02,24723
2016-01-03,24723
2016-01-04,24723
2016-01-05,24225
2016-01-06,24225
2016-01-07,24225
2016-01-08,24225
2016-01-09,24225
2016-01-10,24225
2016-01-11,24225
2016-01-12,24225
2016-01-13,24225
2016-01-14,24225
2016-01-15,24225
2016-01-16,23156
2016-01-17,23156
2016-01-18,23156
2016-01-19,23156
2016-01-20,23156
2016-01-21,23156
2016-01-22,23156
2016-01-23,22496
2016-01-24,22496
2016-01-25,22496
2016-01-26,22496
2016-01-27,22496
2016-01-28,22496
2016-01-29,22496
2016-01-30,22496
2016-01-31,22496
2016-02-01,22873
2016-02-02,22873
2016-02-03,22873
2016-02-04,22873
2016-02-05,22873
2016-02-06,22873
2016-02-07,22873
2016-02-08,22873
2016-02-09,22873
2016-02-10,22873
2016-02-11,23020
2016-02-12,23020
2016-02-13,23020
2016-02-14,23020
2016-02-15,23020
2016-02-16,23020
2016-02-17,23020
2016-02-18,23020
2016-02-19,23020
2016-02-20,23020
2016-02-21,22663
2016-02-22,22663
2016-02-23,22663
2016-02-24,22663
2016-02-25,22663
2016-02-26,22663
2016-02-27,22663
2016-02-28,22663
2016-02-29,22663
2016-03-01,22663
2016-03-02,22663
