date_obj,Redwood%20shield price
2018-01-31,985
2018-02-01,935
2018-02-02,888
2018-02-03,843
2018-02-04,800
2018-02-05,761
2018-02-06,722
2018-02-07,685
2018-02-08,685
2018-02-09,650
2018-02-10,650
2018-02-11,617
2018-02-12,586
2018-02-13,586
2018-02-14,556
2018-02-15,529
2018-02-16,529
2018-02-17,503
2018-02-18,503
2018-02-19,483
2018-02-20,483
2018-02-21,470
2018-02-22,470
2018-02-23,477
2018-02-24,477
2018-02-25,478
2018-02-26,477
2018-02-27,479
2018-02-28,479
2018-03-01,484
2018-03-02,479
2018-03-03,486
2018-03-04,486
2018-03-05,492
2018-03-06,495
2018-03-07,488
2018-03-08,485
2018-03-09,485
2018-03-10,489
2018-03-11,493
2018-03-12,492
2018-03-13,495
2018-03-14,499
2018-03-15,499
2018-03-16,495
2018-03-17,476
2018-03-18,465
2018-03-19,465
2018-03-20,480
2018-03-21,480
2018-03-23,489
2018-03-24,492
2018-03-26,485
2018-03-27,480
2018-03-29,492
2018-03-30,484
2018-03-31,484
2018-04-01,496
2018-04-02,486
2018-04-03,473
2018-04-04,479
2018-04-05,479
2018-04-06,480
2018-04-08,488
2018-04-09,486
2018-04-10,486
2018-04-11,492
2018-04-12,492
2018-04-13,502
2018-04-14,502
2018-04-15,502
2018-04-16,502
2018-04-17,497
2018-04-18,497
2018-04-19,497
2018-04-20,504
2018-04-21,499
2018-04-22,499
2018-04-23,504
2018-04-24,504
2018-04-25,504
2018-04-26,507
2018-04-27,507
2018-04-28,490
2018-04-29,490
2018-04-30,480
2018-05-01,480
2018-05-02,473
2018-05-03,473
2018-05-04,473
2018-05-05,488
2018-05-06,488
2018-05-08,492
2018-05-09,492
2018-05-10,494
2018-05-11,494
2018-05-12,481
2018-05-13,481
2018-05-14,481
2018-05-15,475
2018-05-16,475
2018-05-17,475
2018-05-18,479
2018-05-19,479
2018-05-20,479
2018-05-21,495
2018-05-22,495
2018-05-23,495
2018-05-24,495
2018-05-25,495
2018-05-26,495
2018-05-27,502
2018-05-28,502
