date_obj,Armadyl%20chaps price
2015-03-26,70864
2015-03-27,71455
2015-03-28,73872
2015-03-29,76889
2015-03-30,78894
2015-03-31,81737
2015-04-01,83570
2015-04-02,87285
2015-04-03,90075
2015-04-04,90339
2015-04-05,90320
2015-04-06,90888
2015-04-07,91557
2015-04-08,92860
2015-04-09,93320
2015-04-10,94093
2015-04-11,94036
2015-04-12,95039
2015-04-13,95635
2015-04-14,96366
2015-04-15,96336
2015-04-16,98113
2015-04-17,99914
2015-04-18,101843
2015-04-19,104606
2015-04-20,107293
2015-04-21,109347
2015-04-22,110084
2015-04-23,110705
2015-04-24,110360
2015-04-25,108599
2015-04-26,108446
2015-04-27,109906
2015-04-28,112420
2015-04-29,113933
2015-04-30,112387
2015-05-01,109710
2015-05-02,105758
2015-05-03,102671
2015-05-04,100170
2015-05-05,99087
2015-05-06,98264
2015-05-07,97417
2015-05-08,96936
2015-05-09,95891
2015-05-10,94024
2015-05-11,91729
2015-05-12,89434
2015-05-13,87000
2015-05-14,84957
2015-05-15,83264
2015-05-16,81180
2015-05-17,80761
2015-05-18,81222
2015-05-19,80273
2015-05-20,77993
2015-05-21,76531
2015-05-22,76408
2015-05-23,76440
2015-05-24,78259
2015-05-25,78118
2015-05-26,80692
2015-05-27,82775
2015-05-28,84184
2015-05-29,85695
2015-05-30,87179
2015-05-31,88622
2015-06-01,90540
2015-06-02,92677
2015-06-03,92664
2015-06-04,92801
2015-06-05,91911
2015-06-06,91225
2015-06-07,90638
2015-06-08,91016
2015-06-09,90929
2015-06-10,90640
2015-06-11,89684
2015-06-12,89638
2015-06-13,89856
2015-06-14,89187
2015-06-15,89965
2015-06-16,91156
2015-06-17,91191
2015-06-18,91349
2015-06-19,90829
2015-06-20,90004
2015-06-21,89143
2015-06-22,88216
2015-06-23,88912
2015-06-24,89463
2015-06-25,91255
2015-06-26,92461
2015-06-27,92864
2015-06-28,95603
2015-06-29,97866
2015-06-30,100807
2015-07-01,104002
2015-07-02,106450
2015-07-03,110644
2015-07-04,114079
2015-07-05,116026
2015-07-06,118969
2015-07-07,118155
2015-07-08,119621
2015-07-09,118023
2015-07-10,115797
2015-07-11,112246
2015-07-12,109306
2015-07-13,104471
2015-07-14,99898
2015-07-15,95501
2015-07-16,91353
2015-07-17,88292
2015-07-18,84318
2015-07-19,82532
2015-07-20,82583
2015-07-21,79218
2015-07-22,78060
2015-07-23,76823
2015-07-24,75845
2015-07-25,75181
2015-07-26,73458
2015-07-27,72240
2015-07-28,71070
2015-07-29,72964
2015-07-30,76497
2015-07-31,80113
2015-08-01,82282
2015-08-02,85477
2015-08-03,89751
2015-08-04,94239
2015-08-05,98092
2015-08-06,98984
2015-08-07,98741
2015-08-08,98766
2015-08-09,97724
2015-08-10,99338
2015-08-11,97949
2015-08-12,99202
2015-08-13,100388
2015-08-14,101473
2015-08-15,104190
2015-08-16,106485
2015-08-17,110032
2015-08-18,113093
2015-08-19,113732
2015-08-20,115781
2015-08-21,116298
2015-08-22,118607
2015-08-23,117484
2015-08-24,120299
2015-08-25,124860
2015-08-26,127096
2015-08-27,124721
2015-08-28,123821
2015-08-29,122821
2015-08-30,122067
2015-08-31,116451
2015-09-01,111531
2015-09-02,109522
2015-09-03,108104
2015-09-04,105247
2015-09-05,103785
2015-09-06,102159
2015-09-07,99427
2015-09-08,96480
2015-09-09,95002
2015-09-10,95358
2015-09-11,98020
2015-09-12,102420
2015-09-13,104822
2015-09-14,105314
2015-09-15,108019
2015-09-16,108532
2015-09-17,107374
2015-09-18,107497
2015-09-19,104864
2015-09-20,103084
2015-09-21,97929
2015-09-22,94617
2015-09-23,93924
2015-09-24,91253
2015-09-25,90192
2015-09-27,88189
2015-09-28,89572
2015-09-29,88850
2015-09-30,87703
2015-10-05,73441
2015-10-06,71128
2015-10-07,70145
2015-10-08,67772
2015-10-09,66272
2015-10-10,66910
2015-10-11,67968
2015-10-12,69678
2015-10-13,70822
2015-10-14,72464
2015-10-15,72886
2015-10-16,74044
2015-10-17,73573
2015-10-18,73703
2015-10-19,74352
2015-10-20,75009
2015-10-22,75735
2015-10-23,76390
2015-10-24,76277
2015-10-25,75863
2015-10-26,77180
2015-10-27,79050
2015-10-28,80334
2015-10-29,80152
2015-10-30,79385
2015-10-31,78977
2015-11-01,78116
2015-11-02,76806
2015-11-03,76399
2015-11-04,74810
2015-11-05,74504
2015-11-06,74418
2015-11-07,74967
2015-11-08,75859
2015-11-09,77058
2015-11-10,78645
2015-11-11,80799
2015-11-12,80619
2015-11-13,78400
2015-11-14,78280
2015-11-15,77914
2015-11-16,77150
2015-11-17,76006
2015-11-18,75249
2015-11-19,75314
2015-11-20,73679
2015-11-21,72793
2015-11-22,72864
2015-11-23,72864
2015-11-24,74554
2015-11-25,76496
2015-11-26,77313
2015-11-27,78787
2015-11-28,79601
2015-11-29,81406
2015-11-30,84361
2015-12-01,88015
2015-12-02,91008
2015-12-03,92260
2015-12-04,91942
2015-12-05,91984
2015-12-06,91705
2015-12-07,89288
2015-12-08,87102
2015-12-09,85436
2015-12-10,83825
2015-12-11,83606
2015-12-12,84970
2015-12-13,85274
2015-12-14,84520
2015-12-15,87047
2015-12-16,91241
2015-12-17,94973
2015-12-18,96673
2015-12-19,100572
2015-12-20,98634
2015-12-21,94121
2015-12-22,93392
2015-12-23,93242
2015-12-24,93072
2015-12-25,91704
2015-12-26,91701
2015-12-27,90998
2015-12-28,90526
2015-12-29,90691
2015-12-30,90695
2015-12-31,90251
2016-01-01,89425
2016-01-02,88759
2016-01-03,89211
2016-01-04,93072
2016-01-05,96322
2016-01-06,97911
2016-01-07,99061
2016-01-08,98146
2016-01-09,98158
2016-01-10,98651
2016-01-11,99648
2016-01-12,101420
2016-01-13,99857
2016-01-14,99315
2016-01-15,102504
2016-01-16,103967
2016-01-17,102816
2016-01-18,101796
2016-01-19,101029
2016-01-20,100432
2016-01-21,99213
2016-01-22,98846
2016-01-23,94544
2016-01-24,93868
2016-01-25,93839
2016-01-26,95082
2016-01-27,95807
2016-01-28,94066
2016-01-29,92018
2016-01-30,90977
2016-01-31,91238
2016-02-01,90983
2016-02-02,87179
2016-02-03,84316
2016-02-04,81378
2016-02-05,81240
2016-02-06,79638
2016-02-07,79112
2016-02-08,78367
2016-02-09,77940
2016-02-10,76249
2016-02-11,77163
2016-02-12,77828
2016-02-13,78457
2016-02-14,78842
2016-02-15,79254
2016-02-16,79825
2016-02-17,79056
2016-02-18,76051
2016-02-19,75424
2016-02-20,73628
2016-02-21,72371
2016-02-22,70682
2016-02-23,68590
2016-02-24,68275
2016-02-25,68608
2016-02-26,68454
2016-02-27,68152
2016-02-28,68284
2016-02-29,67487
2016-03-01,67959
2016-03-02,69191
2016-03-03,69741
2016-03-04,69219
2016-03-05,69235
2016-03-06,68930
2016-03-07,69339
2016-03-08,68606
2016-03-09,66770
