date_obj,Armadyl%20robe%20legs price
2015-03-26,59499
2015-03-27,59499
2015-03-28,56939
2015-03-29,56939
2015-03-30,55016
2015-03-31,55016
2015-04-01,53217
2015-04-02,53217
2015-04-03,52133
2015-04-04,51666
2015-04-05,51666
2015-04-06,50208
2015-04-07,48370
2015-04-08,48370
2015-04-09,46975
2015-04-10,44964
2015-04-11,43359
2015-04-12,43359
2015-04-13,42391
2015-04-14,42391
2015-04-15,41390
2015-04-16,41390
2015-04-17,40216
2015-04-18,40216
2015-04-19,39551
2015-04-20,39551
2015-04-21,41428
2015-04-22,41428
2015-04-23,43410
2015-04-24,43410
2015-04-25,44072
2015-04-26,44072
2015-04-27,44627
2015-04-28,45302
2015-04-29,45302
2015-04-30,46186
2015-05-01,46186
2015-05-02,45862
2015-05-03,45862
2015-05-04,46137
2015-05-05,46137
2015-05-06,45732
2015-05-07,45732
2015-05-08,45538
2015-05-09,45538
2015-05-10,45035
2015-05-11,45035
2015-05-12,44858
2015-05-13,44858
2015-05-14,45110
2015-05-15,45110
2015-05-16,43377
2015-05-17,41614
2015-05-18,40240
2015-05-19,40240
2015-05-20,39162
2015-05-21,39162
2015-05-22,37329
2015-05-23,37329
2015-05-24,35991
2015-05-25,35249
2015-05-26,35545
2015-05-27,35545
2015-05-28,35993
2015-05-29,35993
2015-05-30,36575
2015-05-31,36575
2015-06-01,37223
2015-06-02,37223
2015-06-03,37223
2015-06-04,37223
2015-06-05,37817
2015-06-06,37817
2015-06-07,37903
2015-06-08,38521
2015-06-09,38583
2015-06-10,38583
2015-06-11,39134
2015-06-12,39134
2015-06-13,40680
2015-06-14,40680
2015-06-15,41883
2015-06-16,42434
2015-06-17,42434
2015-06-18,42640
2015-06-19,42640
2015-06-20,42603
2015-06-21,42603
2015-06-22,44493
2015-06-23,44493
2015-06-24,45475
2015-06-25,45475
2015-06-26,47729
2015-06-27,47729
2015-06-28,50107
2015-06-29,50107
2015-06-30,52441
2015-07-01,52441
2015-07-02,54461
2015-07-03,55070
2015-07-04,55070
2015-07-05,56143
2015-07-06,56143
2015-07-07,56243
2015-07-08,56243
2015-07-09,57357
2015-07-10,57357
2015-07-11,57869
2015-07-12,57869
2015-07-13,59097
2015-07-14,59097
2015-07-15,59572
2015-07-16,59572
2015-07-17,59629
2015-07-18,59629
2015-07-19,61059
2015-07-20,61059
2015-07-21,61047
2015-07-22,61494
2015-07-23,61494
2015-07-24,61532
2015-07-25,61532
2015-07-26,61144
2015-07-27,61144
2015-07-28,60307
2015-07-29,60874
2015-07-30,60874
2015-07-31,60918
2015-08-01,60918
2015-08-02,60421
2015-08-03,60421
2015-08-04,60825
2015-08-05,61738
2015-08-06,61738
2015-08-07,61317
2015-08-08,61317
2015-08-09,61307
2015-08-10,61307
2015-08-11,61239
2015-08-12,61239
2015-08-13,61557
2015-08-14,61044
2015-08-15,61044
2015-08-16,61132
2015-08-17,61420
2015-08-18,61420
2015-08-19,61152
2015-08-20,61152
2015-08-21,61652
2015-08-22,61787
2015-08-23,61787
2015-08-24,63681
2015-08-25,63681
2015-08-26,65155
2015-08-27,67325
2015-08-28,67325
2015-08-29,68040
2015-08-30,68040
2015-08-31,69014
2015-09-01,69014
2015-09-02,70869
2015-09-03,70869
2015-09-04,72230
2015-09-05,72230
2015-09-06,73331
2015-09-07,73331
2015-09-08,74396
2015-09-09,74396
2015-09-10,74924
2015-09-11,75740
2015-09-12,75740
2015-09-13,75904
2015-09-14,75904
2015-09-15,76151
2015-09-16,76151
2015-09-17,75996
2015-09-18,75996
2015-09-19,76193
2015-09-20,76193
2015-09-21,78618
2015-09-22,78618
2015-09-23,81928
2015-09-24,81928
2015-09-25,85644
2015-09-27,87838
2015-09-28,87838
2015-09-29,89977
2015-09-30,90205
2015-10-05,86598
2015-10-06,85117
2015-10-07,85117
2015-10-08,82954
2015-10-09,81118
2015-10-10,81118
2015-10-11,79835
2015-10-12,79835
2015-10-13,79835
2015-10-14,77956
2015-10-15,76316
2015-10-16,76316
2015-10-17,74121
2015-10-18,74121
2015-10-19,72184
2015-10-20,72184
2015-10-22,71891
2015-10-23,70719
2015-10-24,70719
2015-10-25,68862
2015-10-26,66901
2015-10-27,66901
2015-10-28,64615
2015-10-29,64615
2015-10-30,62682
2015-10-31,62682
2015-11-01,61047
2015-11-02,61047
2015-11-03,59127
2015-11-04,59127
2015-11-05,57558
2015-11-06,57558
2015-11-07,57048
2015-11-08,57048
2015-11-09,57048
2015-11-10,59503
2015-11-11,61734
2015-11-12,61734
2015-11-13,63163
2015-11-14,63163
2015-11-15,64783
2015-11-16,64783
2015-11-17,64441
2015-11-18,64441
2015-11-19,64120
2015-11-20,64120
2015-11-21,63835
2015-11-22,64809
2015-11-23,64809
2015-11-24,65923
2015-11-25,66181
2015-11-26,66181
2015-11-27,66044
2015-11-28,67152
2015-11-29,67152
2015-11-30,66985
2015-12-01,66985
2015-12-02,66805
2015-12-03,66805
2015-12-04,66948
2015-12-05,66948
2015-12-06,66803
2015-12-07,66803
2015-12-08,67602
2015-12-09,67803
2015-12-10,67803
2015-12-11,69910
2015-12-12,69910
2015-12-13,69251
2015-12-14,69251
2015-12-15,69278
2015-12-16,69278
2015-12-17,69210
2015-12-18,69475
2015-12-19,69475
2015-12-20,69551
2015-12-21,69551
2015-12-22,69267
2015-12-23,69267
2015-12-24,69114
2015-12-25,69114
2015-12-26,70982
2015-12-27,71571
2015-12-28,71571
2015-12-29,72704
2015-12-30,72320
2015-12-31,72320
2016-01-01,71704
2016-01-02,71704
2016-01-03,70850
2016-01-04,69762
2016-01-05,69762
2016-01-06,68715
2016-01-07,68715
2016-01-08,68474
2016-01-09,68474
2016-01-10,67538
2016-01-11,67538
2016-01-12,66583
2016-01-13,66583
2016-01-14,65670
2016-01-15,65670
2016-01-16,65606
2016-01-17,65606
2016-01-18,64857
2016-01-19,64857
2016-01-20,64755
2016-01-21,64755
2016-01-22,64896
2016-01-23,64896
2016-01-24,63947
2016-01-25,63366
2016-01-26,63366
2016-01-27,62266
2016-01-28,62266
2016-01-29,61572
2016-01-30,61572
2016-01-31,60355
2016-02-01,61129
2016-02-02,61129
2016-02-03,62784
2016-02-04,62784
2016-02-05,62847
2016-02-06,60399
2016-02-07,60399
2016-02-08,59712
2016-02-09,59712
2016-02-10,59451
2016-02-11,59451
2016-02-12,60201
2016-02-13,60731
2016-02-14,60731
2016-02-15,60966
2016-02-16,60966
2016-02-17,61639
2016-02-18,61639
2016-02-19,61205
2016-02-20,61205
2016-02-21,62080
2016-02-22,62080
2016-02-23,61564
2016-02-24,61564
2016-02-25,60838
2016-02-26,60838
2016-02-27,60833
2016-02-28,60833
2016-02-29,60516
2016-03-01,60516
2016-03-02,61662
2016-03-03,64627
2016-03-04,64627
2016-03-05,66333
2016-03-06,67629
2016-03-07,67629
2016-03-08,65099
2016-03-09,62013
2016-03-10,60567
2016-03-11,60567
2016-03-12,60017
2016-03-13,60017
2016-03-14,60017
2016-03-15,59761
2016-03-16,59953
2016-03-17,59953
2016-03-18,60353
2016-03-19,60654
2016-03-20,59069
2016-03-21,59069
2016-03-22,60108
2016-03-23,60589
2016-03-24,60589
2016-03-25,59965
2016-03-26,59965
2016-03-27,59113
2016-03-28,56954
2016-03-29,56954
2016-03-30,54727
2016-03-31,53595
2016-04-01,53595
2016-04-02,52882
2016-04-03,52662
2016-04-04,54264
2016-04-05,54264
2016-04-06,55324
2016-04-07,55324
2016-04-08,54539
2016-04-09,54154
2016-04-10,53093
2016-04-11,53093
2016-04-12,52182
2016-04-13,52182
2016-04-14,51484
2016-04-15,49971
2016-04-16,49971
2016-04-17,49393
2016-04-18,51672
2016-04-19,51672
2016-04-20,53231
2016-04-21,53231
2016-04-22,55622
2016-04-23,55622
2016-04-24,58260
2016-04-25,60166
2016-04-26,60166
2016-04-27,61805
2016-04-28,61805
2016-04-29,64569
2016-04-30,64569
2016-05-01,66491
2016-05-02,66491
2016-05-03,65848
2016-05-04,65848
2016-05-05,65092
2016-05-06,65092
2016-05-07,64057
2016-05-08,64057
2016-05-09,62271
2016-05-10,59381
2016-05-11,59381
2016-05-12,58398
2016-05-13,58289
2016-05-14,58289
2016-05-15,56875
2016-05-16,56875
2016-05-17,57518
2016-05-18,58551
2016-05-19,58551
2016-05-22,59626
2016-05-23,61669
2016-05-24,61669
2016-05-25,62578
2016-05-26,62578
2016-05-27,61773
2016-05-28,61773
2016-05-29,61808
2016-05-30,61808
2016-05-31,60616
2016-06-01,61418
2016-06-02,61418
2016-06-03,60974
2016-06-04,61057
2016-06-05,61057
2016-06-06,60615
2016-06-07,60615
2016-06-08,60436
2016-06-09,60436
2016-06-10,61342
2016-06-11,61342
2016-06-12,61851
2016-06-13,61851
2016-06-14,63542
2016-06-15,63542
2016-06-16,65801
2016-06-17,65373
2016-06-18,65373
2016-06-19,66321
2016-06-20,66321
2016-06-21,64947
2016-06-22,66201
2016-06-23,66201
2016-06-24,66360
2016-06-25,66360
2016-06-26,68566
2016-06-27,68566
2016-06-28,69474
2016-06-29,69474
2016-06-30,71069
2016-07-01,71334
2016-07-02,71334
2016-07-03,69210
2016-07-04,68275
2016-07-05,68275
