date_obj,Shayzien%20scarf price
2016-07-14,2500000
2016-07-15,2458221
2016-07-16,2458221
2016-07-17,2458221
2016-07-18,2458221
2016-07-19,2458221
2016-07-20,2458221
2016-07-21,2458221
2016-07-22,2458221
2016-07-23,2458221
2016-07-24,2458221
2016-07-25,2458221
2016-07-26,2458221
2016-07-27,2458221
2016-07-28,2458221
2016-07-29,2458221
2016-07-30,2458221
2016-07-31,2458221
2016-08-01,2336049
2016-08-02,2336049
2016-08-03,2336049
2016-08-04,2336049
2016-08-05,2336049
2016-08-06,2336049
2016-08-07,2336049
2016-08-08,2336049
2016-08-09,2336049
2016-08-10,2336049
2016-08-11,2336049
2016-08-12,2336049
2016-08-13,2336049
2016-08-14,2336049
2016-08-15,2336049
2016-08-16,2219921
2016-08-17,2219921
2016-08-18,2219921
2016-08-19,2219921
2016-08-20,2219921
2016-08-21,2219921
2016-08-22,2219921
2016-08-23,2219921
2016-08-24,2219921
2016-08-25,2219921
2016-08-26,2219921
2016-08-27,2219921
2016-08-28,2219921
2016-08-29,2219921
2016-08-30,2219921
2016-08-31,2110642
2016-09-01,2110642
2016-09-02,2110642
2016-09-03,2110642
2016-09-04,2110642
2016-09-05,2110642
2016-09-06,2110642
2016-09-07,2110642
2016-09-08,2110642
2016-09-09,2110642
2016-09-10,2110642
2016-09-11,2110642
2016-09-12,2110642
2016-09-13,2005697
2016-09-14,2005697
2016-09-15,2005697
2016-09-16,2005697
2016-09-17,2005697
2016-09-18,2005697
2016-09-19,2005697
2016-09-20,2005697
2016-09-21,2005697
2016-09-22,2005697
2016-09-23,2005697
2016-09-24,2005697
2016-09-25,2005697
2016-09-26,2005697
2016-09-27,2005697
2016-09-28,2005697
2016-09-29,2005697
2016-09-30,1905412
2016-10-01,1905412
2016-10-02,1905412
2016-10-03,1905412
2016-10-04,1905412
2016-10-05,1905412
2016-10-06,1905412
2016-10-07,1905412
2016-10-08,1905412
2016-10-09,1905412
2016-10-10,1905412
2016-10-11,1905412
2016-10-12,1905412
2016-10-13,1905412
2016-10-14,1905412
2016-10-15,1905412
2016-10-16,1905412
2016-10-17,1905412
2016-10-18,1905412
2016-10-19,1811205
2016-10-20,1811205
2016-10-21,1811205
2016-10-22,1811205
2016-10-23,1811205
2016-10-24,1811205
2016-10-25,1811205
2016-10-26,1811205
2016-10-27,1811205
2016-10-28,1811205
2016-10-29,1811205
2016-10-30,1811205
2016-10-31,1811205
2016-11-01,1811205
2016-11-02,1811205
2016-11-03,1722093
2016-11-04,1722093
2016-11-05,1722093
2016-11-06,1722093
2016-11-07,1722093
2016-11-08,1722093
2016-11-09,1722093
2016-11-10,1722093
2016-11-11,1722093
2016-11-12,1722093
2016-11-13,1722093
2016-11-14,1722093
2016-11-15,1722093
2016-11-16,1722093
2016-11-17,1636635
2016-11-18,1636635
2016-11-19,1636635
2016-11-20,1636635
2016-11-21,1636635
2016-11-22,1636635
2016-11-23,1636635
2016-11-24,1636635
