date_obj,Robe%20bottom%20of%20darkness price
2016-07-06,15000000
2016-07-07,15000000
2016-07-08,14310496
2016-07-09,14310496
2016-07-10,14310496
2016-07-11,14310496
2016-07-12,13594971
2016-07-13,13594971
2016-07-14,13594971
2016-07-15,13594971
2016-07-16,13594971
2016-07-17,12920270
2016-07-18,12920270
2016-07-23,12274256
2016-07-24,12274256
2016-07-25,12274256
2016-07-26,12274256
2016-07-27,12274256
2016-07-28,12274256
2016-07-29,11665605
2016-07-30,11665605
2016-07-31,11665605
2016-08-01,11665605
2016-08-02,11665605
2016-08-03,11084284
2016-08-04,11084284
2016-08-05,11084284
2016-08-06,11084284
2016-08-07,11084284
2016-08-08,11084284
2016-08-09,11084284
2016-08-10,10531896
2016-08-11,10531896
2016-08-12,10531896
2016-08-13,10531896
2016-08-14,10531896
2016-08-15,10531896
2016-08-16,10531896
2016-08-17,10531896
2016-08-18,10011036
2016-08-19,10011036
2016-08-20,10011036
2016-08-21,10011036
2016-08-22,10011036
2016-08-23,10011036
2016-08-24,9511826
2016-08-25,9511826
2016-08-26,9511826
2016-08-28,9511826
2016-08-31,9039677
2016-09-01,9039677
2016-09-02,9039677
2016-09-03,9039677
2016-09-04,9039677
2016-09-05,8590144
2016-09-06,8590144
2016-09-07,8590144
2016-09-08,8590144
2016-09-09,8590144
2016-09-10,8164948
2016-09-11,8164948
2016-09-12,8164948
2016-09-13,8164948
2016-09-14,8164948
2016-09-15,8164948
2016-09-16,8164948
2016-09-17,8164948
2016-09-18,7758702
2016-09-19,7758702
2016-09-20,7758702
2016-09-21,7758702
2016-09-22,7758702
2016-09-23,7758702
2016-09-24,7758702
2016-09-25,7380988
2016-09-26,7380988
2016-09-27,7380988
2016-09-28,7380988
2016-09-29,7380988
2016-09-30,7380988
2016-10-01,7016903
2016-10-02,7016903
2016-10-03,7016903
2016-10-04,7016903
2016-10-05,7016903
2016-10-06,7016903
2016-10-07,7016903
2016-10-08,6667610
2016-10-09,6667610
2016-10-10,6667610
2016-10-11,6667610
2016-10-12,6667610
2016-10-13,6667610
2016-10-14,6667610
2016-10-15,6338374
2016-10-16,6338374
2016-10-17,6338374
2016-10-18,6338374
2016-10-19,6338374
2016-10-20,6338374
2016-10-21,6338374
2016-10-22,6338374
2016-10-23,6023084
2016-10-24,6023084
2016-10-25,6023084
2016-10-26,6023084
2016-10-27,6023084
2016-10-28,5728697
2016-10-29,5728697
2016-10-30,5728697
2016-10-31,5728697
2016-11-01,5728697
2016-11-02,5728697
2016-11-03,5728697
2016-11-04,5443626
2016-11-05,5443626
2016-11-06,5443626
2016-11-07,5443626
2016-11-08,5443626
2016-11-09,5443626
2016-11-10,5443626
2016-11-11,5172345
2016-11-12,5172345
2016-11-13,5172345
2016-11-14,5172345
2016-12-08,4216547
2016-12-09,4216547
2016-12-10,4216547
2016-12-11,4008374
2016-12-12,4008374
2016-12-13,4008374
2016-12-14,4008374
2016-12-15,4008374
2016-12-16,4008374
2016-12-17,3810528
2016-12-18,3810528
2016-12-19,3810528
2016-12-20,3810528
2016-12-21,3624812
2016-12-22,3624812
2016-12-23,3624812
2016-12-24,3624812
2016-12-25,3446724
2016-12-26,3446724
2016-12-27,3446724
2016-12-28,3280162
2016-12-29,3280162
2016-12-30,3280162
2016-12-31,3280162
2017-01-01,3280162
2017-01-02,3116153
2017-01-03,3116153
2017-01-04,3116153
2017-01-05,3116153
2017-01-06,3116153
2017-01-07,2960345
2017-01-08,2960345
2017-01-09,2960345
2017-01-10,2960345
2017-01-11,2812882
2017-01-12,2812882
2017-01-13,2812882
2017-01-14,2812882
2017-01-15,2673836
2017-01-16,2673836
2017-01-17,2673836
2017-01-18,2673836
2017-01-19,2542677
2017-01-20,2542677
2017-01-21,2542677
2017-01-22,2542677
2017-01-27,2417297
2017-01-28,2299219
2017-01-29,2299219
2017-01-30,2299219
2017-01-31,2299219
2017-02-01,2186450
2017-02-02,2186450
2017-02-03,2186450
2017-02-04,2186450
2017-02-05,2078155
2017-02-06,2078155
2017-02-07,2078155
2017-02-08,2078155
2017-02-09,1976738
2017-02-10,1976738
2017-02-11,1976738
2017-02-12,1976738
2017-02-13,1879380
2017-02-14,1879380
2017-02-15,1879380
2017-02-16,1787366
2017-02-18,1787366
2017-02-19,1787366
2017-02-20,1787366
2017-02-21,1700439
2017-02-22,1700439
2017-02-23,1700439
2017-02-24,1700439
2017-02-25,1700439
2017-02-26,1700439
2017-02-27,1617434
2017-02-28,1617434
2017-03-01,1617434
2017-03-02,1617434
2017-03-03,1537664
2017-03-04,1537664
2017-03-05,1537664
2017-03-06,1537664
2017-03-07,1537664
2017-03-08,1461297
2017-03-09,1461297
2017-03-10,1461297
2017-03-11,1461297
2017-03-12,1461297
2017-03-13,1389527
2017-03-14,1389527
2017-03-15,1389527
2017-03-16,1389527
2017-03-17,1389527
2017-03-18,1321852
2017-03-19,1321852
2017-03-20,1321852
2017-03-21,1321852
2017-03-22,1257491
2017-03-23,1257491
2017-03-24,1257491
2017-03-25,1257491
2017-03-26,1257491
2017-03-27,1195959
2017-03-28,1195959
2017-03-29,1195959
2017-03-30,1195959
2017-03-31,1195959
2017-04-01,1136756
2017-04-02,1136756
2017-04-03,1136756
2017-04-04,1136756
2017-04-12,240005
2017-04-13,240005
2017-04-14,240005
2017-04-15,240005
2017-04-16,234755
2017-04-17,234755
2017-04-18,234755
2017-04-19,241839
2017-04-20,241839
2017-04-21,241839
2017-04-22,241839
2017-04-23,241839
2017-04-24,245861
2017-04-25,245861
2017-04-26,245861
2017-04-27,245861
2017-04-28,245861
2017-04-29,252257
2017-04-30,252257
2017-05-01,252257
2017-05-02,252257
2017-05-03,252257
2017-05-04,253846
2017-05-05,253846
2017-05-06,253846
2017-05-07,253846
2017-05-08,244471
2017-05-09,244471
2017-05-10,244471
2017-05-11,244471
2017-05-12,235536
2017-05-13,235536
2017-05-14,235536
2017-05-15,235536
2017-05-16,226177
2017-05-17,226177
2017-05-18,226177
2017-05-19,226177
2017-05-20,226177
2017-05-21,215061
2017-05-22,215061
2017-05-23,215061
2017-05-24,215061
2017-05-25,215061
2017-05-26,204761
2017-05-27,204761
2017-05-28,204761
2017-05-29,204761
2017-05-30,195108
2017-05-31,195108
2017-06-01,195108
2017-06-02,195108
2017-06-03,195108
2017-06-06,196787
2017-06-07,196787
2017-06-08,200523
2017-06-09,200523
2017-06-10,200523
2017-06-11,200523
2017-06-12,194622
2017-06-13,194622
2017-06-14,194622
2017-06-15,194622
2017-06-16,184945
2017-06-17,184945
2017-06-18,184945
2017-06-19,184945
2017-06-20,180444
2017-06-21,180444
2017-06-22,180444
2017-06-23,180444
2017-06-24,180444
2017-06-25,180444
2017-06-26,177162
2017-06-27,177162
