date_obj,Sarachnis%20cudgel price
2019-07-04,1000000
2019-07-04,1050000
2019-07-04,1102500
2019-07-05,1157625
2019-07-06,1215507
2019-07-07,1276283
2019-07-08,1340098
2019-07-09,1407103
2019-07-10,1477459
2019-07-11,1551332
2019-07-12,1628899
2019-07-13,1701429
2019-07-14,1786501
2019-07-15,1864454
2019-07-16,1946840
2019-07-17,2044182
2019-07-18,2096646
2019-07-19,2153078
2019-07-20,2248236
2019-07-21,2351746
2019-07-22,2336032
2019-07-23,2225380
2019-07-24,2122126
2019-07-25,2016019
2019-07-26,1928971
2019-07-27,1832522
2019-07-28,1740895
2019-07-29,1653850
2019-07-30,1571157
2019-07-31,1492599
2019-08-01,1417969
2019-08-02,1347070
2019-08-03,1279716
2019-08-04,1217420
2019-08-05,1156549
2019-08-06,1101937
2019-08-07,1046840
2019-08-08,996486
2019-08-09,952579
2019-08-10,904950
2019-08-11,861782
2019-08-12,818692
2019-08-13,777757
2019-08-14,739924
2019-08-15,709508
2019-08-16,691309
2019-08-17,691309
2019-08-18,696501
2019-08-19,710788
2019-08-20,722187
2019-08-21,719444
2019-08-22,726377
2019-08-23,726377
2019-08-24,723620
2019-08-24,723620
2019-08-25,723620
2019-08-25,723620
2019-08-26,706122
2019-08-26,706122
2019-08-27,725567
2019-08-27,725567
2019-08-28,760919
2019-08-29,760919
2019-08-30,783656
2019-08-31,783656
2019-09-01,777375
2019-09-02,777375
2019-09-03,775731
2019-09-04,775731
2019-09-05,775858
2019-09-06,775858
2019-09-07,768528
2019-09-08,761161
2019-09-09,761161
2019-09-10,752739
2019-09-11,756770
2019-09-12,756770
2019-09-13,744458
2019-09-14,736008
2019-09-15,733789
2019-09-16,725993
2019-09-17,725993
2019-09-18,751886
2019-09-19,751886
2019-09-20,788305
2019-09-21,826077
2019-09-22,864936
2019-09-23,906282
2019-09-24,906282
2019-09-25,942536
2019-09-26,989663
2019-09-27,1039147
2019-09-28,1091105
2019-09-29,1138076
2019-09-30,1194980
2019-10-01,1254729
2019-10-02,1315626
2019-10-03,1379630
2019-10-04,1444865
2019-10-05,1517109
2019-10-06,1592965
2019-10-07,1670149
2019-10-08,1753657
2019-10-09,1753657
2019-10-10,1841340
2019-10-11,1857106
2019-10-12,1856608
2019-10-13,1806909
2019-10-14,1782218
2019-10-15,1782218
2019-10-16,1720864
2019-10-17,1720864
2019-10-18,1661678
2019-10-19,1596231
2019-10-20,1524390
2019-10-21,1473475
2019-10-22,1483034
2019-10-23,1455544
2019-10-24,1447090
2019-10-25,1412709
2019-10-26,1390266
2019-10-27,1375809
2019-10-28,1371062
2019-10-29,1371062
2019-10-30,1402872
2019-10-31,1444242
2019-11-01,1514868
2019-11-02,1590612
2019-11-03,1670143
2019-11-04,1752959
2019-11-05,1752959
2019-11-06,1785110
2019-11-07,1870043
2019-11-08,1959556
2019-11-09,2052314
2019-11-10,2031900
2019-11-11,2075813
2019-11-12,2088364
2019-11-13,2078705
2019-11-14,2078705
2019-11-15,2034992
2019-11-16,1952073
2019-11-17,1952073
2019-11-18,1891935
