date_obj,Adamant%20platebody%20(t) price
2016-01-03,15694
2016-01-04,15694
2016-01-05,15694
2016-01-06,15694
2016-01-07,15561
2016-01-08,15561
2016-01-09,15561
2016-01-10,15561
2016-01-11,15561
2016-01-12,15474
2016-01-13,15474
2016-01-14,15474
2016-01-15,15474
2016-01-16,15959
2016-01-17,15959
2016-01-18,15959
2016-01-19,15959
2016-01-20,16271
2016-01-21,16271
2016-01-22,16271
2016-01-23,16271
2016-01-24,15942
2016-01-25,15942
2016-01-26,15942
2016-01-27,15394
2016-01-28,15394
2016-01-29,15394
2016-01-30,15394
2016-01-31,15214
2016-02-01,15214
2016-02-02,15214
2016-02-03,14747
2016-02-04,14747
2016-02-05,14747
2016-02-06,14747
2016-02-07,14620
2016-02-08,14620
2016-02-09,14620
2016-02-10,14620
2016-02-11,14489
2016-02-12,14489
2016-02-13,14489
2016-02-14,14489
2016-02-15,14386
2016-02-16,14386
2016-02-17,14386
2016-02-18,14386
2016-02-19,14005
2016-02-20,14005
2016-02-21,14005
2016-02-22,13726
2016-02-23,13726
2016-02-24,13726
2016-02-25,13726
2016-02-26,13645
2016-02-27,13645
2016-02-28,13645
2016-02-29,13259
2016-03-01,13259
2016-03-02,13259
2016-03-03,13394
2016-03-04,13394
2016-03-05,13394
2016-03-06,13488
2016-03-07,13488
2016-03-08,13488
2016-03-09,13488
2016-03-10,13352
2016-03-11,13352
2016-03-12,13352
2016-03-13,13352
2016-03-14,13303
2016-03-15,13303
2016-03-16,13303
2016-03-17,13303
2016-03-18,13060
2016-03-19,13060
2016-03-20,13060
2016-03-21,13060
2016-03-22,12654
2016-03-23,12654
2016-03-24,12654
2016-03-25,12316
2016-03-26,12316
2016-03-27,12316
2016-03-28,11905
2016-03-29,11905
2016-03-30,11905
2016-03-31,11905
2016-04-01,11840
2016-04-02,11840
2016-04-03,11840
2016-04-04,11836
2016-04-05,11836
2016-04-06,11836
2016-04-07,11836
2016-04-08,11956
2016-04-09,11956
2016-04-10,11956
2016-04-11,11956
2016-04-12,12148
2016-04-13,12148
2016-04-14,12148
2016-04-15,12148
2016-04-16,11691
2016-04-17,11691
2016-04-18,11691
2016-04-19,11324
2016-04-20,11324
2016-04-21,11324
2016-04-22,11324
2016-04-23,11268
2016-04-24,11268
2016-04-25,11268
2016-04-26,11331
2016-04-27,11331
2016-04-28,11331
2016-04-29,11331
2016-04-30,11331
2016-05-01,11331
2016-05-02,11331
2016-05-03,11197
2016-05-04,11197
2016-05-05,11197
2016-05-06,11197
2016-05-07,11051
2016-05-08,11051
2016-05-09,11051
2016-05-10,11054
2016-05-11,11054
2016-05-12,11054
2016-05-13,11054
2016-05-14,10870
2016-05-15,10870
2016-05-16,10870
2016-05-17,10653
2016-05-18,10653
2016-05-19,10653
2016-05-21,10992
2016-05-22,10992
2016-05-23,10992
2016-05-24,10928
2016-05-25,10928
2016-05-26,10928
2016-05-27,10890
2016-05-28,10890
2016-05-29,10890
2016-05-30,10890
2016-05-31,11078
2016-06-01,11078
2016-06-02,11078
2016-06-03,11078
2016-06-04,10962
2016-06-05,10962
2016-06-06,10962
2016-06-07,10962
2016-06-08,10617
2016-06-09,10617
2016-06-10,10617
2016-06-11,10548
2016-06-12,10548
2016-06-13,10548
2016-06-14,10727
2016-06-15,10727
2016-06-16,10727
2016-06-17,11105
2016-06-18,11105
2016-06-19,11105
2016-06-20,11105
2016-06-21,11498
2016-06-22,11498
2016-06-23,11498
2016-06-24,11435
2016-06-25,11435
2016-06-26,11435
2016-06-27,11435
2016-06-28,11492
2016-06-29,11492
2016-06-30,11492
2016-07-01,11126
2016-07-02,11126
2016-07-03,11126
2016-07-04,10876
2016-07-05,10876
2016-07-06,10876
2016-07-07,10780
2016-07-08,10780
2016-07-09,10780
2016-07-10,10747
2016-07-11,10747
2016-07-12,10747
2016-07-13,10696
2016-07-14,10696
2016-07-15,10696
2016-07-16,10852
2016-07-17,10852
2016-07-18,10852
2016-07-23,10851
2016-07-24,11037
2016-07-25,11037
2016-07-26,11037
2016-07-27,11037
2016-07-28,11003
2016-07-29,11003
2016-07-30,11003
2016-07-31,11003
2016-08-01,11162
2016-08-02,11162
2016-08-03,11162
2016-08-04,11162
2016-08-05,11291
2016-08-06,11291
2016-08-07,11291
2016-08-08,11291
2016-08-09,11032
2016-08-10,11032
2016-08-11,11032
2016-08-12,11032
2016-08-13,11032
2016-08-14,10860
2016-08-15,10860
2016-08-16,10860
2016-08-17,10860
2016-08-18,10860
2016-08-19,10930
2016-08-20,10930
2016-08-21,10930
2016-08-22,10930
2016-08-23,11140
2016-08-24,11140
2016-08-25,11140
2016-08-26,11140
2016-08-28,11060
2016-08-31,11060
2016-09-01,11060
2016-09-02,11186
2016-09-03,11186
2016-09-04,11186
2016-09-05,11186
2016-09-06,11204
2016-09-07,11204
2016-09-08,11204
2016-09-09,11204
2016-09-10,11204
2016-09-11,11000
2016-09-12,11000
2016-09-13,11000
2016-09-14,11000
2016-09-15,11000
2016-09-16,11000
2016-09-17,11371
2016-09-18,11371
2016-09-19,11371
2016-09-20,11371
2016-09-21,11371
2016-09-22,11721
2016-09-23,11721
2016-09-24,11721
2016-09-25,11721
2016-09-26,11721
2016-09-27,11721
2016-09-28,12228
2016-09-29,12228
2016-09-30,12228
2016-10-01,12228
2016-10-02,12228
2016-10-03,12228
2016-10-04,12469
2016-10-05,12469
2016-10-06,12469
2016-10-07,12469
2016-10-08,12469
2016-10-09,12469
2016-10-10,12744
2016-10-11,12744
2016-10-12,12744
2016-10-13,12744
2016-10-14,12744
2016-10-15,12767
2016-10-16,12767
2016-10-17,12767
2016-10-18,12767
2016-10-19,12767
2016-10-20,12767
2016-10-21,12898
2016-10-22,12898
2016-10-23,12898
2016-10-24,12898
2016-10-25,12898
2016-10-26,12713
2016-10-27,12713
2016-10-28,12713
2016-10-29,12713
2016-10-30,12713
2016-10-31,12720
2016-11-01,12720
2016-11-02,12720
2016-11-03,12720
2016-11-04,12720
2016-11-05,12720
2016-11-06,12622
2016-11-07,12622
2016-11-08,12622
2016-11-09,12622
2016-11-10,12622
2016-11-11,12622
2016-11-12,12622
2016-11-13,12622
2016-11-14,12622
2016-11-15,12622
2016-12-07,13733
2016-12-08,13733
2016-12-09,13657
2016-12-10,13657
2016-12-11,13657
2016-12-12,13657
2016-12-13,13401
2016-12-14,13401
2016-12-15,13401
2016-12-16,13401
2016-12-17,13755
2016-12-18,13755
2016-12-19,13755
2016-12-20,13755
2016-12-21,13736
2016-12-22,13736
2016-12-23,13736
2016-12-24,13736
2016-12-25,13709
2016-12-26,13709
2016-12-27,13709
2016-12-28,13709
2016-12-29,13497
2016-12-30,13497
2016-12-31,13497
2017-01-01,13497
2017-01-02,12940
2017-01-03,12940
2017-01-04,12940
2017-01-05,12940
2017-01-06,12413
2017-01-07,12413
2017-01-08,12413
2017-01-09,12256
2017-01-10,12256
2017-01-11,12256
2017-01-12,12318
2017-01-13,12318
2017-01-14,12318
2017-01-15,12318
2017-01-16,12709
2017-01-17,12709
2017-01-18,12709
2017-01-19,12671
2017-01-20,12671
2017-01-21,12671
2017-01-22,12576
2017-01-23,12576
2017-01-27,12972
2017-01-28,12770
2017-01-29,12770
2017-01-30,12770
2017-01-31,12770
2017-02-01,12839
2017-02-02,12839
2017-02-03,12839
2017-02-04,12839
2017-02-05,13134
2017-02-06,13134
2017-02-07,13134
2017-02-08,13060
2017-02-09,13060
2017-02-10,13060
2017-02-11,13087
2017-02-12,13087
2017-02-13,13087
2017-02-14,12867
2017-02-15,12867
2017-02-16,12867
2017-02-17,12867
2017-02-18,12813
2017-02-19,12813
2017-02-20,12813
