date_obj,Seers%20ring price
2016-02-14,296222
2016-02-15,295065
2016-02-16,290347
2016-02-17,286012
2016-02-18,282365
2016-02-19,289685
2016-02-20,289204
2016-02-21,287502
2016-02-22,283906
2016-02-23,279001
2016-02-24,277968
2016-02-25,275979
2016-02-26,280839
2016-02-27,281720
2016-02-28,280877
2016-02-29,282776
2016-03-01,293415
2016-03-02,292953
2016-03-03,289888
2016-03-04,289142
2016-03-05,294417
2016-03-06,308129
2016-03-07,313694
2016-03-08,310786
2016-03-09,306779
2016-03-10,301219
2016-03-11,296466
2016-03-12,297864
2016-03-13,293632
2016-03-14,289894
2016-03-15,290044
2016-03-16,290703
2016-03-17,296512
2016-03-18,298993
2016-03-19,291084
2016-03-20,288211
2016-03-21,287387
2016-03-22,286854
2016-03-23,286335
2016-03-24,293019
2016-03-25,302153
2016-03-26,317261
2016-03-27,333111
2016-03-28,348985
2016-03-29,343384
2016-03-30,337717
2016-03-31,331210
2016-04-01,327368
2016-04-02,338170
2016-04-03,341368
2016-04-04,336146
2016-04-05,338514
2016-04-06,344831
2016-04-07,353936
2016-04-08,351762
2016-04-09,341016
2016-04-10,332388
2016-04-11,333126
2016-04-12,342397
2016-04-13,341529
2016-04-14,340371
2016-04-15,348608
2016-04-16,355747
2016-04-17,363885
2016-04-18,373261
2016-04-19,371908
2016-04-20,374603
2016-04-21,361454
2016-04-22,356629
2016-04-23,351314
2016-04-24,339254
2016-04-25,331649
2016-04-26,320768
2016-04-27,315618
2016-04-28,312057
2016-04-29,313056
2016-04-30,309654
2016-05-01,307747
2016-05-02,304089
2016-05-03,307401
2016-05-04,306066
2016-05-05,301971
2016-05-06,301717
2016-05-07,299187
2016-05-08,294958
2016-05-09,301322
2016-05-10,307366
2016-05-11,305519
2016-05-12,305125
2016-05-13,302721
2016-05-14,298006
2016-05-15,300965
2016-05-16,301199
2016-05-17,296382
2016-05-18,293241
2016-05-19,290095
2016-05-22,290323
2016-05-23,291803
2016-05-24,297967
2016-05-25,312178
2016-05-26,317465
2016-05-27,323803
2016-05-28,324720
2016-05-29,320151
2016-05-30,316690
2016-05-31,312879
2016-06-01,307001
2016-06-02,304232
2016-06-03,301233
2016-06-04,288657
2016-06-05,291945
2016-06-06,295592
2016-06-07,296173
2016-06-08,297102
2016-06-09,298953
2016-06-10,298276
2016-06-11,301410
2016-06-12,308429
2016-06-13,307068
2016-06-14,305240
2016-06-15,305086
2016-06-16,304470
2016-06-17,305001
2016-06-18,303634
2016-06-19,303399
2016-06-20,303284
2016-06-21,301064
2016-06-22,301657
2016-06-23,306658
2016-06-24,312658
2016-06-25,321629
2016-06-26,334750
2016-06-27,329612
2016-06-28,333925
2016-06-29,344433
