date_obj,Saltpetre price
2016-01-08,59
2016-01-09,62
2016-01-10,66
2016-01-11,66
2016-01-12,70
2016-01-13,70
2016-01-14,74
2016-01-15,74
2016-01-16,78
2016-01-17,78
2016-01-18,82
2016-01-19,82
2016-01-20,82
2016-01-21,85
2016-01-22,85
2016-01-23,85
2016-01-24,90
2016-01-25,90
2016-01-26,90
2016-01-27,95
2016-01-28,95
2016-01-29,95
2016-01-30,95
2016-01-31,100
2016-02-01,100
2016-02-02,100
2016-02-03,105
2016-02-04,105
2016-02-05,105
2016-02-06,111
2016-02-07,111
2016-02-08,111
2016-02-09,111
2016-02-10,117
2016-02-11,117
2016-02-12,117
2016-02-13,117
2016-02-14,122
2016-02-15,122
2016-02-16,122
2016-02-17,122
2016-02-18,122
2016-02-19,125
2016-02-20,125
2016-02-21,125
2016-02-22,125
2016-02-23,125
2016-02-24,126
2016-02-25,126
2016-02-26,126
2016-02-27,133
2016-02-28,133
2016-02-29,133
2016-03-01,133
2016-03-02,133
2016-03-03,140
2016-03-04,147
2016-03-05,155
2016-03-06,163
2016-03-07,163
2016-03-08,172
2016-03-09,172
2016-03-10,181
2016-03-11,181
2016-03-12,191
2016-03-13,191
2016-03-14,191
2016-03-15,201
2016-03-16,201
2016-03-17,201
2016-03-18,212
2016-03-19,212
2016-03-20,212
2016-03-21,223
2016-03-22,223
2016-03-23,223
2016-03-24,235
2016-03-25,235
2016-03-26,247
2016-03-27,247
2016-03-28,260
2016-03-29,260
2016-03-30,260
2016-03-31,272
2016-04-01,272
2016-04-02,272
2016-04-03,271
2016-04-04,271
2016-04-05,271
2016-04-06,261
2016-04-07,261
2016-04-08,261
2016-04-09,258
2016-04-10,258
2016-04-11,258
2016-04-12,250
2016-04-13,250
2016-04-14,250
2016-04-15,246
2016-04-16,246
2016-04-17,246
2016-04-18,246
2016-04-19,246
2016-04-20,246
2016-04-21,246
2016-04-22,240
2016-04-23,240
2016-04-24,240
2016-04-25,228
2016-04-26,228
2016-04-27,228
2016-04-28,228
2016-04-29,220
2016-04-30,220
2016-05-01,220
2016-05-02,220
2016-05-03,226
2016-05-04,226
2016-05-05,226
2016-05-06,226
2016-05-07,238
2016-05-08,238
2016-05-09,238
2016-05-10,238
2016-05-11,250
2016-05-12,250
2016-05-13,250
2016-05-14,263
2016-05-15,263
2016-05-16,263
2016-05-17,277
2016-05-18,277
2016-05-19,291
2016-05-22,306
2016-05-23,321
2016-05-24,321
2016-05-25,338
2016-05-26,338
2016-05-27,340
2016-05-28,340
2016-05-29,340
2016-05-30,340
2016-05-31,340
2016-06-01,354
2016-06-02,372
2016-06-03,391
2016-06-04,410
2016-06-05,405
2016-06-06,401
2016-06-07,416
2016-06-08,429
2016-06-09,426
2016-06-10,407
2016-06-11,386
2016-06-12,366
2016-06-13,347
2016-06-14,329
2016-06-15,312
2016-06-16,308
2016-06-17,321
2016-06-18,326
2016-06-19,342
2016-06-20,357
2016-06-21,360
2016-06-22,354
2016-06-23,343
2016-06-24,325
2016-06-25,308
2016-06-26,293
2016-06-27,280
2016-06-28,283
2016-06-29,293
2016-06-30,293
2016-07-01,285
2016-07-02,288
2016-07-03,291
2016-07-04,303
2016-07-05,318
2016-07-06,334
2016-07-07,351
2016-07-08,365
2016-07-09,361
2016-07-10,357
2016-07-11,347
2016-07-12,337
2016-07-13,324
2016-07-14,310
2016-07-15,294
2016-07-16,279
2016-07-17,265
2016-07-18,251
2016-07-23,247
2016-07-24,239
2016-07-25,234
2016-07-26,242
2016-07-27,248
2016-07-28,260
2016-07-29,258
2016-07-30,246
2016-07-31,233
2016-08-01,222
2016-08-02,229
2016-08-03,232
2016-08-04,233
2016-08-05,231
2016-08-06,232
2016-08-07,221
2016-08-08,209
2016-08-09,198
2016-08-10,190
2016-08-11,197
2016-08-12,206
2016-08-13,207
2016-08-14,205
2016-08-15,200
2016-08-16,209
2016-08-17,220
2016-08-18,231
2016-08-19,243
2016-08-20,255
2016-08-21,268
2016-08-22,276
2016-08-23,287
2016-08-24,302
2016-08-25,315
2016-08-26,315
2016-08-28,323
2016-08-31,294
2016-09-01,308
2016-09-02,308
2016-09-03,294
2016-09-04,290
2016-09-05,278
2016-09-06,288
2016-09-07,289
2016-09-08,274
2016-09-09,260
2016-09-10,247
2016-09-11,234
2016-09-12,222
2016-09-13,210
2016-09-14,199
2016-09-15,189
2016-09-16,179
2016-09-17,170
2016-09-18,161
2016-09-19,153
2016-09-20,148
2016-09-21,140
2016-09-22,136
2016-09-23,139
2016-09-24,142
2016-09-25,149
2016-09-26,156
2016-09-27,163
2016-09-28,172
2016-09-29,179
2016-09-30,188
2016-10-01,196
2016-10-02,197
2016-10-03,191
2016-10-04,188
2016-10-05,191
2016-10-06,193
2016-10-07,197
2016-10-08,196
2016-10-09,186
2016-10-10,176
2016-10-11,168
2016-10-12,172
2016-10-13,167
2016-10-14,164
2016-10-15,165
2016-10-16,174
2016-10-17,182
2016-10-18,192
2016-10-19,202
2016-10-20,213
2016-10-21,224
2016-10-22,236
2016-10-23,248
2016-10-24,261
2016-10-25,275
