date_obj,White%20full%20helm price
2015-03-26,58093
2015-03-27,58093
2015-03-28,58093
2015-03-29,58093
2015-03-30,58093
2015-03-31,58093
2015-04-01,58093
2015-04-02,58093
2015-04-03,58093
2015-04-04,55228
2015-04-05,55228
2015-04-06,55228
2015-04-07,55228
2015-04-08,55228
2015-04-09,55228
2015-04-10,55228
2015-04-11,55228
2015-04-12,55228
2015-04-13,55228
2015-04-14,55228
2015-04-15,55228
2015-04-16,55228
2015-04-17,55228
2015-04-18,55228
2015-04-19,55228
2015-04-20,55228
2015-04-21,55228
2015-04-22,55228
2015-04-23,55228
2015-04-24,55228
2015-04-25,55228
2015-04-26,55228
2015-04-27,55228
2015-04-28,52514
2015-04-29,52514
2015-04-30,52514
2015-05-01,52514
2015-05-02,52514
2015-05-03,52514
2015-05-04,52514
2015-05-05,52514
2015-05-06,52514
2015-05-07,52514
2015-05-08,52514
2015-05-09,52514
2015-05-10,52514
2015-05-11,52514
2015-05-12,52514
2015-05-13,52514
2015-05-14,52514
2015-05-15,52514
2015-05-16,52514
2015-05-17,52514
2015-05-18,52514
2015-05-19,52514
2015-05-20,52514
2015-05-21,52514
2015-05-22,49959
2015-05-23,49959
2015-05-24,49959
2015-05-25,49959
2015-05-26,49959
2015-05-27,49959
2015-05-28,49959
2015-05-29,49959
2015-05-30,49959
2015-05-31,49959
2015-06-01,49959
2015-06-02,49959
2015-06-03,49959
2015-06-04,49959
2015-06-05,49959
2015-06-06,47511
2015-06-07,47511
2015-06-08,47511
2015-06-09,47511
2015-06-10,47511
2015-06-11,47511
2015-06-12,47511
2015-06-13,47511
2015-06-14,47511
2015-06-15,47511
2015-06-16,47511
2015-06-17,47511
2015-06-18,47511
2015-06-19,47511
2015-06-20,47511
2015-06-21,47511
2015-06-22,47511
2015-06-23,45179
2015-06-24,45179
2015-06-25,45179
2015-06-26,45179
2015-06-27,45179
2015-06-28,45179
2015-06-29,45179
2015-06-30,45179
2015-07-01,45179
2015-07-02,45179
2015-07-03,45179
2015-07-04,45179
2015-07-05,45179
2015-07-06,45179
2015-07-07,45179
2015-07-08,45179
2015-07-09,45179
2015-07-10,43049
2015-07-11,43049
2015-07-12,43049
2015-07-13,43049
2015-07-14,43049
2015-07-15,43049
2015-07-16,43049
2015-07-17,43049
2015-07-18,43049
2015-07-19,43049
2015-07-20,43049
2015-07-21,43049
2015-07-22,43049
2015-07-23,43049
2015-07-24,43049
2015-07-25,43049
2015-07-26,43049
2015-07-27,40962
2015-07-28,40962
2015-07-29,40962
2015-07-30,40962
2015-07-31,40962
2015-08-01,40962
2015-08-02,40962
2015-08-03,40962
2015-08-04,40962
2015-08-05,40962
2015-08-06,40962
2015-08-07,40962
2015-08-08,40962
2015-08-09,38951
2015-08-10,38951
2015-08-11,38951
2015-08-12,38951
2015-08-13,38951
2015-08-14,38951
2015-08-15,38951
2015-08-16,38951
2015-08-17,38951
2015-08-18,38951
2015-08-19,38951
2015-08-20,38951
2015-08-21,38951
2015-08-22,38951
2015-08-23,37030
2015-08-24,37030
2015-08-25,37030
2015-08-26,37030
2015-08-27,37030
2015-08-28,37030
2015-08-29,37030
2015-08-30,37030
2015-08-31,37030
2015-09-01,37030
2015-09-02,37030
2015-09-03,37030
2015-09-04,37030
2015-09-05,37030
2015-09-06,37030
2015-09-07,37030
2015-09-08,35220
2015-09-09,35220
2015-09-10,35220
2015-09-11,35220
2015-09-12,35220
2015-09-13,35220
2015-09-14,35220
2015-09-15,35220
2015-09-16,35220
2015-09-17,35220
2015-09-18,35220
2015-09-19,35220
2015-09-20,35220
2015-09-21,35220
2015-09-22,35220
2015-09-23,35220
2015-09-24,35220
2015-09-25,35220
2015-09-27,33495
2015-09-28,33495
2015-09-29,33495
2015-09-30,33495
2015-10-05,33495
2015-10-06,33495
2015-10-07,33495
2015-10-08,33495
2015-10-09,33495
2015-10-10,33495
2015-10-11,33495
2015-10-12,33495
2015-10-13,33495
2015-10-14,31857
2015-10-15,31857
2015-10-16,31857
2015-10-17,31857
2015-10-18,31857
2015-10-19,31857
2015-10-20,31857
2015-10-22,31857
2015-10-23,31857
2015-10-24,31857
2015-10-25,31857
2015-10-26,31857
2015-10-27,31857
2015-10-29,30282
2015-10-30,30282
2015-10-31,30282
2015-11-01,30282
2015-11-02,30282
2015-11-03,30282
2015-11-04,30282
2015-11-05,30282
2015-11-06,30282
2015-11-07,30282
2015-11-08,30282
2015-11-09,30282
2015-11-10,30282
2015-11-11,30282
2015-11-12,30282
2015-11-13,30282
2015-11-14,30282
2015-11-15,30282
2015-11-16,30282
2015-11-17,30282
2015-11-18,28824
2015-11-19,28824
2015-11-20,28824
