date_obj,3rd%20age%20range%20legs price
2015-03-26,22160149
2015-03-27,22160149
2015-03-28,22160149
2015-03-29,22160149
2015-03-30,22160149
2015-03-31,22160149
2015-04-01,21080939
2015-04-02,21080939
2015-04-03,21080939
2015-04-04,21080939
2015-04-05,21080939
2015-04-06,20100592
2015-04-07,20100592
2015-04-08,20100592
2015-04-09,20100592
2015-04-10,20100592
2015-04-11,20100592
2015-04-12,19113182
2015-04-13,19113182
2015-04-14,19113182
2015-04-15,19113182
2015-04-16,19113182
2015-04-17,18442962
2015-04-18,18442962
2015-04-19,18442962
2015-04-20,18442962
2015-04-21,18442962
2015-04-22,18776615
2015-04-23,18776615
2015-04-24,18776615
2015-04-25,18776615
2015-04-26,18776615
2015-04-27,19225886
2015-04-28,19225886
2015-04-29,19225886
2015-04-30,19225886
2015-05-01,19225886
2015-05-02,19565915
2015-05-03,19565915
2015-05-04,19565915
2015-05-05,19565915
2015-05-06,20179536
2015-05-07,20179536
2015-05-08,20179536
2015-05-09,20179536
2015-05-10,21071192
2015-05-11,21071192
2015-05-12,21071192
2015-05-13,21071192
2015-05-14,21983515
2015-05-15,21983515
2015-05-16,21983515
2015-05-17,21983515
2015-05-18,23014275
2015-05-19,23014275
2015-05-20,23014275
2015-05-21,23014275
2015-05-22,23014275
2015-05-23,24071576
2015-05-24,24071576
2015-05-25,24071576
2015-05-26,24071576
2015-05-27,24071576
2015-05-28,23848062
2015-05-29,23848062
2015-05-30,23848062
2015-05-31,23848062
2015-06-01,24438840
2015-06-02,24438840
2015-06-03,24438840
2015-06-04,24438840
2015-06-05,24438840
2015-06-06,25216715
2015-06-07,25216715
2015-06-08,25216715
2015-06-09,25216715
2015-06-10,26279001
2015-06-11,26279001
2015-06-12,26279001
2015-06-13,26279001
2015-06-14,26279001
2015-06-15,26279001
2015-06-16,26279001
2015-06-17,26937108
2015-06-18,26937108
2015-06-19,26937108
2015-06-20,26937108
2015-06-21,26937108
2015-06-22,26937108
2015-06-23,26937108
2015-06-24,25788875
2015-06-25,25788875
2015-06-26,25788875
2015-06-27,25788875
2015-06-28,25788875
2015-06-29,24520516
2015-06-30,24520516
2015-07-01,24520516
2015-07-02,24520516
2015-07-03,24068794
2015-07-04,24068794
2015-07-05,24068794
2015-07-06,24068794
2015-07-07,25151838
2015-07-08,25151838
2015-07-09,25151838
2015-07-10,25151838
2015-07-11,26280115
2015-07-12,26280115
2015-07-13,26280115
2015-07-14,26280115
2015-07-15,27431904
2015-07-16,27431904
2015-07-17,27431904
2015-07-18,27431904
2015-07-19,28555106
2015-07-20,28555106
2015-07-21,28555106
2015-07-22,28555106
2015-07-23,28555106
2015-07-24,29875178
2015-07-25,29875178
2015-07-26,29875178
2015-07-27,29875178
2015-07-28,30862997
2015-07-29,30862997
2015-07-30,30862997
2015-07-31,30862997
2015-08-01,29329275
2015-08-02,29329275
2015-08-03,29329275
2015-08-04,29329275
2015-08-05,28626782
2015-08-06,28626782
2015-08-07,28626782
2015-08-08,29336825
2015-08-09,29336825
2015-08-10,29336825
2015-08-11,29621115
2015-08-12,29621115
2015-08-13,29621115
2015-08-14,29621115
2015-08-15,29144003
2015-08-16,29144003
2015-08-17,29144003
2015-08-18,29144003
2015-08-19,28339539
2015-08-20,28339539
2015-08-21,28339539
2015-08-22,28339539
2015-08-23,28685639
2015-08-24,28685639
2015-08-25,28685639
2015-08-26,28685639
2015-08-27,28163429
2015-08-28,28163429
2015-08-29,28163429
2015-08-30,28163429
2015-08-31,27351242
2015-09-01,27351242
2015-09-02,27351242
2015-09-03,27351242
2015-09-04,26996782
2015-09-05,26996782
2015-09-06,26996782
2015-09-07,26996782
2015-09-08,26996782
2015-09-09,26288992
2015-09-10,26288992
2015-09-11,26288992
2015-09-12,26288992
2015-09-13,25218825
2015-09-14,25218825
2015-09-15,25218825
2015-09-16,24531946
2015-09-17,24531946
2015-09-18,24531946
2015-09-19,24775799
2015-09-20,24775799
2015-09-21,24775799
2015-09-22,24775799
2015-09-23,25405191
2015-09-24,25405191
2015-09-25,25405191
2015-09-27,24747428
2015-09-28,24747428
2015-09-29,24747428
2015-09-30,24385514
2015-10-05,24383626
2015-10-06,24083487
2015-10-07,24083487
2015-10-08,24083487
2015-10-09,23834925
2015-10-10,23834925
2015-10-11,23834925
2015-10-12,23834925
2015-10-13,23834925
2015-10-14,23577742
2015-10-15,23577742
2015-10-16,23577742
2015-10-17,24000440
2015-10-18,24000440
2015-10-19,24000440
2015-10-20,24853062
2015-10-22,24853062
2015-10-23,24853062
2015-10-24,25846253
2015-10-25,25846253
2015-10-26,25846253
2015-10-27,26931773
2015-10-28,26931773
2015-10-29,26931773
2015-10-30,26931773
2015-10-31,27965969
2015-11-01,27965969
2015-11-02,27965969
2015-11-03,27965969
2015-11-04,27965969
2015-11-05,28792325
2015-11-06,28792325
2015-11-07,28792325
2015-11-08,28792325
2015-11-09,28792325
2015-11-10,29598991
2015-11-11,29598991
2015-11-12,29598991
2015-11-13,29598991
2015-11-14,29598991
2015-11-15,29859600
2015-11-16,29859600
2015-11-17,29859600
2015-11-18,29859600
2015-11-19,29274728
2015-11-20,29274728
2015-11-21,29274728
2015-11-22,29250092
2015-11-23,29250092
2015-11-24,29250092
2015-11-25,29250092
2015-11-26,29250092
2015-11-27,28909567
2015-11-28,28909567
2015-11-29,28909567
2015-11-30,28909567
2015-12-01,28268353
2015-12-02,28268353
2015-12-03,28268353
2015-12-04,28268353
2015-12-05,28268353
2015-12-06,29257388
2015-12-07,29257388
2015-12-08,29257388
2015-12-09,29257388
2015-12-10,29591428
2015-12-11,29591428
2015-12-12,29591428
2015-12-13,30383426
2015-12-14,30383426
2015-12-15,30383426
2015-12-16,30383426
2015-12-17,29881298
2015-12-18,29881298
2015-12-19,29881298
2015-12-20,29881298
2015-12-21,29881298
2015-12-22,28810136
2015-12-23,28810136
2015-12-24,28810136
2015-12-25,28810136
2015-12-26,27878641
2015-12-27,27878641
2015-12-28,27878641
2015-12-29,27415010
2015-12-30,27415010
2015-12-31,27415010
2016-01-01,27415010
2016-01-02,27415010
2016-01-03,27295706
2016-01-04,27295706
2016-01-05,27295706
2016-01-06,27295706
2016-01-07,28273667
2016-01-08,28273667
2016-01-09,28273667
2016-01-10,28273667
2016-01-11,29406507
2016-01-12,29406507
2016-01-13,29406507
2016-01-14,29406507
2016-01-15,29824291
2016-01-16,29824291
2016-01-17,29824291
2016-01-18,28412277
2016-01-19,28412277
2016-01-20,28412277
2016-01-21,28412277
2016-01-22,27810288
2016-01-23,27810288
2016-01-24,27810288
2016-01-25,27810288
2016-01-26,27810288
2016-01-27,27820020
2016-01-28,27820020
2016-01-29,27820020
2016-01-30,27820020
2016-01-31,27820020
2016-02-01,28330523
2016-02-02,28330523
2016-02-03,28330523
2016-02-04,28330523
2016-02-05,28367957
2016-02-06,28367957
2016-02-07,28367957
2016-02-08,27831593
2016-02-09,27831593
2016-02-10,27831593
2016-02-11,27831593
2016-02-12,27831593
2016-02-13,28521432
2016-02-14,28521432
2016-02-15,28521432
2016-02-16,28521432
2016-02-17,28521432
2016-02-18,28521432
2016-02-19,28032679
2016-02-20,28032679
2016-02-21,28032679
2016-02-22,28032679
2016-02-23,27425835
2016-02-24,27425835
2016-02-25,27425835
2016-02-26,27425835
2016-02-27,27190731
2016-02-28,27190731
2016-02-29,27190731
2016-03-01,27190731
2016-03-02,27225495
2016-03-03,27225495
2016-03-04,27225495
2016-03-05,27690279
2016-03-06,27690279
2016-03-07,27690279
2016-03-08,28602348
2016-03-09,28602348
2016-03-10,28602348
2016-03-11,29006170
2016-03-12,29006170
2016-03-13,29006170
2016-03-14,29006170
2016-03-15,28102123
2016-03-16,28102123
2016-03-17,28102123
2016-03-18,27670305
2016-03-19,27670305
2016-03-20,27670305
2016-03-21,27356149
2016-03-22,27356149
2016-03-23,27356149
2016-03-24,26564233
2016-03-25,26564233
2016-03-26,26564233
2016-03-27,26564233
2016-03-28,26489752
2016-03-29,26489752
2016-03-30,26489752
2016-03-31,26489752
2016-04-01,26651579
2016-04-02,26651579
2016-04-03,27626858
2016-04-04,27626858
2016-04-05,27626858
2016-04-06,28203323
2016-04-07,28203323
2016-04-08,28203323
2016-04-09,28457016
2016-04-10,28457016
2016-04-11,28457016
2016-04-12,28387305
2016-04-13,28387305
2016-04-14,28387305
2016-04-15,28185432
2016-04-16,28185432
2016-04-17,28185432
2016-04-18,28069904
2016-04-19,28069904
2016-04-20,28069904
2016-04-21,28069904
2016-04-22,28069904
2016-04-23,27772350
2016-04-24,27772350
2016-04-25,27772350
2016-04-26,27848448
2016-04-27,27848448
2016-04-28,27848448
2016-04-29,28129032
2016-04-30,28129032
2016-05-01,28129032
2016-05-02,28165551
2016-05-03,28165551
2016-05-04,28165551
2016-05-05,28338008
2016-05-06,28338008
2016-05-07,28338008
2016-05-08,28338008
2016-05-09,27877816
2016-05-10,27877816
2016-05-11,27877816
2016-05-12,27877816
2016-05-13,27571181
2016-05-14,27571181
2016-05-15,27571181
