date_obj,Drake%20bones price
2019-01-10,6000
2019-01-10,5701
2019-01-11,5415
2019-01-12,5144
2019-01-13,4886
2019-01-14,4641
2019-01-15,4408
2019-01-16,4187
2019-01-17,3977
2019-01-18,3778
2019-01-19,3589
2019-01-20,3409
2019-01-21,3238
2019-01-22,3076
2019-01-23,2923
2019-01-24,2865
2019-01-25,2797
2019-01-26,2738
2019-01-27,2663
2019-01-28,2675
2019-01-29,2766
2019-01-30,2798
2019-01-31,2853
2019-02-01,2819
2019-02-02,2707
2019-02-03,2689
2019-02-04,2723
2019-02-05,2740
2019-02-06,2867
2019-02-07,2810
2019-02-08,2669
2019-02-09,2540
2019-02-10,2595
2019-02-11,2554
2019-02-12,2618
2019-02-13,2630
2019-02-14,2603
2019-02-15,2588
2019-02-16,2532
2019-02-17,2534
2019-02-18,2548
2019-02-19,2646
2019-02-20,2702
2019-02-21,2725
2019-02-22,2773
2019-02-23,2693
2019-02-24,2707
2019-02-25,2684
2019-02-26,2621
2019-02-27,2632
2019-02-28,2673
2019-03-01,2616
2019-03-02,2679
2019-03-03,2719
2019-03-04,2767
2019-03-05,2655
2019-03-06,2574
2019-03-07,2601
2019-03-08,2684
2019-03-09,2724
2019-03-10,2810
2019-03-11,2855
2019-03-12,2867
2019-03-13,2935
2019-03-14,2847
2019-03-15,2726
2019-03-16,2749
2019-03-17,2712
2019-03-18,2664
2019-03-19,2773
2019-03-20,2799
2019-03-21,2701
2019-03-22,2679
2019-03-23,2718
2019-03-24,2717
2019-03-25,2684
2019-03-26,2720
2019-03-27,2761
2019-03-28,2797
2019-03-29,2757
2019-03-30,2757
2019-03-31,2758
2019-04-01,2726
2019-04-02,2743
2019-04-03,2817
2019-04-04,2821
2019-04-05,2779
2019-04-06,2708
2019-04-07,2723
2019-04-08,2832
2019-04-09,2903
2019-04-10,2984
2019-04-11,2968
2019-04-12,2998
2019-04-13,3095
2019-04-14,3153
2019-04-15,3118
2019-04-16,3073
2019-04-17,2987
2019-04-18,2867
2019-04-19,2766
2019-04-20,2635
2019-04-21,2625
2019-04-22,2684
2019-04-23,2723
2019-04-24,2712
2019-04-25,2765
2019-04-26,2813
2019-04-27,2790
2019-04-28,2892
2019-04-29,2874
2019-04-30,2858
2019-05-01,2973
2019-05-02,2968
2019-05-03,2921
2019-05-04,2870
2019-05-05,2834
2019-05-06,2815
2019-05-07,2856
2019-05-08,2928
2019-05-09,2960
2019-05-10,2944
2019-05-11,2983
2019-05-12,3084
2019-05-13,3227
2019-05-14,3176
2019-05-15,3149
2019-05-16,3057
2019-05-17,2966
2019-05-18,2993
2019-05-19,3047
2019-05-20,3096
2019-05-21,3094
2019-05-22,3122
2019-05-23,3088
2019-05-24,3077
2019-05-25,3069
2019-05-26,3071
2019-05-27,2997
2019-05-28,2928
2019-05-29,3035
2019-05-30,3097
2019-05-31,3118
2019-06-01,3035
2019-06-02,2999
2019-06-03,2902
2019-06-04,2987
2019-06-05,3081
2019-06-06,3172
2019-06-07,3144
2019-06-08,3201
2019-06-09,3122
2019-06-10,3122
2019-06-11,3028
2019-06-12,3000
2019-06-13,3006
2019-06-14,2992
2019-06-15,2955
2019-06-16,3053
2019-06-17,3065
2019-06-18,3161
2019-06-19,3301
2019-06-20,3265
2019-06-21,3173
2019-06-22,3049
2019-06-23,3021
2019-06-24,2995
2019-06-25,2908
2019-06-26,3020
2019-06-27,3143
2019-06-28,3143
2019-06-29,3147
2019-06-30,3062
2019-07-01,2917
2019-07-02,2851
2019-07-03,2947
2019-07-04,3048
2019-07-05,3099
2019-07-06,3144
2019-07-07,3093
2019-07-08,3021
2019-07-09,2926
2019-07-10,3000
2019-07-11,2985
2019-07-12,3039
2019-07-13,2973
2019-07-14,3052
2019-07-15,3031
2019-07-16,3037
2019-07-17,3068
2019-07-18,3140
2019-07-19,3121
2019-07-20,3121
2019-07-21,3025
2019-07-22,3000
2019-07-23,2975
2019-07-24,2991
2019-07-25,2888
2019-07-26,2865
2019-07-27,2790
2019-07-28,2781
2019-07-29,2871
2019-07-30,2936
2019-07-31,2927
2019-08-01,2887
2019-08-02,2875
2019-08-03,2902
2019-08-04,2929
2019-08-05,2893
2019-08-06,2903
2019-08-07,3046
2019-08-08,3116
2019-08-09,3082
2019-08-10,2988
2019-08-11,2885
2019-08-12,2740
2019-08-13,2684
2019-08-14,2809
2019-08-15,2887
2019-08-16,2869
2019-08-17,2869
2019-08-18,2764
2019-08-19,2732
2019-08-20,2768
2019-08-21,2874
2019-08-22,2875
2019-08-23,2913
2019-08-24,2845
2019-08-24,2845
2019-08-25,2883
2019-08-25,2883
2019-08-26,2951
