date_obj,Zamorak%20bracers price
2015-03-26,79525
2015-03-27,79562
2015-03-28,80096
2015-03-29,81801
2015-03-30,81484
2015-03-31,80873
2015-04-01,80665
2015-04-02,79263
2015-04-03,79098
2015-04-04,78893
2015-04-05,79798
2015-04-06,81108
2015-04-07,81639
2015-04-08,82346
2015-04-09,84273
2015-04-10,86007
2015-04-11,86908
2015-04-12,88256
2015-04-13,90343
2015-04-14,92372
2015-04-15,93627
2015-04-16,96129
2015-04-17,94709
2015-04-18,96794
2015-04-19,96487
2015-04-20,97235
2015-04-21,97650
2015-04-22,97906
2015-04-23,98021
2015-04-24,99425
2015-04-25,100583
2015-04-26,100511
2015-04-27,102086
2015-04-28,102863
2015-04-29,104835
2015-04-30,108092
2015-05-01,110855
2015-05-02,113217
2015-05-03,115211
2015-05-04,114689
2015-05-05,115535
2015-05-06,116185
2015-05-07,113741
2015-05-08,108144
2015-05-09,102736
2015-05-10,97599
2015-05-11,92719
2015-05-12,88375
2015-05-13,85239
2015-05-14,81521
2015-05-15,80081
2015-05-16,79021
2015-05-17,79167
2015-05-18,81832
2015-05-19,79311
2015-05-20,76766
2015-05-21,74733
2015-05-22,71683
2015-05-23,68165
2015-05-24,65161
2015-05-25,63937
2015-05-26,61775
2015-05-27,63556
2015-05-28,66694
2015-05-29,70029
2015-05-30,73531
2015-05-31,77030
2015-06-01,79905
2015-06-02,82577
2015-06-03,84667
2015-06-04,86706
2015-06-05,88278
2015-06-06,89181
2015-06-07,92004
2015-06-08,92989
2015-06-09,92048
2015-06-10,92078
2015-06-11,91255
2015-06-12,91609
2015-06-13,92086
2015-06-14,92292
2015-06-15,92678
2015-06-16,93812
2015-06-17,94762
2015-06-18,95808
2015-06-19,96518
2015-06-20,98456
2015-06-21,100954
2015-06-22,103413
2015-06-23,106173
2015-06-24,107561
2015-06-25,108329
2015-06-26,109066
2015-06-27,111143
2015-06-28,112635
2015-06-29,113997
2015-06-30,114960
2015-07-01,115122
2015-07-02,116281
2015-07-03,117667
2015-07-04,118554
2015-07-05,118419
2015-07-06,116372
2015-07-07,116365
2015-07-08,115602
2015-07-09,114673
2015-07-10,112199
2015-07-11,111356
2015-07-12,111189
2015-07-13,108027
2015-07-14,104275
2015-07-15,101708
2015-07-16,99023
2015-07-17,96777
2015-07-18,96727
2015-07-19,95683
2015-07-20,95798
2015-07-21,96518
2015-07-22,95836
2015-07-23,96168
2015-07-24,96109
2015-07-25,96530
2015-07-26,96902
2015-07-27,97332
2015-07-28,99337
2015-07-29,99484
2015-07-30,98682
2015-07-31,98488
2015-08-01,98262
2015-08-02,98500
2015-08-03,98487
2015-08-04,97907
2015-08-05,98894
2015-08-06,99343
2015-08-07,100520
2015-08-08,101080
2015-08-09,101567
2015-08-10,101061
2015-08-11,101513
2015-08-12,101513
2015-08-13,101367
2015-08-14,101317
2015-08-15,101285
2015-08-16,100819
2015-08-17,100966
2015-08-18,99097
2015-08-19,101040
2015-08-20,104900
2015-08-21,108543
2015-08-22,111702
2015-08-23,112217
2015-08-24,113914
2015-08-25,115431
2015-08-26,113937
2015-08-27,112698
2015-08-28,108495
2015-08-29,105988
2015-08-30,102258
2015-08-31,97862
2015-09-01,95935
2015-09-02,95545
