date_obj,Rune%20platebody%20(h5) price
2019-04-11,48000
2019-04-11,50138
2019-04-12,52375
2019-04-13,54783
2019-04-14,57335
2019-04-15,200000
2019-04-16,200000
2019-04-17,205937
2019-04-18,213906
2019-04-19,213906
2019-04-20,210136
2019-04-21,210136
2019-04-22,209840
2019-04-23,213501
2019-04-24,213501
2019-04-25,214701
2019-04-26,211920
2019-04-27,211920
2019-04-28,206824
2019-04-29,206824
2019-04-30,199119
2019-05-01,199119
2019-05-02,191251
2019-05-03,185627
2019-05-04,185627
2019-05-05,178742
2019-05-06,178742
2019-05-07,175294
2019-05-08,175294
2019-05-09,172782
2019-05-10,172782
2019-05-11,168170
2019-05-12,168170
2019-05-13,162995
2019-05-14,162995
2019-05-15,155545
2019-05-16,155545
2019-05-17,150064
2019-05-18,143342
2019-05-19,143342
2019-05-20,137335
2019-05-21,137335
2019-05-22,130861
2019-05-23,130861
2019-05-24,125117
2019-05-25,120900
2019-05-26,120900
2019-05-27,116873
2019-05-28,116873
2019-05-29,112217
2019-05-30,112217
2019-05-31,108199
2019-06-01,108199
2019-06-02,105403
2019-06-03,105403
2019-06-04,104967
2019-06-05,104967
2019-06-06,101966
2019-06-07,101966
2019-06-08,98467
2019-06-09,98467
2019-06-10,95806
2019-06-11,95806
2019-06-12,94377
2019-06-13,94377
2019-06-14,91989
2019-06-15,91989
2019-06-16,88479
2019-06-17,88479
2019-06-18,84193
2019-06-19,84193
2019-06-20,81378
2019-06-21,81378
2019-06-22,77596
2019-06-23,74556
2019-06-24,74556
2019-06-25,71289
2019-06-26,71289
2019-06-27,68479
2019-06-28,68479
2019-06-29,66044
2019-06-30,64697
2019-07-01,64697
2019-07-02,62885
2019-07-03,62885
2019-07-04,62452
2019-07-05,62452
2019-07-06,60337
2019-07-07,60337
2019-07-08,58427
2019-07-09,58427
2019-07-10,56821
2019-07-11,56821
2019-07-12,55309
2019-07-13,55309
2019-07-14,53323
2019-07-15,53323
2019-07-16,51061
2019-07-17,51061
2019-07-18,49323
2019-07-19,49323
2019-07-20,48608
2019-07-21,48608
2019-07-22,47645
2019-07-23,47645
2019-07-24,48450
2019-07-25,48450
2019-07-26,48598
2019-07-27,48598
2019-07-28,48273
2019-07-29,48273
2019-07-30,47424
2019-07-31,47424
2019-08-01,46271
2019-08-02,46271
2019-08-03,45607
2019-08-04,45607
2019-08-05,45002
2019-08-06,45002
2019-08-07,44447
2019-08-08,44447
2019-08-09,44447
2019-08-10,43752
2019-08-11,43752
2019-08-12,43086
2019-08-13,43086
2019-08-14,42266
2019-08-15,42266
2019-08-16,41688
2019-08-17,41688
2019-08-18,41341
2019-08-19,41341
2019-08-20,41606
2019-08-21,41606
2019-08-22,43456
2019-08-23,43456
2019-08-24,44833
2019-08-24,44833
2019-08-25,44833
2019-08-25,44833
2019-08-26,46069
2019-08-26,46069
2019-08-27,46069
2019-08-27,46069
2019-08-28,47604
2019-08-29,47604
2019-08-30,48678
2019-08-31,48678
2019-09-01,48768
2019-09-02,48768
2019-09-03,48768
2019-09-04,48710
2019-09-05,48710
2019-09-06,48710
2019-09-07,49538
2019-09-08,49538
2019-09-09,50048
2019-09-10,50048
2019-09-11,49157
2019-09-12,49157
2019-09-13,49157
2019-09-14,48248
2019-09-15,48248
2019-09-16,47401
2019-09-17,47401
2019-09-18,47297
2019-09-19,47297
2019-09-20,47079
2019-09-21,47079
2019-09-22,47199
2019-09-23,47199
2019-09-24,47199
2019-09-25,45966
2019-09-26,45966
2019-09-27,45290
2019-09-28,45290
2019-09-29,45271
2019-09-30,45271
2019-10-01,45230
2019-10-02,45230
2019-10-03,45230
2019-10-04,45271
2019-10-05,45271
2019-10-06,46001
2019-10-07,46001
2019-10-08,46722
2019-10-09,46722
2019-10-10,46722
2019-10-11,47492
2019-10-12,47492
2019-10-13,47733
2019-10-14,47733
2019-10-15,47733
2019-10-16,47531
2019-10-17,47531
2019-10-18,47531
2019-10-19,46983
2019-10-20,46983
2019-10-21,46983
2019-10-22,47010
2019-10-23,47010
2019-10-24,47010
2019-10-25,45865
2019-10-26,45865
2019-10-27,45865
2019-10-28,44577
2019-10-29,44577
2019-10-30,44577
2019-10-31,44540
2019-11-01,44540
2019-11-02,44586
2019-11-03,44586
2019-11-04,44278
2019-11-05,44278
2019-11-06,44278
2019-11-07,43866
2019-11-08,43866
2019-11-09,43407
2019-11-10,43407
2019-11-11,44068
2019-11-12,44068
2019-11-13,44068
2019-11-14,43954
2019-11-15,43954
2019-11-16,43346
2019-11-17,43346
2019-11-18,43346
2019-11-19,42833
2019-11-20,42833
2019-11-21,42833
2019-11-22,43176
2019-11-23,43176
2019-11-24,43318
2019-11-25,43318
2019-11-26,43751
2019-11-27,43751
2019-11-28,43751
2019-11-29,44507
2019-11-30,44507
2019-12-01,43956
2019-12-02,43956
2019-12-03,43702
2019-12-04,43702
2019-12-05,43702
2019-12-06,43931
2019-12-07,43931
