date_obj,Black%20platelegs price
2016-01-05,3131
2016-01-06,3257
2016-01-07,3290
2016-01-08,3330
2016-01-09,3320
2016-01-10,3372
2016-01-11,3391
2016-01-12,3443
2016-01-13,3463
2016-01-14,3408
2016-01-15,3259
2016-01-16,3133
2016-01-17,3089
2016-01-18,3052
2016-01-19,3043
2016-01-20,3027
2016-01-21,3071
2016-01-22,3052
2016-01-23,3059
2016-01-24,2956
2016-01-25,2968
2016-01-26,3026
2016-01-27,3139
2016-01-28,3139
2016-01-29,3235
2016-01-30,3235
2016-01-31,3352
2016-02-01,3333
2016-02-02,3277
2016-02-03,3304
2016-02-04,3254
2016-02-05,3413
2016-02-06,3450
2016-02-07,3469
2016-02-08,3549
2016-02-09,3568
2016-02-10,3583
2016-02-11,3610
2016-02-12,3588
2016-02-13,3647
2016-02-14,3647
2016-02-15,3726
2016-02-16,3804
2016-02-17,3872
2016-02-18,3817
2016-02-19,3765
2016-02-20,3671
2016-02-21,3656
2016-02-22,3656
2016-02-23,3732
2016-02-24,3859
2016-02-25,3832
2016-02-26,3832
2016-02-27,3737
2016-02-28,3736
2016-02-29,3811
2016-03-01,3758
2016-03-02,3625
2016-03-03,3472
2016-03-04,3385
2016-03-05,3492
2016-03-06,3421
2016-03-07,3331
2016-03-08,3428
2016-03-09,3405
2016-03-10,3275
2016-03-11,3166
2016-03-12,3260
2016-03-13,3413
2016-03-14,3562
2016-03-15,3675
2016-03-16,3846
2016-03-17,3915
2016-03-18,3924
2016-03-19,3763
2016-03-20,3574
2016-03-21,3395
2016-03-22,3279
2016-03-23,3185
2016-03-24,3128
2016-03-25,3059
2016-03-26,2991
2016-03-27,2921
2016-03-28,3004
2016-03-29,3111
2016-03-30,3111
2016-03-31,3094
2016-04-01,2969
2016-04-02,2824
2016-04-03,2844
2016-04-04,2860
2016-04-05,2969
2016-04-06,2946
2016-04-07,2997
2016-04-08,3101
2016-04-09,3164
2016-04-10,3214
2016-04-11,3214
2016-04-12,3203
2016-04-13,3109
2016-04-14,2981
2016-04-15,2901
2016-04-16,2759
2016-04-17,2677
2016-04-18,2745
2016-04-19,2881
2016-04-20,2937
2016-04-21,2851
2016-04-22,2851
2016-04-23,2770
2016-04-24,2761
2016-04-25,2813
2016-04-26,2764
2016-04-27,2798
2016-04-28,2867
2016-04-29,2818
2016-04-30,2681
2016-05-01,2605
2016-05-02,2597
2016-05-03,2586
2016-05-04,2679
2016-05-05,2678
2016-05-06,2678
2016-05-07,2675
2016-05-08,2809
2016-05-09,2874
2016-05-10,2784
2016-05-11,2711
2016-05-12,2642
2016-05-13,2738
2016-05-14,2855
2016-05-15,2790
2016-05-16,2807
2016-05-17,2847
2016-05-18,2929
2016-05-19,3076
2016-05-22,2994
2016-05-23,2847
2016-05-24,2704
2016-05-25,2678
2016-05-26,2633
2016-05-27,2596
2016-05-28,2596
2016-05-29,2631
2016-05-30,2631
2016-05-31,2733
2016-06-01,2792
2016-06-02,2824
2016-06-03,2793
2016-06-04,2865
2016-06-05,2911
2016-06-06,2903
2016-06-07,2921
2016-06-08,2926
2016-06-09,2941
2016-06-10,2893
2016-06-11,2881
2016-06-12,2782
2016-06-13,2665
2016-06-14,2552
2016-06-15,2430
2016-06-16,2480
2016-06-17,2456
2016-06-18,2351
2016-06-19,2307
2016-06-20,2191
2016-06-21,2081
2016-06-22,1976
2016-06-23,1877
2016-06-24,1795
2016-06-25,1808
2016-06-26,1831
2016-06-27,1883
2016-06-28,1978
2016-06-29,2069
2016-06-30,2139
2016-07-01,2136
2016-07-02,2105
