date_obj,Saradomin%20godsword price
2015-03-26,37573652
2015-03-27,37573652
2015-03-28,38457122
2015-03-29,38457122
2015-03-30,39800673
2015-03-31,39800673
2015-04-01,40245685
2015-04-02,40245685
2015-04-03,40906805
2015-04-04,40906805
2015-04-05,41040991
2015-04-06,41040991
2015-04-07,41988894
2015-04-08,41988894
2015-04-09,41988894
2015-04-10,42003224
2015-04-11,42003224
2015-04-12,42285482
2015-04-13,42285482
2015-04-14,42285482
2015-04-15,42241558
2015-04-16,42241558
2015-04-17,42235384
2015-04-18,42235384
2015-04-19,42816885
2015-04-20,42816885
2015-04-21,43916490
2015-04-22,43916490
2015-04-23,44899381
2015-04-24,44899381
2015-04-25,45814031
2015-04-26,45814031
2015-04-27,46391782
2015-04-28,46391782
2015-04-29,46391782
2015-04-30,47314920
2015-05-01,47314920
2015-05-02,48209874
2015-05-03,48209874
2015-05-04,48209874
2015-05-05,46566167
2015-05-06,46566167
2015-05-07,44617019
2015-05-08,44617019
2015-05-09,45896128
2015-05-10,45896128
2015-05-11,47094418
2015-05-12,47094418
2015-05-13,46910564
2015-05-14,46910564
2015-05-15,47233053
2015-05-16,47233053
2015-05-17,48575595
2015-05-18,48575595
2015-05-19,49210301
2015-05-20,49210301
2015-05-21,49210301
2015-05-22,48621653
2015-05-23,48621653
2015-05-24,48840265
2015-05-25,48840265
2015-05-26,49319200
2015-05-27,49319200
2015-05-28,50101008
2015-05-29,50101008
2015-05-30,50555735
2015-05-31,50555735
2015-06-01,50538905
2015-06-02,50538905
2015-06-03,50872758
2015-06-04,50872758
2015-06-05,51365111
2015-06-06,52093916
2015-06-07,53169274
2015-06-08,53169274
2015-06-09,54539421
2015-06-10,53337587
2015-06-11,53337587
2015-06-12,50818259
2015-06-13,48405175
2015-06-14,48451361
2015-06-15,48451361
2015-06-16,47623553
2015-06-17,47623553
2015-06-18,46048045
2015-06-19,46048045
2015-06-20,45727663
2015-06-21,45727663
2015-06-22,45737066
2015-06-23,45737066
2015-06-24,46309891
2015-06-25,46309891
2015-06-26,46681935
2015-06-27,46681935
2015-06-28,47209544
2015-06-29,47209544
2015-06-30,47805550
2015-07-01,47870152
2015-07-02,47870152
2015-07-03,47784963
2015-07-04,47571671
2015-07-05,47571671
2015-07-06,47797888
2015-07-07,47725403
2015-07-08,47943705
2015-07-09,47943705
2015-07-10,47754561
2015-07-11,47754561
2015-07-12,47689270
2015-07-13,47539877
2015-07-14,47654296
2015-07-15,47558466
2015-07-16,47558466
2015-07-17,47776635
2015-07-18,47776635
2015-07-19,48136469
2015-07-20,48182043
2015-07-21,48182043
2015-07-22,48297096
2015-07-23,48297096
2015-07-24,48887902
2015-07-25,48887902
2015-07-26,50210262
2015-07-27,50315156
2015-07-28,49962490
2015-07-29,49811133
2015-07-30,49811133
2015-07-31,49625972
2015-08-01,49668223
2015-08-02,49671354
2015-08-03,49985460
2015-08-04,49985460
2015-08-05,50363703
2015-08-06,50668051
2015-08-07,51120523
2015-08-08,51720077
2015-08-09,52163690
2015-08-10,52035232
2015-08-11,52038192
2015-08-12,52038192
2015-08-13,52110094
2015-08-14,52641528
2015-08-15,52641528
2015-08-16,53234383
2015-08-17,52928481
2015-08-18,51878226
