date_obj,Slayer's%20staff price
2015-03-26,13612
2015-03-27,13612
2015-03-28,13944
2015-03-29,13944
2015-03-30,13969
2015-03-31,13969
2015-04-01,13969
2015-04-02,14150
2015-04-03,14150
2015-04-04,14267
2015-04-05,14267
2015-04-06,14267
2015-04-07,14387
2015-04-08,14387
2015-04-09,14387
2015-04-10,14908
2015-04-11,14908
2015-04-12,14946
2015-04-13,14946
2015-04-14,14946
2015-04-15,14888
2015-04-16,14888
2015-04-17,14888
2015-04-18,14516
2015-04-19,14516
2015-04-20,14516
2015-04-21,14400
2015-04-22,14400
2015-04-23,14400
2015-04-24,14087
2015-04-25,14087
2015-04-26,14087
2015-04-27,14285
2015-04-28,14285
2015-04-29,14285
2015-04-30,14302
2015-05-01,14302
2015-05-02,14191
2015-05-03,14191
2015-05-04,14191
2015-05-05,14212
2015-05-06,14212
2015-05-07,14212
2015-05-08,14456
2015-05-09,14456
2015-05-10,14983
2015-05-11,14983
2015-05-12,14983
2015-05-13,15242
2015-05-14,15242
2015-05-15,15242
2015-05-16,15440
2015-05-17,15440
2015-05-18,15216
2015-05-19,15216
2015-05-20,15216
2015-05-21,15216
2015-05-22,15299
2015-05-23,15299
2015-05-24,15299
2015-05-25,15774
2015-05-26,15774
2015-05-27,15774
2015-05-28,15751
2015-05-29,15751
2015-05-30,15629
2015-05-31,15629
2015-06-01,15408
2015-06-02,15408
2015-06-03,15398
2015-06-04,15398
2015-06-05,15298
2015-06-06,15298
2015-06-07,14989
2015-06-08,14989
2015-06-09,14818
2015-06-10,14818
2015-06-11,14775
2015-06-12,14775
2015-06-13,14547
2015-06-14,14547
2015-06-15,14350
2015-06-16,14350
2015-06-17,14247
2015-06-18,14247
2015-06-19,14153
2015-06-20,14153
2015-06-21,14155
2015-06-22,14155
2015-06-23,14041
2015-06-24,14041
2015-06-25,14404
2015-06-26,14404
2015-06-27,14569
2015-06-28,14569
2015-06-29,14720
2015-06-30,14720
2015-07-01,14898
2015-07-02,14898
2015-07-03,15027
2015-07-04,15027
2015-07-05,14902
2015-07-06,14902
2015-07-07,14533
2015-07-08,14533
2015-07-09,14023
2015-07-10,14023
2015-07-11,13603
2015-07-12,13603
2015-07-13,13467
