date_obj,Water%20battlestaff price
2016-01-06,9936
2016-01-07,9936
2016-01-08,9913
2016-01-09,9913
2016-01-10,9898
2016-01-11,9863
2016-01-12,9757
2016-01-13,9757
2016-01-14,9693
2016-01-15,9693
2016-01-16,9635
2016-01-17,9607
2016-01-18,9602
2016-01-19,9602
2016-01-20,9513
2016-01-21,9513
2016-01-22,9480
2016-01-23,9480
2016-01-24,9336
2016-01-25,9467
2016-01-26,9467
2016-01-27,9571
2016-01-28,9571
2016-01-29,9513
2016-01-30,9513
2016-01-31,9509
2016-02-01,9444
2016-02-02,9444
2016-02-03,9417
2016-02-04,9417
2016-02-05,9353
2016-02-06,9303
2016-02-07,9303
2016-02-08,9284
2016-02-09,9284
2016-02-10,9209
2016-02-11,9209
2016-02-12,9224
2016-02-13,9167
2016-02-14,9167
2016-02-15,9178
2016-02-16,9315
2016-02-17,9378
2016-02-18,9378
2016-02-19,9282
2016-02-20,9398
2016-02-21,9463
2016-02-22,9463
2016-02-23,9541
2016-02-24,9541
2016-02-25,9599
2016-02-26,9599
2016-02-27,9536
2016-02-28,9536
2016-02-29,9513
2016-03-01,9518
2016-03-02,9518
2016-03-03,9393
2016-03-04,9393
2016-03-05,9587
2016-03-06,9510
2016-03-07,9510
2016-03-08,9635
2016-03-09,9444
2016-03-10,9513
2016-03-11,9513
2016-03-12,9654
2016-03-13,9654
2016-03-14,9582
2016-03-15,9631
2016-03-16,9624
2016-03-17,9624
2016-03-18,9616
2016-03-19,9620
2016-03-20,9660
2016-03-21,9660
2016-03-22,9584
2016-03-23,9624
2016-03-24,9624
2016-03-25,9701
2016-03-26,9694
2016-03-27,9694
2016-03-28,9677
2016-03-29,9688
2016-03-30,9688
2016-03-31,9659
2016-04-01,9659
2016-04-02,9587
2016-04-03,9431
2016-04-04,9349
2016-04-05,9349
2016-04-06,9375
2016-04-07,9375
2016-04-08,9271
2016-04-09,9251
2016-04-10,9180
2016-04-11,9180
2016-04-12,9240
2016-04-13,9346
2016-04-14,9609
2016-04-15,9649
2016-04-16,9478
2016-04-17,9393
2016-04-18,9484
2016-04-19,9527
2016-04-20,9348
2016-04-21,9321
2016-04-22,9321
2016-04-23,9394
2016-04-24,9486
2016-04-25,9368
2016-04-26,9351
2016-04-27,9307
2016-04-28,9298
2016-04-29,9298
2016-04-30,9266
2016-05-01,9092
2016-05-02,9197
2016-05-03,9205
2016-05-04,9050
2016-05-05,9092
2016-05-06,9092
2016-05-07,9284
2016-05-08,9284
2016-05-09,9328
2016-05-10,9042
2016-05-11,9042
2016-05-12,9164
2016-05-13,9333
2016-05-14,9265
2016-05-15,9245
2016-05-16,9245
2016-05-17,9160
2016-05-18,9163
2016-05-19,9124
2016-05-22,9083
2016-05-23,9287
2016-05-24,9249
2016-05-25,9150
2016-05-26,9256
2016-05-27,9216
2016-05-28,9216
2016-05-29,9155
2016-05-30,9155
2016-05-31,9212
2016-06-01,9376
2016-06-02,9370
2016-06-03,9370
2016-06-04,9281
2016-06-05,9281
2016-06-06,9220
2016-06-07,9220
2016-06-08,9197
2016-06-09,9268
2016-06-10,9381
2016-06-11,9213
2016-06-12,9231
2016-06-13,9231
2016-06-14,9225
2016-06-15,9232
2016-06-16,9226
2016-06-17,9148
2016-06-18,9148
2016-06-19,9127
2016-06-20,9138
2016-06-21,9198
2016-06-22,9176
2016-06-23,9179
2016-06-24,9174
2016-06-25,9179
2016-06-26,9179
2016-06-27,9231
2016-06-28,9222
2016-06-29,9223
2016-06-30,9270
2016-07-01,9292
2016-07-02,9185
2016-07-03,9123
2016-07-04,9222
2016-07-05,9222
2016-07-06,9272
2016-07-07,9188
2016-07-08,9397
2016-07-09,9255
2016-07-10,9150
2016-07-11,9091
2016-07-12,9171
2016-07-13,9244
2016-07-14,9308
2016-07-15,9205
2016-07-16,9253
2016-07-17,9253
2016-07-18,9241
2016-07-24,9324
2016-07-25,9127
2016-07-26,9127
2016-07-27,9344
2016-07-28,9344
2016-07-29,9356
