date_obj,Rune%20trimmed%20set%20(lg) price
2015-03-26,403467
2015-03-27,403467
2015-03-28,403467
2015-03-29,403467
2015-03-30,403467
2015-03-31,403467
2015-04-01,384391
2015-04-02,384391
2015-04-03,384391
2015-04-04,384391
2015-04-05,384391
2015-04-06,384391
2015-04-07,365896
2015-04-08,365896
2015-04-09,365896
2015-04-10,365896
2015-04-11,365896
2015-04-12,365896
2015-04-13,365896
2015-04-14,365896
2015-04-15,348233
2015-04-16,348233
2015-04-17,348233
2015-04-18,348233
2015-04-19,348233
2015-04-20,348233
2015-04-21,348233
2015-04-22,348233
2015-04-23,331514
2015-04-24,331514
2015-04-25,331514
2015-04-26,331514
2015-04-27,331514
2015-04-28,331514
2015-04-29,331514
2015-04-30,315782
2015-05-01,315782
2015-05-02,315782
2015-05-03,315782
2015-05-04,315782
2015-05-05,315782
2015-05-06,315782
2015-05-07,300604
2015-05-08,300604
2015-05-09,300604
2015-05-10,300604
2015-05-11,300604
2015-05-12,300604
2015-05-13,300604
2015-05-14,286641
2015-05-15,286641
2015-05-16,286641
2015-05-17,286641
2015-05-18,286641
2015-05-19,286641
2015-05-20,286641
2015-05-21,286641
2015-05-22,286641
2015-05-23,286641
2015-05-24,272869
2015-05-25,272869
2015-05-26,272869
2015-05-27,272869
2015-05-28,272869
2015-05-29,272869
2015-05-30,260277
2015-05-31,260277
2015-06-01,260277
2015-06-02,260277
2015-06-03,260277
2015-06-04,248135
2015-06-05,248135
2015-06-06,248135
2015-06-07,248135
2015-06-08,248135
2015-06-09,236668
2015-06-10,236668
2015-06-11,236668
2015-06-12,236668
2015-06-13,226097
2015-06-14,226097
2015-06-15,226097
2015-06-16,226097
2015-06-17,226097
2015-06-18,215409
2015-06-19,215409
2015-06-20,215409
2015-06-21,215409
2015-06-22,205563
2015-06-23,205563
2015-06-24,205563
2015-06-25,205563
2015-06-26,195706
2015-06-27,195706
2015-06-28,195706
2015-06-29,195706
2015-06-30,186575
2015-07-01,186575
2015-07-02,186575
2015-07-03,186575
2015-07-04,177594
2015-07-05,177594
2015-07-06,177594
2015-07-07,177594
2015-07-08,169631
2015-07-09,169631
2015-07-10,169631
2015-07-11,169631
2015-07-12,166649
2015-07-13,166649
2015-07-14,166649
2015-07-15,165547
2015-07-16,165547
2015-07-17,165547
2015-07-18,165547
2015-07-19,162969
2015-07-20,162969
2015-07-21,162969
2015-07-22,164099
2015-07-23,164099
2015-07-24,164099
2015-07-25,164099
2015-07-26,165954
2015-07-27,165954
2015-07-28,165954
2015-07-29,165698
2015-07-30,165698
2015-07-31,165698
2015-08-01,165698
2015-08-02,166122
2015-08-03,166122
2015-08-04,166122
2015-08-05,166892
2015-08-06,166892
2015-08-07,166892
2015-08-08,166892
2015-08-09,170678
2015-08-10,170678
2015-08-11,170678
2015-08-12,170678
2015-08-13,175450
2015-08-14,175450
2015-08-15,175450
2015-08-16,175450
2015-08-17,176497
2015-08-18,176497
2015-08-19,176497
2015-08-20,176497
2015-08-21,175946
2015-08-22,175946
2015-08-23,175946
2015-08-24,172150
2015-08-25,172150
2015-08-26,172150
2015-08-27,172150
2015-08-28,169380
2015-08-29,169380
2015-08-30,169380
2015-08-31,167465
2015-09-01,167465
2015-09-02,167465
2015-09-03,167465
2015-09-04,167152
2015-09-05,167152
2015-09-06,167152
2015-09-07,167152
2015-09-08,167649
2015-09-09,167649
2015-09-10,167649
2015-09-11,170043
2015-09-12,170043
2015-09-13,170043
2015-09-14,170043
2015-09-15,173133
2015-09-16,173133
2015-09-17,173133
2015-09-18,173133
2015-09-19,173036
2015-09-20,173036
2015-09-21,173036
