date_obj,Necklace%20of%20anguish price
2016-05-05,28023361
2016-05-06,28023361
2016-05-07,27023347
2016-05-08,27023347
2016-05-09,25706970
2016-05-10,24439202
2016-05-11,24439202
2016-05-12,23217241
2016-05-13,22056378
2016-05-14,20953559
2016-05-15,19905881
2016-05-16,19905881
2016-05-17,18910586
2016-05-18,17965056
2016-05-19,17074600
2016-05-22,16033860
2016-05-23,16740112
2016-05-24,17339552
2016-05-25,16968860
2016-05-26,16120417
2016-05-27,15420170
2016-05-28,15420170
2016-05-29,16116805
2016-05-30,16116805
2016-05-31,15954124
2016-06-01,15842014
2016-06-02,15803646
2016-06-03,15945029
2016-06-04,16316693
2016-06-05,16515616
2016-06-06,16919826
2016-06-07,16919826
2016-06-08,17223605
2016-06-09,17293107
2016-06-10,17542915
2016-06-11,17558060
2016-06-12,17792150
2016-06-13,17844944
2016-06-14,18214458
2016-06-15,18071047
2016-06-16,17975211
2016-06-17,17944216
2016-06-18,18556916
2016-06-19,18556480
2016-06-20,19150582
2016-06-21,19486850
2016-06-22,18607805
2016-06-23,18347347
2016-06-24,18326083
2016-06-25,18138761
2016-06-26,18138761
2016-06-27,17843606
2016-06-28,16993216
2016-06-29,16143555
2016-06-30,16186822
2016-07-01,16931275
2016-07-02,17037145
2016-07-03,17031082
2016-07-04,17165326
2016-07-05,17344158
2016-07-06,17592152
2016-07-07,17605263
2016-07-08,17679325
2016-07-09,18055223
2016-07-10,17978559
2016-07-11,17769215
2016-07-12,17695193
2016-07-13,17912720
2016-07-14,17942593
2016-07-15,18158353
2016-07-16,18335544
2016-07-17,18317302
2016-07-18,18265080
2016-07-23,18199722
2016-07-24,18237996
2016-07-25,18204937
2016-07-26,18247476
2016-07-27,18390246
2016-07-28,18524099
2016-07-29,18572879
2016-07-30,18842014
2016-07-31,18922514
2016-08-01,19260380
2016-08-02,19230083
2016-08-03,19367774
2016-08-04,19224315
2016-08-05,19132902
2016-08-06,18806094
2016-08-07,18541742
2016-08-08,18529335
2016-08-09,18437443
2016-08-10,18199643
2016-08-11,18593782
2016-08-12,18893178
2016-08-13,19170127
2016-08-14,18961184
2016-08-15,18831307
2016-08-16,18646556
2016-08-17,18360405
2016-08-18,17903142
2016-08-19,17202072
2016-08-20,17538756
2016-08-21,17414488
2016-08-22,17005366
2016-08-23,16285743
2016-08-24,15676161
2016-08-25,16311910
2016-08-26,16311910
2016-08-28,17312820
2016-08-31,18380942
2016-09-01,18452177
2016-09-02,18452177
2016-09-03,18599738
2016-09-04,18899169
2016-09-05,18529979
2016-09-06,18237323
2016-09-07,18296096
2016-09-08,18191816
2016-09-09,18025573
2016-09-10,17315259
2016-09-11,16935288
2016-09-12,16575588
2016-09-13,15923546
2016-09-14,15735092
2016-09-15,15866874
2016-09-16,16131196
2016-09-17,16622179
2016-09-18,16944837
2016-09-19,16844237
2016-09-20,16921099
2016-09-21,16671773
2016-09-22,16644997
2016-09-23,16738335
2016-09-24,16738335
2016-09-25,16741713
2016-09-26,16746584
2016-09-27,16610207
2016-09-28,16237735
2016-09-29,15932123
2016-09-30,15852724
2016-10-01,15987858
2016-10-02,16018403
2016-10-03,15937331
2016-10-04,15744372
2016-10-05,15440240
2016-10-06,15241180
2016-10-07,15122089
2016-10-08,15412532
2016-10-09,15712287
2016-10-10,15660988
2016-10-11,15591211
2016-10-12,15636380
2016-10-13,15697957
2016-10-14,15811502
2016-10-15,15742640
2016-10-16,15839088
2016-10-17,15912723
2016-10-18,15897233
2016-10-19,15863156
2016-10-20,16083560
2016-10-21,16205469
2016-10-22,16350582
2016-10-23,16382546
2016-10-24,16231594
2016-10-25,16227975
2016-10-26,16367437
2016-10-27,16283014
2016-10-28,16198966
2016-10-29,16082343
2016-10-30,15892335
2016-10-31,15608363
2016-11-01,15527072
2016-11-02,15517373
2016-11-03,15551829
2016-11-04,15681288
2016-11-05,15785628
2016-11-06,15880174
2016-11-07,15637799
2016-11-08,15541548
2016-11-09,15338983
2016-11-10,14908027
2016-11-11,14500712
2016-11-12,14894040
2016-11-13,14910964
2016-11-14,14699092
2016-12-07,15258948
2016-12-08,14999606
