date_obj,Fremennik%20robe price
2015-03-26,13427
2015-03-27,13427
2015-03-28,13427
2015-03-29,13427
2015-03-30,13427
2015-03-31,13427
2015-04-01,13427
2015-04-02,13427
2015-04-03,13427
2015-04-04,13427
2015-04-05,13427
2015-04-06,13427
2015-04-07,13427
2015-04-08,13427
2015-04-09,13427
2015-04-10,12794
2015-04-11,12794
2015-04-12,12794
2015-04-13,12794
2015-04-14,12794
2015-04-15,12794
2015-04-16,12794
2015-04-17,12794
2015-04-18,12794
2015-04-19,12794
2015-04-20,12794
2015-04-21,12794
2015-04-22,12794
2015-04-23,12794
2015-04-24,12794
2015-04-25,12794
2015-04-26,12794
2015-04-27,12794
2015-04-28,12794
2015-04-29,12794
2015-04-30,12794
2015-05-01,12794
2015-05-02,12794
2015-05-03,12794
2015-05-04,12794
2015-05-05,12219
2015-05-06,12219
2015-05-07,12219
2015-05-08,12219
2015-05-09,12219
2015-05-10,12219
2015-05-11,12219
2015-05-12,12219
2015-05-13,12219
2015-05-14,12219
2015-05-15,12219
2015-05-16,12219
2015-05-17,12219
2015-05-18,12219
2015-05-19,12219
2015-05-20,12219
2015-05-21,12219
2015-05-22,12219
2015-05-23,12219
2015-05-24,12219
2015-05-25,12219
2015-05-26,12219
2015-05-27,12219
2015-05-28,11608
2015-05-29,11608
2015-05-30,11608
2015-05-31,11608
2015-06-01,11608
2015-06-02,11608
2015-06-03,11608
2015-06-04,11608
2015-06-05,11608
2015-06-06,11608
2015-06-07,11608
2015-06-08,11608
2015-06-09,11608
2015-06-10,11608
2015-06-11,11608
2015-06-12,11608
2015-06-13,11030
2015-06-14,11030
2015-06-15,11030
2015-06-16,11030
2015-06-17,11030
2015-06-18,11030
2015-06-19,11030
2015-06-20,11030
2015-06-21,11030
2015-06-22,11030
2015-06-23,11030
2015-06-24,11030
2015-06-25,11030
2015-06-26,11030
2015-06-27,11030
2015-06-28,11030
2015-06-29,11030
2015-06-30,10479
2015-07-01,10479
2015-07-02,10479
2015-07-03,10479
2015-07-04,10479
2015-07-05,10479
2015-07-06,10479
2015-07-07,10479
2015-07-08,10479
2015-07-09,10479
2015-07-10,10479
2015-07-11,10479
2015-07-12,10479
2015-07-13,10479
2015-07-14,10479
2015-07-15,10479
2015-07-16,10479
2015-07-17,10030
2015-07-18,10030
2015-07-19,10030
2015-07-20,10030
2015-07-21,10030
2015-07-22,10030
2015-07-23,10030
2015-07-24,10030
2015-07-25,10030
2015-07-26,10030
2015-07-27,10030
2015-07-28,10030
2015-07-29,10030
2015-07-30,10030
2015-07-31,10030
2015-08-01,9581
2015-08-02,9581
2015-08-03,9581
2015-08-04,9581
2015-08-05,9581
2015-08-06,9581
2015-08-07,9581
2015-08-08,9581
2015-08-09,9581
2015-08-10,9581
2015-08-11,9581
2015-08-12,9581
2015-08-13,9581
2015-08-14,9151
2015-08-15,9151
2015-08-16,9151
2015-08-17,9151
2015-08-18,9151
2015-08-19,9151
2015-08-20,9151
2015-08-21,9151
2015-08-22,9151
2015-08-23,9151
2015-08-24,9151
2015-08-25,9151
2015-08-26,9151
2015-08-27,8699
2015-08-28,8699
2015-08-29,8699
2015-08-30,8699
2015-08-31,8699
2015-09-01,8699
2015-09-02,8699
2015-09-03,8699
2015-09-04,8699
2015-09-05,8699
2015-09-06,8699
2015-09-07,8699
2015-09-08,8271
2015-09-09,8271
2015-09-10,8271
2015-09-11,8271
2015-09-12,8271
2015-09-13,8271
2015-09-14,8271
2015-09-15,8271
2015-09-16,8271
2015-09-17,7858
2015-09-18,7858
2015-09-19,7858
2015-09-20,7858
2015-09-21,7858
2015-09-22,7858
2015-09-23,7858
2015-09-24,7858
2015-09-25,7858
2015-09-27,7490
2015-09-28,7490
2015-09-29,7490
2015-09-30,7490
2015-10-05,7490
2015-10-06,7490
2015-10-07,7161
2015-10-08,7161
2015-10-09,7161
2015-10-10,7161
2015-10-11,7161
2015-10-12,7161
2015-10-13,7161
2015-10-14,7161
2015-10-15,7161
2015-10-16,7161
2015-10-17,6814
2015-10-18,6814
2015-10-19,6814
2015-10-20,6814
2015-10-22,6814
2015-10-23,6814
2015-10-24,6814
2015-10-25,6814
2015-10-26,6486
2015-10-27,6486
2015-10-29,6486
2015-10-30,6486
2015-10-31,6486
2015-11-01,6486
2015-11-02,6486
2015-11-03,6486
2015-11-04,6486
2015-11-05,6486
2015-11-06,6166
2015-11-07,6166
2015-11-08,6166
2015-11-09,6166
2015-11-10,6166
2015-11-11,6166
2015-11-12,6166
2015-11-13,6166
2015-11-14,6166
2015-11-15,5860
2015-11-16,5860
2015-11-17,5860
2015-11-18,5860
2015-11-19,5860
2015-11-20,5860
2015-11-21,5860
2015-11-22,5860
2015-11-23,5860
2015-11-24,5599
2015-11-25,5599
2015-11-26,5599
2015-11-27,5599
2015-11-28,5599
2015-11-29,5599
2015-11-30,5599
