date_obj,Grubby%20key price
2019-07-04,25000
2019-07-04,25000
2019-07-04,26249
2019-07-05,27562
2019-07-06,28941
2019-07-07,30389
2019-07-08,31801
2019-07-09,33392
2019-07-10,35062
2019-07-11,35062
2019-07-12,36816
2019-07-13,36816
2019-07-14,38657
2019-07-15,38657
2019-07-16,40277
2019-07-17,40277
2019-07-18,41756
2019-07-19,41756
2019-07-20,40098
2019-07-21,40098
2019-07-22,38723
2019-07-23,38723
2019-07-24,38723
2019-07-25,38345
2019-07-26,38345
2019-07-27,38345
2019-07-28,38284
2019-07-29,38284
2019-07-30,37282
2019-07-31,37282
2019-08-01,37282
2019-08-02,36731
2019-08-03,36731
2019-08-04,36731
2019-08-05,37691
2019-08-06,37691
2019-08-07,37691
2019-08-08,39109
2019-08-09,39109
2019-08-10,39109
2019-08-11,39109
2019-08-12,39582
2019-08-13,39582
2019-08-14,39582
2019-08-15,39582
2019-08-16,40867
2019-08-17,40867
2019-08-18,40867
2019-08-19,40867
2019-08-20,40181
2019-08-21,40181
2019-08-22,40181
2019-08-23,40181
2019-08-24,40301
2019-08-24,40301
2019-08-25,40301
2019-08-25,40301
2019-08-26,40301
2019-08-26,40301
2019-08-27,40301
2019-08-27,40301
2019-08-28,39445
2019-08-29,39445
2019-08-30,39445
2019-08-31,39445
2019-09-01,40694
2019-09-02,40694
2019-09-03,40694
2019-09-04,40694
2019-09-05,41266
2019-09-06,41266
2019-09-07,41266
2019-09-08,41266
2019-09-09,43159
2019-09-10,43159
2019-09-11,43159
2019-09-12,43159
2019-09-13,43159
2019-09-14,43601
2019-09-15,43601
2019-09-16,43601
2019-09-17,43601
2019-09-18,42919
2019-09-19,42919
2019-09-20,42919
2019-09-21,42919
2019-09-22,42919
2019-09-23,42446
2019-09-24,42446
2019-09-25,42446
2019-09-26,42446
2019-09-27,42446
2019-09-28,41768
2019-09-29,41768
2019-09-30,41768
2019-10-01,41768
2019-10-02,41768
2019-10-03,42909
2019-10-04,42909
2019-10-05,42909
2019-10-06,42909
2019-10-07,43296
2019-10-08,43296
2019-10-09,43296
2019-10-10,43296
2019-10-11,43296
2019-10-12,42761
2019-10-13,42761
2019-10-14,42761
2019-10-15,42761
2019-10-16,43259
2019-10-17,43259
2019-10-18,43259
2019-10-19,43259
2019-10-20,43259
2019-10-21,43044
2019-10-22,43044
2019-10-23,43044
