date_obj,Verac's%20helm price
2015-03-26,1135530
2015-03-27,1135530
2015-03-28,1167788
2015-03-29,1190847
2015-03-30,1169587
2015-03-31,1164993
2015-04-01,1163121
2015-04-02,1173737
2015-04-03,1213561
2015-04-04,1204396
2015-04-05,1194897
2015-04-06,1208885
2015-04-07,1212691
2015-04-08,1202430
2015-04-09,1190327
2015-04-10,1195822
2015-04-11,1186299
2015-04-12,1155413
2015-04-13,1102183
2015-04-14,1068791
2015-04-15,1037365
2015-04-16,1010140
2015-04-17,1000696
2015-04-18,990311
2015-04-19,976887
2015-04-20,973313
2015-04-21,948010
2015-04-22,934439
2015-04-23,916950
2015-04-24,901092
2015-04-25,915549
2015-04-26,938857
2015-04-27,955402
2015-04-28,936316
2015-04-29,936316
2015-04-30,921086
2015-05-01,887541
2015-05-02,872619
2015-05-03,872407
2015-05-04,862598
2015-05-05,859429
2015-05-06,874746
2015-05-07,871062
2015-05-08,857491
2015-05-09,836092
2015-05-10,817319
2015-05-11,799474
2015-05-12,796831
2015-05-13,771066
2015-05-14,772263
2015-05-15,788663
2015-05-16,800340
2015-05-17,804336
2015-05-18,807409
2015-05-19,808605
2015-05-20,808605
2015-05-21,812413
2015-05-22,786419
2015-05-23,785668
2015-05-24,789099
2015-05-25,812175
2015-05-26,828768
2015-05-27,823020
2015-05-28,806740
2015-05-29,792308
2015-05-30,788902
2015-05-31,793049
2015-06-01,785242
2015-06-02,777339
2015-06-03,764539
2015-06-04,748523
2015-06-05,740597
2015-06-06,745762
2015-06-07,738653
2015-06-08,734235
2015-06-09,741434
2015-06-10,758828
2015-06-11,765539
2015-06-12,759736
2015-06-13,749506
2015-06-14,765698
2015-06-15,766759
2015-06-16,767724
2015-06-17,759421
2015-06-18,748989
2015-06-19,731409
2015-06-20,724888
2015-06-21,717025
2015-06-22,699429
2015-06-23,688714
2015-06-24,700964
2015-06-25,692652
2015-06-26,686506
2015-06-27,674657
2015-06-28,657953
2015-06-29,653109
2015-06-30,662974
2015-07-01,643463
2015-07-02,639548
2015-07-03,634911
2015-07-04,634761
2015-07-05,634802
2015-07-06,628536
2015-07-07,631617
2015-07-08,652356
2015-07-09,665938
2015-07-10,668381
2015-07-11,671812
2015-07-12,672210
2015-07-13,667503
2015-07-14,675401
2015-07-15,665643
2015-07-16,662446
2015-07-17,655619
2015-07-18,678597
2015-07-19,686657
2015-07-20,685078
2015-07-21,673773
2015-07-22,660179
2015-07-23,647436
2015-07-24,650386
2015-07-25,666557
2015-07-26,699705
2015-07-27,734534
2015-07-28,764308
2015-07-29,779684
2015-07-30,790360
2015-07-31,809684
2015-08-01,809442
2015-08-02,788223
2015-08-03,787988
2015-08-04,773425
2015-08-05,767233
2015-08-06,780439
2015-08-07,796232
2015-08-08,803350
2015-08-09,807636
2015-08-10,784343
2015-08-11,773859
2015-08-12,764057
2015-08-13,749529
2015-08-14,722844
2015-08-15,704336
2015-08-16,695473
2015-08-17,683682
2015-08-18,679079
2015-08-19,666220
2015-08-20,668876
2015-08-21,701869
2015-08-22,732404
2015-08-23,723201
2015-08-24,743139
2015-08-25,741238
2015-08-26,729326
2015-08-27,722683
2015-08-28,718344
2015-08-29,723212
2015-08-30,724385
2015-08-31,709973
2015-09-01,692207
2015-09-02,681058
2015-09-03,674407
2015-09-04,677471
2015-09-05,676475
2015-09-06,669543
2015-09-07,663368
2015-09-08,662704
2015-09-09,645053
2015-09-10,646164
2015-09-11,647772
2015-09-12,674074
2015-09-13,685418
2015-09-14,701860
2015-09-15,681590
2015-09-16,672992
2015-09-17,659658
2015-09-18,665131
2015-09-19,660523
2015-09-20,666716
2015-09-21,653380
2015-09-22,657215
2015-09-23,655697
2015-09-24,653518
2015-09-25,658182
2015-09-27,650137
2015-09-28,649541
2015-09-29,655019
2015-09-30,667509
2015-10-05,612798
2015-10-06,604838
2015-10-07,603608
2015-10-08,581056
2015-10-09,594829
2015-10-10,613212
2015-10-11,628285
2015-10-12,622815
2015-10-13,620425
2015-10-14,612246
2015-10-15,599251
2015-10-16,616593
2015-10-17,623901
2015-10-18,650559
2015-10-19,683048
2015-10-20,696796
2015-10-22,730990
2015-10-23,762816
2015-10-24,781414
2015-10-25,816107
2015-10-26,837492
2015-10-27,839704
2015-10-29,783240
2015-10-30,753097
2015-10-31,742326
2015-11-01,706687
2015-11-02,712120
2015-11-03,688645
2015-11-04,666260
2015-11-05,640334
2015-11-06,640594
2015-11-07,655713
2015-11-08,658873
2015-11-09,658488
2015-11-10,664925
2015-11-11,653075
2015-11-12,651095
2015-11-13,643146
2015-11-14,637152
2015-11-15,632974
2015-11-16,626647
2015-11-17,627132
2015-11-18,627807
2015-11-19,619016
2015-11-20,636492
2015-11-21,645329
2015-11-22,642505
2015-11-23,642505
2015-11-24,635007
2015-11-25,661365
2015-11-26,677050
2015-11-27,687316
2015-11-28,699995
2015-11-29,697518
2015-11-30,680188
2015-12-01,664203
2015-12-02,655178
2015-12-03,655565
2015-12-04,664924
2015-12-05,663589
2015-12-06,671770
2015-12-07,674319
2015-12-08,679453
2015-12-09,698391
2015-12-10,705665
2015-12-11,723790
2015-12-13,755649
2015-12-14,769679
2015-12-15,774922
2015-12-16,777900
2015-12-17,748387
2015-12-18,751179
2015-12-19,761807
2015-12-20,759395
2015-12-21,763871
2015-12-22,772933
2015-12-23,773918
2015-12-24,789683
2015-12-25,821274
2015-12-26,860410
2015-12-27,900710
2015-12-28,887424
2015-12-29,888072
2015-12-30,872897
2015-12-31,867515
2016-01-01,849463
2016-01-02,842444
2016-01-03,825066
2016-01-04,810083
2016-01-05,798046
2016-01-06,785778
2016-01-07,777691
2016-01-08,761675
