date_obj,Magic%20roots price
2015-03-26,16313
2015-03-27,16313
2015-03-28,16313
2015-03-29,16313
2015-03-30,16313
2015-03-31,16313
2015-04-01,16313
2015-04-02,16313
2015-04-03,16313
2015-04-04,15579
2015-04-05,15579
2015-04-06,15579
2015-04-07,15579
2015-04-08,15579
2015-04-09,15579
2015-04-10,15579
2015-04-11,15579
2015-04-12,15579
2015-04-13,15579
2015-04-14,15579
2015-04-15,14872
2015-04-16,14872
2015-04-17,14872
2015-04-18,14872
2015-04-19,14872
2015-04-20,14872
2015-04-21,14872
2015-04-22,14872
2015-04-23,14872
2015-04-24,14872
2015-04-25,14872
2015-04-26,14872
2015-04-27,14872
2015-04-28,14138
2015-04-29,14138
2015-04-30,14138
2015-05-01,14138
2015-05-02,14138
2015-05-03,14138
2015-05-04,14138
2015-05-05,14138
2015-05-06,14138
2015-05-07,14138
2015-05-08,14138
2015-05-09,14138
2015-05-10,14138
2015-05-11,14138
2015-05-12,13444
2015-05-13,13444
2015-05-14,13444
2015-05-15,13444
2015-05-16,13444
2015-05-17,13444
2015-05-18,13444
2015-05-19,13444
2015-05-20,13444
2015-05-21,13444
2015-05-22,13444
2015-05-23,13444
2015-05-24,13444
2015-05-25,13444
2015-05-26,13444
2015-05-27,13444
2015-05-28,12771
2015-05-29,12771
2015-05-30,12771
2015-05-31,12771
2015-06-01,12771
2015-06-02,12771
2015-06-03,12771
2015-06-04,12771
2015-06-05,12771
2015-06-06,12170
2015-06-07,12170
2015-06-08,12170
2015-06-09,12170
2015-06-10,12170
2015-06-11,12170
2015-06-12,12170
2015-06-13,12170
2015-06-14,12170
2015-06-15,11581
2015-06-16,11581
2015-06-17,11581
2015-06-18,11581
2015-06-19,11581
2015-06-20,11581
2015-06-21,11581
2015-06-22,11581
2015-06-23,11581
2015-06-24,11581
2015-06-25,11034
2015-06-26,11034
2015-06-27,11034
2015-06-28,11034
2015-06-29,11034
2015-06-30,11034
2015-07-01,11034
2015-07-02,11034
2015-07-03,11034
2015-07-04,10498
2015-07-05,10498
2015-07-06,10498
2015-07-07,10498
2015-07-08,10498
2015-07-09,10498
2015-07-10,10498
2015-07-11,10498
2015-07-12,10498
2015-07-13,10498
2015-07-14,10039
2015-07-15,10039
2015-07-16,10039
2015-07-17,10039
2015-07-18,10039
2015-07-19,10039
2015-07-20,10039
2015-07-21,10039
2015-07-22,10039
2015-07-23,10039
2015-07-24,9594
2015-07-25,9594
2015-07-26,9594
2015-07-27,9594
2015-07-28,9594
2015-07-29,9594
2015-07-30,9594
2015-07-31,9594
2015-08-01,9594
2015-08-02,9127
2015-08-03,9127
2015-08-04,9127
2015-08-05,9127
2015-08-06,9127
2015-08-07,9127
2015-08-08,9127
2015-08-09,9127
2015-08-10,8723
2015-08-11,8723
2015-08-12,8723
2015-08-13,8723
2015-08-14,8723
2015-08-15,8723
2015-08-16,8723
2015-08-17,8723
2015-08-18,8723
2015-08-19,8296
2015-08-20,8296
2015-08-21,8296
2015-08-22,8296
2015-08-23,8296
2015-08-24,8296
2015-08-25,8296
2015-08-26,8296
2015-08-27,8296
2015-08-28,7889
2015-08-29,7889
2015-08-30,7889
2015-08-31,7889
2015-09-01,7889
2015-09-02,7889
